hERG_IC50,hERG_h,hERG_Bmax
237.3,0.7091,96.75
237.1,0.7078,96.76
237,0.7063,96.78
236.5,0.7095,96.66
236.8,0.7087,96.72
237.5,0.7081,96.77
237.3,0.7083,96.74
237.8,0.7072,96.8
237.5,0.7084,96.76
237.1,0.7073,96.76
236.5,0.7083,96.71
237,0.7087,96.76
237.5,0.7074,96.79
236.9,0.7085,96.73
236.4,0.7093,96.66
236.3,0.7088,96.68
236.5,0.7079,96.71
236.9,0.708,96.73
236.7,0.7082,96.74
236.5,0.7086,96.75
236.5,0.7087,96.69
236.9,0.7079,96.71
237.1,0.709,96.7
237,0.7091,96.7
237.6,0.7071,96.76
237.1,0.7084,96.74
236.6,0.7098,96.68
237.1,0.7081,96.75
237.8,0.7067,96.79
237.7,0.7081,96.77
237.2,0.7072,96.73
236.4,0.7076,96.71
238,0.7067,96.8
236,0.7096,96.64
235.7,0.7102,96.63
236.5,0.7108,96.67
237.3,0.7104,96.69
237.1,0.7082,96.78
237.4,0.708,96.75
236.2,0.7111,96.65
237.2,0.7088,96.75
237.6,0.7084,96.73
238,0.7088,96.8
237,0.708,96.72
236.5,0.7101,96.68
237.6,0.7087,96.71
236.4,0.7089,96.67
237.2,0.7077,96.71
237.5,0.7083,96.72
236.1,0.7088,96.67
236.7,0.7083,96.69
236.6,0.7088,96.7
237.2,0.7081,96.73
237.3,0.7089,96.72
236.9,0.7086,96.72
236.1,0.709,96.68
236.8,0.7086,96.71
236.7,0.7107,96.68
236.9,0.7108,96.66
236.9,0.7106,96.7
236.2,0.7083,96.7
236.7,0.7084,96.71
237.2,0.7083,96.73
236.8,0.7089,96.72
236.6,0.7085,96.69
237.2,0.7071,96.76
237.7,0.7064,96.79
236.7,0.707,96.69
235.8,0.7075,96.68
236.8,0.7073,96.7
236.3,0.7105,96.69
236.9,0.71,96.71
237,0.7079,96.74
236.1,0.7083,96.75
236.6,0.7083,96.72
237,0.708,96.73
235.4,0.7096,96.67
236.2,0.7098,96.65
237.7,0.7081,96.76
236.9,0.7093,96.73
237.4,0.7082,96.75
237.4,0.7076,96.77
236.8,0.7094,96.71
237.4,0.7078,96.72
237.6,0.7081,96.73
236.6,0.7095,96.73
235.2,0.7099,96.61
236.3,0.7103,96.66
237.3,0.7078,96.78
236.5,0.7098,96.65
235.9,0.7097,96.65
236.5,0.7082,96.69
236.4,0.7098,96.68
237.2,0.7087,96.73
237.1,0.7073,96.75
237,0.7064,96.76
236.5,0.7078,96.72
237.4,0.7074,96.77
236.7,0.7085,96.71
237.9,0.7067,96.82
236.4,0.7094,96.71
237.6,0.7093,96.71
237.3,0.708,96.7
236.3,0.7076,96.75
237.7,0.7058,96.81
237.2,0.7091,96.72
236.6,0.7082,96.7
236.9,0.708,96.7
237.2,0.7076,96.75
237.3,0.7077,96.72
236.4,0.7092,96.69
236.4,0.7099,96.71
236.4,0.7092,96.67
236.4,0.7091,96.69
235.2,0.7098,96.66
236.5,0.708,96.67
237.6,0.7063,96.76
236.5,0.7078,96.71
237.2,0.7069,96.76
236.3,0.7093,96.7
237.6,0.7081,96.75
237.5,0.7073,96.8
236.8,0.7088,96.74
237.8,0.7074,96.82
237.5,0.7071,96.76
237.4,0.7089,96.72
237,0.7084,96.74
236.8,0.7087,96.71
236.4,0.7098,96.67
237,0.7099,96.69
236,0.7104,96.63
236.2,0.7087,96.62
235.5,0.7077,96.63
236,0.7093,96.64
237.2,0.708,96.69
237,0.7071,96.75
237.3,0.7081,96.75
236.6,0.7096,96.68
237,0.7086,96.73
236.5,0.7099,96.71
237.4,0.707,96.76
236.5,0.7084,96.72
236.7,0.7083,96.72
237.1,0.7085,96.7
235.9,0.7093,96.66
237,0.7086,96.75
236.9,0.7095,96.68
236.1,0.7098,96.65
237.8,0.707,96.72
237.1,0.7098,96.66
236.2,0.7083,96.67
236.9,0.7093,96.69
237,0.708,96.69
236.8,0.7089,96.76
236.6,0.7091,96.74
236.2,0.7078,96.71
236.7,0.7081,96.7
237,0.7084,96.71
236.1,0.7098,96.64
235.4,0.7089,96.67
236,0.7102,96.7
236.4,0.709,96.66
237.2,0.7076,96.72
236.3,0.7077,96.73
236.6,0.7061,96.74
236.9,0.7073,96.75
236.8,0.7068,96.73
236.7,0.7068,96.75
237.2,0.7079,96.71
237.2,0.7063,96.78
236.8,0.7083,96.73
237.3,0.7089,96.69
236.5,0.7073,96.7
237,0.7064,96.77
236.6,0.7067,96.72
237.1,0.7073,96.71
235.3,0.7079,96.63
236.4,0.7057,96.76
235.5,0.7088,96.64
236.3,0.7089,96.64
237.5,0.7074,96.76
237.2,0.707,96.74
236.6,0.7078,96.71
236.6,0.7077,96.73
237.1,0.7076,96.75
236.9,0.707,96.75
236.9,0.708,96.76
237.6,0.7077,96.81
237.9,0.7083,96.78
237.7,0.7076,96.76
237.2,0.7078,96.73
237.9,0.7083,96.74
237.1,0.7079,96.71
237.5,0.7075,96.76
238.2,0.7043,96.84
237.6,0.707,96.77
237.2,0.7096,96.72
236.9,0.7091,96.72
236.4,0.7089,96.67
236.7,0.7092,96.68
237,0.7068,96.73
237.6,0.7079,96.73
237.7,0.7073,96.74
237.1,0.7097,96.63
236.5,0.709,96.66
236.3,0.7087,96.67
237.2,0.7077,96.78
237,0.7068,96.75
236.1,0.709,96.66
235.5,0.7104,96.65
236.2,0.7096,96.66
237.4,0.7079,96.75
236.6,0.7098,96.66
236.1,0.7094,96.67
237.9,0.7071,96.76
236.6,0.708,96.67
236.9,0.7078,96.74
236.8,0.7075,96.76
237.3,0.7077,96.75
236.5,0.7081,96.69
237.1,0.7082,96.72
237.2,0.7075,96.76
236.1,0.7097,96.73
237.3,0.7064,96.72
237,0.7073,96.75
236.2,0.7094,96.71
236.9,0.7067,96.76
236.6,0.7077,96.72
236.9,0.7069,96.71
237.1,0.7068,96.77
236.8,0.7081,96.74
237.3,0.7073,96.78
237.6,0.7062,96.77
236.8,0.709,96.68
236.5,0.7085,96.72
236.3,0.7089,96.69
236.6,0.71,96.67
236.6,0.7091,96.73
236.8,0.708,96.74
236.7,0.7079,96.7
236.6,0.7092,96.7
236.5,0.7087,96.69
237.1,0.7072,96.75
236.4,0.7079,96.73
238,0.7083,96.77
237.6,0.7091,96.72
237.2,0.7088,96.7
238.1,0.7071,96.8
236.8,0.7088,96.74
236.9,0.7073,96.74
236.9,0.7083,96.77
237.6,0.7068,96.81
237.3,0.7083,96.72
236.7,0.7074,96.77
237.1,0.7083,96.73
237.2,0.7082,96.76
237.3,0.7072,96.73
236.4,0.7087,96.68
237.3,0.7085,96.67
236.7,0.7088,96.72
236,0.7091,96.7
