hERG_IC50,hERG_h,hERG_Bmax
17810,0.8631,84.27
17780,0.8643,84.25
17730,0.8671,84.18
17760,0.8655,84.19
17850,0.8657,84.24
17660,0.8686,84.1
17680,0.8685,84.14
17770,0.8648,84.25
17750,0.8659,84.21
17760,0.8653,84.21
17790,0.8651,84.27
17790,0.8635,84.28
17820,0.8655,84.32
17830,0.8628,84.37
17900,0.8654,84.38
17800,0.8681,84.2
17790,0.867,84.15
17780,0.8651,84.22
17800,0.8666,84.21
17810,0.8682,84.22
17690,0.8686,84.15
17670,0.8683,84.16
17720,0.8675,84.15
17870,0.8633,84.33
17810,0.863,84.31
17760,0.8671,84.22
17780,0.8669,84.18
17840,0.8636,84.27
17800,0.864,84.29
17750,0.8667,84.21
17930,0.8618,84.39
17790,0.8626,84.24
17800,0.8655,84.26
17780,0.8676,84.21
17900,0.8656,84.29
17870,0.8658,84.3
17810,0.8669,84.24
17880,0.8637,84.37
17860,0.8643,84.32
17820,0.8634,84.25
17800,0.8634,84.27
17870,0.865,84.3
17800,0.8661,84.23
17860,0.8634,84.35
17770,0.8665,84.24
17790,0.8662,84.24
17800,0.8662,84.22
17790,0.8636,84.23
17720,0.8669,84.22
17820,0.8642,84.29
17820,0.8658,84.24
17860,0.8651,84.32
17790,0.8657,84.24
17770,0.8659,84.22
17710,0.8663,84.16
17730,0.8652,84.22
17780,0.8684,84.17
17780,0.865,84.25
17860,0.864,84.32
17710,0.8664,84.19
17700,0.8669,84.17
17790,0.865,84.28
17830,0.8617,84.31
17800,0.8665,84.17
17820,0.8635,84.32
17710,0.8659,84.24
17780,0.8652,84.28
17800,0.865,84.31
17760,0.8677,84.21
17770,0.8689,84.15
17800,0.8646,84.35
17760,0.8664,84.18
17790,0.8673,84.18
17790,0.8651,84.26
17770,0.8678,84.25
17860,0.8661,84.26
17720,0.8691,84.1
17770,0.8648,84.23
17760,0.8659,84.24
17750,0.8674,84.22
17760,0.8664,84.25
17860,0.8655,84.26
17740,0.8671,84.18
17850,0.8661,84.31
17790,0.8633,84.28
