hERG_IC50,hERG_h,hERG_Bmax
797.4,1.389,85.9
796.6,1.383,85.93
797.7,1.387,85.91
798.8,1.386,85.95
799.3,1.383,85.97
799,1.381,85.97
800.2,1.384,85.99
800.5,1.383,86
800.6,1.387,86
801.5,1.386,86.04
800.6,1.387,86.03
799.1,1.394,85.94
800.1,1.387,86.03
799.9,1.386,86
799.9,1.387,86.02
801.1,1.383,86.08
800.8,1.387,86.05
800.3,1.384,86.06
799.2,1.389,85.96
797.3,1.387,85.94
797.1,1.385,85.92
797.1,1.388,85.94
797.4,1.388,85.93
797.6,1.385,86.01
798.2,1.387,86
797.5,1.386,86
800.3,1.386,85.97
800.6,1.385,85.99
798.9,1.385,85.96
798.1,1.384,85.99
799.7,1.384,85.96
798.2,1.389,85.98
798.7,1.387,85.99
798.6,1.384,86
798.8,1.386,85.96
799.6,1.383,85.99
798.9,1.386,85.96
799.3,1.385,85.96
798.6,1.383,85.97
797,1.38,85.97
796.4,1.383,85.92
798.5,1.381,85.98
797,1.378,86.01
797.5,1.383,85.96
797.8,1.383,85.96
796.9,1.386,85.93
798,1.389,85.92
798.7,1.388,85.93
799.7,1.385,85.99
799.5,1.384,86
798.7,1.385,86.02
798.6,1.388,85.94
799.1,1.386,85.95
798.9,1.384,86.01
799.5,1.383,86.03
799.6,1.388,85.92
800.6,1.381,86.01
800,1.381,86.01
799.4,1.383,85.98
798.6,1.386,85.95
797.7,1.386,85.97
797.8,1.39,85.96
800.6,1.386,86.02
801.1,1.386,86.02
797.9,1.387,85.99
799,1.385,86.04
800.1,1.383,86.02
799.5,1.38,86
798.9,1.378,86
799.6,1.382,85.99
798.4,1.384,85.99
798,1.385,85.97
798.4,1.385,85.94
798,1.387,85.97
798.5,1.386,85.98
798.6,1.385,85.97
797.6,1.387,85.95
796.7,1.386,85.97
795.8,1.389,85.92
795.6,1.385,85.94
797,1.386,85.89
796.8,1.385,85.97
800.4,1.382,85.99
799.2,1.384,85.94
799.2,1.382,85.99
800.7,1.383,85.99
801.4,1.384,86.02
800.9,1.381,86.05
800,1.381,86.02
800.3,1.38,86.02
799.1,1.384,85.98
800.5,1.382,86.01
801.2,1.381,86.04
801,1.385,85.96
801.5,1.38,86.07
799.7,1.384,85.99
800,1.384,86
798.8,1.39,85.94
798.2,1.389,85.91
798.6,1.386,85.95
798.2,1.387,85.96
799,1.382,86.03
799.3,1.389,85.94
796.9,1.385,85.97
797.5,1.383,85.95
799.4,1.381,86.01
798,1.385,85.97
796.8,1.382,86
796.5,1.383,85.96
797.5,1.382,86.01
796.2,1.384,86.01
797.8,1.387,85.96
798.6,1.387,85.99
799.2,1.387,85.98
798.9,1.386,85.96
800.1,1.386,85.95
800.6,1.382,86.04
801,1.382,86.05
798.6,1.383,85.96
802.8,1.379,86.1
800.7,1.386,86.01
800.3,1.387,86.02
800.3,1.385,86.02
