hERG_IC50,hERG_h,hERG_Bmax
10890,0.8731,97.89
10880,0.8736,97.86
10870,0.8733,97.84
10880,0.8736,97.87
10890,0.874,97.87
10870,0.8741,97.84
10880,0.8737,97.85
10900,0.8735,97.88
10890,0.8737,97.86
10900,0.8738,97.89
10900,0.8734,97.91
10880,0.8742,97.85
10870,0.8732,97.85
10880,0.8736,97.87
10880,0.8744,97.83
10880,0.8733,97.87
10870,0.8746,97.85
10880,0.8741,97.86
10880,0.8739,97.88
10880,0.8738,97.83
10870,0.8746,97.83
10880,0.8744,97.84
10880,0.8734,97.87
10880,0.8742,97.86
10880,0.874,97.85
10870,0.8738,97.87
10880,0.8739,97.85
10880,0.8742,97.85
10890,0.8734,97.87
10890,0.8736,97.87
10880,0.8742,97.85
10890,0.8732,97.88
10880,0.8737,97.88
10870,0.8749,97.83
10880,0.874,97.84
10880,0.8732,97.87
10880,0.8738,97.86
10870,0.8745,97.82
10900,0.8733,97.87
10890,0.8737,97.87
10880,0.8741,97.84
10890,0.8739,97.86
10880,0.8745,97.85
10880,0.8739,97.87
10880,0.8732,97.87
10890,0.874,97.86
10870,0.8744,97.86
10870,0.8742,97.85
10880,0.8734,97.86
10880,0.8733,97.85
10890,0.8736,97.87
10900,0.8739,97.87
10890,0.8735,97.87
10880,0.8732,97.87
10880,0.8734,97.87
10860,0.8748,97.83
10860,0.875,97.81
10880,0.8749,97.84
10890,0.8741,97.85
10890,0.8734,97.88
10870,0.8747,97.85
10880,0.874,97.87
10880,0.8741,97.87
10880,0.8735,97.87
10880,0.8734,97.85
10890,0.873,97.88
10880,0.8736,97.87
10880,0.8745,97.84
10880,0.8741,97.84
10870,0.8741,97.84
10880,0.8739,97.86
10880,0.8737,97.87
10880,0.8737,97.86
10880,0.8739,97.86
10890,0.873,97.89
10900,0.8738,97.87
10870,0.8747,97.84
10880,0.8742,97.84
10890,0.8731,97.89
10880,0.8736,97.86
10880,0.874,97.86
10880,0.8743,97.84
10880,0.8739,97.84
10890,0.8735,97.87
10880,0.8735,97.86
10870,0.8736,97.86
10880,0.8738,97.84
10880,0.8736,97.87
10880,0.8738,97.87
10890,0.8739,97.85
10900,0.8735,97.89
10870,0.8746,97.85
10880,0.8726,97.88
10870,0.8743,97.84
10870,0.8742,97.84
10880,0.8742,97.85
10880,0.8737,97.86
10890,0.8738,97.88
10880,0.8739,97.86
10890,0.8731,97.87
10880,0.8738,97.84
10890,0.8738,97.85
10860,0.8746,97.82
10890,0.8732,97.86
10880,0.8734,97.87
10890,0.8738,97.87
10880,0.8743,97.86
10880,0.8738,97.86
10890,0.8732,97.9
10890,0.8735,97.89
10900,0.8735,97.9
10890,0.8732,97.89
10890,0.8735,97.87
10870,0.8741,97.85
10880,0.8739,97.87
10890,0.8735,97.88
10890,0.874,97.86
10880,0.8741,97.86
10890,0.8742,97.86
10890,0.8736,97.89
10890,0.8742,97.86
10890,0.8735,97.86
10870,0.8742,97.85
10890,0.8738,97.86
10880,0.8741,97.86
10880,0.8742,97.85
10890,0.8747,97.87
10890,0.8734,97.89
10890,0.8733,97.88
10870,0.8738,97.84
10870,0.8733,97.86
10880,0.8734,97.88
10880,0.8736,97.86
10890,0.8742,97.87
10880,0.8741,97.84
10880,0.8745,97.85
10880,0.8738,97.86
10890,0.8737,97.88
