hERG_IC50,hERG_h,hERG_Bmax
225.8,0.6129,70.07
226,0.6156,70.03
225.9,0.6118,70.04
225.9,0.6142,70.03
225.6,0.6115,70.13
227.6,0.6143,70.13
225.5,0.6164,70.01
225.1,0.6144,70.04
225.5,0.6144,70.06
226.3,0.6155,70.03
225.9,0.6153,70.02
226.5,0.6161,70.06
224.8,0.6167,70.02
225,0.6154,70.02
226,0.616,70
225.2,0.6145,70
225.8,0.6151,70.01
225.2,0.615,70.02
225.1,0.615,70
225.1,0.6149,70.01
225.4,0.615,70
224.7,0.6146,70.01
225.3,0.6152,70.08
226.2,0.6151,70.09
224.8,0.6157,70.01
226.2,0.6151,70.06
225,0.6148,70
224,0.6126,70.02
225,0.6145,70.04
224.6,0.6149,70.01
225.4,0.6155,70.02
227.9,0.6141,70.11
224.9,0.6139,70.01
225.8,0.6143,70.04
227.4,0.6125,70.14
227.1,0.6126,70.05
227.2,0.6148,70.02
227.4,0.6146,70.03
226.5,0.6151,70.01
226.2,0.6153,70.01
225.7,0.6156,70
227.1,0.6155,70.02
225.4,0.6132,70.07
225.9,0.6137,70.07
225.7,0.6139,70.05
226.2,0.616,70.02
224.9,0.6167,70.03
224.5,0.6165,70
225.3,0.616,70.02
226,0.6145,70.04
227.4,0.614,70.07
226.7,0.6138,70.02
225,0.614,70.02
224.8,0.6145,70.01
224.7,0.6143,70.02
225.4,0.6139,70.02
225.1,0.6136,70
225.2,0.6136,70.02
224.9,0.6136,70
224.9,0.6136,70
225.4,0.6138,70.01
224.6,0.6149,70.02
224.3,0.6152,70.03
224.6,0.6159,70.01
224.7,0.6157,70
225.4,0.6134,70.01
225.7,0.6135,70.01
225.8,0.6133,70.01
225.4,0.6146,70.01
224.5,0.6138,70
225,0.6134,70.01
225.8,0.6157,70.02
225.5,0.6149,70
225.8,0.6164,70.01
226.2,0.6163,70.01
225.4,0.6163,70
225.8,0.6153,70.01
225.6,0.6154,70.02
224.7,0.6152,70.03
226.1,0.6156,70.04
225.9,0.6138,70.04
225.2,0.6149,70.01
225.6,0.6145,70.04
225.1,0.6159,70.03
225.9,0.6166,70.04
225.3,0.6155,70.01
224.9,0.6141,70.03
225.1,0.6144,70.01
225.3,0.6141,70.03
226.2,0.6145,70.05
225.7,0.615,70.04
225.5,0.6161,70.01
225.9,0.6146,70.02
225.6,0.6129,70.03
225.1,0.6129,70.01
227,0.6142,70.05
224.7,0.616,70.01
224.8,0.6124,70.02
226.2,0.6126,70.11
225.2,0.6107,70.06
226.8,0.6139,70.13
226.9,0.6115,70.14
226.5,0.6133,70.04
226.3,0.6139,70.04
225.1,0.6138,70.04
224.4,0.615,70
226,0.6135,70.03
225.4,0.6144,70.01
226.1,0.6141,70.04
227,0.6143,70.01
226,0.6133,70.01
226.2,0.6142,70.08
225.3,0.613,70.06
226.2,0.6137,70.07
224.5,0.6145,70.01
225.5,0.6145,70.03
225,0.6145,70
226.1,0.6145,70.06
225.8,0.6141,70.04
225.6,0.6147,70
226.4,0.6145,70.01
225.7,0.6148,70.01
225.8,0.6139,70.07
225.1,0.6147,70.02
227,0.6158,70.14
225.7,0.6158,70.09
224.3,0.6141,70.03
224,0.6152,70.01
224.1,0.6154,70
226.5,0.6145,70.05
226.7,0.6142,70.02
225.4,0.6142,70
224.7,0.6141,70
225.6,0.6134,70.04
225.6,0.614,70.03
226.9,0.6126,70.05
225.8,0.6152,70.03
225.2,0.6155,70.05
225.3,0.6136,70.01
225.2,0.6133,70.02
225.5,0.6149,70.02
225.9,0.614,70
226.5,0.6124,70.02
225.9,0.6145,70.03
225.4,0.6147,70.02
225.6,0.6134,70.03
225.4,0.6164,70.01
224.9,0.6156,70.02
225.4,0.6154,70.01
225.3,0.6147,70.04
226.2,0.6136,70.06
226.3,0.6135,70.04
226.3,0.6131,70.07
226.8,0.614,70.02
226.5,0.6137,70.01
226.6,0.613,70.03
225.9,0.6125,70.01
225.9,0.6121,70.04
225.9,0.6133,70.04
226.3,0.6128,70.08
224.6,0.615,70.01
224.6,0.615,70
224.3,0.6152,70.01
224.8,0.6148,70.01
224.4,0.6144,70
225,0.6142,70.02
224.5,0.6141,70.02
223.8,0.6124,70.01
226.2,0.6158,70.02
226,0.6158,70.01
225.5,0.6155,70
224.9,0.6142,70.01
224.8,0.6143,70
225.3,0.6152,70
225,0.6144,70.01
225.3,0.6136,70.03
224.3,0.6159,70.02
225.2,0.6133,70.02
227.3,0.6133,70.09
225.2,0.6152,70
226.9,0.6178,70.04
226.8,0.6141,70.18
225.9,0.6143,70.06
225.8,0.6147,70.02
226.4,0.6152,70.01
225.6,0.6133,70.01
223.9,0.6144,70.01
223.6,0.6144,70
224.1,0.6149,70
224.5,0.6154,70.03
225.1,0.6149,70.06
225.2,0.6149,70.01
224.7,0.615,70
225.5,0.6147,70.02
225.3,0.6143,70.08
225.5,0.6135,70.01
225.9,0.6132,70.03
226,0.6153,70
226.3,0.6143,70.01
226.4,0.6151,70.01
226.5,0.615,70.02
226.5,0.6148,70.05
225.5,0.6162,70.01
224.8,0.615,70.05
226.5,0.6141,70.05
225.2,0.6151,70.01
225.2,0.6149,70
225.3,0.6148,70.01
225.5,0.6151,70.01
226,0.6141,70.05
225.9,0.6151,70.02
226,0.6124,70.09
224.8,0.6145,70.02
225.7,0.6161,70.03
224.4,0.6138,70.01
224.2,0.6131,70
224.8,0.612,70
225.3,0.6126,70
225.3,0.6126,70.02
225.9,0.613,70.01
226,0.6127,70.03
225.5,0.6135,70.02
225.7,0.6137,70.03
224.8,0.6139,70.01
225,0.6147,70.02
225.4,0.6151,70.04
225.7,0.6169,70.06
224.3,0.6165,70.01
224.9,0.6138,70.02
225,0.6153,70.01
227.3,0.6145,70.01
227.1,0.6147,70
226.2,0.6134,70.05
225.4,0.6141,70.03
226.7,0.6138,70.02
225.2,0.6123,70.02
224.7,0.6143,70.02
225.8,0.6137,70.01
