hERG_IC50,hERG_h,hERG_Bmax
1099,0.9675,92.98
1102,0.9695,92.99
1098,0.9707,92.92
1096,0.9697,92.88
1099,0.9682,92.98
1100,0.9684,92.94
1093,0.971,92.91
1095,0.9697,92.92
1098,0.9703,92.93
1097,0.97,92.91
1098,0.97,92.93
1101,0.9669,92.97
1097,0.969,92.94
1099,0.9693,92.88
1096,0.9716,92.9
1099,0.9698,92.95
1102,0.9675,93.01
1099,0.9711,92.93
1101,0.9677,92.98
1095,0.97,92.89
1100,0.9695,92.94
1100,0.9719,92.95
1099,0.9709,93
1098,0.9702,92.92
1098,0.9712,92.92
1097,0.9719,92.9
1100,0.9708,92.95
1101,0.9691,92.97
1097,0.9703,92.91
1101,0.9688,92.99
1099,0.969,92.98
1097,0.9692,92.95
1098,0.9722,92.9
1097,0.9727,92.89
1100,0.9702,92.93
1099,0.9711,92.88
1097,0.9742,92.91
1098,0.9728,92.94
1098,0.9707,92.97
1098,0.9704,92.96
1096,0.9719,92.88
1097,0.9714,92.91
1102,0.9718,92.9
1096,0.9718,92.91
1099,0.97,92.95
1097,0.9715,92.9
1097,0.9702,92.92
1098,0.9691,92.97
1098,0.9693,92.94
1098,0.9699,92.93
1099,0.9696,92.92
1095,0.9733,92.84
1101,0.9664,92.98
1095,0.9737,92.81
1099,0.9704,92.91
1102,0.9682,93.02
1101,0.9699,93.01
1095,0.9731,92.84
1103,0.9665,93
1098,0.9691,92.93
1104,0.9687,92.96
1102,0.9683,92.97
1100,0.9676,93.01
1101,0.969,93.02
1101,0.9689,92.9
1096,0.9697,92.92
1096,0.9749,92.85
1100,0.9715,92.94
1100,0.9701,92.93
1099,0.9689,93.01
1102,0.967,93.05
1101,0.9686,92.97
1101,0.9702,92.97
1098,0.9705,92.94
1098,0.9706,92.96
1098,0.969,92.97
1099,0.9726,92.96
1099,0.9712,92.9
1096,0.9712,92.85
1102,0.9686,93.03
1102,0.9673,92.98
1098,0.9699,92.88
1099,0.9713,92.93
1096,0.9723,92.91
1101,0.9692,92.97
1095,0.9698,92.89
1097,0.971,92.88
1098,0.9696,92.93
1098,0.9706,92.9
1099,0.9703,92.92
1102,0.9675,93
1097,0.9716,92.9
1099,0.973,92.87
1100,0.971,92.96
1102,0.968,93
1102,0.9675,93
1098,0.9699,92.95
1103,0.966,93.05
1096,0.9718,92.87
1101,0.9685,92.98
1099,0.9689,92.95
1101,0.9697,92.96
1097,0.9739,92.9
1097,0.975,92.86
1101,0.9719,92.95
1099,0.9718,92.88
1099,0.9695,92.99
1100,0.9692,92.96
1098,0.9718,92.85
1100,0.9708,92.96
1102,0.9702,92.95
1099,0.9706,92.9
1101,0.9691,92.95
1104,0.9707,92.95
1100,0.9712,92.91
1102,0.9707,92.97
1100,0.9707,92.91
1104,0.9679,92.98
1100,0.9693,92.95
1098,0.9705,92.94
1098,0.9695,92.96
1100,0.9693,92.96
1094,0.9716,92.91
1097,0.9673,92.96
1098,0.9683,92.92
1101,0.9678,93.03
1102,0.9692,93
1098,0.9696,92.94
1101,0.9706,92.95
1101,0.9708,92.93
1103,0.9703,92.95
1101,0.9717,92.99
1102,0.9698,92.97
1100,0.9702,92.92
1099,0.9706,92.92
1100,0.9721,92.9
1102,0.9705,92.93
1099,0.9697,92.97
1102,0.9692,92.96
1103,0.968,93.04
1098,0.972,92.9
1101,0.9681,93.01
1098,0.9696,92.92
1096,0.9714,92.89
1096,0.9708,92.92
1096,0.9699,92.93
1096,0.9697,92.9
1095,0.9707,92.85
1097,0.9711,92.89
1100,0.9703,92.94
1099,0.9699,92.88
1098,0.9717,92.87
1101,0.9713,92.95
1097,0.9703,92.87
1098,0.9709,92.88
1101,0.971,92.94
1100,0.9713,92.89
1098,0.9686,92.96
1100,0.9713,92.96
1094,0.9717,92.89
1096,0.9707,92.89
1098,0.9697,92.92
1098,0.9689,92.93
1100,0.9686,92.95
1100,0.9692,93
1100,0.971,92.95
1104,0.9684,93.05
1097,0.9683,92.94
1101,0.9714,92.9
1101,0.9706,93
1099,0.9711,92.94
1097,0.9716,92.92
1097,0.972,92.9
1098,0.9696,92.91
1099,0.9688,92.97
1100,0.9672,93.05
1098,0.9689,92.93
1099,0.9701,93
1100,0.9707,92.95
1098,0.9706,92.9
1098,0.9713,92.99
1094,0.971,92.9
1099,0.9695,92.93
1100,0.9693,92.94
1093,0.9715,92.86
1097,0.9708,92.93
1102,0.9704,92.91
1101,0.9692,92.92
1099,0.9685,93
1098,0.9701,92.98
1101,0.9689,92.91
1099,0.9706,92.86
1099,0.9692,92.95
1099,0.9705,92.94
1100,0.9693,92.94
1096,0.9703,92.91
1100,0.9695,92.97
1098,0.9708,92.93
1100,0.9711,92.94
1099,0.9709,92.91
1100,0.971,93
1101,0.9699,92.94
1100,0.9716,92.9
1094,0.9729,92.83
1099,0.9696,92.96
1101,0.9698,92.97
1095,0.9702,92.89
1096,0.9713,92.89
1097,0.9699,92.91
1099,0.9681,93
1104,0.9685,93.01
1101,0.9701,92.97
1098,0.9681,92.92
1098,0.9677,92.95
1098,0.9698,92.93
1096,0.9706,92.9
1098,0.9728,92.9
1096,0.9725,92.92
1098,0.9694,92.95
1101,0.9699,92.94
1099,0.972,92.91
1098,0.9698,92.95
1102,0.9721,93.02
1097,0.9699,92.97
1100,0.9698,92.94
1101,0.97,92.91
1100,0.9698,92.94
1097,0.9712,92.87
1101,0.9684,92.94
1095,0.9694,92.9
1102,0.9672,92.95
1099,0.9715,92.92
1102,0.9673,93.04
1099,0.9697,92.92
1100,0.9677,93
1096,0.9743,92.88
1101,0.9696,92.96
1101,0.9694,92.95
1102,0.9684,92.97
1099,0.9685,92.96
1098,0.9732,92.85
1102,0.9713,92.9
1099,0.9715,92.87
1098,0.9684,92.97
1104,0.9674,93.01
1095,0.9715,92.86
1101,0.97,92.96
1100,0.9686,93
1099,0.969,92.95
1099,0.9699,92.96
1102,0.9695,93.02
1101,0.9699,92.96
1099,0.9713,92.94
1097,0.971,92.9
1101,0.9673,92.99
1100,0.9683,92.94
1102,0.9662,93.01
1097,0.9712,92.96
1101,0.969,92.98
1098,0.9699,92.91
1097,0.9716,92.88
1093,0.9743,92.85
1095,0.9721,92.85
1097,0.9704,92.96
1100,0.9666,92.97
1100,0.9703,92.92
1097,0.9712,92.86
1100,0.9705,92.98
1096,0.9716,92.9
1098,0.9699,92.94
1102,0.9703,92.96
1102,0.9702,92.95
1096,0.9711,92.86
1101,0.9711,92.96
1103,0.9691,93.06
1100,0.97,92.95
1099,0.9707,92.93
1101,0.9715,92.91
1101,0.9699,92.99
1101,0.9712,92.98
