hERG_IC50,hERG_h,hERG_Bmax
111700,0.8269,97.87
111300,0.8276,97.79
111100,0.8273,97.77
111300,0.8271,97.86
111100,0.8306,97.67
111500,0.8271,97.91
111500,0.8265,97.9
111600,0.8266,97.88
110700,0.83,97.68
111500,0.8277,97.91
111100,0.8292,97.74
110700,0.8284,97.69
110600,0.8293,97.68
111000,0.8288,97.76
111500,0.8249,97.92
110800,0.8293,97.73
111400,0.8271,97.86
111300,0.8282,97.83
111200,0.8291,97.83
110800,0.8283,97.72
111700,0.8292,97.82
111800,0.8263,97.87
111600,0.8258,97.91
111400,0.8261,97.87
111800,0.8255,97.95
111700,0.8257,97.94
111900,0.8272,97.93
111500,0.8273,97.83
111200,0.8281,97.79
111300,0.8273,97.83
111600,0.8283,97.87
111600,0.826,97.92
111300,0.8276,97.82
111700,0.8256,97.92
111100,0.829,97.74
111400,0.8314,97.78
111400,0.8296,97.85
111200,0.8282,97.75
111200,0.8274,97.73
111400,0.8277,97.85
111500,0.8274,97.85
112200,0.8283,97.99
112200,0.8256,98.02
111300,0.8307,97.71
111200,0.8284,97.79
111100,0.83,97.76
111000,0.8279,97.84
110500,0.8291,97.69
111400,0.8264,97.88
111700,0.8268,97.95
111400,0.8259,97.86
111600,0.8277,97.82
111100,0.8292,97.76
111000,0.8285,97.75
111800,0.8268,97.96
111600,0.8263,97.91
111100,0.829,97.76
111500,0.8268,97.82
111600,0.8269,97.82
111300,0.8281,97.76
111600,0.8279,97.81
111200,0.829,97.68
111400,0.83,97.84
111100,0.8294,97.7
111500,0.8281,97.81
112100,0.8249,98.01
111200,0.8278,97.82
110900,0.8294,97.69
111600,0.8272,97.84
111300,0.8275,97.76
110900,0.8298,97.7
111100,0.8296,97.76
111200,0.8281,97.81
110800,0.8289,97.77
111000,0.8288,97.76
111500,0.8272,97.78
111700,0.8272,97.87
111900,0.8275,97.87
111400,0.8279,97.83
111400,0.8277,97.86
111400,0.8274,97.87
110900,0.8293,97.76
111200,0.8293,97.8
111200,0.8271,97.81
111000,0.8269,97.76
111700,0.8288,97.83
111000,0.8299,97.68
110300,0.8319,97.57
111700,0.828,97.82
111500,0.8278,97.83
111900,0.825,97.95
111200,0.8287,97.71
111100,0.8292,97.7
111500,0.8282,97.77
111700,0.8268,97.88
111700,0.8257,97.89
112300,0.8248,97.96
111300,0.8267,97.86
111100,0.8286,97.72
111900,0.8247,97.96
112200,0.8235,98.03
111300,0.8293,97.78
111700,0.826,97.91
111200,0.8296,97.78
111500,0.8271,97.87
111100,0.8256,97.79
110800,0.8283,97.75
110300,0.8307,97.59
111300,0.8294,97.78
110900,0.8285,97.73
111200,0.8296,97.78
111300,0.8279,97.79
111600,0.8257,97.9
111300,0.8295,97.78
111000,0.8308,97.72
111400,0.8286,97.82
111400,0.8291,97.87
111600,0.8265,97.9
111500,0.8275,97.88
111500,0.8275,97.91
111800,0.8256,97.95
111400,0.828,97.9
111600,0.829,97.86
111300,0.8296,97.83
110600,0.8304,97.64
111000,0.829,97.74
110500,0.8309,97.6
110800,0.829,97.72
112000,0.8257,97.95
110600,0.8293,97.63
111700,0.8281,97.84
111200,0.8285,97.8
111200,0.8307,97.75
110900,0.8301,97.72
111900,0.8266,97.9
111600,0.8284,97.86
111600,0.8261,97.81
112100,0.8273,97.93
111800,0.8276,97.97
111300,0.8268,97.87
110700,0.8303,97.68
111000,0.8289,97.8
111200,0.8281,97.86
110700,0.8306,97.69
111900,0.8267,97.89
112500,0.8246,98.05
111300,0.8259,97.89
111400,0.8265,97.86
111200,0.8279,97.77
111400,0.8274,97.79
111400,0.8263,97.83
111800,0.8259,97.88
111600,0.829,97.85
110900,0.8303,97.73
111400,0.8268,97.86
111000,0.83,97.7
111200,0.8261,97.83
111300,0.8278,97.82
111600,0.8281,97.83
111700,0.8269,97.8
111900,0.8274,97.92
