hERG_IC50,hERG_h,hERG_Bmax
537.3,1.722,79.42
535.8,1.721,79.4
535.9,1.714,79.33
538.6,1.709,79.49
536,1.714,79.37
537.2,1.726,79.46
538.9,1.714,79.55
538.4,1.725,79.36
540.3,1.713,79.56
539.4,1.712,79.55
538.7,1.707,79.5
539.1,1.719,79.5
537.6,1.71,79.44
540.7,1.7,79.63
537.5,1.709,79.39
535.8,1.714,79.43
535.6,1.723,79.37
536.4,1.718,79.37
536.4,1.721,79.37
535.3,1.715,79.32
537.1,1.713,79.53
535.7,1.712,79.45
535.3,1.72,79.4
538.3,1.717,79.38
537.7,1.713,79.54
536.6,1.714,79.48
537.9,1.706,79.48
537.2,1.708,79.51
539.2,1.715,79.48
538.6,1.724,79.37
537,1.721,79.42
536.4,1.713,79.4
534.9,1.706,79.38
535.6,1.712,79.4
535.4,1.703,79.48
538.8,1.712,79.43
538.3,1.713,79.44
538.2,1.719,79.53
538.8,1.712,79.52
539.1,1.704,79.57
536.6,1.712,79.45
539.3,1.718,79.57
537.3,1.707,79.44
536.5,1.707,79.4
537.2,1.71,79.51
538.6,1.719,79.43
537,1.705,79.49
538.6,1.715,79.44
536.7,1.719,79.25
535.9,1.715,79.4
538.6,1.716,79.43
537.3,1.72,79.49
536.5,1.72,79.37
537.3,1.717,79.4
539.8,1.714,79.43
539.1,1.708,79.46
538.6,1.707,79.53
536.2,1.713,79.42
537.1,1.721,79.42
537.1,1.719,79.32
537.3,1.703,79.5
536.1,1.716,79.42
535.7,1.718,79.29
538.1,1.725,79.39
538.8,1.716,79.62
535.5,1.722,79.47
538,1.713,79.46
538.2,1.71,79.48
539.4,1.717,79.5
536.8,1.71,79.4
536.1,1.715,79.34
539.1,1.716,79.5
537.3,1.707,79.45
538.1,1.714,79.47
537.1,1.718,79.47
537.9,1.717,79.46
537.3,1.715,79.44
538.5,1.72,79.45
539,1.708,79.4
536.7,1.71,79.42
537,1.706,79.58
536.2,1.715,79.43
537.6,1.71,79.49
535.9,1.71,79.44
537.3,1.716,79.38
534.8,1.719,79.37
537.2,1.713,79.49
536.2,1.703,79.47
536.8,1.707,79.44
538.1,1.706,79.57
537,1.715,79.45
537.8,1.712,79.45
538.1,1.701,79.52
540.1,1.696,79.61
538.5,1.708,79.51
536,1.716,79.4
536.6,1.705,79.41
538.4,1.706,79.46
536.1,1.72,79.34
537.4,1.719,79.42
539.3,1.712,79.5
537.5,1.711,79.45
539.8,1.704,79.47
535.1,1.714,79.47
535.2,1.714,79.42
539.1,1.713,79.52
538.7,1.715,79.5
535.5,1.722,79.41
535,1.721,79.31
536.2,1.726,79.34
537.9,1.711,79.44
536.2,1.704,79.44
535.7,1.713,79.47
535.8,1.72,79.44
534.7,1.716,79.42
536.1,1.715,79.41
537.8,1.71,79.58
536.6,1.709,79.41
535.3,1.714,79.4
536.4,1.714,79.41
537.2,1.706,79.49
536,1.727,79.4
537.2,1.715,79.39
536.5,1.714,79.51
536.9,1.701,79.53
535.6,1.715,79.42
537.9,1.714,79.48
538.1,1.705,79.56
537.7,1.706,79.43
537.2,1.701,79.32
538.4,1.726,79.42
539.5,1.715,79.48
537,1.722,79.44
537.7,1.714,79.47
537.9,1.712,79.55
536.4,1.712,79.33
537.2,1.723,79.4
534.9,1.726,79.35
533.6,1.719,79.32
532.7,1.717,79.35
538.2,1.715,79.46
537.3,1.721,79.39
536.5,1.719,79.48
537,1.711,79.53
537.7,1.709,79.42
535.7,1.724,79.42
534.9,1.714,79.4
535,1.712,79.35
538.4,1.706,79.44
539.4,1.709,79.61
537.4,1.714,79.45
537.2,1.708,79.41
535.5,1.72,79.37
538.4,1.723,79.46
537.5,1.72,79.44
536.7,1.712,79.43
536.6,1.716,79.4
534.9,1.725,79.29
536.3,1.722,79.44
535.7,1.722,79.38
537.5,1.704,79.46
539.5,1.703,79.53
539.6,1.702,79.55
535.5,1.731,79.34
538.7,1.721,79.46
533.7,1.723,79.33
537.7,1.71,79.52
536.1,1.716,79.47
537.7,1.721,79.35
532.9,1.716,79.33
535.9,1.715,79.44
534.6,1.718,79.43
538.6,1.711,79.45
538.2,1.703,79.52
535.9,1.712,79.42
533.7,1.721,79.41
533.7,1.719,79.42
535.9,1.72,79.52
539.2,1.702,79.58
539.4,1.712,79.48
539.2,1.721,79.47
537.6,1.709,79.52
538.8,1.711,79.49
538.1,1.705,79.52
538.9,1.707,79.56
535.9,1.704,79.47
537.4,1.711,79.49
539.4,1.715,79.52
539,1.71,79.51
538.6,1.715,79.5
537.2,1.712,79.38
536.6,1.708,79.45
538.4,1.711,79.42
534.7,1.716,79.47
535.5,1.723,79.37
535.4,1.705,79.47
534.5,1.712,79.44
535.5,1.713,79.42
537.6,1.717,79.48
538.1,1.708,79.55
538,1.707,79.59
537.4,1.695,79.56
534.7,1.709,79.38
536.4,1.711,79.46
536.7,1.704,79.48
537.4,1.712,79.43
537.7,1.713,79.4
537,1.706,79.47
536,1.717,79.43
536.5,1.715,79.41
539,1.716,79.47
536.2,1.728,79.4
536.4,1.713,79.48
535.2,1.713,79.44
539.5,1.719,79.42
536.7,1.712,79.55
539.2,1.711,79.54
538.7,1.719,79.38
533.9,1.72,79.37
532.9,1.714,79.37
538.2,1.7,79.5
538.2,1.704,79.52
539.4,1.705,79.4
537,1.711,79.57
536.3,1.718,79.47
537.2,1.713,79.5
538.8,1.711,79.58
537.8,1.706,79.5
540.5,1.71,79.59
538.3,1.707,79.46
535.9,1.722,79.44
538.7,1.721,79.45
534.3,1.711,79.39
