hERG_IC50,hERG_h,hERG_Bmax
392.4,0.7124,99.91
394.8,0.7099,99.99
395.7,0.711,99.98
394.2,0.7115,99.98
394.1,0.7121,99.99
393.8,0.7117,99.99
394.4,0.7112,99.96
394.5,0.7125,99.99
393.7,0.7123,99.94
393.8,0.7115,99.98
393.2,0.711,99.92
392.1,0.7118,99.93
394.3,0.7093,99.96
393.8,0.709,99.96
393.9,0.7099,99.97
394.6,0.7095,99.98
394.6,0.7097,99.99
394.5,0.7103,100
393.9,0.7112,99.98
394.5,0.7112,99.99
395.1,0.7118,100
392.4,0.7129,100
393.7,0.7108,99.96
392.5,0.7117,99.94
394.6,0.712,99.99
391.5,0.7127,99.96
394.2,0.7108,99.98
393.9,0.7116,99.98
393.4,0.7094,99.96
393.9,0.713,100
394.8,0.7108,99.99
395,0.7105,100
394,0.7116,100
393.2,0.7113,99.98
394.2,0.7112,99.99
394.6,0.711,99.99
395.5,0.7101,99.99
395.4,0.7098,99.99
393.4,0.7112,99.97
393.8,0.713,100
394,0.7115,100
394.5,0.7102,99.96
394,0.7103,99.94
393.6,0.7107,99.94
392.3,0.7115,99.91
394,0.7113,99.91
392.9,0.7116,99.9
394.8,0.7124,100
394.7,0.7112,99.99
394.1,0.7123,99.97
393.6,0.7115,99.96
394,0.7127,99.96
394.2,0.7117,99.98
393.4,0.7133,99.99
393.8,0.7121,100
393.4,0.7108,99.98
392.9,0.7131,99.98
394.7,0.7105,99.98
394,0.708,99.97
393.6,0.7111,99.95
394,0.711,99.93
393,0.7104,99.96
393.9,0.7105,99.95
393.7,0.7115,99.98
394,0.7104,99.97
394.5,0.7093,99.97
393.9,0.7087,100
393.2,0.709,99.99
394.5,0.7089,99.99
393,0.7109,99.95
393.7,0.7108,99.97
394.8,0.71,99.98
394.9,0.7108,99.98
392.6,0.7109,99.97
392.5,0.7122,99.92
394.5,0.7118,99.99
394.8,0.7097,99.99
394.3,0.7085,99.99
394.9,0.7099,99.99
395.2,0.7089,100
393.5,0.7107,100
393.1,0.7114,99.97
392.7,0.7107,99.99
394.8,0.7088,99.98
394.5,0.7101,99.98
393,0.712,99.98
394.7,0.7101,99.96
394.3,0.711,99.97
394.8,0.7101,99.98
395.1,0.7096,99.98
394.1,0.7118,100
393.8,0.7126,99.99
393.4,0.7132,99.94
393.2,0.7127,99.98
394.5,0.7117,99.99
395.1,0.7102,99.99
393.4,0.7104,99.96
394.9,0.7105,99.99
394.7,0.7107,99.99
393.6,0.7108,99.98
393.9,0.7108,99.98
393.9,0.7095,99.95
393.7,0.7115,99.92
393.7,0.7116,99.92
393.6,0.7106,99.95
392,0.7127,100
393.5,0.7116,100
