hERG_IC50,hERG_h,hERG_Bmax
202.9,0.8045,89.77
202.3,0.8052,89.77
201.5,0.8084,89.63
202.2,0.8052,89.74
203.5,0.8041,89.93
204.5,0.8055,89.91
204.3,0.8052,89.95
203.6,0.8048,89.85
204,0.8023,89.95
202.9,0.8047,89.87
203.5,0.8051,89.81
205.1,0.8018,89.98
201.9,0.807,89.67
202.8,0.8065,89.83
203.8,0.8049,89.86
205,0.804,89.96
202.9,0.8067,89.82
202.8,0.807,89.77
204.4,0.803,89.89
204.3,0.8037,89.94
205.6,0.8014,90.12
206.1,0.8018,90.15
203.6,0.804,89.87
203.9,0.8043,89.89
204.1,0.8021,89.93
203.4,0.806,89.82
204.7,0.8055,89.92
203.1,0.8062,89.79
203,0.8082,89.75
203.4,0.8059,89.79
203.2,0.8053,89.79
204.3,0.8045,89.9
203.1,0.803,89.86
204.7,0.8018,90.02
203.8,0.8043,89.95
201,0.812,89.54
204.2,0.8048,89.96
205.9,0.8018,90.1
203.8,0.8076,89.87
202.9,0.8062,89.76
204.8,0.8038,89.97
204.4,0.8021,90
204.6,0.8068,89.91
203.5,0.8048,89.89
202.8,0.8068,89.73
202.4,0.8087,89.68
203.8,0.8048,89.81
203.3,0.8057,89.79
203.9,0.8035,89.88
202.6,0.8077,89.72
203.8,0.807,89.85
204,0.8044,89.92
203.5,0.8058,89.88
202,0.8078,89.72
204.1,0.8045,89.95
202.9,0.8061,89.83
205.4,0.8009,90.07
203.4,0.804,89.85
204.6,0.8027,89.97
202.8,0.8053,89.78
202.8,0.8047,89.79
204.9,0.8039,89.95
203.4,0.8061,89.81
203.9,0.8054,89.88
203.3,0.8051,89.85
203,0.806,89.84
204.8,0.8032,89.98
203.7,0.8067,89.85
202.7,0.8055,89.69
204,0.8037,89.95
204.5,0.8044,89.91
204.4,0.8038,89.96
204.6,0.8048,89.93
203.5,0.8055,89.78
202.8,0.8072,89.66
205,0.8041,89.92
202.9,0.8088,89.72
204.8,0.8059,89.85
204.6,0.8039,90.01
202.8,0.806,89.77
204.5,0.8049,89.94
204.5,0.8043,89.93
204.4,0.8024,90.01
203.8,0.8053,89.89
202.2,0.8065,89.72
204.9,0.804,90.01
204.4,0.8055,89.88
202.4,0.8083,89.66
204.9,0.8056,89.95
203.9,0.8049,89.86
