hERG_IC50,hERG_h,hERG_Bmax
587.3,1.268,79.01
588.6,1.261,79.16
589,1.263,79.03
588.2,1.262,79.07
590.9,1.262,79.13
588.5,1.26,79.06
589.9,1.261,79.12
587.9,1.263,79.07
592,1.259,79.25
587.7,1.266,78.94
591,1.257,79.21
588.7,1.26,79.07
589.7,1.263,79.14
592,1.257,79.28
590,1.262,79.16
588.2,1.262,79.05
587.8,1.263,79.11
591.2,1.259,79.22
588.9,1.262,79.1
587.3,1.264,79.03
590.4,1.259,79.22
590.9,1.256,79.23
589.4,1.263,79.14
589.9,1.26,79.13
590.6,1.259,79.19
589.2,1.263,79.14
591.3,1.256,79.24
588.8,1.264,79.14
588.8,1.261,79.08
588.1,1.26,79.12
589.1,1.263,79.03
589.9,1.263,79.1
590.3,1.261,79.16
588.5,1.264,79.12
587.7,1.263,79.05
589.6,1.259,79.12
586.7,1.266,79.01
587.6,1.263,79.06
588.5,1.258,79.19
589.9,1.257,79.17
588,1.261,79.01
586.6,1.263,78.98
586.9,1.262,79.02
589.5,1.262,79.1
588.1,1.263,79.1
590.9,1.256,79.27
588.1,1.26,79.08
589.7,1.259,79.15
588.3,1.261,79.09
586.6,1.265,79
589.1,1.263,79.17
585.8,1.271,78.93
588.3,1.266,79.09
586.4,1.27,78.93
584.8,1.266,78.86
586.2,1.271,78.94
589.8,1.262,79.11
588.2,1.261,79.12
589.8,1.26,79.12
588.8,1.262,79.09
588.9,1.264,79.08
589.3,1.26,79.12
588.6,1.264,79.02
590.4,1.26,79.12
588.6,1.268,79.06
586.3,1.268,78.88
584.4,1.265,78.86
591.7,1.259,79.26
589.8,1.259,79.12
586.8,1.262,79.07
586.8,1.264,79.01
586,1.262,78.99
587.8,1.26,78.97
589.8,1.258,79.13
590.3,1.255,79.24
588.5,1.263,79.12
592.1,1.259,79.29
587.7,1.266,79
590.1,1.261,79.15
588,1.26,79.07
590.6,1.257,79.22
589.6,1.259,79.17
588.5,1.262,79.08
589.2,1.264,79.1
589.5,1.259,79.16
587.9,1.259,79.06
589.3,1.259,79.09
588.4,1.261,79.14
590.8,1.259,79.23
590.3,1.259,79.19
589.3,1.266,79.08
588.2,1.267,78.99
590.7,1.261,79.23
589.1,1.263,79.17
588.7,1.263,79.11
588.1,1.264,79.11
590.2,1.261,79.19
588.4,1.262,79.11
587.1,1.261,79.1
588.6,1.264,79.1
589.8,1.259,79.17
588.6,1.266,79.08
587.4,1.265,79.04
593.4,1.256,79.35
590.3,1.263,79.13
587.1,1.266,79.01
591.3,1.256,79.27
589.9,1.262,79.17
588.5,1.263,79.08
588.3,1.264,79.05
584.9,1.264,78.89
585.4,1.264,78.94
590.5,1.257,79.17
589.3,1.263,79.17
587.8,1.26,79.1
587.6,1.268,79.02
589.4,1.263,79.2
585.4,1.266,78.96
586.1,1.269,78.98
587.5,1.267,79.02
587.9,1.263,78.99
591.4,1.26,79.2
588.8,1.261,79.11
590.5,1.262,79.13
589.7,1.262,79.12
589,1.26,79.13
589.6,1.26,79.19
587.9,1.263,78.99
588.2,1.264,79.1
587.9,1.263,79.02
588.5,1.265,79.04
589.3,1.265,79.12
585.9,1.264,79
591.5,1.259,79.25
589,1.263,79.12
586.8,1.266,79.03
588.6,1.26,79.15
588.7,1.264,79.09
587.8,1.262,79.07
589.5,1.261,79.16
586.8,1.266,79.04
589,1.262,79.18
587.1,1.262,79.02
590,1.257,79.23
594.3,1.257,79.33
589.5,1.261,79.11
590.8,1.255,79.24
591.2,1.262,79.22
588.8,1.264,79.04
588.3,1.264,79.06
587.9,1.263,79.05
590.2,1.256,79.18
587.5,1.265,79.03
588.9,1.263,79.1
589.9,1.262,79.16
588.7,1.263,79.1
591.7,1.262,79.23
590.3,1.264,79.09
587,1.268,79.01
589,1.263,79.04
585.8,1.267,78.93
587,1.266,78.95
584.5,1.269,78.87
588.6,1.263,79.1
587.1,1.262,79.04
588.1,1.263,79.05
585.6,1.261,78.93
588.2,1.259,79.06
590.4,1.261,79.19
588.1,1.259,79.12
586,1.264,78.92
589,1.267,79.05
587.3,1.271,79
586.5,1.265,78.99
588.7,1.267,79.07
589,1.262,79.12
588.3,1.267,79.07
590.4,1.262,79.13
589.3,1.261,79.15
587.4,1.26,79.11
587.6,1.264,79.06
588.6,1.262,79.14
590.6,1.259,79.18
589.9,1.261,79.19
585.9,1.269,78.86
590.1,1.26,79.17
589.4,1.261,79.13
590.2,1.26,79.14
591.7,1.259,79.2
588.4,1.263,79.08
592.4,1.255,79.3
590.4,1.259,79.22
589.7,1.263,79.16
589.6,1.263,79.11
589.5,1.264,79.17
588.8,1.265,79.12
589,1.261,79.16
590.2,1.262,79.18
586.2,1.268,78.95
588.9,1.26,79.09
587.5,1.261,79.03
590.2,1.26,79.16
588.6,1.262,79.07
590.3,1.259,79.14
588.9,1.26,79.18
593.3,1.26,79.24
594.2,1.252,79.36
591.4,1.26,79.22
591.3,1.26,79.22
587.5,1.266,79.03
589.3,1.263,79.19
591.9,1.261,79.24
593.1,1.261,79.24
590.4,1.259,79.18
589.1,1.266,79.08
590.2,1.261,79.22
592.8,1.256,79.35
590.4,1.262,79.24
590.8,1.263,79.16
589.5,1.258,79.24
590.7,1.26,79.16
590.5,1.26,79.21
590,1.263,79.21
588,1.266,79.1
588.4,1.264,79.08
587.7,1.266,79.1
585,1.269,78.86
588.9,1.264,79.12
591.4,1.261,79.22
587.3,1.263,78.98
587.5,1.262,79.01
588.4,1.261,79.01
587.1,1.267,79.02
590.5,1.261,79.17
588.1,1.264,79.05
589.9,1.256,79.23
588.7,1.261,79.17
586.4,1.265,78.96
587.9,1.26,79.1
591.3,1.259,79.22
590.9,1.257,79.23
586.9,1.266,79.06
589.2,1.26,79.11
589.8,1.257,79.16
591.4,1.26,79.22
589.4,1.259,79.18
588,1.266,79.04
590.2,1.259,79.16
587.1,1.267,79.01
592.1,1.261,79.19
587.8,1.264,79.01
590.2,1.262,79.11
590.4,1.26,79.2
589.9,1.26,79.13
586.8,1.266,78.93
589.8,1.265,79.13
591.6,1.258,79.26
592.4,1.256,79.34
591,1.263,79.12
590.1,1.264,79.1
586.6,1.264,78.97
589.6,1.261,79.09
589.4,1.259,79.12
588.3,1.265,79.06
591.4,1.259,79.25
589.8,1.262,79.15
588.5,1.263,79.05
589.1,1.266,79.05
588.4,1.265,79
590.5,1.258,79.19
586.4,1.265,79
587.2,1.264,79.04
591.4,1.259,79.26
589.8,1.26,79.17
589,1.259,79.21
589.2,1.263,79.11
588.7,1.265,79.04
587.4,1.263,78.98
587.8,1.263,79.01
588.6,1.261,79.06
589.4,1.259,79.2
589.1,1.263,79.1
589,1.265,79.08
590.1,1.258,79.25
590.2,1.258,79.21
589.7,1.262,79.08
590.7,1.262,79.11
587.7,1.26,79.04
587.5,1.259,79.08
586.8,1.263,79.02
589.2,1.261,79.13
590.3,1.258,79.22
588.1,1.264,79.08
591.5,1.262,79.18
590.6,1.264,79.12
590.1,1.261,79.19
588,1.264,79.04
585.1,1.269,78.93
588.7,1.26,79.13
589.6,1.266,79.11
590.7,1.264,79.2
592.1,1.262,79.21
590.3,1.259,79.22
591.8,1.261,79.25
591.4,1.261,79.34
590.1,1.266,79.19
588.4,1.268,79.04
587,1.265,79.04
586.8,1.267,78.99
588.8,1.258,79.19
589,1.262,79.17
589.1,1.267,79.11
590,1.263,79.18
589.5,1.266,79.08
590.2,1.258,79.23
586.2,1.268,78.96
588.6,1.261,79.13
589.2,1.261,79.19
588.5,1.266,79.04
588.1,1.264,79.06
588.5,1.264,79
588.9,1.26,79.08
587.9,1.261,79.18
589.5,1.256,79.15
589.9,1.263,79.11
589.5,1.263,79.15
588.4,1.261,79.22
587.9,1.264,79.07
589.8,1.265,79.07
589,1.26,79.06
590.1,1.259,79.16
587.6,1.265,79.01
593.4,1.258,79.25
591.9,1.256,79.27
591.1,1.26,79.17
588.4,1.263,79.04
588.9,1.263,79.01
590.5,1.264,79.16
589.6,1.264,79.07
591.4,1.259,79.23
589.9,1.262,79.19
589.8,1.264,79.11
591,1.26,79.12
588.2,1.261,79.05
589.3,1.258,79.14
589,1.261,79
589.5,1.258,79.09
590.5,1.259,79.17
590.4,1.261,79.17
587,1.265,79.05
589.8,1.265,79.13
589.6,1.263,79.05
589.9,1.263,79.06
591.4,1.257,79.18
589.9,1.263,79.11
593.2,1.259,79.28
588.8,1.26,79.11
591,1.259,79.09
588.1,1.265,78.92
584.7,1.271,78.78
587.4,1.266,78.98
589.3,1.264,79.12
589.2,1.262,79.11
586.1,1.268,78.91
587.5,1.265,79.04
588.4,1.261,79.17
591.8,1.256,79.25
588.8,1.262,79.13
588.6,1.268,79.01
588,1.267,79.01
587.8,1.263,79.08
585.4,1.269,78.94
587.6,1.266,79.01
590.2,1.262,79.14
591.3,1.261,79.16
592.5,1.259,79.25
591.2,1.26,79.18
586.7,1.268,78.94
587.9,1.263,79.05
590.7,1.262,79.18
590.4,1.257,79.2
589.7,1.263,79.1
590.8,1.259,79.17
589.5,1.259,79.16
589.2,1.261,79.16
590.4,1.259,79.2
591.2,1.261,79.24
591.7,1.261,79.19
589.1,1.264,79.18
588.4,1.263,79.05
588.9,1.261,79.11
589.7,1.261,79.1
592.7,1.261,79.26
587.8,1.265,79.05
589.5,1.266,79.1
588.4,1.267,79.09
588.5,1.262,79.08
586.8,1.267,79.01
588.3,1.26,79.14
584.2,1.269,78.84
590.7,1.259,79.18
590.5,1.261,79.17
589.9,1.262,79.11
590,1.26,79.13
589.6,1.267,79.1
589.2,1.265,79.01
590,1.259,79.14
588.2,1.27,79.03
589.9,1.264,79.12
590.2,1.263,79.09
589.6,1.261,79.18
590.5,1.261,79.15
588,1.263,79.1
589.3,1.26,79.08
589.4,1.266,79.05
587.9,1.264,79.03
587.3,1.27,79
589.2,1.262,79.12
590,1.259,79.14
590.9,1.259,79.17
590.9,1.258,79.17
588.6,1.264,79.06
587.4,1.265,79
588.3,1.265,79.04
590.5,1.268,79.14
588.7,1.264,79.17
590.7,1.261,79.13
588.2,1.259,79.06
589.5,1.262,79.15
588,1.262,79.09
589.7,1.256,79.24
590.2,1.257,79.18
587.6,1.261,79
589.8,1.263,79.19
587.6,1.264,79.11
588.1,1.264,79.03
587.1,1.259,79.05
587.8,1.266,79
589,1.261,79.17
589.2,1.259,79.21
588.8,1.258,79.16
590,1.26,79.25
588.3,1.264,79
587.6,1.269,79.03
589,1.264,79.11
590.3,1.259,79.13
586.9,1.263,79.03
590.3,1.258,79.2
590.4,1.262,79.18
590.1,1.264,79.11
588.6,1.261,79.12
586.7,1.265,79.02
588.4,1.264,79.05
588.5,1.263,79.08
589.6,1.263,79.16
589.3,1.26,79.22
591.4,1.26,79.23
589.3,1.261,79.1
588.1,1.262,79.09
587.6,1.265,79.04
587.7,1.26,79.02
587.3,1.261,79.01
588.9,1.267,79.01
589,1.257,79.14
592.3,1.256,79.33
588.7,1.26,79.1
584.6,1.269,78.83
586.8,1.267,78.93
587.3,1.266,78.93
586,1.269,78.94
590.4,1.261,79.21
589.5,1.266,79.14
589.2,1.265,79.08
588,1.268,79.04
589.9,1.259,79.19
586.5,1.265,79.02
587.6,1.264,79.01
589.6,1.256,79.2
586.9,1.262,79.01
587.4,1.265,79.01
588,1.264,79.07
586.7,1.267,78.97
589,1.259,79.19
588.9,1.262,79.12
585.7,1.268,78.97
590.5,1.262,79.25
587.5,1.268,78.95
589.5,1.264,79.08
589.7,1.263,79.09
586.1,1.269,78.92
589.4,1.264,79.06
591.3,1.26,79.21
592.2,1.254,79.32
589.4,1.261,79.17
589.2,1.261,79.12
589.5,1.265,79.05
589.2,1.265,79.05
587.3,1.263,79.07
589.9,1.261,79.14
586.8,1.267,78.98
587.8,1.262,79.08
590.2,1.26,79.22
590.5,1.263,79.16
589.8,1.264,79.08
587.4,1.263,79
589,1.263,79.12
585.2,1.268,79.01
589.9,1.259,79.16
589.7,1.262,79.09
589.6,1.262,79.13
587.1,1.263,79.02
587.6,1.262,79.01
585.2,1.265,78.92
590.3,1.258,79.22
591,1.261,79.15
588,1.265,79.04
589.1,1.264,79.07
587.9,1.266,79.02
586.5,1.265,78.97
586.6,1.268,78.98
589.9,1.261,79.11
590.4,1.259,79.11
588,1.265,79.08
588,1.266,79.03
584.6,1.269,78.88
588.8,1.264,79.03
588.5,1.264,79.03
588.9,1.263,79.16
593.6,1.258,79.37
593,1.259,79.31
589.6,1.263,79.11
590.8,1.263,79.15
591.1,1.259,79.25
588.8,1.261,79.07
587.1,1.266,78.98
589.9,1.263,79.05
589.9,1.259,79.22
591,1.259,79.22
591.1,1.258,79.23
589.4,1.257,79.12
589.6,1.26,79.12
591.6,1.257,79.23
589.3,1.264,79.14
589.2,1.264,79.11
588.2,1.259,79.13
590.1,1.26,79.14
586.1,1.267,78.9
588.4,1.266,79.04
590.1,1.262,79.13
586.7,1.265,79.01
589.3,1.26,79.14
589.7,1.261,79.17
590.3,1.261,79.13
592.6,1.262,79.21
