hERG_IC50,hERG_h,hERG_Bmax
7.304,0.8142,93.62
7.29,0.8161,93.5
7.293,0.816,93.51
7.3,0.8151,93.52
7.28,0.8147,93.46
7.385,0.8115,93.8
7.358,0.8107,93.79
7.368,0.8114,93.84
7.377,0.812,93.73
7.34,0.815,93.65
7.398,0.8105,93.86
7.345,0.8124,93.74
7.369,0.8089,93.87
7.348,0.81,93.73
7.292,0.8127,93.61
7.342,0.8104,93.68
7.341,0.8123,93.64
7.355,0.8139,93.75
7.36,0.8145,93.67
7.382,0.8103,93.78
7.348,0.8139,93.63
7.408,0.8091,93.88
7.348,0.8135,93.68
7.313,0.8137,93.63
7.322,0.8137,93.66
7.316,0.8155,93.61
7.344,0.8121,93.75
7.35,0.8125,93.72
7.325,0.8131,93.65
7.353,0.8115,93.7
7.343,0.8137,93.6
7.381,0.8104,93.8
7.309,0.8125,93.65
7.34,0.8115,93.68
7.318,0.8135,93.59
7.396,0.8117,93.86
7.322,0.8106,93.69
7.329,0.8132,93.63
7.375,0.8108,93.77
7.326,0.8128,93.63
7.302,0.8152,93.58
7.312,0.8111,93.67
7.315,0.8129,93.63
7.363,0.8112,93.7
7.347,0.8135,93.62
7.329,0.8125,93.66
7.331,0.8139,93.66
7.363,0.8113,93.77
7.369,0.8103,93.84
7.359,0.8105,93.79
7.35,0.8109,93.74
7.366,0.8114,93.78
7.351,0.8108,93.73
7.4,0.8079,93.87
7.336,0.8166,93.66
7.325,0.8135,93.66
7.345,0.8113,93.72
7.339,0.8122,93.67
7.367,0.8128,93.73
7.343,0.8139,93.68
7.33,0.8128,93.66
7.358,0.8107,93.73
7.321,0.8135,93.6
7.353,0.8112,93.72
7.337,0.8119,93.67
7.329,0.8105,93.7
7.345,0.8122,93.74
7.314,0.8137,93.6
7.308,0.8128,93.65
7.343,0.812,93.71
7.345,0.8129,93.69
7.35,0.8119,93.77
7.356,0.8109,93.79
7.323,0.8128,93.62
7.307,0.8155,93.49
7.345,0.8102,93.73
7.357,0.8093,93.82
7.338,0.8128,93.7
7.386,0.8104,93.88
7.371,0.8108,93.74
7.363,0.8087,93.76
7.318,0.8164,93.55
7.38,0.8138,93.69
7.322,0.8111,93.7
7.319,0.8152,93.67
7.322,0.8138,93.58
7.321,0.8132,93.61
7.315,0.814,93.57
7.35,0.8115,93.76
7.354,0.8101,93.75
7.338,0.8108,93.72
7.32,0.8129,93.66
7.321,0.8109,93.67
7.356,0.8136,93.74
7.33,0.8128,93.63
7.29,0.8138,93.55
7.316,0.81,93.65
7.339,0.8095,93.77
7.344,0.8115,93.69
7.31,0.8121,93.66
7.344,0.8132,93.61
7.353,0.8109,93.7
7.382,0.813,93.8
7.358,0.8114,93.74
7.35,0.8124,93.77
7.352,0.8099,93.8
7.383,0.811,93.77
7.348,0.8139,93.71
7.333,0.8127,93.72
7.331,0.8105,93.7
7.344,0.8114,93.72
7.288,0.8144,93.56
7.323,0.8126,93.63
7.292,0.8174,93.43
7.348,0.8133,93.72
7.37,0.8124,93.73
7.307,0.814,93.59
7.34,0.8143,93.64
7.345,0.813,93.7
7.313,0.8141,93.68
7.321,0.8149,93.56
7.341,0.8109,93.72
7.358,0.8115,93.77
7.387,0.808,93.89
7.38,0.8099,93.93
7.372,0.8101,93.85
7.348,0.8129,93.72
7.295,0.8145,93.57
7.319,0.8145,93.66
7.374,0.8116,93.75
7.361,0.811,93.73
7.386,0.8097,93.85
7.373,0.8101,93.84
7.363,0.8111,93.8
7.346,0.811,93.67
7.354,0.8113,93.72
7.334,0.8108,93.63
7.293,0.8127,93.56
7.344,0.8098,93.76
7.313,0.811,93.67
7.336,0.8127,93.62
7.361,0.8107,93.69
7.349,0.8135,93.8
7.318,0.8141,93.59
7.319,0.8135,93.62
7.404,0.8091,93.83
7.36,0.8115,93.77
7.361,0.8106,93.77
7.333,0.8083,93.74
7.395,0.8106,93.87
7.319,0.8126,93.63
7.357,0.8104,93.71
7.276,0.8136,93.55
7.39,0.8084,93.87
7.332,0.8115,93.74
7.313,0.812,93.68
7.323,0.8131,93.65
7.351,0.8088,93.74
7.344,0.8093,93.74
7.306,0.8134,93.63
7.331,0.8147,93.63
7.315,0.8159,93.57
7.324,0.8139,93.61
7.362,0.8092,93.79
7.341,0.8112,93.77
7.285,0.8149,93.53
7.282,0.8166,93.55
7.341,0.8118,93.7
7.338,0.8092,93.75
7.374,0.8071,93.83
7.321,0.8115,93.63
7.346,0.8113,93.73
7.38,0.8088,93.83
7.346,0.8135,93.68
7.314,0.8146,93.62
7.339,0.8134,93.71
7.305,0.8135,93.66
7.34,0.8098,93.68
7.332,0.81,93.62
7.348,0.8141,93.61
7.354,0.8107,93.72
7.379,0.8108,93.8
7.315,0.8129,93.65
7.336,0.8126,93.61
7.341,0.8141,93.63
7.318,0.8128,93.62
7.35,0.8117,93.76
7.331,0.8119,93.67
7.352,0.811,93.74
7.326,0.814,93.63
7.375,0.81,93.78
7.369,0.81,93.85
7.383,0.8087,93.9
7.391,0.811,93.79
7.385,0.8119,93.8
7.327,0.811,93.73
7.314,0.8143,93.66
7.362,0.8108,93.72
7.34,0.8095,93.78
7.405,0.8088,93.93
7.341,0.8109,93.71
7.336,0.8114,93.73
7.364,0.8101,93.77
7.367,0.8136,93.71
7.344,0.8123,93.71
7.322,0.8156,93.65
7.312,0.8145,93.6
7.338,0.8123,93.73
7.371,0.8122,93.73
7.34,0.8128,93.68
7.353,0.8094,93.8
7.341,0.8105,93.74
7.364,0.8133,93.77
7.363,0.8117,93.78
7.391,0.811,93.84
7.396,0.8097,93.8
7.331,0.8143,93.64
7.364,0.8122,93.73
7.405,0.8082,93.92
7.354,0.8124,93.73
7.332,0.8118,93.68
7.315,0.8112,93.65
7.315,0.8121,93.6
7.363,0.8107,93.76
7.363,0.8128,93.67
7.336,0.8141,93.68
7.364,0.8087,93.76
7.3,0.8155,93.48
7.336,0.8117,93.73
7.319,0.8131,93.65
7.41,0.8094,93.92
7.325,0.8122,93.69
7.375,0.8115,93.8
7.314,0.8155,93.65
7.318,0.8145,93.62
7.347,0.8116,93.7
7.359,0.811,93.71
7.364,0.8117,93.8
7.347,0.813,93.66
7.346,0.8119,93.69
7.343,0.8121,93.71
7.343,0.8133,93.69
7.263,0.8145,93.46
7.336,0.8098,93.73
7.335,0.8126,93.66
7.335,0.8136,93.65
7.367,0.8103,93.73
7.3,0.8163,93.54
7.318,0.813,93.69
7.321,0.8157,93.67
7.355,0.814,93.74
7.356,0.8114,93.74
7.356,0.8109,93.73
7.393,0.8089,93.82
7.373,0.8105,93.81
7.333,0.8135,93.64
7.332,0.8128,93.65
7.325,0.8143,93.62
7.341,0.8138,93.61
7.3,0.8135,93.59
7.366,0.8121,93.73
7.393,0.8104,93.82
7.376,0.8121,93.79
7.383,0.8114,93.84
7.378,0.8125,93.8
7.336,0.8134,93.69
7.358,0.8134,93.72
7.354,0.8128,93.72
7.317,0.8102,93.65
7.347,0.8115,93.71
7.349,0.8114,93.7
7.326,0.8137,93.66
7.336,0.8133,93.65
7.343,0.8129,93.69
7.356,0.8123,93.72
7.383,0.8104,93.81
7.349,0.8125,93.68
7.307,0.8145,93.58
7.312,0.8129,93.67
7.337,0.8117,93.73
7.37,0.8107,93.74
7.321,0.8139,93.58
7.333,0.8148,93.59
7.355,0.8114,93.74
7.332,0.8145,93.64
7.367,0.8133,93.72
7.362,0.8123,93.76
7.361,0.8104,93.79
7.365,0.8105,93.79
7.4,0.8099,93.84
7.304,0.8134,93.58
7.304,0.8146,93.59
7.343,0.8114,93.66
7.32,0.8131,93.61
7.308,0.8116,93.66
7.362,0.811,93.79
7.353,0.8142,93.69
7.389,0.8106,93.81
7.336,0.8119,93.68
7.338,0.8117,93.71
7.37,0.8106,93.74
7.303,0.8154,93.5
7.348,0.8118,93.68
7.345,0.8111,93.76
7.339,0.8115,93.74
7.37,0.8127,93.74
7.359,0.8125,93.73
7.356,0.8116,93.76
7.357,0.8138,93.8
7.344,0.8116,93.77
7.357,0.8128,93.7
7.387,0.8077,93.87
7.387,0.8083,93.9
