hERG_IC50,hERG_h,hERG_Bmax
97.22,1.016,99.85
97.36,1.014,99.96
97.24,1.012,99.87
97.31,1.013,99.89
97.33,1.012,99.94
97.18,1.013,99.84
97.2,1.014,99.82
97.09,1.015,99.82
97.31,1.016,99.86
97.35,1.014,99.92
97.32,1.013,99.9
97.37,1.012,99.91
97.39,1.014,99.93
97.19,1.015,99.86
97.51,1.013,99.94
97.52,1.014,99.91
97.42,1.013,99.91
97.31,1.015,99.87
97.06,1.016,99.84
97.22,1.015,99.88
97.32,1.014,99.89
97.35,1.014,99.87
97.23,1.015,99.85
97.13,1.015,99.84
97.19,1.015,99.83
97.14,1.014,99.82
97.31,1.014,99.88
97.15,1.015,99.85
97.25,1.015,99.85
97.09,1.015,99.85
97.4,1.014,99.89
97.26,1.015,99.85
97.32,1.015,99.9
97.37,1.014,99.9
97.39,1.016,99.88
97.14,1.014,99.84
97.24,1.014,99.85
97.35,1.013,99.89
97.24,1.013,99.87
97.35,1.013,99.93
97.47,1.012,99.98
97.49,1.013,99.95
97.25,1.014,99.88
97.14,1.015,99.82
97.28,1.015,99.85
97.31,1.015,99.86
97.39,1.015,99.87
97.22,1.016,99.83
97.39,1.016,99.88
97.2,1.015,99.85
97.36,1.016,99.91
97.41,1.015,99.92
97.46,1.013,99.91
97.33,1.014,99.88
97.27,1.015,99.82
97.27,1.016,99.84
97.27,1.015,99.85
97.4,1.014,99.93
97.22,1.015,99.91
97.61,1.013,99.93
97.45,1.013,99.88
97.26,1.014,99.93
97.04,1.016,99.78
97.46,1.015,99.91
97.21,1.016,99.82
97.05,1.017,99.78
97.27,1.015,99.84
97.2,1.015,99.86
97.33,1.015,99.82
97.44,1.013,99.92
97.24,1.015,99.85
97.31,1.015,99.86
97.28,1.014,99.92
97.26,1.015,99.92
97.06,1.015,99.88
97.26,1.014,99.88
97.3,1.013,99.88
97.4,1.013,99.89
97.17,1.016,99.78
97.37,1.015,99.87
97.38,1.015,99.89
97.32,1.013,99.88
97.35,1.014,99.9
97.2,1.014,99.81
97.24,1.016,99.85
97.31,1.014,99.88
97.2,1.014,99.88
97.3,1.013,99.93
97.4,1.012,99.9
97.27,1.013,99.95
97.29,1.014,99.87
97.18,1.014,99.85
97.29,1.014,99.86
97.21,1.015,99.81
97.28,1.014,99.82
97.34,1.014,99.83
97.03,1.015,99.78
97.35,1.013,99.87
97.12,1.016,99.83
97.08,1.016,99.82
97.42,1.014,99.94
97.12,1.016,99.84
97.32,1.014,99.94
97.48,1.014,99.94
97.22,1.014,99.88
97.21,1.014,99.88
97.17,1.015,99.87
96.93,1.017,99.79
97.24,1.016,99.89
97.02,1.015,99.83
96.93,1.015,99.82
97.24,1.015,99.88
97.24,1.015,99.84
96.98,1.017,99.81
97.15,1.015,99.85
97.36,1.013,99.92
97.28,1.014,99.92
97.19,1.014,99.89
97.15,1.015,99.82
97.09,1.016,99.81
97.19,1.015,99.84
97.31,1.014,99.89
97.31,1.016,99.82
97.33,1.017,99.83
97.3,1.015,99.85
97.12,1.013,99.81
97.2,1.014,99.87
97.48,1.013,99.9
97.28,1.015,99.83
97.36,1.013,99.93
97.23,1.014,99.83
97.31,1.014,99.87
97.17,1.015,99.82
97.28,1.012,99.89
97.4,1.014,99.93
97.17,1.014,99.85
97.14,1.015,99.86
97.22,1.016,99.81
97.48,1.015,99.91
97.35,1.015,99.86
97.28,1.015,99.84
97.34,1.013,99.91
97.32,1.014,99.87
97,1.016,99.78
97.23,1.014,99.89
97.02,1.017,99.82
97.21,1.015,99.86
97.16,1.014,99.86
97.4,1.014,99.89
97.27,1.014,99.87
97.38,1.013,99.93
97.43,1.013,99.95
97.23,1.014,99.83
97.28,1.016,99.82
97.31,1.017,99.83
97.46,1.013,99.94
97.19,1.013,99.87
97.05,1.015,99.83
97.43,1.012,99.89
97.25,1.014,99.89
97.1,1.014,99.84
97.53,1.012,99.96
97.43,1.014,99.93
97.36,1.014,99.89
97.17,1.017,99.78
97.4,1.013,99.9
97.02,1.015,99.83
97.18,1.014,99.85
97.4,1.012,99.97
96.99,1.016,99.79
97.23,1.013,99.89
97.15,1.014,99.89
97.39,1.015,99.89
97.54,1.015,99.9
97.28,1.015,99.89
97.24,1.014,99.91
97.19,1.016,99.84
96.99,1.016,99.82
97.46,1.014,99.86
97.3,1.013,99.85
97.39,1.014,99.9
97.46,1.013,99.94
97.51,1.013,99.96
97.35,1.015,99.92
97.41,1.014,99.92
97.45,1.013,99.91
97.11,1.013,99.86
97.32,1.014,99.89
97.29,1.015,99.85
97.42,1.015,99.93
97.44,1.014,99.93
97.38,1.013,99.91
96.9,1.016,99.82
97.39,1.014,99.87
97.45,1.013,99.92
97.44,1.014,99.88
97.45,1.014,99.91
97.59,1.012,99.95
97.4,1.013,99.92
97.28,1.015,99.83
97.4,1.015,99.89
97.22,1.014,99.85
97.39,1.013,99.93
97.33,1.014,99.87
97.11,1.015,99.81
97.34,1.016,99.91
97.43,1.012,99.95
97.56,1.012,99.94
97.49,1.014,99.94
97.28,1.013,99.86
97.28,1.013,99.87
97.14,1.015,99.81
97.3,1.011,99.93
96.96,1.014,99.86
96.85,1.017,99.76
97.23,1.014,99.84
97.48,1.013,99.88
97.28,1.015,99.88
97.55,1.012,99.9
97.42,1.013,99.96
97.27,1.013,99.9
97.38,1.013,99.89
97.36,1.012,99.93
97.36,1.013,99.9
97.3,1.012,99.92
97.44,1.014,99.9
97.44,1.013,99.88
97.08,1.014,99.81
97.19,1.014,99.87
97.3,1.014,99.9
