hERG_IC50,hERG_h,hERG_Bmax
818.1,0.9652,100
817.8,0.966,100
817.8,0.9659,100
817.9,0.9659,100
817.8,0.9659,100
818.4,0.9652,100
817.9,0.9651,100
817.8,0.9656,100
818,0.9658,100
817.9,0.9657,100
818.2,0.9661,100
817.6,0.9656,100
817.8,0.9655,99.99
818.5,0.9659,100
818.3,0.9659,100
817.7,0.9646,99.99
818.2,0.965,100
818.1,0.9652,99.99
818.3,0.9645,100
817.9,0.9645,100
817.9,0.9648,100
819.1,0.9648,100
818.9,0.9651,100
818.8,0.9653,100
818.5,0.9649,100
818.5,0.965,100
818.2,0.9648,100
817.4,0.9648,100
817.6,0.9653,100
819.1,0.9656,100
818.6,0.9663,100
817.8,0.966,100
817.6,0.9656,99.99
817.9,0.9652,100
818.6,0.965,100
818.6,0.9655,100
818.8,0.9655,100
818.2,0.9647,100
818.4,0.9656,100
818.5,0.9651,100
818.6,0.9647,100
819.3,0.9655,100
818.5,0.9661,100
818.6,0.9658,100
818.6,0.9655,100
818.6,0.9657,100
817.8,0.9654,99.99
817.4,0.9658,99.99
818,0.966,99.99
818.3,0.9664,100
818.4,0.9661,100
818.9,0.9654,100
818.4,0.9656,100
817.8,0.9655,100
817.9,0.9654,100
818.1,0.9652,100
817.6,0.9649,100
818.2,0.9654,100
818,0.9654,100
818.4,0.965,100
818,0.9655,100
817.8,0.9652,100
817.9,0.9651,100
818,0.9651,100
818.2,0.9651,100
818.6,0.965,100
818.4,0.9656,100
818.4,0.9646,100
819.4,0.9653,100
818.3,0.965,100
818.6,0.9648,100
818.3,0.9645,100
817.2,0.9645,100
818.1,0.9645,100
817.4,0.965,100
817.8,0.9648,100
818.7,0.9662,100
818.5,0.9657,100
818.2,0.9656,100
819.1,0.9651,100
817.8,0.9645,100
818.1,0.9647,100
818.3,0.9646,100
818.4,0.9651,100
818.6,0.965,100
818.5,0.9653,100
817.1,0.9652,100
817.4,0.966,100
818.6,0.9638,100
818.2,0.9654,100
818.2,0.9649,100
818.4,0.9651,100
817.8,0.9658,100
818,0.9661,100
817.9,0.9654,100
818.3,0.9652,100
818.9,0.9652,100
818.9,0.9647,100
818.3,0.9639,100
817.4,0.9648,100
818.2,0.9656,100
818.2,0.9653,100
818.8,0.9649,100
818.2,0.9651,100
818.3,0.9649,100
817.9,0.9652,100
818.2,0.965,100
818.4,0.9653,100
818.6,0.9649,100
817.3,0.9651,100
818.7,0.9653,100
818.6,0.9651,100
818.3,0.9655,100
818.1,0.9656,100
818.6,0.965,100
818.3,0.9654,100
818.1,0.9654,100
817.7,0.9666,99.99
817.5,0.9648,99.99
817.9,0.9646,99.99
817.6,0.9637,100
817.6,0.9646,100
817.5,0.9655,100
817.7,0.966,100
818.2,0.9666,100
819.4,0.9655,100
817.8,0.9651,100
818.5,0.9651,100
817.7,0.9651,100
818.7,0.9649,100
818.4,0.9654,100
818.7,0.9651,100
818.2,0.9654,100
817.3,0.9656,100
818.4,0.9656,100
818.5,0.9656,100
818.2,0.9657,100
817.5,0.9657,100
818.6,0.9664,100
818.7,0.9658,100
818.4,0.9655,100
818,0.9654,100
