hERG_IC50,hERG_h,hERG_Bmax
68.1,0.6628,99.69
68.07,0.6641,99.74
67.92,0.6623,99.72
67.1,0.6648,99.29
68.52,0.6593,99.87
67.98,0.6609,99.71
66.52,0.6667,99.12
67.51,0.6643,99.46
67.82,0.6626,99.68
68.21,0.6624,99.9
67.6,0.6646,99.59
67.16,0.6652,99.41
67.77,0.6631,99.57
66.83,0.6656,99.21
67.85,0.662,99.66
67.29,0.662,99.48
68,0.6622,99.79
67.05,0.6636,99.31
67.9,0.6623,99.78
68.81,0.6593,99.95
68.29,0.6611,99.77
68.16,0.6616,99.74
68.44,0.6611,99.9
68.49,0.6606,99.87
67.48,0.6635,99.47
68.01,0.6614,99.76
67.86,0.6635,99.69
68.34,0.6614,99.76
68.41,0.66,99.8
68.04,0.6606,99.67
68.17,0.6612,99.71
67.31,0.6624,99.3
67.4,0.6616,99.48
67.46,0.665,99.48
67.75,0.6631,99.59
67.95,0.6613,99.66
67.33,0.6636,99.55
68.31,0.6621,99.89
67.63,0.6641,99.55
68.58,0.6609,99.99
68.15,0.6618,99.78
68.03,0.6615,99.7
68.54,0.661,99.91
66.2,0.6667,98.91
67.42,0.6642,99.61
65.95,0.6669,98.92
67.13,0.6642,99.4
68.31,0.661,99.83
68.17,0.6616,99.79
67.75,0.6625,99.63
67.26,0.6641,99.43
68.37,0.6612,99.84
68.41,0.6622,99.95
67.8,0.663,99.68
67.23,0.6633,99.4
65.71,0.6674,98.71
66.56,0.6655,99.15
68.2,0.6621,99.86
67.82,0.6645,99.58
67.07,0.666,99.41
68.06,0.6613,99.81
68.16,0.6615,99.81
68.31,0.6605,99.89
67.23,0.6651,99.34
67.02,0.665,99.34
67.75,0.6626,99.62
66.9,0.6631,99.27
67.26,0.6626,99.33
66.9,0.6645,99.26
67.79,0.6632,99.59
68.38,0.6611,99.9
68.41,0.6611,99.89
68.17,0.6607,99.79
67.88,0.6626,99.68
67.88,0.6626,99.68
68.29,0.6612,99.8
68.29,0.6612,99.85
67.61,0.6629,99.58
68.2,0.66,99.84
67.87,0.6628,99.7
68.26,0.6604,99.81
68.35,0.6603,99.92
67.38,0.6643,99.42
67.31,0.6634,99.34
68.51,0.662,99.96
67.17,0.6653,99.3
67.38,0.6626,99.52
67.44,0.6637,99.56
67.66,0.6632,99.68
67.91,0.6631,99.72
67.21,0.6637,99.41
66.57,0.6662,99.08
68.15,0.6617,99.74
67.63,0.662,99.64
67.43,0.6626,99.52
