hERG_IC50,hERG_h,hERG_Bmax
5.472,0.987,87.75
5.465,0.9862,87.78
5.472,0.9871,87.78
5.475,0.9874,87.78
5.497,0.9846,87.82
5.469,0.9864,87.81
5.473,0.9858,87.79
5.486,0.9849,87.83
5.456,0.9888,87.71
5.477,0.9871,87.76
5.479,0.9862,87.84
5.478,0.9879,87.8
5.477,0.987,87.79
5.481,0.987,87.82
5.48,0.982,87.84
5.453,0.9886,87.73
5.452,0.9877,87.76
5.473,0.9889,87.74
5.461,0.9889,87.74
5.472,0.9863,87.8
5.475,0.9856,87.79
5.474,0.9857,87.82
5.496,0.9864,87.81
5.474,0.9883,87.77
5.468,0.9864,87.78
5.458,0.9868,87.75
5.473,0.9868,87.75
5.466,0.9863,87.74
5.461,0.9859,87.71
5.479,0.9857,87.82
5.477,0.9856,87.81
5.47,0.9854,87.81
5.471,0.9858,87.79
5.473,0.9882,87.81
5.48,0.9842,87.83
5.463,0.9885,87.71
5.476,0.9843,87.78
5.467,0.9867,87.77
5.475,0.9872,87.8
5.47,0.9859,87.82
5.45,0.9881,87.76
5.466,0.9872,87.77
5.47,0.9861,87.78
5.464,0.9893,87.77
5.474,0.9892,87.75
5.48,0.9862,87.75
5.47,0.9873,87.74
5.468,0.9888,87.75
5.47,0.9875,87.78
5.48,0.987,87.78
5.477,0.9869,87.78
5.464,0.9883,87.75
5.478,0.988,87.74
5.474,0.986,87.79
5.461,0.9881,87.74
5.475,0.9874,87.81
5.486,0.9865,87.79
5.476,0.988,87.76
5.469,0.9882,87.75
5.462,0.988,87.73
5.47,0.9892,87.76
5.46,0.9875,87.73
5.466,0.9884,87.74
5.493,0.9877,87.8
5.484,0.9854,87.78
5.475,0.987,87.8
5.472,0.9879,87.74
5.483,0.9851,87.76
5.479,0.985,87.77
5.474,0.9867,87.79
5.461,0.9867,87.76
5.471,0.9865,87.73
5.462,0.9867,87.76
5.462,0.9858,87.73
5.465,0.9851,87.76
5.466,0.9863,87.7
5.481,0.9846,87.79
5.471,0.9846,87.77
5.483,0.9876,87.8
5.467,0.9871,87.77
5.478,0.9855,87.78
5.473,0.987,87.77
5.462,0.9884,87.73
5.468,0.987,87.76
5.474,0.9873,87.79
5.461,0.9883,87.77
5.486,0.9864,87.82
5.477,0.9892,87.78
5.444,0.9891,87.73
5.472,0.9882,87.74
5.454,0.9888,87.73
5.461,0.9877,87.69
5.467,0.9868,87.76
5.471,0.9885,87.79
5.482,0.9858,87.81
5.479,0.9866,87.8
5.477,0.987,87.77
5.468,0.9869,87.73
5.46,0.9886,87.74
5.453,0.9882,87.69
5.46,0.9867,87.71
5.483,0.984,87.79
5.491,0.9857,87.78
5.482,0.9869,87.79
5.47,0.9859,87.76
5.47,0.9843,87.78
5.482,0.9862,87.76
5.456,0.9862,87.75
5.469,0.9861,87.77
5.475,0.9855,87.78
5.486,0.9867,87.83
5.468,0.9872,87.75
5.477,0.9883,87.8
5.459,0.9867,87.75
5.483,0.988,87.75
5.476,0.9869,87.77
5.486,0.9864,87.8
5.461,0.9883,87.72
5.491,0.9864,87.81
5.479,0.9877,87.83
5.471,0.9891,87.76
5.472,0.9874,87.77
5.471,0.9862,87.82
5.477,0.986,87.79
5.483,0.9875,87.78
5.464,0.9858,87.77
5.479,0.9856,87.82
5.463,0.9877,87.73
5.483,0.987,87.81
5.467,0.9863,87.81
5.484,0.9849,87.84
5.476,0.988,87.8
5.473,0.9848,87.82
5.47,0.9858,87.79
5.472,0.986,87.77
5.479,0.9872,87.79
5.465,0.987,87.8
5.456,0.988,87.74
5.457,0.9891,87.74
5.453,0.9887,87.69
5.455,0.9893,87.69
5.471,0.9891,87.75
5.481,0.987,87.8
5.472,0.9877,87.79
5.484,0.9872,87.75
5.469,0.9866,87.76
5.466,0.9884,87.77
5.47,0.9877,87.74
5.453,0.9856,87.75
5.468,0.9848,87.76
5.482,0.9863,87.79
5.476,0.9857,87.78
5.47,0.9883,87.78
5.482,0.9887,87.77
5.47,0.9857,87.82
5.464,0.9875,87.76
5.471,0.9872,87.78
5.488,0.9867,87.79
5.479,0.9851,87.82
5.478,0.9853,87.79
5.474,0.9871,87.77
5.478,0.9866,87.78
5.475,0.9857,87.82
5.466,0.9889,87.74
5.462,0.9892,87.72
5.472,0.9872,87.72
5.481,0.9858,87.78
5.478,0.9864,87.79
5.473,0.989,87.75
5.467,0.987,87.75
5.479,0.9883,87.74
5.474,0.9872,87.8
5.475,0.9897,87.75
5.471,0.9895,87.73
5.466,0.9877,87.72
5.474,0.9874,87.75
5.462,0.9879,87.7
5.468,0.9883,87.71
5.45,0.9891,87.69
5.452,0.9884,87.72
5.464,0.9867,87.78
5.467,0.9866,87.76
5.474,0.9861,87.81
5.456,0.9856,87.75
5.465,0.9863,87.78
5.472,0.986,87.78
5.477,0.9869,87.78
5.465,0.988,87.75
5.482,0.9865,87.77
5.477,0.9856,87.77
5.462,0.9876,87.73
5.459,0.9879,87.72
5.472,0.9863,87.77
5.467,0.9877,87.76
5.477,0.9882,87.77
5.481,0.9878,87.81
5.474,0.9854,87.81
5.465,0.986,87.77
5.468,0.9857,87.81
5.454,0.985,87.77
5.464,0.9879,87.74
5.466,0.9879,87.74
5.455,0.9894,87.68
5.462,0.9872,87.77
5.466,0.9871,87.75
5.464,0.9882,87.72
5.474,0.9872,87.73
5.481,0.9851,87.77
5.46,0.9853,87.74
5.474,0.9851,87.78
5.464,0.9873,87.75
5.465,0.9871,87.77
5.481,0.9883,87.74
5.479,0.9863,87.78
5.471,0.9868,87.75
5.472,0.988,87.77
5.456,0.9895,87.73
5.471,0.9867,87.78
5.472,0.988,87.74
5.478,0.9885,87.73
5.461,0.9877,87.76
5.487,0.9858,87.79
5.485,0.9858,87.79
5.478,0.9889,87.76
5.465,0.9862,87.75
5.451,0.9885,87.69
5.46,0.9876,87.75
5.484,0.9867,87.74
5.475,0.9855,87.79
5.473,0.986,87.76
5.478,0.9868,87.76
5.486,0.9854,87.79
5.485,0.9857,87.79
5.476,0.9832,87.82
5.468,0.9863,87.76
5.454,0.9874,87.72
5.479,0.9867,87.79
5.471,0.9851,87.8
5.464,0.9875,87.77
5.452,0.9866,87.74
5.464,0.9871,87.76
5.447,0.9898,87.7
5.459,0.9898,87.73
5.46,0.9873,87.78
5.471,0.989,87.75
5.459,0.9879,87.74
5.459,0.9877,87.74
5.472,0.988,87.75
5.459,0.9858,87.76
5.466,0.9867,87.78
5.46,0.9876,87.74
5.472,0.9878,87.76
5.477,0.9862,87.78
5.481,0.9848,87.8
5.483,0.9869,87.8
5.476,0.9858,87.75
5.46,0.9882,87.71
5.467,0.9888,87.71
5.481,0.9887,87.77
5.464,0.9892,87.73
5.457,0.9895,87.73
5.457,0.9889,87.77
5.446,0.9901,87.74
5.458,0.9894,87.74
5.475,0.9863,87.78
5.479,0.9839,87.84
5.47,0.9839,87.81
5.471,0.9845,87.84
5.467,0.9852,87.8
5.469,0.9862,87.8
5.472,0.9865,87.8
5.473,0.9862,87.81
5.458,0.9864,87.71
5.474,0.9865,87.77
5.482,0.9871,87.76
5.467,0.9873,87.76
5.474,0.9879,87.75
5.461,0.9846,87.76
5.475,0.9857,87.77
5.48,0.9843,87.79
5.462,0.9857,87.76
5.484,0.9867,87.83
5.462,0.9883,87.75
5.49,0.9871,87.84
5.455,0.9876,87.75
5.463,0.9887,87.72
5.46,0.987,87.75
