hERG_IC50,hERG_h,hERG_Bmax
6470,0.9338,99.18
6472,0.9325,99.19
6475,0.9316,99.29
6457,0.9327,99.21
6508,0.9315,99.39
6489,0.9324,99.34
6475,0.9321,99.26
6474,0.9334,99.28
6473,0.9334,99.2
6471,0.9328,99.19
6466,0.9326,99.23
6488,0.931,99.27
6487,0.9328,99.34
6500,0.9311,99.3
6475,0.9324,99.19
6480,0.9337,99.21
6480,0.9328,99.24
6469,0.9305,99.26
6457,0.9338,99.17
6475,0.9331,99.22
6487,0.9306,99.29
6462,0.9325,99.26
6493,0.9299,99.33
6452,0.9332,99.18
6456,0.933,99.15
6473,0.9309,99.21
6460,0.9331,99.18
6479,0.9309,99.24
6481,0.9311,99.3
6486,0.9294,99.31
6444,0.9359,99.07
6486,0.9332,99.26
6462,0.9337,99.14
6493,0.9326,99.28
6495,0.932,99.27
6484,0.9318,99.34
6475,0.9305,99.29
6481,0.9311,99.33
6485,0.9343,99.22
6490,0.9335,99.28
6484,0.9316,99.25
6504,0.9308,99.32
6451,0.934,99.12
6496,0.931,99.35
6464,0.9335,99.25
6503,0.9309,99.3
6493,0.9325,99.22
6481,0.9303,99.26
6459,0.9333,99.13
6471,0.935,99.17
6477,0.932,99.23
6473,0.9315,99.24
6485,0.9305,99.32
6459,0.9333,99.21
6475,0.9311,99.21
6472,0.9312,99.21
6476,0.9307,99.27
6457,0.9337,99.2
6502,0.931,99.3
6493,0.9304,99.28
6492,0.9316,99.32
6492,0.9312,99.3
6443,0.9339,99.13
6461,0.9331,99.21
6474,0.9325,99.21
6488,0.9305,99.27
6490,0.9294,99.34
6474,0.9333,99.23
6488,0.9304,99.3
6464,0.9337,99.16
6461,0.934,99.16
6467,0.9331,99.22
6485,0.9335,99.23
6483,0.9314,99.26
6479,0.9343,99.25
6485,0.9327,99.17
6498,0.9308,99.3
6460,0.9337,99.16
6478,0.9328,99.24
6477,0.9324,99.21
6467,0.932,99.24
6460,0.9331,99.21
6476,0.9326,99.25
6473,0.933,99.24
6494,0.9304,99.29
6496,0.9324,99.3
6479,0.9333,99.26
6483,0.9313,99.25
6457,0.9349,99.13
6448,0.9333,99.21
6488,0.9315,99.28
6449,0.9337,99.18
6436,0.936,99.08
6490,0.9313,99.36
6470,0.9347,99.2
6493,0.9345,99.24
6470,0.9331,99.25
6481,0.9322,99.2
6475,0.9336,99.19
6482,0.9301,99.22
6465,0.9361,99.12
6468,0.932,99.21
6460,0.935,99.18
6459,0.9351,99.13
6451,0.9358,99.13
6460,0.9341,99.19
6468,0.9337,99.23
6457,0.9325,99.11
6454,0.9354,99.12
6460,0.9343,99.15
6438,0.9343,99.16
6448,0.9341,99.14
6471,0.9344,99.25
6454,0.9341,99.18
6480,0.932,99.2
6474,0.9336,99.14
6457,0.9334,99.14
6479,0.9325,99.26
6500,0.9289,99.38
6460,0.9342,99.21
6498,0.9309,99.38
6473,0.9328,99.28
6457,0.9327,99.15
6476,0.9328,99.22
6483,0.9326,99.2
6465,0.9322,99.16
6459,0.9344,99.18
6478,0.9326,99.26
6492,0.933,99.29
6455,0.9346,99.19
6503,0.9299,99.36
6471,0.9342,99.2
6452,0.9338,99.16
6487,0.9327,99.24
6470,0.9338,99.21
6482,0.9319,99.27
6477,0.9323,99.28
6486,0.9329,99.29
6475,0.9348,99.19
6462,0.9332,99.26
6488,0.934,99.32
6461,0.9339,99.22
6480,0.9328,99.22
6459,0.935,99.06
6473,0.9339,99.19
6485,0.9309,99.29
6453,0.9333,99.22
6484,0.9309,99.26
6458,0.9323,99.17
6505,0.9321,99.32
6514,0.931,99.35
6488,0.9303,99.32
6473,0.9306,99.21
6473,0.934,99.17
6448,0.935,99.12
6508,0.9323,99.34
6475,0.9329,99.2
6476,0.9332,99.21
6478,0.9332,99.24
6487,0.9328,99.26
6506,0.9302,99.42
6458,0.9324,99.19
6477,0.934,99.2
6452,0.9344,99.11
6460,0.9343,99.1
6468,0.9296,99.25
6470,0.9331,99.21
6503,0.93,99.34
6475,0.9316,99.29
6482,0.9303,99.29
6493,0.9312,99.4
6448,0.9359,99.14
6490,0.9333,99.3
6478,0.9354,99.22
6462,0.9346,99.17
6462,0.9338,99.12
6441,0.9337,99.11
6493,0.9299,99.27
6483,0.9323,99.3
6473,0.933,99.23
6486,0.9329,99.28
6480,0.9335,99.28
6469,0.9329,99.29
6464,0.9338,99.18
6490,0.9314,99.36
6450,0.9336,99.15
6493,0.9307,99.29
6472,0.9301,99.22
6464,0.9329,99.21
6481,0.932,99.29
6478,0.9316,99.23
6470,0.9321,99.12
6461,0.9341,99.17
6460,0.9356,99.15
6482,0.932,99.26
6475,0.933,99.19
6446,0.9348,99.06
6498,0.9305,99.32
6481,0.9318,99.27
