hERG_IC50,hERG_h,hERG_Bmax
20650,0.6758,94.87
20650,0.6755,94.87
20800,0.6724,95.06
20500,0.6782,94.69
20620,0.6762,94.78
20680,0.6746,94.85
20710,0.6745,94.92
20610,0.6748,94.81
20670,0.6754,94.76
20650,0.6749,94.91
20420,0.68,94.57
20540,0.6772,94.63
20610,0.6763,94.76
20490,0.679,94.62
20530,0.677,94.72
20710,0.6756,94.84
20670,0.6749,94.88
20600,0.6747,94.85
20800,0.6722,94.94
20680,0.6758,94.83
20770,0.6752,94.92
20590,0.6753,94.79
20580,0.6765,94.73
20730,0.6754,94.92
20820,0.6746,94.91
20700,0.6751,94.85
20630,0.6748,94.86
20810,0.6739,94.97
20730,0.6733,94.92
20560,0.6764,94.76
20530,0.6781,94.67
20710,0.6756,94.85
20590,0.6758,94.78
20590,0.6762,94.82
20710,0.6747,94.88
20580,0.6767,94.72
20730,0.6763,94.87
20760,0.6759,94.96
20610,0.6762,94.79
20620,0.6748,94.76
20700,0.6751,94.84
20560,0.6765,94.72
20630,0.6764,94.76
20810,0.6749,94.99
20660,0.6755,94.77
20740,0.6747,94.88
20520,0.6779,94.69
20730,0.6752,94.91
20670,0.6746,94.86
20650,0.6751,94.81
20670,0.675,94.84
20750,0.6749,94.88
20710,0.6752,94.85
20680,0.6744,94.88
20630,0.6763,94.76
20680,0.6759,94.86
20630,0.6753,94.8
20620,0.6776,94.74
20600,0.6773,94.72
20510,0.6772,94.68
20780,0.674,95.02
20780,0.6743,94.98
20860,0.6739,95.05
20780,0.6744,94.9
20680,0.6744,94.9
20640,0.6751,94.83
20650,0.6747,94.83
20600,0.6769,94.74
20720,0.675,94.89
20740,0.6744,94.94
20610,0.6775,94.76
20490,0.6787,94.53
20710,0.6756,94.84
20650,0.6757,94.83
20620,0.6752,94.8
20770,0.6744,94.89
20690,0.6758,94.84
20660,0.6754,94.81
20580,0.6755,94.73
20740,0.674,94.92
20710,0.6746,94.87
20740,0.6746,94.91
20660,0.6752,94.87
20530,0.6771,94.69
20600,0.6764,94.78
20590,0.6771,94.72
20590,0.675,94.74
20550,0.6775,94.72
20750,0.6753,94.89
20570,0.6753,94.79
20690,0.6753,94.88
20790,0.6742,94.93
20790,0.6727,95.05
20490,0.6766,94.69
20660,0.674,94.84
20480,0.6759,94.68
20590,0.6756,94.8
20640,0.6749,94.82
20610,0.6756,94.8
20580,0.6768,94.73
20660,0.6761,94.79
20580,0.6771,94.71
20550,0.6771,94.66
20730,0.6742,94.89
20620,0.6752,94.84
20670,0.6752,94.82
20580,0.6756,94.73
20680,0.6764,94.8
20760,0.6747,94.93
20570,0.677,94.76
20670,0.6752,94.78
20610,0.6767,94.77
20620,0.6765,94.75
20680,0.6764,94.78
20540,0.6768,94.68
20760,0.6739,94.93
20470,0.6771,94.61
20670,0.6756,94.83
20620,0.6747,94.8
20680,0.6742,94.88
20620,0.6748,94.9
20730,0.6741,94.94
20620,0.6756,94.78
20580,0.675,94.76
20640,0.6755,94.85
20610,0.677,94.78
20650,0.6754,94.82
20690,0.6762,94.87
20620,0.6769,94.79
20620,0.676,94.78
20680,0.6755,94.84
20580,0.6763,94.7
20640,0.6762,94.8
20470,0.6779,94.65
20600,0.6769,94.74
20820,0.6738,94.98
20810,0.674,94.94
20740,0.6749,94.92
20590,0.6762,94.8
20730,0.675,94.87
20670,0.675,94.81
20700,0.6741,94.88
20630,0.6748,94.78
20560,0.677,94.75
20510,0.6778,94.66
20480,0.6787,94.63
20600,0.6774,94.75
20710,0.6756,94.84
20680,0.6757,94.87
20760,0.6744,94.94
20830,0.6741,94.97
20840,0.673,94.98
20600,0.6775,94.71
20610,0.6769,94.82
20470,0.6792,94.58
20740,0.6755,94.9
20530,0.6773,94.67
20470,0.6785,94.59
20720,0.6752,94.82
20880,0.6735,95
20600,0.6759,94.79
20590,0.677,94.76
20660,0.6757,94.83
20620,0.6775,94.74
20540,0.6776,94.65
20440,0.6774,94.61
20560,0.6757,94.76
20590,0.6764,94.74
20580,0.6765,94.73
20690,0.6744,94.87
20610,0.6762,94.74
20550,0.6776,94.68
20550,0.677,94.69
20750,0.6742,94.93
20600,0.6767,94.77
20610,0.6756,94.78
20600,0.6752,94.81
20740,0.6746,94.9
20700,0.6735,94.89
20670,0.6746,94.89
20750,0.6746,94.96
20690,0.6749,94.87
20660,0.6754,94.84
20590,0.6772,94.75
20700,0.6732,94.89
20630,0.6756,94.79
20690,0.676,94.86
20710,0.6745,94.85
20740,0.6737,94.95
20580,0.6777,94.74
20760,0.6744,94.9
20740,0.675,94.9
20640,0.6752,94.81
20660,0.6748,94.91
20710,0.6742,94.87
20760,0.6759,94.85
20580,0.6768,94.7
20630,0.6755,94.75
20670,0.6747,94.88
20570,0.6765,94.66
20640,0.6753,94.75
20750,0.6753,94.9
20660,0.6759,94.8
20730,0.6744,94.83
20810,0.6741,94.96
20550,0.6758,94.68
20620,0.6751,94.74
20540,0.6768,94.74
20640,0.6751,94.85
20690,0.6747,94.86
20700,0.6759,94.88
20610,0.6774,94.77
20690,0.6764,94.81
20590,0.6771,94.77
20590,0.6753,94.76
20540,0.677,94.74
20560,0.6765,94.75
20620,0.6757,94.77
20570,0.6781,94.75
20800,0.6749,95.03
20740,0.6752,94.83
20850,0.6736,95.01
20690,0.6748,94.89
20640,0.6759,94.84
20650,0.6755,94.82
20650,0.6777,94.76
20520,0.6782,94.62
20580,0.6779,94.68
20560,0.6754,94.75
20490,0.6772,94.65
20730,0.6762,94.87
20780,0.675,94.94
20830,0.6742,95.04
20800,0.6739,94.92
20790,0.674,94.98
20740,0.6735,94.93
20540,0.6766,94.69
20820,0.6754,94.93
20680,0.6755,94.87
20580,0.6748,94.77
20720,0.6762,94.89
20720,0.6743,94.95
20650,0.6738,94.81
20470,0.6759,94.68
20580,0.6756,94.81
20630,0.6769,94.8
20560,0.6773,94.77
20690,0.6754,94.88
20760,0.6741,94.92
20750,0.675,94.82
20630,0.6776,94.71
20740,0.6767,94.9
20870,0.6742,94.95
