hERG_IC50,hERG_h,hERG_Bmax
368600,0.8599,70.13
366800,0.8664,70.09
367400,0.8637,70.13
367600,0.8637,70.09
367700,0.8632,70.1
367300,0.865,70.07
367700,0.8634,70.08
367900,0.8621,70.12
367200,0.8646,70.11
368200,0.8612,70.11
367700,0.8635,70.09
367600,0.8642,70.07
367400,0.8648,70.07
367400,0.865,70.05
367600,0.864,70.07
367400,0.8647,70.08
368100,0.8615,70.13
367400,0.8642,70.1
367300,0.8651,70.07
365800,0.8703,70.03
367700,0.8629,70.11
368200,0.8616,70.09
367400,0.8642,70.09
367200,0.865,70.08
367400,0.8647,70.06
366800,0.8668,70.05
367100,0.8655,70.07
369100,0.8581,70.14
366800,0.8666,70.07
368000,0.8622,70.11
367900,0.8626,70.1
367100,0.866,70.04
366400,0.8686,70.03
365400,0.8714,70.04
367000,0.8658,70.07
367100,0.8655,70.07
367700,0.8631,70.1
368000,0.8621,70.11
367800,0.8623,70.13
367800,0.8623,70.14
367400,0.8638,70.12
367100,0.8654,70.09
367800,0.8634,70.08
367600,0.8644,70.05
367100,0.8661,70.04
367600,0.8637,70.09
367800,0.8635,70.07
367800,0.8628,70.09
366500,0.8682,70.03
367500,0.864,70.09
367900,0.8624,70.11
367100,0.8653,70.09
366600,0.8661,70.13
366500,0.8674,70.08
367100,0.865,70.09
368100,0.8612,70.13
367700,0.8632,70.09
367400,0.8652,70.04
367300,0.8646,70.08
368400,0.8605,70.13
367100,0.8652,70.1
367100,0.8656,70.07
366500,0.8673,70.08
366700,0.8671,70.05
368700,0.8595,70.14
367200,0.8644,70.11
367900,0.8625,70.11
367600,0.8632,70.12
367200,0.8637,70.17
369400,0.8567,70.16
369200,0.8576,70.15
366900,0.866,70.09
368200,0.8616,70.11
367900,0.862,70.14
367600,0.8634,70.1
367600,0.8632,70.12
366600,0.8675,70.05
368100,0.8624,70.08
367600,0.8637,70.09
366800,0.8664,70.09
367800,0.8623,70.13
367000,0.8652,70.11
366900,0.866,70.07
367000,0.8659,70.07
367200,0.8656,70.06
366700,0.8657,70.12
367100,0.8649,70.11
368000,0.862,70.12
368400,0.86,70.16
367400,0.8639,70.11
367800,0.862,70.14
367100,0.8653,70.09
367500,0.8643,70.07
367700,0.8637,70.08
367800,0.8622,70.14
367500,0.8631,70.14
367700,0.8623,70.15
366200,0.8684,70.06
367100,0.8656,70.07
367900,0.8629,70.09
367300,0.8649,70.07
367500,0.8634,70.12
368000,0.862,70.11
366800,0.8667,70.06
367400,0.8639,70.12
367300,0.8642,70.12
367500,0.8644,70.07
367300,0.8652,70.06
366900,0.8657,70.09
368100,0.8619,70.11
367000,0.8653,70.11
366800,0.8666,70.06
368100,0.8617,70.11
367500,0.8644,70.07
367400,0.8645,70.07
367400,0.864,70.1
367300,0.8644,70.1
367100,0.8652,70.1
367500,0.8635,70.11
365900,0.8693,70.07
367600,0.8638,70.09
366700,0.8666,70.09
367900,0.8629,70.09
367500,0.8637,70.11
366600,0.867,70.07
367000,0.8648,70.13
368100,0.8615,70.12
366400,0.8687,70.02
366500,0.8682,70.04
367300,0.8652,70.06
366500,0.8676,70.07
368400,0.8602,70.14
366600,0.8668,70.09
368300,0.8616,70.09
367100,0.8656,70.07
367400,0.8642,70.1
366200,0.8688,70.05
367000,0.8657,70.08
367600,0.8632,70.12
366700,0.8668,70.07
367800,0.8632,70.08
366900,0.8657,70.09
366000,0.8695,70.04
367400,0.8647,70.07
368200,0.8609,70.14
367100,0.8644,70.13
368300,0.8605,70.15
367000,0.8652,70.11
368100,0.8612,70.15
367300,0.8652,70.06
368000,0.8629,70.06
366500,0.8675,70.06
367900,0.8627,70.09
367900,0.8623,70.1
368700,0.8594,70.13
366800,0.8665,70.08
367600,0.8641,70.08
366800,0.8669,70.05
367900,0.8619,70.13
368100,0.8618,70.1
368400,0.8601,70.14
367100,0.8652,70.09
366800,0.866,70.1
368200,0.861,70.13
368400,0.8601,70.16
368000,0.8614,70.14
367800,0.8617,70.16
368000,0.8629,70.07
366500,0.8683,70.02
368400,0.8607,70.11
367400,0.8636,70.12
368000,0.8615,70.14
368100,0.8609,70.15
366900,0.8663,70.07
367400,0.8638,70.12
367800,0.8625,70.13
367400,0.8632,70.15
367300,0.8636,70.15
368500,0.8599,70.15
367800,0.863,70.1
367600,0.8634,70.11
367400,0.8636,70.12
367400,0.8638,70.11
366900,0.8657,70.09
368100,0.8611,70.14
367400,0.8637,70.12
366900,0.8661,70.08
368400,0.8604,70.13
367800,0.8622,70.14
367100,0.8658,70.06
368400,0.8598,70.16
369200,0.8576,70.15
367400,0.8649,70.06
367000,0.8665,70.04
367500,0.8641,70.08
368100,0.862,70.1
366700,0.867,70.07
368500,0.8606,70.11
367600,0.8638,70.08
367200,0.8649,70.09
367500,0.8637,70.1
368100,0.8623,70.08
366700,0.8668,70.07
367900,0.8628,70.09
366400,0.8681,70.05
366800,0.8675,70.02
368200,0.8619,70.08
367100,0.8661,70.05
367800,0.863,70.09
367500,0.8639,70.1
367400,0.8641,70.11
367200,0.8641,70.13
368800,0.8595,70.12
367100,0.8657,70.07
367300,0.8654,70.06
367500,0.8635,70.11
367700,0.8632,70.1
367000,0.8654,70.1
368100,0.8629,70.05
368200,0.8619,70.09
367400,0.8634,70.14
367100,0.8651,70.11
367300,0.8638,70.14
368400,0.8603,70.14
366800,0.8653,70.13
367300,0.8637,70.14
368500,0.8593,70.17
367400,0.8646,70.08
367600,0.8636,70.09
366600,0.8674,70.07
367400,0.8643,70.1
367200,0.8656,70.05
367600,0.8638,70.08
366200,0.8691,70.03
367700,0.8639,70.06
367400,0.8642,70.1
368400,0.8606,70.12
367700,0.8633,70.1
368600,0.8599,70.12
