hERG_IC50,hERG_h,hERG_Bmax
1.577,0.5883,76.93
1.555,0.5878,76.85
1.552,0.5928,76.77
1.553,0.5932,76.78
1.552,0.5965,76.62
1.556,0.5945,76.69
1.554,0.5944,76.76
1.561,0.5937,76.7
1.548,0.5939,76.68
1.539,0.5981,76.54
1.552,0.5936,76.66
1.563,0.5921,76.71
1.56,0.588,76.85
1.558,0.5906,76.84
1.556,0.5919,76.78
1.564,0.5915,76.76
1.557,0.5912,76.78
1.568,0.5934,76.82
1.556,0.5924,76.84
1.554,0.5918,76.73
1.545,0.594,76.68
1.559,0.5955,76.75
1.545,0.5911,76.76
1.536,0.5959,76.67
1.545,0.5935,76.82
1.539,0.5945,76.77
1.551,0.5918,76.83
1.541,0.5959,76.73
1.542,0.5977,76.6
1.574,0.5847,77.03
1.554,0.5887,76.9
1.564,0.5879,76.82
1.578,0.5877,76.84
1.563,0.5941,76.74
1.568,0.5909,76.85
1.563,0.5946,76.69
1.539,0.5941,76.63
1.528,0.5929,76.58
1.557,0.5886,76.81
1.544,0.597,76.69
1.54,0.5918,76.67
1.565,0.5897,76.88
1.562,0.5941,76.82
1.542,0.5941,76.77
1.534,0.5943,76.77
1.517,0.5922,76.65
1.527,0.5933,76.62
1.529,0.5951,76.62
1.531,0.5952,76.64
1.558,0.5912,76.8
1.558,0.5898,76.82
1.556,0.5934,76.77
1.541,0.5966,76.56
1.567,0.5925,76.7
1.561,0.5913,76.68
1.578,0.593,76.8
1.562,0.5977,76.61
1.574,0.5932,76.84
1.57,0.5917,76.83
1.543,0.5956,76.58
1.563,0.5921,76.79
1.551,0.5953,76.68
1.559,0.5956,76.74
1.589,0.587,76.88
1.563,0.5943,76.67
1.56,0.5942,76.64
1.564,0.5914,76.78
1.591,0.5903,76.87
1.559,0.5928,76.64
1.582,0.5914,76.95
1.579,0.5943,76.81
1.569,0.5937,76.75
1.58,0.5885,76.8
1.562,0.5879,76.91
1.56,0.5912,76.83
1.562,0.593,76.87
1.568,0.5938,76.82
1.563,0.5914,76.8
1.569,0.5913,76.86
1.556,0.5943,76.69
1.535,0.5926,76.72
1.58,0.5922,76.86
1.566,0.5927,76.7
1.577,0.5902,76.91
1.541,0.592,76.74
1.563,0.5908,76.79
1.578,0.5915,76.83
1.556,0.5926,76.72
1.562,0.5918,76.88
1.546,0.5938,76.71
1.544,0.5941,76.67
1.571,0.595,76.75
1.532,0.5944,76.61
1.539,0.5956,76.62
1.561,0.5929,76.73
1.558,0.5952,76.77
1.549,0.5915,76.68
1.56,0.5938,76.79
1.55,0.5945,76.73
1.548,0.5961,76.71
1.568,0.5911,76.73
1.574,0.5878,76.89
1.547,0.5966,76.68
1.56,0.593,76.8
1.548,0.592,76.76
1.554,0.5916,76.81
1.551,0.5921,76.77
1.542,0.5909,76.71
1.572,0.594,76.69
1.556,0.593,76.67
1.554,0.5953,76.63
1.547,0.595,76.63
1.544,0.5955,76.64
1.551,0.5943,76.68
1.573,0.593,76.77
1.579,0.5908,76.88
1.54,0.5914,76.62
1.542,0.5943,76.6
1.523,0.5967,76.58
1.531,0.594,76.65
1.55,0.5923,76.75
1.544,0.5909,76.69
1.579,0.5936,76.82
1.573,0.5924,76.73
1.555,0.5928,76.6
1.564,0.5918,76.75
1.551,0.5924,76.77
1.551,0.5964,76.65
1.568,0.5919,76.9
1.556,0.5942,76.8
1.538,0.5923,76.75
1.552,0.5941,76.75
1.56,0.5934,76.83
1.539,0.596,76.67
1.545,0.5943,76.66
1.569,0.5898,76.8
1.548,0.5942,76.67
1.557,0.5924,76.77
1.544,0.5972,76.64
1.56,0.5929,76.75
1.59,0.5895,76.85
1.568,0.5941,76.67
1.552,0.5948,76.65
1.559,0.5916,76.82
1.567,0.5916,76.92
1.565,0.5892,76.86
1.56,0.5889,76.82
1.558,0.593,76.74
1.562,0.593,76.87
1.582,0.5892,76.94
1.568,0.5922,76.74
1.564,0.5874,76.78
1.562,0.5926,76.74
1.54,0.5902,76.76
1.548,0.5935,76.72
1.557,0.5943,76.69
1.522,0.5969,76.56
1.55,0.5913,76.71
1.563,0.5908,76.84
1.557,0.593,76.81
1.554,0.5916,76.67
1.559,0.5915,76.68
1.587,0.5896,76.86
1.572,0.5929,76.85
1.558,0.5947,76.82
1.557,0.5914,76.79
1.529,0.5933,76.67
1.536,0.5918,76.7
1.555,0.5927,76.68
1.563,0.5911,76.76
1.556,0.5947,76.8
1.569,0.5909,76.84
1.548,0.5914,76.79
1.569,0.5906,76.72
1.577,0.5908,76.8
1.542,0.5922,76.69
1.547,0.5949,76.62
1.586,0.5873,76.89
1.581,0.589,76.85
1.58,0.5884,76.8
1.565,0.5937,76.86
1.592,0.5884,77.03
1.568,0.5924,76.84
1.582,0.5899,76.94
1.567,0.5944,76.82
1.567,0.5937,76.87
1.565,0.5914,76.85
1.553,0.5911,76.71
1.553,0.5919,76.69
1.56,0.5904,76.73
1.585,0.59,76.82
1.55,0.5964,76.73
1.566,0.5927,76.71
1.568,0.593,76.96
1.581,0.5942,76.83
1.568,0.5901,76.85
1.558,0.5937,76.8
1.555,0.591,76.76
1.561,0.5935,76.8
1.561,0.5931,76.86
1.56,0.5909,76.87
1.568,0.5959,76.78
1.559,0.5954,76.66
1.557,0.5936,76.62
1.583,0.5932,76.77
1.544,0.5944,76.66
1.544,0.5919,76.72
1.53,0.5919,76.63
1.556,0.5996,76.64
1.563,0.5958,76.71
1.562,0.5938,76.68
1.551,0.6,76.63
1.552,0.5958,76.71
1.563,0.5935,76.81
1.556,0.5945,76.81
1.554,0.5934,76.75
1.577,0.5952,76.76
1.578,0.5899,76.9
1.564,0.589,76.91
1.564,0.5897,76.92
1.568,0.5948,76.81
1.583,0.5943,76.83
1.577,0.5936,76.76
1.566,0.5941,76.88
1.565,0.5912,76.85
1.557,0.593,76.79
1.566,0.5958,76.75
1.566,0.5929,76.82
1.555,0.5922,76.69
1.594,0.5889,76.86
1.577,0.5894,76.94
1.559,0.596,76.67
1.552,0.5898,76.73
1.583,0.5886,76.84
1.579,0.5896,76.89
1.572,0.594,76.75
1.557,0.5924,76.66
1.579,0.5898,76.79
1.589,0.5875,76.9
1.576,0.5892,76.81
1.581,0.5891,76.77
1.573,0.5926,76.7
1.57,0.5908,76.82
1.555,0.5917,76.74
1.545,0.5922,76.69
1.559,0.5902,76.83
1.553,0.5905,76.83
1.576,0.593,76.85
1.591,0.5898,76.9
1.563,0.5953,76.71
1.585,0.5913,76.89
1.56,0.5947,76.75
1.585,0.593,76.87
1.577,0.5916,76.85
1.539,0.5951,76.66
1.554,0.5912,76.92
1.572,0.5957,76.71
1.582,0.5919,76.88
1.555,0.5942,76.78
1.556,0.597,76.57
1.561,0.5927,76.71
1.551,0.5928,76.66
1.539,0.5931,76.78
1.534,0.5929,76.8
1.564,0.5936,76.79
1.575,0.5876,77.02
1.57,0.5943,76.83
1.544,0.5954,76.65
1.559,0.591,76.84
1.547,0.5934,76.78
1.549,0.5936,76.75
1.553,0.5939,76.7
1.547,0.5928,76.74
1.544,0.5928,76.75
1.558,0.5943,76.67
1.547,0.5955,76.64
1.532,0.5951,76.66
1.563,0.5929,76.8
1.56,0.5936,76.77
1.564,0.5935,76.72
1.551,0.5923,76.78
1.531,0.5922,76.64
1.575,0.5881,76.96
1.577,0.5932,76.83
1.552,0.5929,76.67
1.559,0.5929,76.73
1.56,0.5924,76.68
1.564,0.591,76.88
1.559,0.5922,76.84
1.575,0.5908,76.93
1.557,0.5916,76.8
1.55,0.5956,76.67
1.55,0.594,76.71
1.546,0.5981,76.67
1.556,0.5949,76.71
1.569,0.5943,76.76
1.539,0.5932,76.66
1.575,0.5934,76.85
1.584,0.5903,76.95
1.571,0.5943,76.78
1.568,0.5915,76.79
1.573,0.5874,76.93
1.562,0.5918,76.79
1.544,0.5948,76.75
1.531,0.5928,76.68
1.545,0.5961,76.69
1.572,0.592,76.86
1.572,0.5918,76.85
1.537,0.5928,76.69
1.547,0.5908,76.67
1.561,0.5947,76.73
1.553,0.591,76.75
1.549,0.5913,76.78
1.574,0.5891,76.83
1.543,0.5929,76.79
1.568,0.5874,76.88
1.564,0.5859,76.76
1.555,0.5941,76.66
1.55,0.5949,76.68
1.545,0.5934,76.7
1.548,0.5948,76.69
1.578,0.592,76.8
1.55,0.5931,76.64
1.562,0.5946,76.72
1.554,0.5899,76.81
1.541,0.5929,76.75
1.575,0.5926,76.81
1.603,0.5867,77.03
1.567,0.5902,76.81
1.552,0.5906,76.72
1.577,0.5889,76.94
1.575,0.59,76.89
1.58,0.5895,76.87
1.562,0.5956,76.72
1.553,0.5943,76.65
1.563,0.5879,76.82
1.574,0.5911,76.91
1.564,0.5918,76.93
1.556,0.5914,76.74
1.559,0.5942,76.71
1.53,0.5969,76.62
1.539,0.5935,76.61
1.545,0.5939,76.71
1.568,0.5933,76.82
1.56,0.5928,76.91
1.548,0.5939,76.62
1.543,0.5945,76.59
1.541,0.5938,76.66
1.55,0.5913,76.79
1.528,0.5971,76.67
1.525,0.595,76.56
1.553,0.5931,76.65
1.572,0.5911,76.78
1.571,0.5953,76.82
1.564,0.5924,76.78
1.555,0.5938,76.75
1.556,0.5948,76.78
1.576,0.5948,76.75
1.571,0.5924,76.73
1.573,0.5915,76.77
1.558,0.5903,76.83
1.541,0.5939,76.7
1.57,0.5905,76.84
1.547,0.5889,76.77
1.552,0.592,76.78
1.562,0.5893,76.82
1.583,0.5872,76.92
1.564,0.5912,76.84
1.569,0.5874,76.94
1.588,0.5924,76.82
1.582,0.5896,76.83
1.537,0.5955,76.59
1.539,0.5884,76.67
1.55,0.5977,76.63
1.541,0.5938,76.65
1.54,0.597,76.61
1.569,0.5937,76.82
1.546,0.5966,76.64
1.555,0.5915,76.76
1.561,0.5925,76.68
1.575,0.5925,76.73
1.554,0.5949,76.7
1.55,0.5946,76.73
1.559,0.5948,76.68
1.608,0.5894,76.92
1.531,0.5947,76.66
1.543,0.5949,76.69
1.573,0.5944,76.74
1.556,0.5941,76.69
1.57,0.5899,76.78
1.558,0.5908,76.87
1.558,0.5914,76.7
1.583,0.5896,76.89
1.572,0.5914,76.77
1.55,0.5925,76.83
1.566,0.5906,76.89
1.543,0.5899,76.8
1.557,0.5921,76.86
1.542,0.592,76.76
1.537,0.5948,76.62
1.557,0.5946,76.81
1.581,0.5897,76.98
1.575,0.5895,76.97
1.587,0.5921,76.93
1.544,0.5925,76.76
1.548,0.5933,76.75
1.53,0.5932,76.68
1.548,0.5891,76.78
1.56,0.587,76.87
1.54,0.5933,76.66
1.542,0.5909,76.7
1.539,0.5947,76.74
1.554,0.5935,76.77
1.564,0.5919,76.77
1.564,0.5946,76.81
1.556,0.5941,76.68
1.542,0.5947,76.56
1.554,0.5913,76.77
1.544,0.5966,76.57
1.549,0.5928,76.66
1.564,0.5949,76.8
1.562,0.5956,76.75
1.533,0.5906,76.75
1.564,0.592,76.79
1.572,0.5896,76.79
1.575,0.5911,76.88
1.555,0.5911,76.73
1.573,0.5949,76.72
1.571,0.5951,76.7
1.564,0.5924,76.7
1.571,0.5923,76.76
1.534,0.5896,76.71
1.563,0.5931,76.79
1.565,0.5897,76.8
1.54,0.593,76.63
1.535,0.5946,76.68
1.526,0.5952,76.69
1.556,0.5899,76.73
1.538,0.5936,76.69
1.543,0.5921,76.62
1.583,0.5959,76.82
1.592,0.5895,76.92
1.581,0.5946,76.76
1.554,0.5917,76.65
1.567,0.5903,76.82
1.554,0.5939,76.75
1.548,0.5894,76.78
1.573,0.587,76.89
1.566,0.5929,76.84
1.576,0.5906,76.83
1.54,0.5963,76.79
1.529,0.5925,76.68
1.56,0.5922,76.76
1.573,0.5963,76.78
1.541,0.5968,76.65
1.542,0.5999,76.55
1.557,0.5987,76.67
1.555,0.5955,76.69
1.545,0.5957,76.7
1.555,0.5945,76.78
1.595,0.5911,76.99
1.586,0.5907,76.87
1.544,0.5933,76.76
1.548,0.5919,76.74
1.556,0.5891,76.78
1.561,0.5943,76.72
1.554,0.593,76.82
1.567,0.5935,76.84
1.565,0.591,76.84
1.554,0.5939,76.77
1.552,0.5919,76.79
1.565,0.589,76.76
1.54,0.593,76.68
1.551,0.5955,76.69
1.542,0.5924,76.61
1.553,0.5914,76.77
1.57,0.5901,76.78
1.572,0.5931,76.83
1.561,0.5946,76.8
1.551,0.5922,76.83
1.536,0.5967,76.67
1.532,0.5928,76.62
1.535,0.5949,76.65
1.552,0.5887,76.83
1.578,0.5869,76.95
1.579,0.5935,76.88
1.563,0.5947,76.82
1.534,0.5991,76.51
1.538,0.596,76.57
1.536,0.5967,76.72
1.538,0.5948,76.62
1.537,0.5997,76.51
1.553,0.5935,76.73
1.55,0.5906,76.77
1.571,0.5893,76.87
1.572,0.5935,76.74
1.574,0.5946,76.78
1.555,0.5917,76.84
1.546,0.5992,76.64
1.557,0.5926,76.87
1.543,0.5952,76.6
1.548,0.5904,76.67
1.576,0.592,76.76
1.552,0.5901,76.69
1.563,0.5914,76.66
1.592,0.589,76.98
1.559,0.5927,76.8
1.542,0.5907,76.67
1.543,0.5915,76.71
1.564,0.594,76.66
1.555,0.595,76.69
1.572,0.5943,76.84
1.554,0.5898,76.75
1.576,0.5919,76.76
1.555,0.5953,76.71
1.521,0.5968,76.59
1.541,0.5921,76.61
1.545,0.5954,76.6
1.571,0.5931,76.74
1.57,0.5927,76.78
1.552,0.5919,76.78
1.544,0.5973,76.7
1.553,0.5964,76.63
1.54,0.5933,76.74
1.531,0.596,76.63
1.558,0.5902,76.88
1.562,0.5947,76.77
1.558,0.594,76.77
1.548,0.5909,76.81
1.559,0.5904,76.86
1.539,0.5953,76.58
1.541,0.5959,76.71
1.57,0.5903,76.87
1.567,0.5941,76.82
1.568,0.5891,76.87
1.559,0.5928,76.75
1.562,0.5964,76.84
1.568,0.5965,76.7
1.558,0.5906,76.83
1.566,0.5863,76.83
1.541,0.5962,76.61
1.566,0.5952,76.73
1.536,0.5943,76.56
1.545,0.5972,76.71
1.555,0.5947,76.64
1.572,0.5901,76.73
1.551,0.6012,76.64
1.554,0.5973,76.61
1.552,0.5943,76.66
1.568,0.5934,76.77
1.575,0.5923,76.84
1.572,0.5914,76.79
1.557,0.5946,76.81
1.563,0.5948,76.84
1.543,0.5967,76.69
1.543,0.5911,76.68
1.564,0.5901,76.84
1.539,0.5921,76.71
1.539,0.5954,76.63
1.535,0.5931,76.75
1.548,0.5955,76.7
1.542,0.5934,76.67
1.551,0.5933,76.77
1.553,0.5949,76.78
1.556,0.596,76.62
1.539,0.5931,76.73
1.548,0.5936,76.79
1.538,0.592,76.62
1.55,0.5972,76.63
1.539,0.5928,76.63
1.584,0.5856,77.01
1.548,0.5898,76.93
1.551,0.5948,76.77
1.564,0.5909,76.83
1.559,0.5917,76.71
1.569,0.5906,76.79
1.558,0.5919,76.79
1.578,0.5876,76.94
1.553,0.5927,76.71
1.556,0.5923,76.77
1.571,0.5866,76.87
1.535,0.597,76.61
1.56,0.5938,76.69
1.559,0.5969,76.73
1.566,0.589,76.81
1.543,0.5957,76.61
1.542,0.5948,76.67
1.562,0.5917,76.79
1.539,0.5974,76.61
1.572,0.5899,76.92
1.557,0.5896,76.79
1.543,0.5958,76.62
1.54,0.5947,76.65
1.545,0.5944,76.58
1.562,0.5931,76.74
1.538,0.5915,76.62
1.549,0.5958,76.74
1.562,0.5894,76.8
1.545,0.5941,76.69
1.543,0.5952,76.72
1.549,0.5949,76.71
1.548,0.5938,76.71
1.566,0.5914,76.87
1.533,0.5927,76.75
1.568,0.5906,76.78
1.575,0.5879,76.98
1.562,0.5905,76.85
1.543,0.5897,76.76
1.567,0.5918,76.69
1.554,0.592,76.81
1.553,0.5906,76.76
1.566,0.5951,76.79
