hERG_IC50,hERG_h,hERG_Bmax
7579,0.9563,93.58
7584,0.956,93.55
7564,0.9558,93.55
7585,0.9562,93.59
7575,0.9565,93.58
7563,0.9571,93.59
7581,0.9552,93.59
7572,0.9566,93.53
7568,0.9576,93.55
7561,0.9593,93.53
7559,0.9585,93.49
7556,0.957,93.54
7564,0.9567,93.53
7567,0.9565,93.57
7560,0.9565,93.52
7565,0.9564,93.53
7563,0.9573,93.52
7574,0.9573,93.52
7562,0.9578,93.55
7552,0.9592,93.48
7580,0.956,93.58
7579,0.9559,93.57
7580,0.9576,93.53
7578,0.9558,93.6
7562,0.9569,93.53
7575,0.9564,93.55
7554,0.9569,93.51
7574,0.9576,93.52
7581,0.955,93.59
7588,0.956,93.6
7585,0.9561,93.59
7559,0.9562,93.56
7584,0.9576,93.52
7574,0.957,93.54
7579,0.9563,93.53
7569,0.9578,93.54
7563,0.9587,93.53
7575,0.9547,93.6
7583,0.9571,93.59
7584,0.9566,93.59
7584,0.9586,93.58
7590,0.9545,93.65
7590,0.954,93.6
7584,0.9551,93.57
7576,0.955,93.57
7568,0.9556,93.52
7577,0.9563,93.53
7573,0.9572,93.55
7571,0.9574,93.53
7570,0.9566,93.56
7570,0.9566,93.54
7580,0.9566,93.57
7565,0.9577,93.53
7579,0.9576,93.56
7552,0.9567,93.5
7593,0.9552,93.63
7560,0.9566,93.53
7583,0.9563,93.55
7563,0.9575,93.51
7569,0.958,93.55
7577,0.9558,93.58
7563,0.9567,93.55
7550,0.9573,93.5
7578,0.9579,93.58
7566,0.9562,93.55
7581,0.9557,93.58
7580,0.9565,93.55
7580,0.9565,93.59
7570,0.9567,93.58
7563,0.9577,93.53
7563,0.9562,93.59
7574,0.9574,93.59
7562,0.9569,93.55
7555,0.9561,93.53
7566,0.9578,93.56
7573,0.9565,93.56
7576,0.9566,93.57
7581,0.9572,93.55
7574,0.956,93.57
7558,0.9575,93.53
7578,0.9566,93.56
7565,0.957,93.52
7559,0.9584,93.5
7560,0.9585,93.52
7576,0.9575,93.57
7581,0.9569,93.58
7577,0.9566,93.58
7579,0.9583,93.54
7561,0.9571,93.52
7574,0.9572,93.56
7563,0.9572,93.54
7574,0.9559,93.57
7578,0.9577,93.54
7585,0.9563,93.56
7576,0.9566,93.57
7583,0.9571,93.55
7592,0.9582,93.57
7580,0.9589,93.56
7590,0.9557,93.6
7587,0.9578,93.57
7569,0.9583,93.56
7557,0.9568,93.57
7558,0.9565,93.57
7579,0.9565,93.56
7582,0.958,93.55
7561,0.9589,93.52
7563,0.9588,93.51
7576,0.9582,93.55
7555,0.9594,93.51
7581,0.9575,93.56
7570,0.957,93.53
7565,0.958,93.51
7565,0.955,93.56
7578,0.957,93.6
7570,0.9577,93.57
7568,0.9569,93.54
7560,0.9567,93.54
7557,0.9559,93.55
7567,0.9594,93.52
7566,0.9576,93.53
7559,0.9582,93.52
7576,0.9574,93.57
7581,0.9565,93.57
7577,0.9566,93.57
7581,0.9568,93.55
7577,0.9572,93.56
7573,0.9564,93.57
7588,0.9571,93.56
7557,0.956,93.55
7557,0.9575,93.54
7568,0.9562,93.61
7575,0.9577,93.55
7582,0.9559,93.61
7566,0.957,93.54
7568,0.9573,93.55
7581,0.9566,93.57
7579,0.9587,93.52
7571,0.9585,93.55
7561,0.9577,93.55
7577,0.9568,93.58
7573,0.9569,93.54
7565,0.9569,93.55
7557,0.9592,93.52
7561,0.9585,93.53
7580,0.9579,93.58
7589,0.956,93.58
7566,0.9572,93.55
7555,0.9577,93.52
7562,0.957,93.56
7573,0.9563,93.58
7568,0.9585,93.57
7558,0.9578,93.5
7581,0.957,93.55
7578,0.9558,93.57
7567,0.9583,93.53
7575,0.9564,93.58
7578,0.9568,93.57
7585,0.9568,93.58
7585,0.9561,93.57
7579,0.956,93.59
7581,0.9554,93.61
7580,0.9555,93.61
7587,0.9545,93.62
7584,0.9566,93.59
7570,0.9566,93.56
7573,0.9581,93.54
7557,0.9566,93.53
7563,0.9561,93.54
7586,0.9567,93.57
7557,0.9573,93.5
7559,0.957,93.5
7577,0.9562,93.54
7574,0.9561,93.56
7574,0.9572,93.54
7588,0.956,93.6
7588,0.957,93.58
7588,0.9577,93.55
7564,0.9569,93.5
7590,0.9547,93.59
7571,0.9563,93.54
7568,0.9563,93.58
7561,0.9583,93.53
7570,0.9584,93.54
7563,0.9578,93.55
7571,0.9569,93.54
7567,0.9578,93.52
7568,0.9579,93.51
7575,0.9564,93.57
7564,0.9594,93.52
7555,0.9564,93.49
7567,0.9576,93.55
7578,0.9561,93.58
7573,0.9552,93.55
7568,0.956,93.56
7578,0.9567,93.53
7567,0.957,93.55
7572,0.9568,93.55
7573,0.9564,93.56
7566,0.9576,93.56
7584,0.9568,93.58
7564,0.9551,93.56
7565,0.9572,93.53
7564,0.9561,93.54
7569,0.9553,93.57
7579,0.9575,93.56
7579,0.9563,93.62
7567,0.9571,93.56
7566,0.956,93.56
7578,0.9557,93.58
7561,0.9563,93.56
7576,0.9576,93.53
7555,0.9579,93.47
7562,0.957,93.54
7588,0.9565,93.6
7554,0.9574,93.49
7589,0.9549,93.61
7558,0.9569,93.54
7577,0.9548,93.58
7582,0.9572,93.56
7576,0.9559,93.61
7564,0.9559,93.55
7568,0.9591,93.54
7573,0.9558,93.56
7568,0.9574,93.58
7577,0.9555,93.6
7551,0.9577,93.53
7563,0.9577,93.51
7551,0.9575,93.49
7559,0.9578,93.53
7578,0.958,93.53
7578,0.9568,93.56
7567,0.9578,93.53
7561,0.9563,93.56
7559,0.9587,93.54
7565,0.9554,93.57
7575,0.9562,93.56
7566,0.9564,93.51
7583,0.9567,93.58
7567,0.9566,93.55
7582,0.9567,93.57
7586,0.9553,93.62
7577,0.9567,93.55
7600,0.9547,93.58
7582,0.9553,93.57
7581,0.9559,93.57
7591,0.9552,93.58
7598,0.9582,93.57
7574,0.9574,93.55
7575,0.9567,93.58
7589,0.9558,93.6
7566,0.9585,93.53
7560,0.9587,93.53
7575,0.9562,93.55
7571,0.9582,93.56
7571,0.957,93.53
7579,0.9565,93.56
7560,0.9572,93.53
7583,0.9547,93.62
7583,0.9561,93.61
7585,0.9552,93.61
7573,0.9569,93.57
7562,0.9574,93.53
7571,0.9596,93.5
7573,0.9568,93.56
7556,0.9565,93.55
7575,0.9548,93.59
7587,0.9566,93.6
7555,0.9592,93.49
7577,0.9566,93.54
7572,0.9561,93.56
7578,0.9562,93.57
7579,0.9573,93.56
7593,0.9569,93.57
7595,0.9567,93.59
7581,0.9578,93.55
7585,0.956,93.59
7583,0.9569,93.6
7597,0.9557,93.63
7595,0.9557,93.63
7584,0.9562,93.62
7582,0.956,93.59
7565,0.9566,93.56
