hERG_IC50,hERG_h,hERG_Bmax
217.7,0.5004,70
218.8,0.5,70.03
215.7,0.5002,70.03
216.6,0.5004,70.04
216.9,0.5005,70.03
217.7,0.501,70
216.3,0.5003,70.01
217.7,0.5002,70
217.6,0.5003,70.01
215.2,0.5002,70.04
216.4,0.5001,70.01
216.9,0.5001,70
217.4,0.5003,70.03
217.7,0.5002,70.01
216.9,0.5,70
216.9,0.5,70.02
217.6,0.5,70
217.3,0.5,70
217.5,0.5002,70
217.5,0.5,70
218.6,0.5002,70.02
218,0.5015,70.02
218,0.501,70
216.2,0.5003,70
215.7,0.5002,70.01
216.3,0.5003,70
216.3,0.5001,70.02
217,0.5003,70.01
216.9,0.5001,70
216.8,0.5002,70.01
217,0.5002,70
215.5,0.5002,70.02
217.3,0.5003,70.02
216.7,0.5002,70
217.7,0.5006,70.01
219,0.5001,70.01
216.7,0.5001,70
217.3,0.5003,70.01
216.9,0.5001,70.04
217.9,0.5001,70.02
217.2,0.5001,70.01
218.7,0.5005,70.01
217.3,0.5006,70
218,0.5002,70.08
216.3,0.5003,70.05
217.6,0.5003,70.07
216.9,0.5007,70.01
215.3,0.5004,70
217.3,0.5,70
217.3,0.5,70.01
216.9,0.5001,70.01
217.3,0.5001,70
217.5,0.5,70
216.6,0.5002,70.01
215.4,0.5003,70
217,0.5002,70.01
216.1,0.5002,70
216.4,0.5003,70
216.3,0.5,70.02
215.2,0.5003,70.02
217.9,0.5002,70.02
217.4,0.5002,70.03
217.8,0.5,70.04
216.8,0.5001,70.01
216.5,0.5001,70
219.3,0.5,70.02
218.2,0.5,70.02
218,0.5001,70.06
219.1,0.5003,70
220.9,0.5001,70.02
219,0.5003,70
217.9,0.5,70.01
217.3,0.5001,70.02
217.3,0.5002,70.01
217.2,0.5001,70.03
216.7,0.5001,70.01
218.3,0.5002,70.01
218,0.5001,70
217.7,0.5,70.01
215.7,0.5003,70.01
216.7,0.5001,70.01
216.4,0.5001,70.01
216.8,0.5001,70
218.8,0.5001,70.02
218.4,0.5001,70.01
217.4,0.5002,70
216.1,0.5001,70
216.6,0.5001,70.02
216.4,0.5001,70.01
216.2,0.5009,70
217.1,0.5011,70
217.1,0.5001,70.01
217.6,0.5,70.03
218,0.5004,70.03
219.4,0.5002,70.06
218.1,0.5008,70.02
217.7,0.5002,70.01
217,0.5002,70
217.7,0.5003,70.02
217,0.5003,70
216.8,0.5002,70.01
216.1,0.5,70
215.8,0.5,70
216.5,0.5,70.01
218.2,0.5002,70.01
217.9,0.5001,70
218,0.5002,70
218,0.5003,70.01
217.4,0.5,70.01
218,0.5002,70.01
216.9,0.5007,70.01
216.6,0.5006,70
217.3,0.5011,70.04
218.3,0.5004,70.01
215.5,0.5001,70.03
218.2,0.5,70.03
218.2,0.5,70.03
218.1,0.5001,70.05
217.7,0.5,70.02
217.4,0.5,70
216.8,0.5,70
216.5,0.5,70
216.9,0.5006,70
216.7,0.5004,70.03
216.7,0.5004,70.02
217.6,0.5002,70
216.6,0.5001,70.04
215.9,0.5001,70
215.9,0.5001,70
217.4,0.5001,70.02
217.3,0.5,70.01
217.1,0.5002,70.02
215.9,0.5001,70
217.8,0.5002,70.03
217.9,0.5003,70.03
218.3,0.5001,70.02
219.1,0.5001,70.03
217.4,0.5,70.05
217.8,0.5002,70.02
217.9,0.5,70.01
217.2,0.5,70.01
217.3,0.5001,70.01
216.9,0.5004,70.02
215.7,0.5001,70
215.5,0.5002,70.01
216.9,0.5005,70.01
217.1,0.5002,70.01
217.5,0.5002,70
216.9,0.5001,70
217.4,0.5002,70.03
217.6,0.5,70.01
217.9,0.5002,70.07
218.7,0.5009,70.04
217.2,0.5003,70.05
216.4,0.5,70.02
216.7,0.5001,70.02
217.1,0.5001,70.01
216.8,0.5001,70.01
216.2,0.5,70.01
217.8,0.5002,70.03
216.3,0.5001,70.02
215.9,0.5001,70.01
216.2,0.5001,70
216.1,0.5,70
215.8,0.5001,70
215.3,0.5,70
214.5,0.5001,70.01
216.1,0.5002,70
218.5,0.5003,70
216.5,0.5005,70.01
215.3,0.5002,70.03
218.1,0.5003,70.04
217.2,0.5006,70.05
217.1,0.5008,70.02
217.1,0.5004,70.01
218.9,0.5001,70.08
217.5,0.5001,70.02
217.5,0.5004,70
216.8,0.5004,70
217,0.5005,70
217.4,0.5006,70
217,0.5005,70.01
218.1,0.5001,70
217.2,0.5,70.01
217.7,0.5,70.01
217.8,0.5,70.01
217.5,0.5001,70.02
216.8,0.5,70.02
217,0.5002,70.03
216.8,0.5,70.03
216.1,0.5,70.04
217.4,0.5,70.04
219,0.5004,70.03
219,0.5005,70.03
218.5,0.5006,70.09
215.6,0.5002,70.03
215.9,0.5002,70.05
219.3,0.5002,70.12
218.5,0.5006,70.08
217,0.5003,70.06
218.4,0.5004,70.06
218.7,0.5003,70.07
218.8,0.5005,70.05
218.3,0.5001,70.06
219.4,0.5009,70.07
218.7,0.5009,70.07
216.3,0.5011,70.01
217,0.5001,70.02
216.1,0.5002,70.02
214.7,0.5004,70
214.3,0.5001,70
216,0.5002,70.01
217.8,0.5,70.02
216.3,0.5002,70.01
216.5,0.5002,70
216.5,0.5002,70
218.3,0.5001,70.06
218.3,0.5,70.02
218.2,0.5001,70.01
217.6,0.5002,70.04
218.2,0.5002,70.06
217.8,0.5002,70
217.8,0.5002,70.02
217.5,0.5001,70.01
217.3,0.5,70.01
215.8,0.5,70
215.9,0.5001,70
215.6,0.5001,70
215.8,0.5,70.01
215.5,0.5,70
216.8,0.5,70.01
218.8,0.5001,70.03
218.3,0.5007,70.01
218.8,0.5004,70
217.3,0.5007,70.01
218.3,0.5003,70.03
216.4,0.5001,70
216.8,0.5001,70
216.4,0.5,70.02
218.4,0.5003,70.03
216,0.5002,70
216.5,0.5,70
216.5,0.5001,70
214.8,0.5,70
216.7,0.5002,70.02
216,0.5002,70.01
215.7,0.5001,70.01
215.7,0.5,70
215.6,0.5001,70
216.7,0.5002,70
216,0.5003,70
215.3,0.5002,70
215.4,0.5,70
216.2,0.5001,70.02
217.6,0.5004,70.01
216.9,0.5001,70
217.3,0.5005,70.01
217.6,0.5,70
218.4,0.5008,70.04
215.6,0.5004,70
216,0.5001,70.01
217.8,0.5001,70.02
217.9,0.5002,70.01
218.1,0.5,70.01
216.6,0.5001,70.01
217.7,0.5001,70.02
218.9,0.5002,70.06
216.7,0.5002,70.01
216.5,0.5003,70
216.4,0.5001,70
216.2,0.5001,70
217.4,0.5001,70
217.1,0.5002,70.04
217.6,0.5,70.01
216.8,0.5001,70.04
217.5,0.5003,70.03
216.9,0.5012,70.06
218.1,0.5027,70.06
218.4,0.5019,70
217.7,0.5015,70
216.7,0.5014,70
216.2,0.5007,70.01
215.1,0.5001,70.01
215.6,0.5002,70
215.7,0.5001,70
215.5,0.5001,70
216.2,0.5002,70
216.3,0.5,70.01
216.6,0.5,70.01
218.4,0.5006,70.02
217.3,0.5011,70.01
215.9,0.5003,70.03
217.1,0.5002,70.02
217.2,0.5003,70.01
218.3,0.5005,70.01
218.7,0.5002,70.02
217.5,0.5002,70.03
216.4,0.5002,70.01
217.5,0.5002,70.01
216.2,0.5,70.03
216.9,0.5004,70.01
217,0.5001,70
217.1,0.5,70
216.9,0.5,70
216.7,0.5,70
216.3,0.5004,70
216,0.5002,70
216.3,0.5,70.04
216.5,0.5003,70.01
216.5,0.5,70
216.6,0.5,70.01
216.9,0.5004,70
214.5,0.5002,70
214.1,0.5002,70.01
218.8,0.5004,70.02
218.8,0.5003,70.01
217.7,0.5007,70.05
217,0.5007,70.07
214.5,0.5001,70.03
216.1,0.5,70.03
218.5,0.5004,70.03
216.1,0.5005,70
217.1,0.5004,70.05
217.2,0.5001,70
217.7,0.5008,70.01
217.8,0.5003,70.02
216.2,0.5,70.02
216.6,0.5,70.03
217.5,0.5007,70.01
218.5,0.5003,70.03
216.1,0.5001,70.05
218.3,0.5001,70.04
216.6,0.5001,70.01
217.5,0.5001,70.05
219.2,0.5018,70.03
215.9,0.5022,70
215.7,0.5014,70.03
215.9,0.5002,70.08
219.8,0.5001,70.05
219.9,0.5002,70.08
218.8,0.5004,70.09
217.4,0.5011,70.01
218.4,0.5009,70.01
218.7,0.5001,70.05
216.9,0.5003,70.02
216.7,0.5007,70.01
216.9,0.5003,70.01
216.1,0.5009,70
216.5,0.5002,70.04
216.7,0.5003,70
216.3,0.5,70.01
216.6,0.5002,70
217.5,0.5003,70.01
216.9,0.5005,70.01
217,0.5006,70.03
216.9,0.5006,70.01
217.9,0.5,70.03
217.3,0.5,70.01
216.6,0.5003,70.01
218.6,0.5005,70.06
218.1,0.5,70.01
218,0.5,70
217.8,0.5002,70.01
217.1,0.5001,70.02
218.4,0.5001,70.01
217.9,0.5004,70.01
216.8,0.5002,70.03
217.5,0.5004,70
217.7,0.5002,70
219.2,0.5,70.04
216.8,0.5001,70.01
217.4,0.5,70.01
215.8,0.5,70
215.9,0.5001,70.01
217.3,0.5001,70.03
216.5,0.5008,70
216.4,0.5007,70
215.9,0.5001,70.01
218.3,0.5002,70
218.2,0.5001,70
216.9,0.5,70
216.9,0.5,70
216.1,0.5,70
216.5,0.5002,70.01
216.3,0.5001,70.02
216.6,0.5004,70
217,0.5001,70
217.8,0.5003,70.01
217.6,0.5002,70
217.5,0.5003,70.01
217,0.5002,70.01
216.6,0.5003,70.01
216.4,0.5004,70.05
218.8,0.5004,70.01
217.4,0.5002,70.04
216.6,0.5001,70.03
216.6,0.5,70.02
215.6,0.5001,70.02
216.1,0.5002,70.01
216.8,0.5002,70
215.3,0.5001,70
215.4,0.5,70
216.6,0.5002,70.02
217.5,0.5006,70.03
216.4,0.5001,70.01
216.2,0.5006,70.01
216.3,0.5002,70.01
216.7,0.5006,70
217.4,0.5006,70.01
216.5,0.5001,70
216.7,0.5001,70.01
217.3,0.5,70
217.7,0.5001,70.01
217.6,0.5,70
217.8,0.5001,70
217.1,0.5003,70.02
217.1,0.5004,70.01
218.5,0.5001,70.04
216.2,0.5002,70
216.5,0.5,70.01
216.7,0.5001,70.01
217.8,0.5002,70.01
216,0.5001,70.01
218.3,0.5002,70.03
216.5,0.5001,70.03
215.9,0.5001,70
217.3,0.5001,70.02
217.2,0.5001,70
216.3,0.5001,70.02
216.8,0.5,70
217.2,0.5,70
217.7,0.5002,70
217.1,0.5001,70
217.5,0.5005,70
217.8,0.5002,70.02
218.1,0.5001,70.04
217.8,0.5,70.02
216.8,0.5002,70.02
215.6,0.5002,70
