hERG_IC50,hERG_h,hERG_Bmax
6.624,0.8494,95.35
6.651,0.8476,95.39
6.633,0.8501,95.34
6.59,0.853,95.25
6.625,0.8488,95.36
6.638,0.8458,95.52
6.638,0.8499,95.4
6.621,0.8508,95.34
6.632,0.8508,95.41
6.662,0.8481,95.42
6.625,0.8497,95.39
6.622,0.8501,95.36
6.628,0.8489,95.42
6.662,0.8488,95.48
6.649,0.8482,95.47
6.643,0.8488,95.41
6.63,0.8511,95.36
6.633,0.8487,95.39
6.594,0.8514,95.27
6.636,0.8513,95.38
6.643,0.8502,95.44
6.615,0.8517,95.32
6.633,0.85,95.42
6.627,0.8496,95.29
6.628,0.85,95.33
6.623,0.8515,95.38
6.591,0.8535,95.23
6.595,0.8501,95.32
6.61,0.852,95.29
6.645,0.8523,95.34
6.609,0.8528,95.32
6.611,0.8536,95.23
6.614,0.8491,95.3
6.611,0.8536,95.31
6.623,0.8509,95.38
6.61,0.8505,95.34
6.634,0.8525,95.37
6.655,0.8474,95.46
6.627,0.8503,95.34
6.609,0.8502,95.3
6.618,0.8496,95.28
6.636,0.8513,95.38
6.639,0.8503,95.42
6.625,0.8484,95.36
6.663,0.8472,95.55
6.597,0.852,95.28
6.646,0.8493,95.42
6.65,0.8498,95.43
6.633,0.8487,95.37
6.67,0.8493,95.52
6.604,0.8511,95.33
6.6,0.8516,95.3
6.585,0.8538,95.23
6.613,0.852,95.3
6.619,0.852,95.29
6.594,0.8529,95.21
6.609,0.8514,95.27
6.622,0.849,95.35
6.597,0.8499,95.32
6.667,0.85,95.46
6.657,0.8516,95.41
6.637,0.8507,95.39
6.591,0.8541,95.24
6.595,0.8523,95.27
6.583,0.8519,95.21
6.62,0.8502,95.36
6.633,0.8498,95.35
6.621,0.8508,95.35
6.657,0.8506,95.4
6.644,0.8506,95.4
6.613,0.854,95.26
6.636,0.8517,95.36
6.577,0.8545,95.13
6.614,0.8501,95.39
6.614,0.8536,95.29
6.605,0.8492,95.33
6.658,0.8489,95.46
6.618,0.8505,95.36
6.611,0.85,95.39
6.611,0.8488,95.37
6.6,0.8507,95.33
6.59,0.8499,95.26
6.647,0.8475,95.46
6.623,0.8523,95.31
6.623,0.8513,95.32
6.594,0.852,95.24
6.638,0.8493,95.47
6.648,0.8497,95.48
6.613,0.8509,95.39
6.611,0.8517,95.35
6.618,0.8481,95.39
6.598,0.8506,95.23
6.637,0.849,95.33
6.611,0.8493,95.36
6.656,0.8492,95.45
6.625,0.8494,95.4
6.605,0.8497,95.36
6.632,0.8506,95.46
6.638,0.8463,95.46
6.632,0.8503,95.39
6.624,0.8519,95.33
6.651,0.8492,95.45
6.619,0.8516,95.35
6.586,0.8539,95.22
6.616,0.8522,95.34
6.604,0.8506,95.27
6.609,0.8505,95.3
6.635,0.8495,95.43
6.614,0.8516,95.34
6.591,0.8522,95.31
6.599,0.852,95.29
6.617,0.8528,95.32
6.629,0.8514,95.34
6.622,0.8504,95.41
6.6,0.8493,95.33
6.598,0.8508,95.23
6.631,0.8482,95.42
6.604,0.8513,95.3
6.613,0.8516,95.33
6.662,0.8498,95.45
6.648,0.849,95.46
6.608,0.854,95.26
6.621,0.8511,95.34
6.589,0.8525,95.26
6.63,0.8491,95.44
6.616,0.8507,95.3
6.609,0.8495,95.33
6.612,0.8491,95.35
6.596,0.8536,95.26
6.616,0.854,95.27
6.617,0.8514,95.36
6.643,0.8499,95.4
6.613,0.8533,95.24
6.639,0.8515,95.39
6.601,0.853,95.27
6.59,0.8546,95.22
6.643,0.8503,95.44
6.603,0.8517,95.24
6.619,0.8519,95.38
6.606,0.8524,95.3
6.607,0.8521,95.27
6.634,0.8529,95.31
6.621,0.8518,95.35
6.637,0.8498,95.41
6.636,0.8503,95.4
6.63,0.8502,95.38
6.618,0.8534,95.24
6.631,0.8508,95.34
6.64,0.8478,95.39
6.63,0.8499,95.38
6.646,0.8481,95.42
6.64,0.8495,95.44
6.65,0.8503,95.45
6.621,0.8524,95.31
6.606,0.8505,95.33
6.638,0.849,95.49
6.598,0.8516,95.27
6.64,0.8501,95.4
6.604,0.8519,95.29
6.612,0.8507,95.32
6.617,0.8506,95.34
6.629,0.8489,95.42
6.624,0.8494,95.4
6.621,0.8504,95.37
6.633,0.8501,95.4
6.628,0.85,95.36
6.64,0.8481,95.43
6.6,0.8519,95.2
6.586,0.8544,95.19
6.604,0.8537,95.25
6.612,0.8528,95.28
6.612,0.8519,95.28
6.633,0.8501,95.37
6.613,0.8509,95.35
6.625,0.8511,95.35
6.655,0.85,95.41
6.579,0.8533,95.22
6.587,0.852,95.29
6.642,0.8491,95.43
6.658,0.8478,95.47
6.627,0.8493,95.41
6.629,0.849,95.39
6.613,0.8525,95.35
6.619,0.8516,95.34
6.635,0.8497,95.35
6.644,0.8499,95.43
6.638,0.8497,95.4
6.632,0.8499,95.42
6.627,0.8515,95.35
6.623,0.8498,95.37
6.61,0.8516,95.28
6.61,0.8508,95.34
6.643,0.8477,95.44
6.607,0.8508,95.34
6.605,0.8545,95.29
6.635,0.8511,95.37
6.624,0.852,95.29
6.627,0.8509,95.33
6.628,0.8508,95.35
6.614,0.8519,95.32
6.654,0.8479,95.45
6.629,0.8507,95.34
6.655,0.8508,95.35
6.617,0.8505,95.33
6.629,0.8496,95.28
6.612,0.85,95.37
6.62,0.8494,95.39
6.613,0.8512,95.31
6.571,0.8515,95.15
6.619,0.851,95.38
6.621,0.8529,95.34
6.653,0.8495,95.4
6.633,0.8515,95.39
6.62,0.852,95.3
6.624,0.8527,95.32
6.611,0.851,95.26
6.646,0.8503,95.38
6.641,0.8502,95.37
6.621,0.8506,95.38
6.613,0.8504,95.36
6.598,0.852,95.26
6.626,0.8522,95.34
6.616,0.8507,95.35
6.632,0.8497,95.36
6.607,0.8534,95.25
6.603,0.8526,95.33
6.594,0.8513,95.32
6.615,0.852,95.36
6.594,0.8555,95.25
6.62,0.8497,95.37
6.648,0.8503,95.45
6.598,0.8514,95.26
6.631,0.8507,95.43
6.6,0.8524,95.31
6.6,0.8527,95.24
6.594,0.8533,95.21
6.61,0.851,95.26
6.608,0.8504,95.31
6.621,0.8523,95.35
6.62,0.8517,95.3
6.628,0.8517,95.27
6.631,0.8482,95.43
6.616,0.8486,95.37
6.649,0.85,95.41
6.619,0.8492,95.39
6.614,0.8517,95.36
6.627,0.8485,95.42
6.62,0.8498,95.38
6.639,0.8519,95.42
6.634,0.8533,95.37
6.623,0.8515,95.27
