hERG_IC50,hERG_h,hERG_Bmax
133.2,0.7066,95.59
132.4,0.7062,95.53
132.2,0.7067,95.52
132.6,0.7048,95.59
132,0.7079,95.51
133.3,0.7047,95.65
132.6,0.708,95.56
133.2,0.7072,95.56
132.3,0.7087,95.5
132,0.7071,95.51
132.8,0.7076,95.56
132.7,0.7076,95.55
132.6,0.7066,95.55
132.7,0.7063,95.58
132.5,0.7064,95.56
133.1,0.7056,95.59
133,0.7064,95.57
132.6,0.7079,95.55
132.4,0.7089,95.49
132.9,0.7088,95.55
132.9,0.7064,95.57
132.5,0.7073,95.53
132.6,0.7071,95.57
132.9,0.7063,95.61
132.9,0.7066,95.6
132.6,0.7076,95.53
132.9,0.7059,95.57
132.8,0.7075,95.56
132.7,0.7075,95.57
132.5,0.7065,95.56
132.9,0.7066,95.61
132.8,0.7061,95.57
132.8,0.7071,95.58
133.2,0.7066,95.61
132.7,0.7065,95.63
132.5,0.7076,95.53
132.7,0.7065,95.54
133.1,0.7059,95.55
132.7,0.7066,95.57
132.5,0.707,95.54
132.3,0.7069,95.51
132.5,0.7065,95.49
132.2,0.7082,95.47
132.7,0.7062,95.58
132.5,0.7065,95.52
132.4,0.7073,95.53
133,0.7054,95.54
132.9,0.7071,95.5
132.6,0.7073,95.51
133,0.7059,95.57
132.9,0.7054,95.57
132.7,0.7063,95.58
132.8,0.7078,95.54
132.6,0.7051,95.55
132.5,0.7064,95.58
132.3,0.7074,95.49
132.8,0.7073,95.54
132.4,0.7074,95.54
133,0.7074,95.56
132.7,0.7079,95.54
132.1,0.7079,95.46
132.2,0.7069,95.5
132.3,0.706,95.54
132.8,0.7054,95.61
132.9,0.7063,95.62
132.6,0.7073,95.54
132.9,0.7052,95.59
133.1,0.7055,95.59
132.9,0.7055,95.62
133.2,0.7065,95.57
132.8,0.7053,95.59
132.6,0.7067,95.58
132.8,0.7076,95.53
133,0.7071,95.56
132.7,0.7076,95.53
132.6,0.7062,95.53
132.7,0.7065,95.6
132.4,0.7074,95.52
132.5,0.7064,95.51
132.7,0.7071,95.53
132.9,0.7075,95.55
132.9,0.7068,95.55
133.1,0.7053,95.62
133.1,0.7064,95.62
