hERG_IC50,hERG_h,hERG_Bmax
70.34,1.045,99.49
70.38,1.045,99.5
70.34,1.044,99.48
70.36,1.044,99.5
70.51,1.044,99.56
70.45,1.043,99.53
70.37,1.043,99.54
70.41,1.043,99.52
70.48,1.044,99.52
70.36,1.045,99.5
70.31,1.044,99.52
70.3,1.044,99.52
70.42,1.043,99.53
70.43,1.044,99.54
70.4,1.046,99.49
70.59,1.042,99.58
70.39,1.044,99.53
70.43,1.043,99.54
70.41,1.045,99.51
70.36,1.045,99.5
70.44,1.044,99.55
70.46,1.044,99.51
70.32,1.044,99.47
70.37,1.044,99.51
70.44,1.044,99.52
70.42,1.044,99.53
70.33,1.044,99.51
70.34,1.043,99.51
70.47,1.042,99.58
70.41,1.044,99.56
70.34,1.044,99.49
70.46,1.043,99.56
70.35,1.045,99.51
70.39,1.044,99.52
70.37,1.044,99.5
70.39,1.045,99.52
70.4,1.044,99.52
70.38,1.045,99.5
70.37,1.045,99.52
70.35,1.045,99.53
70.44,1.045,99.51
70.49,1.044,99.55
70.37,1.045,99.51
70.43,1.043,99.54
70.5,1.043,99.57
70.42,1.044,99.56
70.36,1.044,99.52
70.42,1.043,99.52
70.25,1.046,99.44
70.36,1.045,99.5
70.43,1.044,99.54
70.43,1.043,99.55
70.48,1.044,99.54
70.36,1.045,99.51
70.38,1.044,99.49
70.27,1.045,99.48
70.37,1.044,99.51
70.45,1.045,99.52
70.43,1.044,99.53
70.42,1.044,99.51
70.36,1.045,99.48
70.42,1.044,99.52
70.43,1.045,99.51
70.39,1.044,99.51
70.41,1.044,99.52
70.33,1.044,99.51
70.33,1.044,99.51
70.27,1.044,99.49
70.34,1.044,99.51
70.47,1.043,99.54
70.36,1.045,99.5
70.38,1.045,99.53
70.45,1.045,99.5
70.41,1.044,99.53
70.4,1.044,99.53
70.39,1.045,99.5
70.3,1.045,99.49
70.38,1.046,99.5
70.41,1.044,99.52
70.41,1.044,99.52
70.42,1.044,99.55
70.36,1.044,99.51
70.34,1.044,99.49
70.33,1.045,99.5
70.36,1.045,99.48
70.35,1.044,99.53
70.4,1.043,99.53
70.39,1.044,99.52
70.42,1.044,99.51
70.45,1.043,99.57
70.35,1.044,99.5
70.37,1.044,99.53
70.42,1.044,99.55
70.28,1.046,99.47
70.49,1.043,99.54
70.4,1.044,99.52
70.43,1.043,99.53
70.43,1.044,99.54
70.37,1.044,99.54
70.49,1.044,99.53
70.37,1.042,99.51
70.37,1.043,99.54
70.42,1.045,99.51
70.29,1.044,99.5
70.26,1.046,99.44
70.28,1.045,99.46
70.29,1.045,99.5
70.37,1.045,99.49
70.41,1.044,99.52
70.42,1.043,99.53
70.41,1.042,99.54
70.41,1.044,99.52
70.43,1.044,99.51
70.4,1.043,99.54
70.56,1.043,99.55
70.42,1.045,99.49
70.48,1.045,99.52
70.45,1.045,99.54
70.35,1.043,99.52
70.46,1.044,99.53
