hERG_IC50,hERG_h,hERG_Bmax
652.1,0.9795,99.52
653.4,0.9787,99.53
652.1,0.979,99.52
652,0.9792,99.51
652.9,0.9789,99.53
653.3,0.9781,99.55
653.7,0.9789,99.54
653.6,0.9787,99.55
652.7,0.9777,99.54
652.5,0.9782,99.52
652.4,0.9791,99.52
653.6,0.9772,99.56
653,0.9778,99.54
653.3,0.978,99.55
653.1,0.9785,99.54
652.8,0.9786,99.53
654.2,0.9781,99.57
653.1,0.9779,99.54
653.2,0.9778,99.54
653.2,0.9782,99.56
653.2,0.9788,99.54
654,0.979,99.54
653.8,0.9782,99.57
653.9,0.9781,99.56
653.5,0.979,99.54
652.6,0.9789,99.53
652.7,0.9792,99.52
652.5,0.9787,99.51
653.4,0.9782,99.55
652.9,0.9789,99.51
652,0.9786,99.51
652.8,0.9784,99.55
653,0.9779,99.54
652.7,0.9781,99.55
652.4,0.9794,99.52
652.8,0.9794,99.53
652.8,0.9787,99.52
653.5,0.9784,99.56
653.4,0.9781,99.56
652.8,0.9788,99.53
653.2,0.9786,99.53
653.5,0.9782,99.54
653.7,0.9781,99.57
652.8,0.9788,99.55
652.8,0.9793,99.53
653,0.9783,99.54
653.4,0.978,99.56
653.6,0.978,99.56
653.9,0.978,99.58
652.9,0.9788,99.53
652.9,0.9786,99.54
653.2,0.9774,99.56
652.7,0.9784,99.54
652.7,0.9783,99.55
653.9,0.9779,99.58
653.1,0.979,99.55
653.1,0.9784,99.54
653.8,0.9781,99.57
653.1,0.9787,99.53
652.8,0.9786,99.53
652.4,0.9787,99.52
652.5,0.9789,99.53
653.6,0.9785,99.56
654,0.9779,99.57
654.2,0.9775,99.57
654.2,0.9781,99.59
652.4,0.9785,99.52
653.2,0.9776,99.58
652.1,0.9786,99.54
653.4,0.9783,99.56
653.4,0.9785,99.56
653.3,0.9784,99.56
653.9,0.9775,99.58
652.4,0.9793,99.52
653.1,0.9779,99.57
652.3,0.9792,99.49
652.7,0.9798,99.51
652.8,0.9793,99.53
652.8,0.9785,99.54
652.9,0.9789,99.53
653,0.9785,99.54
652.8,0.9787,99.53
652.8,0.9788,99.54
652,0.9799,99.51
652.5,0.9792,99.55
652.9,0.9792,99.56
653.2,0.9775,99.57
653.1,0.9784,99.54
652.7,0.9791,99.53
653.7,0.9772,99.58
653.5,0.9778,99.56
652.9,0.9774,99.56
652.9,0.9786,99.55
653.2,0.9777,99.54
654.2,0.9767,99.59
653.6,0.9781,99.56
652.2,0.9785,99.53
652.2,0.9786,99.54
653.7,0.9771,99.59
653.2,0.9786,99.56
653.1,0.9784,99.55
652.4,0.9788,99.51
653.3,0.9785,99.56
652.8,0.9781,99.53
653.4,0.9781,99.55
653.6,0.978,99.57
653,0.9784,99.54
653.1,0.9787,99.54
653.4,0.9783,99.54
653.2,0.9778,99.55
653.7,0.978,99.58
652.8,0.9781,99.53
652.8,0.9789,99.53
652.4,0.9794,99.51
652.6,0.9794,99.52
652.8,0.9782,99.55
653,0.9786,99.55
652.7,0.9786,99.55
653,0.9784,99.53
652.8,0.9784,99.52
652.7,0.9782,99.55
653.2,0.9782,99.56
652.7,0.9791,99.54
652.7,0.9788,99.54
653.1,0.9783,99.56
652.9,0.9783,99.56
653.4,0.9789,99.56
653.6,0.9782,99.58
653.7,0.9779,99.57
652.5,0.9792,99.52
653,0.978,99.56
653.1,0.9778,99.55
652.6,0.9785,99.56
652.5,0.9791,99.51
653.5,0.9781,99.57
653.3,0.9783,99.55
653.4,0.9786,99.55
653.2,0.978,99.55
652.5,0.9783,99.54
652.5,0.9786,99.52
653.1,0.9785,99.55
653,0.9776,99.56
652.5,0.9789,99.52
652.7,0.9781,99.55
653,0.9788,99.54
653.4,0.9782,99.56
652.3,0.9789,99.52
653.6,0.9775,99.55
653.9,0.977,99.58
652.9,0.9778,99.55
653.4,0.979,99.55
653.4,0.9786,99.54
653.2,0.9783,99.55
653.1,0.9781,99.55
653.7,0.9779,99.56
653.4,0.9774,99.57
653.2,0.9787,99.53
653.6,0.9783,99.55
653.5,0.978,99.57
653.2,0.9786,99.54
652.8,0.9789,99.51
653.4,0.9783,99.56
652.8,0.979,99.54
653,0.9787,99.56
652.9,0.9788,99.53
652.6,0.9796,99.53
653.1,0.9789,99.54
652.6,0.9788,99.53
653.9,0.9781,99.55
652.8,0.9784,99.54
