hERG_IC50,hERG_h,hERG_Bmax
14.44,0.9761,76.81
14.45,0.9759,76.75
14.47,0.9818,76.76
14.54,0.9781,76.78
14.46,0.9787,76.76
14.49,0.9748,76.79
14.48,0.9778,76.71
14.47,0.9769,76.68
14.45,0.9805,76.68
14.49,0.9789,76.69
14.47,0.9782,76.71
14.47,0.9793,76.73
14.45,0.9784,76.69
14.45,0.9734,76.78
14.44,0.9765,76.68
14.46,0.9741,76.77
14.46,0.9782,76.7
14.41,0.9784,76.73
14.45,0.9794,76.72
14.44,0.9797,76.75
14.5,0.9775,76.75
14.49,0.9783,76.73
14.52,0.9778,76.77
14.48,0.9755,76.76
14.44,0.9784,76.72
14.56,0.9767,76.8
14.56,0.977,76.75
14.49,0.9803,76.69
14.48,0.9749,76.78
14.5,0.9773,76.69
14.46,0.9787,76.77
14.42,0.9791,76.71
14.54,0.9752,76.82
14.51,0.9752,76.8
14.5,0.9797,76.73
14.49,0.9789,76.7
14.48,0.9772,76.75
14.55,0.9757,76.79
14.52,0.977,76.74
14.58,0.9758,76.85
14.53,0.9789,76.76
14.43,0.9773,76.68
14.5,0.9763,76.73
14.43,0.9793,76.68
14.48,0.9777,76.7
14.54,0.9807,76.73
14.41,0.9809,76.64
14.43,0.9777,76.72
14.48,0.9803,76.72
14.46,0.98,76.69
14.48,0.9765,76.74
14.54,0.9761,76.73
14.48,0.9789,76.62
14.46,0.9811,76.68
14.5,0.9796,76.76
14.48,0.9788,76.69
14.44,0.9776,76.71
14.41,0.9799,76.72
14.5,0.9778,76.77
14.51,0.9801,76.73
14.48,0.9808,76.72
14.48,0.9782,76.71
14.47,0.9805,76.71
14.48,0.9794,76.73
14.43,0.9764,76.7
14.47,0.979,76.69
14.47,0.9773,76.77
14.48,0.9776,76.74
14.54,0.9788,76.77
14.52,0.9748,76.79
14.48,0.9751,76.78
14.48,0.9781,76.75
14.45,0.978,76.74
14.44,0.9804,76.72
14.45,0.9774,76.71
14.49,0.9762,76.75
14.45,0.9779,76.74
14.46,0.9766,76.73
14.48,0.9783,76.75
14.47,0.9757,76.74
14.51,0.977,76.81
14.49,0.9789,76.76
14.51,0.9781,76.75
14.48,0.9766,76.77
14.41,0.9807,76.67
14.54,0.9781,76.76
14.48,0.9781,76.73
14.45,0.9771,76.74
14.48,0.9793,76.73
14.54,0.9755,76.79
14.47,0.9792,76.77
14.47,0.9752,76.79
14.43,0.9814,76.72
14.48,0.9808,76.76
14.51,0.9769,76.81
14.49,0.9766,76.74
14.53,0.9745,76.79
14.48,0.9772,76.74
14.46,0.9802,76.68
14.5,0.9776,76.71
14.5,0.9762,76.79
14.49,0.9761,76.79
14.45,0.9772,76.78
14.52,0.9762,76.76
14.42,0.9793,76.65
14.43,0.9787,76.68
14.41,0.9815,76.65
14.46,0.9821,76.7
14.52,0.9769,76.81
14.47,0.9749,76.77
14.42,0.9826,76.68
14.42,0.9784,76.71
14.38,0.9806,76.69
14.48,0.9774,76.72
14.45,0.9796,76.73
14.45,0.9812,76.69
14.5,0.9782,76.78
14.49,0.9822,76.74
14.5,0.9775,76.78
14.48,0.9805,76.7
14.46,0.9791,76.73
14.53,0.9778,76.78
14.49,0.9798,76.73
14.48,0.9808,76.72
14.48,0.9791,76.75
14.46,0.9811,76.75
