hERG_IC50,hERG_h,hERG_Bmax
12660,0.8371,88.44
12700,0.8357,88.55
12750,0.8368,88.55
12700,0.835,88.52
12690,0.8373,88.49
12690,0.8351,88.5
12750,0.8351,88.57
12710,0.836,88.57
12660,0.8371,88.5
12720,0.8364,88.58
12720,0.8359,88.56
12730,0.8364,88.56
12690,0.837,88.49
12670,0.8369,88.51
12700,0.8361,88.53
12730,0.8368,88.6
12640,0.8372,88.5
12690,0.8353,88.56
12690,0.8366,88.52
12720,0.8358,88.55
12740,0.8352,88.61
12700,0.8378,88.53
12640,0.8375,88.43
12700,0.8341,88.61
12780,0.8336,88.65
12670,0.8383,88.5
12670,0.8364,88.48
12730,0.8344,88.61
12720,0.8359,88.56
12740,0.8354,88.64
12730,0.835,88.59
12710,0.8359,88.57
12690,0.8372,88.52
12710,0.8352,88.57
12700,0.8366,88.58
12700,0.8379,88.47
12690,0.8359,88.55
12700,0.8362,88.5
12680,0.8339,88.5
12700,0.8365,88.51
12690,0.8377,88.49
12690,0.8371,88.52
12720,0.8359,88.6
12690,0.8359,88.53
12690,0.8361,88.51
12750,0.8346,88.67
12730,0.8365,88.56
12690,0.8366,88.49
12690,0.8377,88.51
12740,0.8342,88.58
12720,0.8362,88.53
12720,0.8369,88.58
12690,0.8369,88.51
12740,0.8364,88.54
12690,0.8369,88.52
12690,0.8358,88.48
12730,0.8367,88.61
12690,0.835,88.58
12670,0.8348,88.5
12660,0.8356,88.49
12680,0.8382,88.51
12640,0.837,88.48
12610,0.838,88.46
12650,0.8369,88.47
12700,0.8347,88.56
12690,0.8359,88.56
12720,0.8355,88.54
12710,0.8353,88.55
12730,0.834,88.59
12700,0.8358,88.57
12720,0.8345,88.6
12740,0.8343,88.64
12680,0.8364,88.57
12710,0.8368,88.59
12670,0.8364,88.55
12650,0.8385,88.48
12700,0.8369,88.55
12710,0.8339,88.66
12710,0.8341,88.65
12730,0.8355,88.53
12700,0.8372,88.5
12700,0.8394,88.53
12670,0.8362,88.55
12640,0.8378,88.43
12730,0.8347,88.57
12670,0.8361,88.51
12670,0.8368,88.53
12700,0.8357,88.51
12670,0.8368,88.55
12690,0.8362,88.5
12720,0.8339,88.6
12710,0.836,88.56
12700,0.8356,88.52
12630,0.8376,88.41
12690,0.837,88.48
12720,0.8347,88.56
12660,0.8372,88.46
12670,0.8363,88.51
12680,0.8377,88.49
12680,0.8372,88.52
12700,0.8373,88.51
12670,0.839,88.47
12740,0.8342,88.58
12710,0.8352,88.55
12700,0.8363,88.52
12710,0.8368,88.52
12710,0.8379,88.48
12700,0.8348,88.57
12710,0.8342,88.56
12710,0.8338,88.62
12710,0.8352,88.56
12660,0.8357,88.52
12660,0.8369,88.49
12700,0.834,88.58
12700,0.8334,88.56
12740,0.8328,88.56
12720,0.834,88.54
12690,0.8359,88.54
12680,0.8369,88.52
12730,0.8353,88.61
12730,0.8356,88.6
12750,0.8357,88.62
12680,0.8396,88.5
12670,0.8378,88.48
12730,0.837,88.53
12730,0.8347,88.54
12740,0.8338,88.63
12690,0.8358,88.57
12730,0.8346,88.59
12730,0.8364,88.54
12770,0.8352,88.6
12730,0.8352,88.57
12720,0.8358,88.55
12750,0.8335,88.6
12700,0.8347,88.56
12700,0.8355,88.54
12660,0.8381,88.47
12720,0.8348,88.61
12690,0.8375,88.55
12690,0.8366,88.55
12660,0.8361,88.5
12710,0.8347,88.62
12690,0.8388,88.49
12690,0.8352,88.5
12730,0.8355,88.6
12710,0.8367,88.57
12710,0.8357,88.55
12690,0.8371,88.5
12670,0.8363,88.51
12730,0.8352,88.56
12710,0.836,88.58
12700,0.8359,88.49
12710,0.836,88.51
12690,0.8359,88.51
12700,0.8347,88.56
12670,0.8359,88.53
12710,0.8335,88.55
12750,0.834,88.57
12670,0.8347,88.5
12670,0.8362,88.55
12680,0.8366,88.53
12640,0.8365,88.49
12680,0.8349,88.52
12690,0.8359,88.52
12670,0.8392,88.43
12720,0.8358,88.53
12720,0.834,88.63
12680,0.8371,88.46
12680,0.8356,88.51
12720,0.8347,88.56
12720,0.8356,88.56
12720,0.8341,88.55
12720,0.8352,88.57
12680,0.8354,88.54
12740,0.8354,88.56
12650,0.8375,88.43
12730,0.8344,88.53
12790,0.8333,88.71
12750,0.8353,88.58
12720,0.836,88.55
12720,0.8365,88.59
12750,0.8332,88.67
12680,0.837,88.52
12700,0.8367,88.47
12710,0.8344,88.59
12710,0.8344,88.58
12690,0.8369,88.59
12660,0.8368,88.51
12670,0.8379,88.49
12690,0.8358,88.57
12630,0.8374,88.5
12640,0.8389,88.46
12670,0.8355,88.53
12700,0.8355,88.57
12720,0.8352,88.53
12690,0.8362,88.52
12700,0.834,88.58
12700,0.8358,88.55
12670,0.8357,88.52
12710,0.8346,88.53
12670,0.8347,88.5
12640,0.8367,88.44
12650,0.835,88.49
12700,0.8363,88.56
12670,0.838,88.47
12710,0.8347,88.59
12680,0.8368,88.51
12730,0.8347,88.55
12690,0.8352,88.47
12750,0.8343,88.63
12710,0.8352,88.57
12680,0.8352,88.57
12710,0.8361,88.57
12720,0.8352,88.61
12690,0.8368,88.48
12630,0.837,88.43
12740,0.8337,88.61
12660,0.8368,88.47
12730,0.8362,88.59
12740,0.8345,88.57
12710,0.8344,88.54
12730,0.836,88.57
12680,0.838,88.48
12660,0.8376,88.44
12730,0.8382,88.49
12700,0.8347,88.54
12730,0.8352,88.6
12710,0.8353,88.55
12700,0.8354,88.57
12700,0.8379,88.5
12720,0.8349,88.59
12710,0.8354,88.57
12730,0.8366,88.57
12730,0.8349,88.61
12660,0.8361,88.47
12730,0.8345,88.61
12680,0.8371,88.49
12690,0.835,88.57
12720,0.8366,88.54
12710,0.8358,88.56
12750,0.8351,88.61
12730,0.835,88.61
12710,0.8368,88.5
12690,0.8366,88.51
12710,0.8345,88.54
12680,0.835,88.53
12700,0.8353,88.54
12670,0.8364,88.51
12750,0.8332,88.6
12730,0.8349,88.59
12690,0.8377,88.5
12700,0.8342,88.55
12720,0.8358,88.58
12730,0.8352,88.57
12720,0.8368,88.55
12720,0.8359,88.56
12730,0.8349,88.6
12690,0.8376,88.51
12680,0.8371,88.48
12730,0.8348,88.6
12710,0.835,88.56
12740,0.8339,88.62
12720,0.8373,88.53
12660,0.8379,88.51
12720,0.8351,88.6
12680,0.8348,88.58
12630,0.8369,88.42
12660,0.8366,88.49
12720,0.8368,88.56
12710,0.8347,88.59
12690,0.836,88.56
12690,0.8356,88.55
12690,0.8374,88.51
12740,0.8353,88.56
12710,0.8365,88.52
12700,0.8377,88.55
12710,0.8337,88.64
12730,0.8346,88.61
12680,0.8365,88.48
12670,0.8365,88.54
12700,0.8364,88.57
12650,0.8373,88.47
12680,0.8377,88.48
12680,0.8366,88.51
12690,0.8366,88.54
12700,0.8357,88.5
12770,0.8357,88.6
12710,0.8365,88.58
12700,0.8369,88.51
12710,0.8368,88.48
12760,0.8336,88.6
12690,0.8342,88.55
12620,0.8381,88.45
12640,0.8367,88.51
12650,0.8355,88.48
12650,0.8342,88.5
12670,0.8392,88.47
12680,0.8356,88.49
12720,0.8357,88.59
12720,0.8353,88.55
12730,0.8336,88.64
12720,0.8349,88.54
12710,0.8365,88.57
12700,0.8363,88.55
12680,0.8364,88.54
12680,0.8359,88.55
12680,0.8369,88.51
12670,0.8372,88.5
12650,0.838,88.44
12700,0.8358,88.52
12720,0.8349,88.58
12710,0.8339,88.58
12700,0.8351,88.55
12660,0.8378,88.49
12660,0.8361,88.48
12700,0.8358,88.54
12690,0.836,88.48
12690,0.8359,88.56
12690,0.8359,88.54
12700,0.8359,88.56
12720,0.8347,88.61
12720,0.8354,88.55
12710,0.8359,88.63
12680,0.8366,88.54
12630,0.8373,88.44
12720,0.8355,88.57
12750,0.8335,88.56
12700,0.8369,88.57
12710,0.8377,88.56
12720,0.8358,88.55
12730,0.8361,88.56
12730,0.8356,88.58
12730,0.8348,88.58
12710,0.8385,88.54
12760,0.8351,88.62
12800,0.8331,88.67
12740,0.835,88.6
12650,0.836,88.51
12690,0.8353,88.59
12690,0.8361,88.55
12710,0.836,88.53
12640,0.8367,88.48
12650,0.8354,88.47
12710,0.8356,88.57
12680,0.8366,88.56
12740,0.837,88.53
12620,0.8377,88.43
12690,0.8371,88.58
12690,0.8375,88.56
12720,0.8353,88.57
12700,0.8358,88.57
