hERG_IC50,hERG_h,hERG_Bmax
690.6,1.414,86.76
690.8,1.415,86.76
690.6,1.413,86.73
690.4,1.415,86.77
690.6,1.415,86.77
689.9,1.414,86.76
688.9,1.414,86.75
690.7,1.414,86.75
690.3,1.415,86.76
690.3,1.415,86.76
690.1,1.415,86.76
690.2,1.416,86.78
692,1.416,86.78
690.6,1.415,86.76
692,1.417,86.79
690,1.415,86.77
690.5,1.415,86.76
690.3,1.415,86.76
690.9,1.416,86.77
690.4,1.414,86.75
689.4,1.413,86.74
690.4,1.415,86.76
691.6,1.417,86.8
689.7,1.414,86.75
691.8,1.415,86.77
691,1.415,86.77
690.9,1.416,86.77
689.9,1.414,86.76
690.1,1.412,86.73
691.3,1.416,86.78
690.1,1.414,86.73
690.1,1.416,86.78
690.3,1.415,86.77
689.9,1.415,86.77
689,1.415,86.75
690.2,1.416,86.79
691.3,1.415,86.75
690.6,1.414,86.75
690.7,1.414,86.75
690.9,1.416,86.78
688.4,1.413,86.74
690.9,1.416,86.78
691,1.414,86.75
690.8,1.416,86.78
690.3,1.414,86.75
690.3,1.414,86.76
690.9,1.416,86.79
690.7,1.415,86.76
689.6,1.414,86.75
690.6,1.415,86.77
691.2,1.416,86.78
691.2,1.416,86.79
691.4,1.413,86.75
690.1,1.413,86.75
689.2,1.414,86.76
690.9,1.417,86.8
690.7,1.416,86.78
691.3,1.413,86.74
690.7,1.415,86.77
689.4,1.414,86.76
687.5,1.413,86.75
688.8,1.412,86.73
689.9,1.415,86.77
690.1,1.415,86.77
691,1.415,86.77
690.4,1.415,86.76
689.3,1.415,86.78
689.9,1.415,86.77
691.7,1.416,86.79
690,1.414,86.76
690.4,1.416,86.78
689.9,1.415,86.76
690.8,1.414,86.74
690.6,1.414,86.76
690.4,1.414,86.75
690.2,1.417,86.79
690.6,1.414,86.74
690.2,1.413,86.74
690.4,1.414,86.75
690.2,1.416,86.77
689.6,1.412,86.73
690.2,1.414,86.76
691.2,1.415,86.77
690.2,1.416,86.77
691.1,1.416,86.79
691,1.415,86.75
690.5,1.415,86.76
690.9,1.414,86.75
690.4,1.415,86.78
690.8,1.414,86.75
690.1,1.415,86.77
690,1.416,86.78
691.3,1.415,86.77
690.3,1.416,86.78
691,1.415,86.76
690.2,1.414,86.75
689.8,1.414,86.76
690.3,1.414,86.75
693.7,1.417,86.79
692.1,1.417,86.77
