hERG_IC50,hERG_h,hERG_Bmax
10.35,1.367,94.04
10.37,1.366,94.04
10.37,1.365,94.09
10.35,1.367,94.04
10.37,1.363,94.08
10.37,1.365,94.07
10.34,1.367,94.02
10.35,1.365,94.03
10.34,1.366,94.07
10.37,1.366,94.09
10.37,1.366,94.07
10.34,1.367,94.02
10.36,1.366,94.1
10.35,1.368,94.02
10.37,1.366,94.04
10.36,1.362,94.1
10.37,1.365,94.07
10.37,1.367,94.01
10.36,1.367,94.03
10.37,1.366,94.06
10.35,1.365,94.01
10.36,1.363,94.09
10.36,1.366,94.09
10.38,1.364,94.14
10.37,1.365,94.08
10.36,1.366,94.05
10.34,1.364,94.03
10.37,1.367,94.06
10.37,1.368,94.04
10.36,1.369,94.01
10.38,1.366,94.07
10.37,1.367,94.05
10.35,1.366,94.01
10.37,1.363,94.05
10.34,1.369,93.99
10.34,1.369,93.99
10.36,1.363,94.09
10.35,1.365,94.05
10.35,1.363,94.05
10.36,1.364,94.08
10.35,1.368,93.99
10.35,1.367,94.01
10.36,1.365,94.05
10.35,1.369,93.95
10.38,1.367,94.06
10.37,1.365,94.1
10.38,1.368,94.08
10.37,1.366,94.08
10.35,1.367,94.01
10.37,1.367,94.07
10.35,1.368,94.02
10.35,1.365,94.05
10.35,1.365,94.05
10.37,1.364,94.05
10.36,1.367,94.06
10.35,1.367,94.05
10.36,1.37,94
10.38,1.366,94.1
10.34,1.365,94.04
10.36,1.364,94.07
10.34,1.369,93.98
10.33,1.367,94
10.37,1.365,94.08
10.34,1.368,94.01
10.33,1.367,93.94
10.35,1.366,94.01
10.36,1.367,94.05
10.34,1.367,94.02
10.36,1.368,94.03
10.36,1.368,94.01
10.37,1.367,94.03
10.36,1.367,94.02
10.35,1.368,94.04
10.36,1.366,94.04
10.36,1.369,93.99
10.38,1.365,94.09
10.35,1.365,94.05
10.37,1.364,94.07
10.37,1.365,94.03
10.37,1.367,94.06
10.35,1.364,94.06
10.36,1.365,94.1
10.35,1.367,94.03
10.36,1.365,94.1
10.35,1.365,94.06
10.35,1.368,94.03
10.35,1.367,94.02
10.37,1.367,94.04
10.34,1.369,94.06
10.37,1.366,94.11
10.36,1.367,94.04
10.36,1.365,94.06
10.37,1.363,94.09
10.35,1.363,94.06
10.34,1.37,93.99
10.37,1.364,94.09
10.38,1.365,94.11
10.35,1.369,94.02
10.36,1.365,94.12
10.35,1.368,94
10.35,1.366,94.02
10.35,1.364,94.02
10.37,1.367,94.03
10.36,1.369,94
10.35,1.364,94.06
10.37,1.365,94.09
10.32,1.368,93.97
10.35,1.365,94.07
10.37,1.368,94.05
10.36,1.369,94.07
10.36,1.367,94.07
10.37,1.366,94.09
10.34,1.366,94.02
10.33,1.37,93.94
10.34,1.365,94.02
10.36,1.364,94.09
10.34,1.369,94.05
10.34,1.364,94.06
10.35,1.366,94.01
10.36,1.365,94.07
10.35,1.368,93.99
10.35,1.367,94.03
10.35,1.367,94.03
10.33,1.369,93.95
10.34,1.367,94.03
10.34,1.368,94.01
10.36,1.366,94.05
10.36,1.369,93.99
10.35,1.368,94.04
10.36,1.367,94.03
10.35,1.365,94.08
10.35,1.365,93.99
10.36,1.367,94
10.35,1.368,94.01
10.35,1.368,94.04
10.35,1.368,94.02
10.33,1.369,93.99
10.37,1.364,94.09
10.35,1.365,93.99
10.36,1.363,94.07
10.39,1.361,94.1
10.36,1.367,94.02
10.34,1.368,93.96
10.35,1.368,93.99
10.35,1.368,93.99
10.37,1.365,94.04
10.36,1.365,94.04
10.39,1.364,94.13
10.37,1.369,94.01
10.36,1.363,94.07
10.36,1.366,94.02
10.36,1.367,94.04
10.36,1.366,94.06
10.36,1.365,94.1
10.38,1.365,94.1
10.37,1.364,94.11
10.37,1.366,94.05
10.36,1.365,94.05
10.33,1.369,94.01
10.38,1.366,94.1
10.37,1.366,94.04
10.33,1.367,94.02
10.36,1.366,94.07
10.33,1.367,94.03
10.35,1.369,94
10.37,1.367,94.02
10.35,1.366,94.01
10.34,1.369,94
10.35,1.366,94.03
10.35,1.367,93.99
10.34,1.366,94.02
10.34,1.367,94.01
10.37,1.366,94.07
10.35,1.367,94.01
10.36,1.364,94.03
10.37,1.369,94.04
10.37,1.364,94.09
10.38,1.364,94.1
10.36,1.365,94.07
10.35,1.366,94.04
10.36,1.368,94.02
10.35,1.367,94.05
10.35,1.366,94
10.35,1.365,94
10.36,1.367,94.08
10.36,1.365,94.09
10.38,1.366,94.11
10.37,1.367,94.1
10.38,1.366,94.08
10.36,1.369,94.07
10.35,1.367,94.01
10.33,1.367,93.99
10.34,1.368,93.98
10.36,1.368,94.03
10.35,1.368,93.99
10.33,1.37,93.96
10.36,1.369,94
10.36,1.363,94.04
10.34,1.367,93.97
10.35,1.366,94.03
10.35,1.365,94.02
10.36,1.366,94.01
10.38,1.366,94.06
10.35,1.369,94.01
10.35,1.366,94.06
10.37,1.365,94.1
10.34,1.367,93.99
10.35,1.366,94.03
10.37,1.366,94.05
10.34,1.365,94.04
10.33,1.369,93.99
10.34,1.367,94.04
10.37,1.367,94.06
10.35,1.369,94.04
10.36,1.366,94.05
10.36,1.367,94.02
10.35,1.366,94.05
10.37,1.365,94.07
10.35,1.367,94.03
10.34,1.369,93.99
10.37,1.367,94.08
10.32,1.369,93.96
10.36,1.366,94.04
10.35,1.369,94.03
10.35,1.367,94.05
10.35,1.366,94.03
10.38,1.367,94.04
10.38,1.364,94.08
10.39,1.362,94.13
10.37,1.367,94.06
10.35,1.367,93.99
10.36,1.367,94.07
10.36,1.366,94.05
10.36,1.368,94
10.38,1.365,94.07
10.35,1.367,94.02
10.36,1.365,94.06
10.34,1.368,94
10.35,1.368,93.99
10.37,1.365,94.1
10.36,1.365,94.07
10.37,1.364,94.06
10.36,1.365,94.05
10.36,1.367,94.06
10.36,1.367,94.04
10.36,1.368,94.05
10.34,1.368,94.03
10.36,1.366,94.04
10.35,1.365,94.02
10.35,1.367,94.03
10.33,1.369,94
10.35,1.366,94.06
10.34,1.367,94.04
10.38,1.367,94.07
10.35,1.367,94.02
10.36,1.366,94.06
10.36,1.366,94.05
10.35,1.363,94.07
10.35,1.368,94.03
10.34,1.368,94.04
10.34,1.366,94
10.36,1.368,94.01
10.35,1.367,94.06
10.37,1.365,94.09
10.4,1.363,94.13
10.38,1.367,94.08
10.36,1.365,94.06
10.38,1.364,94.07
10.36,1.364,94.06
10.36,1.365,94.1
10.36,1.366,94.03
10.34,1.368,94
10.35,1.366,94.01
10.34,1.368,94.04
10.35,1.37,94.03
10.35,1.364,94.04
10.35,1.366,94.01
10.35,1.367,94.05
10.37,1.364,94.1
10.35,1.365,94.07
10.35,1.364,94.07
10.37,1.366,94.09
10.36,1.37,94.01
10.38,1.367,94.06
10.37,1.367,94.07
10.34,1.364,94.01
10.35,1.368,93.98
10.37,1.367,94.09
10.35,1.368,93.98
10.34,1.369,94
10.35,1.369,94.02
10.34,1.367,94.01
10.35,1.365,94.06
10.38,1.365,94.09
10.36,1.363,94.05
10.35,1.366,94
10.36,1.367,94.05
10.34,1.369,94
10.38,1.364,94.06
10.38,1.364,94.08
10.36,1.368,94.06
10.36,1.365,94.02
10.37,1.364,94.08
10.39,1.364,94.07
10.35,1.363,94.05
10.36,1.366,94.05
10.35,1.366,94.01
10.34,1.366,94.01
10.33,1.369,93.97
10.35,1.367,94.01
10.36,1.362,94.04
10.33,1.371,93.93
10.35,1.365,94.05
10.37,1.367,94.04
10.36,1.364,94.04
10.36,1.366,94.05
10.36,1.367,94.03
10.34,1.368,94
10.36,1.364,94.11
10.37,1.364,94.11
10.36,1.367,94.06
10.36,1.366,94.02
10.36,1.366,94.06
10.35,1.366,94.03
10.34,1.365,94.01
10.34,1.366,93.99
10.35,1.37,94.01
10.37,1.369,94.06
10.34,1.368,94.03
10.34,1.365,94.02
10.37,1.364,94.05
10.36,1.367,94.02
10.35,1.369,94
10.36,1.367,94.04
10.36,1.367,94
10.39,1.364,94.11
10.37,1.362,94.11
10.37,1.365,94.09
10.37,1.365,94.11
10.37,1.361,94.08
10.35,1.365,94.06
10.35,1.365,94.04
10.35,1.365,94.05
10.37,1.367,94.11
10.38,1.364,94.1
10.36,1.367,94.03
10.36,1.367,94.05
10.35,1.365,94.07
10.39,1.366,94.09
10.36,1.366,94.11
10.34,1.367,94.02
10.35,1.37,93.97
10.37,1.363,94.05
10.34,1.365,93.99
10.35,1.363,94.05
10.36,1.365,94.05
10.34,1.37,93.95
10.35,1.368,94.01
10.36,1.369,94.04
10.34,1.367,94.01
10.35,1.365,94.07
10.35,1.364,94.03
10.36,1.366,94.02
10.36,1.366,94.07
10.35,1.367,94.03
10.35,1.366,94.01
10.37,1.364,94.05
10.34,1.37,93.97
10.36,1.367,94.03
10.36,1.365,94.04
10.37,1.365,94.07
10.38,1.365,94.08
10.36,1.368,94.06
10.37,1.368,94.08
10.36,1.367,94.05
10.35,1.366,94.02
10.38,1.365,94.06
10.34,1.367,93.99
10.38,1.366,94.1
10.37,1.366,94.1
10.36,1.366,94.08
10.35,1.367,94.06
10.37,1.365,94.1
10.34,1.369,93.97
10.34,1.37,94.01
10.35,1.365,94.06
10.35,1.367,93.99
10.35,1.367,94.02
10.35,1.367,94
10.36,1.365,94.04
10.36,1.363,94.03
10.37,1.368,93.99
10.37,1.37,94.01
10.39,1.363,94.15
10.36,1.367,94.04
10.34,1.364,94.03
10.37,1.365,94.08
10.37,1.366,94.06
10.36,1.365,94.09
10.34,1.365,94.02
10.36,1.364,94.07
10.32,1.369,93.99
10.37,1.365,94.08
10.39,1.365,94.1
10.36,1.365,94.08
10.38,1.364,94.07
10.37,1.366,94.07
10.35,1.367,93.97
10.37,1.363,94.05
10.36,1.362,94.09
10.37,1.369,94.02
10.36,1.367,94.05
10.36,1.366,94.08
10.35,1.367,94.09
10.35,1.366,94.03
10.34,1.368,94
10.37,1.367,94.07
10.37,1.367,94.1
10.37,1.367,94.09
10.39,1.365,94.12
10.36,1.365,94.08
10.36,1.367,94.05
10.36,1.367,94.04
10.37,1.368,94.05
10.36,1.365,94.07
10.36,1.366,94.05
10.37,1.365,94.08
10.37,1.363,94.05
10.34,1.37,93.97
10.34,1.364,94.03
10.35,1.368,94.03
10.36,1.366,94.03
10.35,1.366,94.06
10.37,1.365,94.05
10.34,1.368,93.97
10.37,1.365,94.09
10.34,1.368,94.01
10.32,1.37,93.96
10.36,1.369,94.04
10.34,1.366,94.08
10.36,1.367,94.06
10.34,1.368,94
10.36,1.364,94.07
10.35,1.363,94.05
10.35,1.367,93.96
10.36,1.364,94.1
10.35,1.364,94.03
10.34,1.365,94.01
10.35,1.367,94.04
10.36,1.365,94.04
10.36,1.365,94.07
10.35,1.367,94.03
10.36,1.362,94.09
10.35,1.364,94.09
10.33,1.368,93.99
10.36,1.366,94.01
10.36,1.367,94.03
10.36,1.365,94.02
10.36,1.368,94.02
10.35,1.367,94.01
10.35,1.365,94.06
10.34,1.365,94.05
10.37,1.366,94.06
10.36,1.366,94
10.38,1.365,94.07
10.35,1.367,94.06
10.36,1.367,94.05
10.37,1.362,94.1
10.33,1.365,93.98
10.36,1.365,93.99
