hERG_IC50,hERG_h,hERG_Bmax
39.93,0.6863,98.64
39.91,0.6868,98.6
39.98,0.6869,98.62
39.91,0.6871,98.58
39.62,0.6887,98.39
39.99,0.6866,98.64
40.15,0.6855,98.74
40.22,0.6846,98.84
40.08,0.6857,98.75
40.13,0.6855,98.76
40.04,0.6859,98.68
40.12,0.6859,98.73
40.01,0.687,98.65
40.1,0.6864,98.68
40.15,0.6854,98.77
40.13,0.6862,98.73
40.09,0.6869,98.7
40.13,0.6865,98.7
39.85,0.6882,98.53
40.02,0.6868,98.64
40.18,0.6858,98.77
39.8,0.6881,98.52
39.93,0.6873,98.6
40.12,0.6856,98.76
40.21,0.6861,98.76
40.29,0.6848,98.81
40.07,0.6866,98.67
39.99,0.6873,98.64
40.08,0.6853,98.75
40.04,0.6859,98.7
39.95,0.6868,98.6
39.94,0.687,98.59
39.86,0.6877,98.53
39.89,0.6866,98.56
39.9,0.6862,98.61
39.75,0.6875,98.49
40.02,0.6853,98.69
40.07,0.6845,98.7
39.91,0.6861,98.58
39.74,0.6869,98.48
39.93,0.6861,98.58
39.73,0.6867,98.47
39.88,0.686,98.53
39.86,0.686,98.56
39.83,0.6857,98.57
39.61,0.6882,98.35
39.96,0.6854,98.61
39.61,0.6877,98.37
39.62,0.6879,98.39
39.52,0.6889,98.3
39.72,0.6875,98.43
39.6,0.6883,98.37
39.48,0.6893,98.24
39.47,0.6895,98.23
39.67,0.6875,98.44
39.74,0.6874,98.46
39.5,0.6892,98.25
39.37,0.6898,98.16
39.25,0.6904,98.13
39.46,0.6894,98.26
39.84,0.6863,98.53
39.67,0.687,98.42
39.81,0.6864,98.49
39.8,0.6867,98.49
39.67,0.6881,98.37
39.73,0.687,98.47
39.63,0.6883,98.35
39.9,0.6859,98.59
39.66,0.688,98.41
39.91,0.6861,98.61
39.61,0.6883,98.41
39.81,0.6865,98.54
39.9,0.6873,98.54
39.71,0.6881,98.43
39.72,0.6875,98.44
39.88,0.6867,98.57
39.89,0.6866,98.59
39.88,0.6872,98.56
39.9,0.6868,98.57
39.85,0.6869,98.54
40,0.6854,98.64
39.75,0.6874,98.49
39.56,0.6889,98.33
39.49,0.6893,98.31
39.69,0.6874,98.43
39.47,0.6888,98.31
39.47,0.6899,98.28
39.39,0.6906,98.23
39.85,0.6871,98.59
39.88,0.6871,98.59
39.99,0.6867,98.64
39.78,0.688,98.51
39.79,0.6873,98.54
39.75,0.6872,98.47
39.76,0.6876,98.48
39.86,0.6864,98.53
39.77,0.6874,98.49
39.81,0.6871,98.54
39.91,0.6865,98.61
39.96,0.6863,98.6
40.03,0.6854,98.67
39.89,0.6863,98.56
39.73,0.6872,98.45
39.83,0.6861,98.55
40.06,0.6852,98.66
39.96,0.686,98.57
39.85,0.6862,98.52
39.77,0.6868,98.45
39.74,0.6864,98.45
39.65,0.6872,98.41
39.85,0.6856,98.59
39.74,0.6865,98.52
39.7,0.6874,98.44
39.54,0.6891,98.25
39.66,0.687,98.43
39.48,0.6886,98.29
39.78,0.6868,98.46
39.85,0.6861,98.52
39.57,0.6879,98.33
39.62,0.6882,98.33
39.83,0.6862,98.51
40.1,0.6842,98.73
39.66,0.6872,98.42
39.72,0.6872,98.46
39.75,0.6875,98.44
39.84,0.6867,98.52
39.77,0.6869,98.5
39.55,0.6886,98.29
39.93,0.6858,98.55
39.69,0.6877,98.4
39.85,0.6858,98.56
39.96,0.6859,98.57
39.97,0.6862,98.57
39.81,0.6867,98.49
39.89,0.6866,98.58
39.84,0.6867,98.55
40.01,0.6857,98.67
39.83,0.6872,98.5
39.74,0.6879,98.47
39.87,0.6865,98.56
39.58,0.6888,98.31
39.7,0.6877,98.4
39.96,0.6858,98.57
39.69,0.6873,98.41
39.72,0.6873,98.43
39.37,0.6891,98.2
39.7,0.6873,98.43
39.71,0.6871,98.42
39.93,0.6849,98.6
39.85,0.6862,98.54
39.78,0.6871,98.44
39.62,0.6883,98.33
39.74,0.6868,98.49
39.72,0.6872,98.45
39.78,0.6872,98.45
39.57,0.6878,98.38
39.67,0.6868,98.42
39.51,0.6884,98.28
39.55,0.6879,98.33
39.96,0.6856,98.61
39.66,0.6876,98.39
39.97,0.6852,98.63
39.8,0.6865,98.53
39.75,0.6875,98.46
39.84,0.6872,98.52
40.03,0.6857,98.69
39.58,0.6884,98.38
39.83,0.6871,98.5
39.53,0.6889,98.29
40.01,0.6863,98.58
39.95,0.6859,98.61
39.74,0.6873,98.48
39.88,0.6867,98.55
39.59,0.6887,98.3
39.55,0.689,98.3
39.72,0.6874,98.45
39.93,0.6855,98.6
39.67,0.6877,98.4
39.52,0.6887,98.31
