hERG_IC50,hERG_h,hERG_Bmax
66.33,0.653,84.54
66.48,0.6521,84.6
66.48,0.6518,84.6
66.7,0.6495,84.69
65.86,0.6516,84.48
66.81,0.651,84.68
66.62,0.6519,84.63
66.49,0.6516,84.61
66.55,0.6527,84.6
66.72,0.6501,84.69
66.31,0.6532,84.54
67.22,0.6484,84.82
66.22,0.6534,84.52
66.47,0.6515,84.61
66.64,0.6522,84.63
66.5,0.6516,84.61
66.52,0.652,84.61
66.54,0.6514,84.63
66.49,0.653,84.58
66.47,0.6495,84.65
66.56,0.652,84.63
66.66,0.6517,84.65
66.2,0.6534,84.52
66.38,0.6523,84.58
66.41,0.6524,84.58
66.57,0.6509,84.65
66.36,0.6495,84.62
66.92,0.6479,84.77
66.41,0.6516,84.59
67.14,0.6498,84.78
66.54,0.6526,84.59
66.13,0.6557,84.45
66.28,0.6544,84.51
66.76,0.6496,84.7
67.03,0.6501,84.75
66.6,0.6515,84.63
66.69,0.6503,84.68
66.53,0.6506,84.64
66.68,0.6491,84.69
67.12,0.6494,84.78
66.97,0.6524,84.69
66.49,0.6521,84.6
65.86,0.6537,84.44
66.46,0.6514,84.61
67,0.6471,84.8
66.74,0.6508,84.68
67.33,0.6497,84.82
66.75,0.6524,84.64
66.42,0.6555,84.51
67.26,0.6526,84.74
65.96,0.6511,84.52
67.13,0.651,84.75
66.19,0.6546,84.48
66.91,0.6497,84.73
66.92,0.6511,84.7
66.37,0.6541,84.54
66.27,0.6545,84.51
66.73,0.6534,84.63
66.52,0.6508,84.63
66.41,0.652,84.59
66.52,0.6531,84.58
66.9,0.6503,84.72
66.43,0.6521,84.59
66.26,0.6519,84.56
66.14,0.6511,84.55
66.42,0.6501,84.62
66.7,0.6498,84.69
66,0.6522,84.5
66.6,0.6508,84.65
66.13,0.6532,84.51
66.26,0.6502,84.59
66.19,0.652,84.54
66.65,0.6514,84.66
66.15,0.6526,84.53
66.84,0.65,84.71
66.98,0.6524,84.69
66.22,0.6537,84.51
66.25,0.6539,84.52
66.69,0.6517,84.65
66.26,0.6531,84.54
66.67,0.651,84.66
66.3,0.6524,84.56
66.69,0.6517,84.65
66.51,0.6505,84.65
66.33,0.6532,84.55
66.72,0.6516,84.66
66.93,0.6511,84.72
66.15,0.6525,84.52
67.04,0.6476,84.81
67.05,0.6495,84.77
66.53,0.6537,84.58
66.36,0.6553,84.51
67.07,0.65,84.75
66.89,0.6496,84.73
66.23,0.6511,84.57
66.23,0.6519,84.56
66.89,0.6516,84.7
66.63,0.6528,84.62
66.7,0.6519,84.66
66.63,0.6532,84.61
65.57,0.6548,84.37
66.67,0.6509,84.67
66.46,0.6527,84.59
66.27,0.654,84.52
66.59,0.6504,84.66
66.7,0.6519,84.65
66.5,0.6504,84.63
66.66,0.6511,84.66
66.47,0.6511,84.62
66.83,0.6507,84.7
66.71,0.6519,84.65
66.48,0.651,84.62
66.48,0.6501,84.64
66.29,0.6493,84.62
66.32,0.6532,84.54
66.53,0.6518,84.62
66.31,0.6527,84.56
66.38,0.6504,84.61
66.58,0.6522,84.62
66.88,0.652,84.68
65.75,0.654,84.41
66.1,0.6526,84.51
66.07,0.6526,84.51
66.37,0.6508,84.61
66.42,0.6518,84.6
67.18,0.6487,84.8
67.2,0.6493,84.79
66.62,0.652,84.62
66.85,0.6493,84.73
66.41,0.6533,84.56
66.54,0.6534,84.58
66.33,0.6524,84.57
66.68,0.6503,84.68
66.83,0.6485,84.74
66.83,0.6496,84.72
67.31,0.6482,84.84
65.8,0.6543,84.43
66.36,0.6529,84.56
66.63,0.6521,84.63
66.49,0.6508,84.63
66.34,0.651,84.59
66.63,0.6512,84.65
66.67,0.6507,84.67
66.6,0.6506,84.66
66.09,0.6525,84.53
66.31,0.6531,84.55
65.83,0.6532,84.45
66.39,0.6531,84.57
66.51,0.6527,84.59
66.36,0.6543,84.53
66.25,0.6536,84.53
66.78,0.6513,84.68
66.74,0.6513,84.67
66.75,0.6518,84.67
66.45,0.6494,84.65
66.86,0.65,84.73
66.37,0.6529,84.56
65.94,0.6533,84.47
66.12,0.6512,84.55
66.44,0.6529,84.58
66.13,0.6524,84.52
66.11,0.6527,84.52
66.8,0.6505,84.7
66.78,0.6497,84.72
66.23,0.6532,84.54
66.14,0.653,84.52
66.83,0.6504,84.71
67.05,0.6508,84.74
66.73,0.6521,84.66
66.7,0.6512,84.67
66.73,0.6511,84.68
65.95,0.6533,84.48
66.69,0.6505,84.68
67.09,0.6497,84.77
66.8,0.6487,84.73
67.07,0.6494,84.78
66.38,0.6524,84.58
66.82,0.6497,84.72
66.18,0.6513,84.56
66.54,0.6525,84.61
66.73,0.6509,84.67
66.42,0.6522,84.59
66.42,0.6522,84.6
