hERG_IC50,hERG_h,hERG_Bmax
4.605,1.032,89.67
4.622,1.029,89.76
4.613,1.029,89.73
4.609,1.03,89.71
4.613,1.03,89.73
4.632,1.028,89.79
4.627,1.03,89.78
4.627,1.032,89.71
4.608,1.032,89.71
4.607,1.029,89.72
4.609,1.029,89.74
4.609,1.031,89.72
4.617,1.03,89.72
4.625,1.03,89.72
4.623,1.03,89.74
4.624,1.029,89.74
4.61,1.033,89.72
4.614,1.031,89.68
4.616,1.03,89.7
4.617,1.033,89.72
4.614,1.03,89.76
4.615,1.032,89.75
4.618,1.03,89.75
4.615,1.03,89.71
4.621,1.028,89.71
4.616,1.029,89.72
4.615,1.03,89.73
4.617,1.029,89.73
4.613,1.03,89.72
4.616,1.028,89.75
4.621,1.031,89.72
4.604,1.032,89.7
4.609,1.031,89.75
4.609,1.03,89.7
4.611,1.029,89.72
4.624,1.028,89.74
4.618,1.03,89.73
4.62,1.032,89.76
4.631,1.032,89.78
4.621,1.031,89.68
4.612,1.031,89.72
4.62,1.032,89.72
4.62,1.029,89.76
4.624,1.03,89.82
4.612,1.032,89.73
4.614,1.032,89.68
4.622,1.029,89.78
4.624,1.03,89.78
4.631,1.027,89.8
4.619,1.03,89.73
4.623,1.03,89.75
4.611,1.029,89.71
4.613,1.031,89.73
4.609,1.032,89.68
4.602,1.03,89.67
4.605,1.029,89.69
4.616,1.031,89.67
4.618,1.028,89.73
4.617,1.028,89.71
4.621,1.027,89.76
4.636,1.028,89.8
4.633,1.029,89.8
4.619,1.03,89.78
4.619,1.03,89.75
4.629,1.03,89.79
4.628,1.032,89.73
4.61,1.031,89.73
4.616,1.032,89.71
4.602,1.033,89.69
4.605,1.034,89.7
4.621,1.03,89.75
4.629,1.031,89.77
4.62,1.032,89.7
4.622,1.026,89.77
4.624,1.028,89.77
4.614,1.032,89.76
4.617,1.031,89.76
4.626,1.03,89.74
4.616,1.031,89.77
4.607,1.031,89.75
4.601,1.03,89.72
4.602,1.032,89.67
4.618,1.032,89.71
