hERG_IC50,hERG_h,hERG_Bmax
4221,0.9648,98.15
4223,0.9641,98.17
4220,0.9659,98.14
4231,0.9641,98.23
4228,0.9632,98.21
4226,0.9633,98.19
4222,0.9637,98.16
4222,0.9648,98.16
4222,0.9654,98.15
4226,0.9638,98.19
4226,0.9644,98.19
4228,0.9631,98.21
4224,0.9629,98.17
4228,0.9634,98.21
4222,0.9645,98.15
4234,0.9622,98.26
4225,0.964,98.18
4221,0.9648,98.15
4223,0.9639,98.17
4218,0.9644,98.13
4220,0.9643,98.14
4226,0.9634,98.19
4230,0.9629,98.23
4232,0.9627,98.24
4228,0.9635,98.21
4233,0.963,98.25
4229,0.9636,98.22
4221,0.9648,98.15
4218,0.9643,98.13
4224,0.964,98.17
4226,0.9636,98.19
4226,0.9645,98.19
4225,0.9631,98.19
4227,0.9632,98.2
4224,0.9643,98.18
4225,0.9646,98.18
4218,0.965,98.13
4217,0.9645,98.12
4223,0.9637,98.17
4223,0.9637,98.16
4222,0.964,98.16
4224,0.963,98.18
4227,0.9638,98.2
4229,0.9635,98.21
4229,0.9638,98.21
4226,0.9638,98.19
4226,0.9637,98.19
4236,0.9622,98.28
4230,0.9628,98.23
4228,0.9644,98.2
4220,0.9647,98.14
4225,0.9641,98.18
4226,0.9646,98.19
4223,0.964,98.16
4222,0.9631,98.16
4213,0.9648,98.09
4224,0.9641,98.17
4223,0.9643,98.17
4222,0.9637,98.16
4221,0.9649,98.15
4221,0.9651,98.15
4235,0.963,98.26
4227,0.9639,98.2
4228,0.9634,98.21
4229,0.9645,98.21
4217,0.9647,98.12
4229,0.9638,98.21
4225,0.9632,98.19
4225,0.9637,98.18
4228,0.9635,98.2
4223,0.9646,98.16
4229,0.9627,98.22
4226,0.9637,98.19
4226,0.965,98.19
4226,0.9631,98.19
4221,0.9644,98.15
4220,0.965,98.14
4225,0.9632,98.18
4225,0.9649,98.18
4221,0.9634,98.15
4220,0.9653,98.14
4222,0.9648,98.16
4224,0.9642,98.17
4220,0.9645,98.14
4227,0.9645,98.2
4223,0.964,98.17
4220,0.9651,98.14
4225,0.9646,98.18
4222,0.9643,98.16
4230,0.9631,98.22
4225,0.9648,98.18
4221,0.9645,98.15
4216,0.9663,98.11
4229,0.9642,98.21
4228,0.9635,98.2
4227,0.9636,98.2
4223,0.9652,98.17
4226,0.9642,98.19
4221,0.964,98.15
4219,0.9657,98.13
4217,0.9653,98.12
4221,0.9644,98.15
4222,0.9637,98.16
4225,0.9632,98.18
4224,0.9643,98.17
4229,0.9633,98.21
4228,0.9642,98.2
4226,0.9644,98.19
4228,0.9633,98.21
4225,0.9645,98.18
4221,0.9635,98.15
4230,0.9632,98.23
4223,0.9643,98.17
4225,0.9654,98.18
4227,0.9644,98.2
4219,0.9648,98.13
4222,0.964,98.16
4219,0.9656,98.13
4226,0.9644,98.19
4222,0.9652,98.16
4222,0.9646,98.16
4218,0.9663,98.12
4227,0.964,98.2
4226,0.965,98.19
4227,0.9642,98.2
4223,0.965,98.16
4226,0.9642,98.19
4220,0.9642,98.14
4227,0.9644,98.2
4226,0.9647,98.19
4227,0.9639,98.2
4224,0.9645,98.17
4225,0.9638,98.19
4229,0.9633,98.21
4229,0.9646,98.21
4221,0.9654,98.15
4214,0.9661,98.09
4228,0.9632,98.2
4231,0.9637,98.23
4226,0.9639,98.19
4224,0.9625,98.18
4223,0.9641,98.17
4226,0.9628,98.19
4222,0.9647,98.16
4229,0.9651,98.21
4225,0.9641,98.19
4228,0.9636,98.2
4221,0.9635,98.15
4225,0.9632,98.19
4223,0.9648,98.16
