hERG_IC50,hERG_h,hERG_Bmax
20890,0.6827,96.51
20990,0.6811,96.68
21060,0.6799,96.78
20950,0.6819,96.63
20970,0.6815,96.63
20980,0.6811,96.61
20970,0.6814,96.63
20750,0.6856,96.42
20930,0.682,96.57
21060,0.6797,96.73
20970,0.6815,96.68
20940,0.6818,96.58
20860,0.6833,96.5
20970,0.6813,96.61
20830,0.6839,96.5
20820,0.6841,96.47
20860,0.6833,96.48
20820,0.6843,96.5
20990,0.681,96.63
20960,0.6815,96.61
20970,0.6813,96.61
20890,0.6828,96.56
20970,0.6814,96.67
20950,0.6818,96.6
20920,0.6823,96.58
20990,0.6811,96.68
20930,0.6822,96.61
20970,0.6814,96.61
20980,0.6811,96.63
20920,0.6823,96.56
21050,0.6798,96.71
20940,0.682,96.62
20960,0.6815,96.61
21040,0.6802,96.73
20930,0.6822,96.6
20980,0.6811,96.62
20950,0.6817,96.6
21050,0.6802,96.8
21060,0.6797,96.74
20990,0.681,96.65
21060,0.6798,96.75
20970,0.6813,96.64
20970,0.6814,96.61
20820,0.684,96.46
20940,0.6818,96.6
21050,0.6799,96.73
20880,0.6829,96.53
20980,0.6812,96.65
20860,0.6833,96.49
20990,0.6809,96.61
20790,0.6844,96.38
20950,0.6815,96.58
20990,0.6808,96.64
20980,0.6811,96.62
20880,0.6832,96.56
21040,0.6801,96.72
21010,0.6805,96.68
20950,0.6818,96.61
20750,0.6853,96.35
20800,0.6843,96.41
20990,0.6809,96.63
20940,0.6819,96.62
21040,0.6799,96.66
21010,0.6805,96.66
20960,0.6815,96.63
21000,0.6809,96.7
21090,0.6791,96.73
21010,0.6808,96.69
21020,0.6806,96.69
20910,0.6823,96.54
21030,0.6804,96.73
21080,0.6794,96.79
20970,0.6815,96.67
20820,0.684,96.44
20910,0.6827,96.6
20970,0.6813,96.65
20940,0.682,96.62
20970,0.6813,96.62
21030,0.6802,96.72
20960,0.6816,96.63
20980,0.6812,96.67
21020,0.6806,96.71
21000,0.6809,96.69
21040,0.6803,96.76
20900,0.6826,96.53
21000,0.6808,96.63
20940,0.6817,96.56
20870,0.6831,96.47
21040,0.68,96.67
21040,0.6799,96.68
21110,0.6789,96.79
21050,0.6799,96.74
20900,0.6825,96.52
20980,0.6814,96.69
20940,0.682,96.6
20980,0.6812,96.65
20960,0.6816,96.64
21010,0.6808,96.71
20910,0.6825,96.58
20910,0.6823,96.54
21000,0.6809,96.67
21040,0.68,96.72
20850,0.6836,96.48
21010,0.6803,96.59
20940,0.6819,96.61
21010,0.6805,96.64
20950,0.6817,96.59
20930,0.6821,96.59
21010,0.6807,96.7
21070,0.6795,96.74
20970,0.6814,96.64
20840,0.6837,96.5
20920,0.6823,96.57
21030,0.6802,96.7
21000,0.6809,96.67
21070,0.6795,96.71
21070,0.6795,96.75
21000,0.681,96.67
20830,0.6838,96.47
21010,0.6808,96.69
21060,0.6798,96.74
20950,0.6816,96.6
20930,0.6821,96.6
21140,0.6786,96.87
21010,0.6805,96.67
20920,0.6822,96.55
20900,0.6825,96.55
20930,0.6821,96.59
21010,0.6806,96.68
21000,0.6807,96.65
20900,0.6827,96.56
21020,0.6806,96.72
21090,0.679,96.73
20980,0.6811,96.62
21120,0.6786,96.76
20920,0.6823,96.59
21120,0.6786,96.8
20950,0.6817,96.63
20880,0.6831,96.53
20990,0.6812,96.69
20930,0.6822,96.62
20940,0.682,96.61
20860,0.6833,96.52
21060,0.6798,96.75
21110,0.6788,96.76
20980,0.6811,96.62
21010,0.6804,96.63
20900,0.6826,96.57
21040,0.6803,96.76
21090,0.6794,96.8
21020,0.6805,96.69
21020,0.6804,96.68
21030,0.6802,96.7
21020,0.6803,96.64
21050,0.6798,96.72
21150,0.6782,96.85
21190,0.6775,96.91
20960,0.6817,96.68
20950,0.6817,96.59
21050,0.6799,96.74
20930,0.6819,96.55
21080,0.6795,96.77
20900,0.6826,96.53
20970,0.6812,96.61
20820,0.6842,96.48
20970,0.6813,96.62
20910,0.6825,96.55
20970,0.6812,96.59
21080,0.6793,96.77
21130,0.6784,96.81
20880,0.6832,96.59
20930,0.682,96.56
20990,0.6811,96.65
20910,0.6824,96.55
20950,0.6816,96.59
21010,0.6807,96.69
21030,0.6804,96.7
20990,0.681,96.66
20980,0.681,96.63
20950,0.6818,96.65
20860,0.6832,96.48
20830,0.6839,96.48
20910,0.6824,96.56
21080,0.6795,96.8
20980,0.6812,96.65
21030,0.6803,96.72
20860,0.6833,96.49
20940,0.6819,96.6
21060,0.6796,96.72
20940,0.682,96.62
20920,0.6821,96.52
20960,0.6817,96.67
20980,0.6811,96.63
20870,0.6832,96.54
20920,0.6822,96.58
21000,0.6808,96.69
20930,0.682,96.58
21020,0.6803,96.66
21030,0.6803,96.69
21050,0.68,96.74
20940,0.6821,96.63
20960,0.6815,96.62
21020,0.6806,96.74
21010,0.6805,96.67
20980,0.6812,96.66
20960,0.6814,96.59
20960,0.6817,96.68
20880,0.683,96.56
20920,0.6823,96.56
20970,0.6816,96.69
20970,0.6814,96.63
20940,0.682,96.61
20820,0.6839,96.41
20980,0.6813,96.65
20970,0.6812,96.6
21010,0.6806,96.7
20820,0.684,96.41
20980,0.6811,96.61
20950,0.6817,96.6
20870,0.6833,96.56
20930,0.6822,96.6
20970,0.6813,96.63
20970,0.6815,96.64
21060,0.6798,96.71
20910,0.6823,96.54
20960,0.6816,96.62
20870,0.6834,96.55
21060,0.68,96.76
20920,0.6822,96.58
20840,0.6837,96.48
20920,0.6824,96.59
20930,0.6821,96.59
20880,0.6829,96.51
20940,0.6818,96.56
20910,0.6825,96.56
21000,0.6809,96.68
20910,0.6828,96.63
20960,0.6818,96.69
21060,0.6797,96.72
20960,0.6817,96.62
21180,0.6776,96.88
20990,0.6808,96.63
20890,0.6828,96.54
20980,0.6813,96.65
20950,0.6818,96.62
21000,0.6809,96.69
21080,0.6795,96.78
21080,0.6794,96.77
20970,0.6812,96.61
21160,0.6781,96.86
20890,0.6827,96.54
21180,0.6774,96.83
21020,0.6805,96.69
20960,0.6814,96.61
20910,0.6822,96.53
20910,0.6824,96.55
20940,0.6817,96.55
20940,0.6819,96.61
20980,0.6811,96.61
20880,0.6829,96.54
20910,0.6824,96.54
20960,0.6816,96.63
20930,0.6821,96.59
21060,0.6798,96.75
20960,0.6814,96.58
20800,0.6843,96.4
20830,0.6837,96.43
20920,0.6823,96.57
21050,0.6798,96.71
20930,0.6821,96.59
20880,0.683,96.55
21060,0.6799,96.77
21040,0.6802,96.75
20810,0.6842,96.43
20940,0.682,96.63
21080,0.6793,96.75
20940,0.6818,96.57
20990,0.6808,96.62
20920,0.6824,96.58
20970,0.6814,96.63
20920,0.6822,96.56
20900,0.6827,96.57
20810,0.6843,96.44
20980,0.6812,96.61
21010,0.6804,96.64
20860,0.6832,96.48
20860,0.6835,96.56
21030,0.6802,96.71
21060,0.6797,96.72
20880,0.6831,96.55
20980,0.6812,96.63
21020,0.6804,96.66
21120,0.6788,96.81
21030,0.6803,96.67
20990,0.6811,96.67
20980,0.6812,96.66
20970,0.6815,96.68
20850,0.6835,96.48
20950,0.6817,96.61
20850,0.6834,96.47
20900,0.6827,96.54
20860,0.6835,96.56
20990,0.6811,96.68
20890,0.6829,96.54
21060,0.6796,96.71
21000,0.6808,96.65
21030,0.6804,96.72
21120,0.6787,96.8
20980,0.6812,96.63
20910,0.6823,96.55
20960,0.6814,96.58
21040,0.6802,96.74
20870,0.6831,96.49
20820,0.6842,96.46
20980,0.6811,96.63
21080,0.6794,96.76
20920,0.6825,96.6
20980,0.6811,96.62
20900,0.6825,96.51
20900,0.6827,96.55
20960,0.6815,96.63
21030,0.6803,96.67
21120,0.6786,96.79
21100,0.6791,96.82
21010,0.6808,96.68
20980,0.6812,96.65
20880,0.6829,96.52
21030,0.68,96.66
20950,0.6816,96.58
20920,0.6824,96.61
21000,0.681,96.72
21020,0.6805,96.71
20920,0.682,96.52
20780,0.6848,96.42
21130,0.6785,96.81
20890,0.6829,96.54
21060,0.6797,96.73
20970,0.6815,96.65
21020,0.6806,96.72
20950,0.6818,96.66
20940,0.6821,96.63
21050,0.6798,96.67
20970,0.6813,96.6
20980,0.6812,96.62
21030,0.6802,96.71
20940,0.6818,96.58
20870,0.6832,96.49
20950,0.6818,96.62
21000,0.6806,96.65
21000,0.6807,96.66
20760,0.6851,96.39
20800,0.6847,96.48
21000,0.6808,96.65
20910,0.6823,96.53
20940,0.6818,96.58
21030,0.6803,96.7
20960,0.6814,96.59
20940,0.6818,96.56
20980,0.681,96.61
21040,0.6803,96.74
20950,0.6815,96.59
20980,0.6812,96.64
21060,0.6796,96.71
20880,0.6831,96.55
20840,0.6838,96.47
20900,0.6825,96.48
20950,0.6817,96.59
20900,0.6826,96.57
20920,0.6821,96.55
20970,0.6815,96.66
20950,0.6817,96.59
21120,0.6786,96.8
20850,0.6834,96.47
20920,0.6823,96.55
20830,0.6839,96.47
20960,0.6817,96.64
21030,0.6802,96.68
20920,0.6823,96.6
20900,0.6825,96.55
20950,0.6818,96.63
20990,0.681,96.65
21050,0.6799,96.72
20990,0.6811,96.68
20880,0.6831,96.53
20930,0.682,96.59
20950,0.6817,96.63
21030,0.6801,96.65
21040,0.6802,96.72
20940,0.6819,96.59
20940,0.682,96.59
20960,0.6815,96.62
21070,0.6795,96.71
20990,0.6811,96.65
20900,0.6825,96.52
20870,0.6832,96.52
20890,0.6827,96.5
