hERG_IC50,hERG_h,hERG_Bmax
352700,0.8927,70.09
352100,0.8941,70.04
352600,0.8948,70.01
353600,0.8925,70.09
353300,0.8925,70.09
354500,0.8907,70.15
351000,0.8954,70
353100,0.8934,70.06
353600,0.8925,70.09
352000,0.8948,70.02
352000,0.8952,70.01
353200,0.8937,70.05
353400,0.8938,70.05
351300,0.8947,70.02
352600,0.8944,70.03
352300,0.8942,70.04
352100,0.8937,70.05
353500,0.8929,70.08
351600,0.8941,70.04
352500,0.8948,70.02
351600,0.8953,70
354000,0.8912,70.13
351300,0.8949,70.01
352600,0.8933,70.07
353300,0.8937,70.05
352100,0.895,70.01
351700,0.895,70.01
355400,0.8906,70.15
351200,0.895,70.01
352600,0.8935,70.06
352000,0.8945,70.03
352200,0.8946,70.02
352900,0.8935,70.06
351500,0.8949,70.02
353000,0.8926,70.09
351700,0.8948,70.02
352400,0.8942,70.04
352300,0.8942,70.03
352200,0.8946,70.02
351400,0.8945,70.03
353100,0.893,70.07
352800,0.8924,70.1
353700,0.8916,70.12
351800,0.8952,70
353400,0.8933,70.06
353400,0.8934,70.06
351600,0.8953,70
353300,0.8931,70.07
352000,0.8945,70.03
352100,0.8945,70.03
351800,0.895,70.01
352000,0.8945,70.03
352100,0.8941,70.04
352100,0.8939,70.05
351800,0.895,70.01
354600,0.8906,70.15
352200,0.8934,70.07
352600,0.8945,70.03
353600,0.8925,70.09
352000,0.8951,70.01
351900,0.8946,70.02
352900,0.8934,70.06
354900,0.8904,70.16
351800,0.895,70.01
352400,0.8931,70.07
351500,0.8952,70
352800,0.8945,70.02
352700,0.8936,70.06
353600,0.8935,70.06
352400,0.8952,70
352800,0.8933,70.06
352500,0.8942,70.04
351600,0.8953,70
352500,0.8942,70.04
351700,0.8943,70.03
351300,0.8952,70.01
352200,0.894,70.04
352800,0.8938,70.05
352600,0.8938,70.05
353500,0.8923,70.1
353000,0.8929,70.08
352800,0.8941,70.04
352100,0.8952,70
354700,0.8914,70.12
352400,0.8948,70.02
354300,0.8908,70.15
355000,0.8914,70.12
351800,0.8951,70.01
351700,0.8948,70.02
353500,0.8928,70.08
351600,0.8946,70.02
352000,0.8948,70.02
353200,0.8937,70.05
352700,0.8943,70.03
353400,0.893,70.07
351400,0.895,70.01
352400,0.8943,70.03
352600,0.8934,70.06
352600,0.8942,70.04
353300,0.8916,70.12
352500,0.8945,70.03
351700,0.8952,70
351800,0.8951,70.01
351600,0.8951,70.01
352600,0.893,70.07
352000,0.8943,70.03
351800,0.8948,70.02
352200,0.8943,70.03
352500,0.8953,70
353600,0.8929,70.08
351500,0.8951,70.01
352600,0.8945,70.03
350700,0.8949,70.02
355000,0.8915,70.12
353200,0.8929,70.08
352000,0.8953,70
351500,0.8952,70
352400,0.894,70.04
351800,0.8948,70.02
351700,0.8941,70.04
351100,0.8953,70
352300,0.8933,70.07
351900,0.8949,70.01
352000,0.8939,70.05
354100,0.8919,70.11
352500,0.8937,70.05
354000,0.8927,70.08
353200,0.8937,70.05
351800,0.8952,70
352400,0.8946,70.02
352300,0.8941,70.04
351600,0.8943,70.03
350800,0.8945,70.03
351700,0.8953,70
352900,0.893,70.08
354500,0.8914,70.12
353300,0.8927,70.08
355700,0.8903,70.16
352100,0.8945,70.03
353200,0.8934,70.06
353200,0.8931,70.07
352100,0.8944,70.03
352100,0.8952,70
353600,0.8935,70.06
353100,0.8939,70.04
352300,0.8951,70.01
352100,0.8952,70
353100,0.8935,70.06
352200,0.894,70.04
352600,0.8934,70.06
352000,0.894,70.05
352400,0.894,70.04
351600,0.895,70.01
351000,0.8949,70.02
355200,0.8909,70.14
351300,0.895,70.01
352600,0.8948,70.01
354600,0.8916,70.12
352400,0.8941,70.04
353200,0.8931,70.07
353100,0.8942,70.03
352500,0.8939,70.05
352100,0.8941,70.04
351800,0.895,70.01
351800,0.8945,70.03
352300,0.8945,70.03
351200,0.895,70.01
352600,0.8935,70.06
352400,0.895,70.01
351500,0.895,70.01
351800,0.8947,70.02
354300,0.8919,70.11
351200,0.8952,70.01
352000,0.8951,70.01
352600,0.8942,70.03
352500,0.8947,70.02
352200,0.8952,70
352700,0.8941,70.04
353200,0.892,70.11
353900,0.8918,70.11
354900,0.8911,70.13
351900,0.8939,70.05
351900,0.8949,70.01
353100,0.8934,70.06
352100,0.894,70.04
351200,0.8952,70.01
351000,0.8948,70.02
352000,0.8943,70.03
352400,0.8944,70.03
352100,0.895,70.01
352500,0.894,70.04
351900,0.8941,70.04
353800,0.8911,70.14
351900,0.8941,70.04
352500,0.8931,70.07
352300,0.8937,70.05
352700,0.8939,70.04
354400,0.8917,70.12
352500,0.8944,70.03
352100,0.8943,70.03
353500,0.8939,70.04
352600,0.8939,70.05
353400,0.8928,70.08
353700,0.8922,70.1
352800,0.8934,70.06
353100,0.8935,70.06
352000,0.8946,70.02
353300,0.8939,70.05
353400,0.8933,70.06
351000,0.8953,70
353700,0.8919,70.11
352300,0.8941,70.04
353200,0.893,70.07
351900,0.8943,70.03
352100,0.894,70.04
353100,0.8931,70.07
