hERG_IC50,hERG_h,hERG_Bmax
968.5,0.9091,98.04
967.3,0.9107,98.01
967.7,0.9102,98.02
966.8,0.9108,97.99
967.3,0.9102,98.01
966.8,0.91,98
967,0.9099,98.01
966.8,0.9095,98.01
967.2,0.9094,98.01
966.4,0.9102,97.99
967,0.9097,98.01
967.7,0.9091,98.03
966.7,0.9101,98
966.2,0.9106,97.99
966.6,0.9103,98
967.3,0.9101,98.01
967.4,0.91,98.01
966.6,0.9101,98
966.9,0.9096,98.01
967,0.9093,98.01
967.1,0.9096,98.01
967,0.91,98.01
966.9,0.9098,98.01
967.4,0.9097,98.02
967.6,0.9093,98.02
967.6,0.9097,98.02
968,0.9095,98.03
967.3,0.9096,98.01
967.2,0.9094,98.02
967.9,0.9086,98.03
967.1,0.9096,98.01
967.5,0.91,98.02
967,0.9101,98.01
967,0.9099,98.01
967.8,0.9092,98.03
967.6,0.9097,98.02
968.2,0.909,98.04
967.7,0.9093,98.02
967.2,0.91,98.01
968.2,0.9092,98.03
968.1,0.9098,98.03
968.4,0.9094,98.04
967.5,0.9103,98.01
967.6,0.9093,98.02
967.8,0.9094,98.03
967.7,0.9096,98.02
968.1,0.9094,98.03
967.7,0.9096,98.02
967.9,0.9094,98.03
967.2,0.9102,98.01
967.2,0.9102,98.01
967.4,0.9095,98.02
966.5,0.9103,98
966.1,0.9102,97.99
966.9,0.9097,98.01
967.7,0.9095,98.02
967.1,0.9099,98.01
967.2,0.9101,98.01
967.5,0.9098,98.02
966.9,0.9107,98
968.2,0.91,98.03
967.9,0.9097,98.02
968.6,0.909,98.04
968.3,0.9096,98.03
968.9,0.9088,98.05
968.7,0.9089,98.05
968.4,0.9093,98.04
968.2,0.9095,98.03
968,0.9098,98.02
967.6,0.91,98.02
967.2,0.91,98.01
967.1,0.9102,98.01
967,0.9101,98.01
966.8,0.9106,98
968.1,0.9095,98.03
968.2,0.9098,98.03
967.4,0.9101,98.01
967.9,0.9094,98.03
968,0.9092,98.03
967.9,0.9092,98.03
966.9,0.91,98
967.1,0.9096,98.01
968.1,0.9091,98.03
967.9,0.9096,98.02
967.9,0.9095,98.03
968.7,0.9089,98.04
967.9,0.9095,98.03
968.6,0.9084,98.05
966.6,0.9104,98
967.7,0.9096,98.02
967.2,0.9098,98.01
967.6,0.9098,98.02
967.6,0.91,98.02
967.7,0.9095,98.02
968.1,0.9088,98.04
967.2,0.9094,98.02
967.5,0.9091,98.02
967,0.9096,98.01
966.7,0.9095,98.01
966.8,0.9099,98
967.9,0.9095,98.03
967.6,0.9098,98.02
967.7,0.9095,98.02
968.1,0.9095,98.03
967.8,0.9095,98.03
968.2,0.9095,98.03
968.1,0.9095,98.03
967.8,0.9095,98.02
967.7,0.9094,98.02
967.5,0.9091,98.02
967.2,0.9093,98.02
966.2,0.9107,97.99
967.2,0.9094,98.02
967.6,0.9092,98.02
967.2,0.9097,98.01
967.1,0.9094,98.01
966.7,0.9094,98.01
967.1,0.909,98.02
966.3,0.9097,98
966.7,0.9091,98.01
966.7,0.9091,98.01
965.9,0.9095,97.99
966.3,0.9099,98
967.4,0.9092,98.02
967.3,0.9096,98.02
966.2,0.9097,98
966.4,0.9096,98
966.9,0.9094,98.01
967.7,0.9088,98.03
967.8,0.909,98.03
967.3,0.9098,98.01
967.1,0.9094,98.01
966.7,0.9098,98
966.8,0.9102,98
966.8,0.9103,98
966.9,0.91,98
967.3,0.9096,98.02
967.5,0.9094,98.02
966.9,0.9094,98.01
966.8,0.9094,98.01
966.2,0.9104,97.99
966.2,0.9106,97.99
966.9,0.91,98
967.6,0.9093,98.02
967.7,0.909,98.03
967.2,0.9094,98.02
967.5,0.9095,98.02
967.6,0.909,98.03
966.7,0.9101,98
966.9,0.9099,98.01
968.3,0.9086,98.04
966.7,0.9099,98
966.7,0.9099,98
967.9,0.9086,98.04
968.2,0.9086,98.04
967.4,0.9098,98.02
967.5,0.9095,98.02
966.6,0.9103,98
967.2,0.9096,98.01
966.8,0.9095,98.01
967.7,0.909,98.03
967.1,0.9097,98.01
967.3,0.9094,98.02
967.4,0.9096,98.02
966.8,0.9096,98.01
966.3,0.9096,98
965.9,0.9108,97.98
966.7,0.9097,98
967,0.9098,98.01
967.7,0.9088,98.03
967.7,0.9091,98.03
967.8,0.9094,98.03
966.9,0.9099,98.01
967.1,0.9097,98.01
966.6,0.9097,98
967.1,0.9093,98.02
967.3,0.9089,98.02
967,0.9092,98.01
967.2,0.9098,98.01
966.5,0.9102,98
967.3,0.9093,98.02
966.4,0.9102,97.99
967.3,0.9097,98.01
967.2,0.9096,98.01
967.2,0.9097,98.01
967.5,0.9091,98.02
968.3,0.909,98.04
966.9,0.9099,98.01
966.5,0.9096,98
966.1,0.9098,97.99
966.4,0.9098,98
966.3,0.9099,98
966.9,0.9098,98.01
966.1,0.9102,97.99
967.4,0.9095,98.02
967.3,0.9096,98.02
966.6,0.9099,98
966.9,0.9101,98
968.1,0.9089,98.04
967.2,0.9094,98.02
966.3,0.9101,97.99
966.9,0.9099,98.01
967.5,0.9096,98.02
967,0.9096,98.01
967.6,0.9093,98.02
967.3,0.9096,98.02
966.9,0.9099,98.01
967.9,0.9098,98.02
967.7,0.9098,98.02
967.4,0.9097,98.02
966.8,0.9097,98.01
967.2,0.9095,98.02
966.9,0.9098,98.01
967.8,0.9094,98.03
966.9,0.9101,98
966.8,0.91,98
967.9,0.9096,98.03
968,0.9094,98.03
967.7,0.9096,98.02
968,0.9093,98.03
967.1,0.91,98.01
966.8,0.9104,98
967,0.9104,98
967.4,0.9092,98.02
967.5,0.9094,98.02
967.3,0.9097,98.02
967.4,0.9095,98.02
967.4,0.9088,98.02
965.8,0.9103,97.98
966.1,0.9099,97.99
967.1,0.9094,98.01
966.8,0.9097,98.01
967.5,0.9095,98.02
967.5,0.9096,98.02
968.1,0.9095,98.03
967.1,0.9103,98.01
967,0.91,98.01
966.4,0.9103,97.99
968.1,0.9089,98.04
967.2,0.9099,98.01
967.3,0.9097,98.02
968,0.909,98.03
967,0.9097,98.01
967,0.9093,98.01
967.4,0.9094,98.02
966.3,0.9103,97.99
967.8,0.9086,98.03
966.7,0.9095,98.01
966.9,0.9096,98.01
966.5,0.91,98
967.2,0.9095,98.02
967.3,0.9097,98.01
967.7,0.909,98.03
967.4,0.9093,98.02
967.7,0.9098,98.02
967,0.9106,98
967.9,0.9097,98.02
968.2,0.9092,98.03
967.6,0.91,98.02
967.7,0.9093,98.03
966.8,0.9103,98
967.5,0.9094,98.02
967.2,0.9092,98.02
967.3,0.9095,98.02
967.8,0.9095,98.03
968.3,0.9097,98.03
968.6,0.9089,98.04
967.4,0.9102,98.01
968,0.9092,98.03
967.9,0.9094,98.03
967.8,0.9096,98.02
968.3,0.9093,98.03
967.7,0.9095,98.02
967.7,0.9092,98.03
967,0.9096,98.01
967.6,0.909,98.03
967.1,0.9098,98.01
967,0.9099,98.01
965.9,0.9106,97.98
966.7,0.9102,98
967.3,0.9091,98.02
967.1,0.9094,98.01
967.1,0.9098,98.01
967.4,0.9095,98.02
967.9,0.9093,98.03
967.3,0.9098,98.01
967.1,0.9097,98.01
967,0.91,98.01
967.7,0.9096,98.02
967.6,0.9094,98.02
967.1,0.9096,98.01
966.7,0.91,98
966.9,0.9099,98.01
967.2,0.91,98.01
