hERG_IC50,hERG_h,hERG_Bmax
0.9247,0.6346,83.1
0.9204,0.6347,83.13
0.9227,0.6352,83.08
0.9211,0.6362,83.02
0.9307,0.6331,83.19
0.9183,0.6359,83.03
0.921,0.6365,83.07
0.9116,0.6386,82.97
0.9219,0.6367,83.09
0.918,0.6369,83.02
0.9223,0.6373,83.09
0.9182,0.6363,83.06
0.9094,0.639,82.94
0.9154,0.6368,83.06
0.9191,0.6369,83.06
0.9313,0.6353,83.11
0.9176,0.6368,83.03
0.917,0.6363,83.04
0.9173,0.6347,83.12
0.9262,0.6382,83.1
0.9172,0.638,83.02
0.9267,0.6378,83.05
0.9145,0.6394,83.08
0.9124,0.6364,83.07
0.9221,0.636,83.09
0.9103,0.6372,83.08
0.9162,0.6389,83.04
0.917,0.6353,83.04
0.9137,0.6383,82.98
0.9134,0.6397,82.9
0.916,0.6373,83.04
0.9119,0.638,83.03
0.913,0.6415,82.95
0.9127,0.6386,82.97
0.9008,0.6394,82.86
0.9034,0.6394,82.92
0.9096,0.6372,83.02
0.9127,0.6371,83.04
0.9136,0.6364,83.03
0.9153,0.6359,83.06
0.9236,0.6363,83.08
0.9233,0.6372,83.05
0.9185,0.6369,83.16
0.9079,0.6419,82.93
0.9158,0.6402,83.02
0.9135,0.6392,82.96
0.9104,0.6407,82.97
0.9204,0.6346,83.05
0.9148,0.6364,83.01
0.9162,0.6399,83.05
0.9106,0.64,82.95
0.928,0.6362,83.15
0.9285,0.6355,83.1
0.9218,0.6351,83.09
0.9149,0.6359,83.05
0.9186,0.6359,83.1
0.9206,0.636,83.04
0.9142,0.6388,83.01
0.921,0.6358,83.03
0.9165,0.6351,83.08
0.9136,0.6377,82.96
0.923,0.6352,83.07
0.9193,0.6365,83.06
0.9157,0.6361,83.1
0.9258,0.6367,83.13
0.9241,0.6379,83.1
0.9194,0.6382,83.05
0.9176,0.6365,83.12
0.9109,0.6367,82.94
0.9246,0.6339,83.12
0.9204,0.6346,83.1
0.917,0.6381,83.01
0.9185,0.6361,83.06
0.9231,0.6383,83.11
0.9207,0.6367,83.09
0.9136,0.6367,82.95
0.9151,0.6382,83
0.9177,0.6388,82.99
0.9083,0.6374,82.97
0.9071,0.6377,83.02
0.9102,0.6371,83.05
0.9086,0.6379,82.91
0.9193,0.6368,83.1
0.914,0.6382,83
0.9106,0.6369,83.05
0.9067,0.6426,82.93
0.9091,0.6386,82.86
0.9195,0.6403,82.98
0.9137,0.6379,83.04
0.9135,0.6378,82.99
0.9118,0.6375,83.04
0.9128,0.6369,82.96
0.9192,0.6348,83.06
0.9092,0.6387,82.96
0.9165,0.6349,83.06
0.9197,0.6357,83.03
0.9104,0.6384,82.95
0.9187,0.6375,83.03
0.9184,0.6379,83.06
0.9198,0.6372,83.15
0.9197,0.6367,83.05
0.9175,0.6355,83.09
0.914,0.6361,83.07
0.9184,0.6341,83.16
0.9229,0.6345,83.17
0.9215,0.6334,83.09
0.9274,0.635,83.16
0.9248,0.6355,83.17
0.9128,0.64,82.98
0.9123,0.6366,83.02
0.9105,0.6368,83.04
0.9158,0.636,83.02
0.9192,0.6341,83.05
0.9239,0.6333,83.15
0.9175,0.6362,83.02
0.9187,0.6387,83.04
0.9185,0.6338,83.09
0.911,0.6372,82.99
0.9174,0.6369,83.03
0.9142,0.6382,83.03
0.9174,0.6366,83
0.9184,0.6345,83.07
0.9189,0.6369,83.04
0.9164,0.637,83.06
0.922,0.6351,83.11
0.9175,0.6367,83.06
0.9279,0.6373,83.13
0.9199,0.6375,83.08
0.9214,0.6378,83.08
0.9171,0.6354,83.06
0.9163,0.6367,83.04
0.9199,0.6374,83.02
0.924,0.637,83.11
0.912,0.6367,83.06
0.9134,0.6385,82.93
0.9048,0.6388,82.95
0.9139,0.6371,83.12
0.9082,0.6378,82.95
0.909,0.6376,82.95
0.918,0.6372,83.05
0.9186,0.6381,82.98
0.908,0.6375,83.01
0.9179,0.6348,83.13
0.907,0.636,83.06
0.9172,0.6374,83.02
0.9114,0.6386,82.96
0.9066,0.6382,82.95
0.9148,0.6388,83.02
0.9172,0.6359,83.09
0.9163,0.6392,83
0.9132,0.6389,83.01
0.9204,0.6366,83.07
0.9159,0.6396,82.99
0.9184,0.6372,83.06
0.9149,0.6376,82.99
0.9235,0.6364,83.08
0.9245,0.635,83.15
0.9138,0.6385,82.98
0.9201,0.6359,83.07
0.914,0.6399,82.99
0.9149,0.6399,82.99
0.9191,0.6357,83.06
0.9202,0.6358,83.03
0.9196,0.6353,83.1
0.9104,0.636,83.06
0.9095,0.6384,83
0.9116,0.6392,83
0.9175,0.638,83.03
0.9161,0.6374,83
0.9152,0.6363,83.03
0.9169,0.6359,83.03
0.916,0.6341,83.06
0.9135,0.6367,83
0.9123,0.6371,83.03
0.914,0.6358,83.03
0.9187,0.6353,83.05
0.9175,0.6367,83.05
