hERG_IC50,hERG_h,hERG_Bmax
625.1,0.9792,96.01
624.1,0.9791,96.01
623.8,0.9792,96.01
624.7,0.9786,95.99
624.2,0.9788,95.97
624.3,0.9789,95.98
624.4,0.9794,95.98
624.1,0.98,95.99
624.9,0.9791,96.01
625,0.9791,95.99
624.3,0.9795,95.99
624,0.979,95.98
624.6,0.9795,95.99
624.3,0.9795,95.97
623.7,0.9798,95.96
624.4,0.9786,95.99
623.8,0.9791,95.95
624.1,0.9792,95.99
624.4,0.978,95.99
624.7,0.9793,96
624.4,0.9796,95.98
623.6,0.9785,95.98
624.5,0.9788,96
623.2,0.9795,95.98
623.5,0.9791,95.97
623.6,0.9793,95.97
623.5,0.9795,95.97
624.4,0.9802,96
625,0.9787,96.02
624.6,0.9791,95.98
623.8,0.9783,95.97
623.9,0.9794,95.95
624.4,0.9783,95.99
623.9,0.9792,95.98
624.1,0.9786,95.98
624.2,0.9792,95.98
623.4,0.98,95.97
624.6,0.98,95.98
624.1,0.979,95.97
623.1,0.9806,95.95
623.6,0.9793,95.97
625,0.9776,96.01
623.9,0.9793,95.99
623.8,0.9779,96.01
625.1,0.9789,96
623.8,0.9792,96
623.9,0.98,95.98
624.4,0.9789,96.01
624.1,0.9802,95.98
624.8,0.9782,95.98
624,0.9782,95.97
623.8,0.9784,95.96
622.9,0.9792,95.97
623.2,0.9792,95.97
624.1,0.9797,95.98
623.7,0.9803,95.97
623.1,0.9808,95.95
624.3,0.9787,96.01
624.2,0.9802,95.97
623.9,0.9788,95.98
624.2,0.9792,95.98
623.4,0.9803,95.94
623.5,0.9797,95.96
623.1,0.9798,95.97
625.1,0.9779,96.01
624.1,0.9798,95.98
624.9,0.9794,96.01
624.3,0.9788,95.99
623.5,0.9788,95.96
624.3,0.9784,96.01
624.8,0.9777,96.01
624.1,0.9798,95.97
624,0.9801,95.98
624.3,0.9789,95.99
623.6,0.9796,95.97
624.2,0.9798,95.98
624,0.9786,95.99
623.9,0.9786,95.99
624.4,0.9783,96.02
623.9,0.979,95.99
623.8,0.979,95.96
623,0.9795,95.93
623.8,0.9796,95.98
623.5,0.9794,95.96
623.6,0.9795,95.96
623.5,0.9791,95.96
623.5,0.9777,95.98
624.3,0.9789,96
623.2,0.9793,95.96
623.9,0.9794,95.97
623.7,0.979,95.99
624,0.9783,96
623.4,0.9784,95.97
624.4,0.9778,96.04
623.7,0.9795,95.97
623.8,0.9789,95.99
625.6,0.9768,96.04
624.2,0.9786,96.01
624.2,0.9786,96.01
624.3,0.9793,95.99
623.5,0.9795,96
624.7,0.9767,96.04
624.1,0.9779,96
624.8,0.9781,96.01
624.4,0.9778,96.03
