hERG_IC50,hERG_h,hERG_Bmax
65.9,0.7085,70.06
64.56,0.6689,70.89
64.96,0.6998,70.1
65.03,0.7043,70
64.37,0.6813,70.63
65.42,0.7031,70.19
63.93,0.6956,70.12
65.86,0.7018,70.2
65.78,0.6956,70.42
65.17,0.698,70.16
66.04,0.686,70.76
65.54,0.6662,71.19
65.11,0.6953,70.34
65.21,0.7025,70.15
65.59,0.694,70.33
66.47,0.6942,70.39
65.86,0.7024,70.16
65.04,0.6989,70.13
64.92,0.6814,70.55
65.52,0.6807,70.72
66.27,0.6703,71.1
64.36,0.6814,70.59
67.3,0.6856,70.86
65.23,0.6837,70.63
65.95,0.6902,70.55
65.5,0.7093,70.07
65.53,0.6925,70.42
65.17,0.683,70.58
63.86,0.6977,70.09
65.44,0.6808,70.75
66.18,0.6787,70.83
65.24,0.6957,70.32
64.54,0.695,70.19
65.73,0.7052,70.08
65.32,0.6754,70.87
66.63,0.6871,70.69
65.27,0.6779,70.72
66.02,0.7039,70.19
64.14,0.6724,70.75
65.12,0.6696,71
65.04,0.6875,70.53
65.87,0.6798,70.79
65.33,0.7009,70.17
66.46,0.7113,70
65.96,0.7022,70.18
64.95,0.6787,70.69
64.51,0.6523,71.35
64.05,0.6765,70.63
65.06,0.6898,70.48
65.34,0.6922,70.29
65.18,0.668,71.06
63.9,0.6478,71.41
66.06,0.6478,71.76
65.79,0.6584,71.31
64.1,0.692,70.24
65.65,0.6795,70.79
66.02,0.7096,70.06
66.03,0.7035,70.22
65.76,0.6985,70.32
65.63,0.6772,70.85
66.27,0.6765,70.88
65.3,0.6786,70.83
64.29,0.6893,70.31
64.35,0.6897,70.38
65.91,0.7109,70.01
64.39,0.6799,70.58
65.03,0.6851,70.53
65.77,0.6742,70.91
65.01,0.6713,70.9
65.37,0.6426,71.75
66.18,0.6955,70.47
63.74,0.6626,70.97
65.21,0.6898,70.49
65.53,0.7011,70.2
65.48,0.6952,70.33
64.68,0.6961,70.19
65.53,0.6788,70.77
65.08,0.6945,70.31
