hERG_IC50,hERG_h,hERG_Bmax
75000,0.8486,97.37
74980,0.8482,97.37
74750,0.8491,97.32
74920,0.8483,97.36
74670,0.85,97.3
74810,0.8489,97.33
74930,0.8486,97.37
75030,0.8488,97.39
74910,0.849,97.36
74790,0.8488,97.33
75070,0.848,97.4
74920,0.8487,97.37
74950,0.8484,97.36
74890,0.8485,97.35
74960,0.8483,97.37
74870,0.8489,97.35
74910,0.8479,97.34
74850,0.8492,97.34
74860,0.8484,97.34
74950,0.8486,97.36
74730,0.849,97.3
74790,0.8491,97.32
74800,0.8499,97.33
75130,0.8476,97.41
74940,0.848,97.36
74960,0.8482,97.36
74970,0.8494,97.38
75170,0.8472,97.41
74850,0.849,97.35
75000,0.8485,97.38
75000,0.8488,97.38
74770,0.8505,97.33
74950,0.8494,97.39
75080,0.8477,97.41
74930,0.8486,97.37
74930,0.8489,97.36
74870,0.8489,97.35
75020,0.848,97.38
74910,0.849,97.36
74980,0.8487,97.38
74780,0.8491,97.32
74900,0.8484,97.35
75030,0.8478,97.39
74910,0.8483,97.36
75030,0.848,97.38
74870,0.8483,97.35
74820,0.8488,97.34
74970,0.8477,97.37
74850,0.8487,97.35
74830,0.8486,97.35
75050,0.8474,97.4
74860,0.8489,97.36
74900,0.8485,97.36
74830,0.8485,97.34
75060,0.8473,97.4
75000,0.8479,97.39
75000,0.8482,97.39
74970,0.848,97.38
74940,0.8479,97.37
74830,0.8484,97.36
75140,0.8478,97.43
74990,0.8491,97.39
74990,0.8483,97.39
74910,0.8483,97.37
75050,0.8477,97.4
75010,0.8478,97.39
74960,0.8479,97.38
74900,0.8478,97.35
74830,0.8484,97.34
74940,0.8485,97.37
75010,0.8475,97.39
74990,0.8484,97.38
75010,0.8485,97.38
75000,0.8488,97.39
74850,0.8477,97.34
74960,0.8482,97.37
75070,0.8481,97.4
74980,0.8482,97.38
75070,0.8477,97.4
75000,0.8481,97.39
75050,0.8485,97.41
75080,0.848,97.41
75230,0.8462,97.44
74720,0.849,97.31
75020,0.8486,97.38
75110,0.8479,97.41
74770,0.8497,97.35
74950,0.8485,97.37
75020,0.8473,97.39
74900,0.8494,97.36
74830,0.8494,97.35
75000,0.8479,97.39
74940,0.8487,97.38
74950,0.8486,97.38
74770,0.8488,97.33
75130,0.847,97.41
75110,0.8478,97.41
74900,0.8475,97.36
75140,0.8472,97.42
