hERG_IC50,hERG_h,hERG_Bmax
431.5,1.784,83.9
429.5,1.795,83.86
430.9,1.797,83.88
430.5,1.796,83.89
430.8,1.791,83.84
431.2,1.796,83.88
430.4,1.787,83.88
430.5,1.787,83.89
430.5,1.789,83.92
431,1.788,83.91
429.8,1.795,83.8
430,1.796,83.82
430.3,1.79,83.94
430.7,1.791,83.86
430,1.795,83.85
431.4,1.792,83.91
430.9,1.785,83.97
430,1.788,83.89
430.4,1.784,83.9
429.8,1.799,83.83
431.8,1.787,83.89
429.5,1.794,83.86
429.8,1.791,83.89
429.5,1.794,83.89
430.3,1.794,83.89
430.7,1.785,83.85
429.8,1.789,83.8
429.8,1.787,83.96
431.8,1.779,83.99
430.1,1.787,83.93
430.3,1.799,83.86
430,1.79,83.91
430.6,1.79,83.9
430.2,1.794,83.84
430.6,1.792,83.85
430,1.793,83.88
430.9,1.784,83.85
431.1,1.793,83.86
431.8,1.787,83.93
431.6,1.793,83.94
430.3,1.796,83.87
430.3,1.795,83.88
431.9,1.787,84
432,1.783,83.97
431.2,1.788,83.93
429.5,1.793,83.85
431.1,1.794,83.81
431.4,1.791,83.85
430.5,1.791,83.85
431.6,1.785,83.89
430.3,1.792,83.87
430.1,1.79,83.84
430.1,1.792,83.85
430.2,1.786,83.86
429.9,1.789,83.85
431.1,1.789,83.9
430.7,1.788,83.95
430.8,1.784,83.88
431.6,1.785,83.91
430.2,1.803,83.81
431,1.802,83.86
430.5,1.793,83.96
431,1.793,83.93
432,1.784,83.96
430.5,1.787,83.83
429.5,1.789,83.86
430.1,1.793,83.88
429.9,1.79,83.93
429.9,1.783,83.91
431.3,1.784,83.93
430.1,1.785,83.96
430.7,1.782,84.01
432.2,1.785,83.9
431.1,1.79,83.89
430.5,1.795,83.85
431.5,1.793,83.92
431.3,1.791,83.89
431.4,1.792,83.9
430.2,1.796,83.9
430.7,1.791,83.84
430.5,1.79,83.89
431.6,1.784,83.92
429.9,1.796,83.84
431,1.797,83.89
429.7,1.809,83.84
431.9,1.797,83.9
432,1.795,83.87
431.2,1.792,83.8
430.5,1.792,83.81
430.9,1.778,83.94
430.1,1.778,83.96
430.3,1.785,83.93
430.9,1.786,83.99
431.8,1.79,83.88
431.2,1.798,83.83
429.7,1.799,83.83
432.5,1.797,83.9
430.9,1.795,83.84
430,1.789,83.9
429.9,1.792,83.83
429.2,1.795,83.82
431.7,1.801,83.92
431,1.791,83.93
430.5,1.794,83.91
430.3,1.793,83.88
431.4,1.786,83.96
430.7,1.792,83.89
430.9,1.795,83.85
430.6,1.802,83.85
429.6,1.799,83.89
429.8,1.795,83.87
430.1,1.787,83.95
430.2,1.789,83.9
429.8,1.789,83.9
432,1.797,83.94
430.5,1.791,83.91
431.1,1.797,83.89
430.8,1.79,83.92
430.8,1.788,83.97
431.2,1.788,83.95
429.1,1.794,83.81
429.9,1.79,83.88
430,1.787,83.88
430.1,1.803,83.85
430.6,1.794,83.88
430.7,1.796,83.92
430,1.793,83.89
431.1,1.786,83.93
431.1,1.783,83.95
431.8,1.791,83.93
431.7,1.793,83.91
432.2,1.79,83.98
432.8,1.788,84.01
431.3,1.797,83.93
431.5,1.787,83.91
431.1,1.795,83.89
430.6,1.793,83.87
430.4,1.794,83.91
430.3,1.795,83.81
428.5,1.799,83.82
