hERG_IC50,hERG_h,hERG_Bmax
53.65,0.7021,98.19
53.9,0.6996,98.29
53.55,0.7008,98.14
53.86,0.7011,98.24
53.82,0.7009,98.19
54.11,0.6999,98.31
53.89,0.7002,98.24
54.1,0.6995,98.34
54.07,0.6995,98.29
53.49,0.7019,98.04
53.66,0.701,98.17
53.68,0.7012,98.17
53.82,0.7002,98.25
53.78,0.7006,98.24
54.03,0.7008,98.3
53.89,0.7017,98.19
53.8,0.7006,98.19
54.03,0.6995,98.34
54.05,0.7,98.32
54.35,0.6981,98.49
54.07,0.6984,98.36
53.76,0.7019,98.17
53.96,0.7005,98.27
53.83,0.7006,98.21
53.76,0.7003,98.16
53.8,0.7009,98.19
53.93,0.7007,98.3
54.03,0.6993,98.34
53.97,0.6989,98.35
53.69,0.7008,98.15
53.65,0.7012,98.13
53.97,0.7019,98.19
53.42,0.702,98.12
53.62,0.7006,98.22
53.89,0.6992,98.27
53.97,0.6997,98.27
53.58,0.7013,98.12
53.89,0.6998,98.17
53.82,0.7006,98.27
54,0.7004,98.25
54.1,0.6995,98.35
53.69,0.7018,98.19
54,0.7005,98.3
53.98,0.7,98.28
53.99,0.6998,98.3
54.17,0.7001,98.39
54.13,0.6999,98.32
53.77,0.7002,98.21
53.85,0.7008,98.24
53.85,0.7,98.21
54.26,0.6986,98.4
54.14,0.6991,98.29
54.23,0.7003,98.35
53.79,0.7013,98.18
53.9,0.7002,98.26
53.8,0.7009,98.18
53.68,0.7009,98.14
54.43,0.6985,98.47
53.79,0.7013,98.2
53.94,0.6994,98.27
54.02,0.6997,98.3
53.96,0.6998,98.3
53.93,0.7005,98.27
53.67,0.7014,98.19
53.56,0.7017,98.13
54.22,0.6991,98.39
53.69,0.7005,98.19
54.29,0.6987,98.45
54.2,0.6994,98.4
53.92,0.7016,98.25
54.42,0.6993,98.44
53.93,0.701,98.26
54.1,0.6998,98.32
53.98,0.6996,98.29
53.77,0.7003,98.22
54.11,0.6997,98.32
54.26,0.6998,98.42
53.93,0.7007,98.24
54.05,0.6992,98.34
53.87,0.7008,98.28
54.34,0.6986,98.43
54.2,0.6986,98.39
54.13,0.6994,98.33
54.09,0.698,98.29
54.03,0.7,98.21
53.91,0.7,98.23
53.89,0.6998,98.24
53.99,0.6992,98.32
53.86,0.6993,98.28
53.72,0.7019,98.21
53.69,0.7011,98.12
53.78,0.7011,98.2
54,0.6994,98.27
54.33,0.6983,98.42
54.03,0.6989,98.38
54.33,0.6989,98.48
53.99,0.7003,98.36
53.82,0.6999,98.22
53.76,0.7009,98.21
53.62,0.7012,98.11
53.96,0.7001,98.29
54.09,0.6996,98.41
53.78,0.7003,98.23
53.74,0.7021,98.14
53.66,0.7017,98.18
53.65,0.701,98.25
53.84,0.7005,98.23
53.53,0.7002,98.16
53.85,0.6999,98.27
53.99,0.7003,98.26
53.57,0.7022,98.04
53.77,0.7003,98.25
53.92,0.6988,98.3
53.64,0.7004,98.22
54.25,0.6998,98.38
54.12,0.6992,98.32
53.83,0.7008,98.18
54.15,0.6995,98.38
54.07,0.6993,98.32
54.06,0.6989,98.34
53.71,0.7024,98.17
54.13,0.7001,98.3
54.17,0.6992,98.34
54.15,0.6993,98.37
54.13,0.6992,98.32
54.3,0.6993,98.44
54.02,0.6994,98.3
54.1,0.6996,98.34
53.94,0.7001,98.26
53.57,0.702,98.13
54.04,0.7003,98.34
53.63,0.702,98.13
53.81,0.7006,98.21
53.82,0.7008,98.17
53.99,0.6997,98.26
53.51,0.7021,98.05
53.5,0.7028,98.05
53.95,0.7003,98.3
53.75,0.7008,98.2
54.03,0.6992,98.29
54.2,0.6993,98.37
53.93,0.7,98.3
54.02,0.6997,98.36
54.57,0.6979,98.56
54.38,0.699,98.51
54.28,0.6994,98.36
53.64,0.7015,98.18
53.81,0.7013,98.22
53.77,0.7002,98.24
53.93,0.6998,98.2
54.28,0.6972,98.46
53.83,0.7009,98.18
53.94,0.7007,98.26
54.42,0.6977,98.54
54.12,0.6996,98.38
54.29,0.6983,98.46
53.77,0.7024,98.14
53.97,0.6997,98.28
53.54,0.7019,98.08
53.99,0.6998,98.31
53.97,0.7005,98.26
54.15,0.6995,98.36
53.79,0.7013,98.21
53.66,0.7011,98.14
53.95,0.6995,98.29
53.95,0.6995,98.27
53.93,0.6997,98.32
53.79,0.7007,98.14
54.09,0.6991,98.33
53.73,0.7017,98.15
54.04,0.6998,98.23
53.84,0.7003,98.19
53.79,0.7008,98.24
53.74,0.7019,98.17
53.71,0.7013,98.22
53.82,0.7009,98.2
54.02,0.7004,98.3
53.88,0.6999,98.27
53.9,0.6996,98.27
53.83,0.6992,98.3
53.66,0.7013,98.19
54.18,0.6984,98.42
54.07,0.6991,98.32
53.82,0.7008,98.22
53.79,0.7003,98.17
53.99,0.6998,98.26
53.99,0.6996,98.32
53.49,0.7018,98.04
53.87,0.7014,98.22
54.15,0.6989,98.38
53.98,0.7004,98.29
54.1,0.6992,98.33
54.07,0.6992,98.36
54.24,0.6992,98.4
53.94,0.7001,98.28
53.71,0.7014,98.2
53.78,0.7023,98.19
53.85,0.7006,98.24
54.03,0.6994,98.32
53.91,0.6999,98.26
54.37,0.6983,98.45
54.34,0.7,98.39
53.89,0.7007,98.26
53.83,0.701,98.22
53.82,0.7003,98.26
53.84,0.7009,98.24
54.26,0.6997,98.43
53.78,0.7004,98.23
53.79,0.7002,98.19
54.06,0.6994,98.36
53.96,0.6993,98.36
54.53,0.6975,98.54
54.22,0.6987,98.37
54.02,0.7001,98.25
54.29,0.6997,98.37
54.1,0.7002,98.29
54.49,0.6988,98.51
54.27,0.6992,98.47
53.67,0.701,98.13
53.62,0.7005,98.09
53.7,0.7015,98.12
53.55,0.701,98.08
53.98,0.6993,98.3
54.09,0.7005,98.29
54.01,0.6997,98.3
53.83,0.6999,98.25
53.56,0.7019,98.16
54.05,0.698,98.34
53.92,0.7001,98.23
54.21,0.6985,98.35
53.73,0.7002,98.14
54.3,0.6994,98.47
54.15,0.7003,98.37
53.92,0.7005,98.31
54.32,0.699,98.44
54.21,0.6979,98.4
54.16,0.699,98.35
54.12,0.7002,98.34
54.2,0.7,98.36
54.05,0.7004,98.32
53.59,0.7027,98.06
54.01,0.7008,98.31
53.66,0.7025,98.15
54.31,0.6983,98.44
53.96,0.6995,98.28
53.89,0.7005,98.24
54.08,0.7005,98.3
54.28,0.6989,98.43
53.83,0.7005,98.24
54.05,0.7,98.33
54.4,0.6982,98.52
53.93,0.7007,98.25
53.94,0.7,98.29
53.84,0.7008,98.21
53.79,0.7007,98.2
53.68,0.701,98.2
53.88,0.701,98.26
