hERG_IC50,hERG_h,hERG_Bmax
134,0.8309,91.26
134.4,0.8304,91.34
134.5,0.8285,91.36
133.9,0.8299,91.31
134.2,0.8283,91.38
134.4,0.829,91.36
134.3,0.8292,91.38
134.4,0.8295,91.38
134.5,0.8285,91.42
134.4,0.8298,91.33
134.1,0.8312,91.26
133.6,0.834,91.21
134.6,0.8297,91.38
135,0.8279,91.5
133.4,0.831,91.21
133.7,0.8304,91.28
134.2,0.829,91.34
134.5,0.83,91.37
134,0.8314,91.33
134.4,0.8291,91.39
133.9,0.8307,91.26
133.9,0.83,91.34
133.7,0.8308,91.27
133.5,0.8324,91.19
134.2,0.83,91.29
134.1,0.8295,91.29
134.6,0.8281,91.41
134.3,0.8283,91.37
134.9,0.8276,91.43
134.2,0.8297,91.33
134.1,0.8306,91.29
133.8,0.8321,91.26
134.4,0.8289,91.34
134.4,0.8279,91.4
134.3,0.8308,91.33
134.1,0.8298,91.35
133.6,0.8321,91.26
134.5,0.8273,91.42
134.2,0.8314,91.38
134.5,0.827,91.44
135,0.8291,91.47
134.3,0.8305,91.35
134.5,0.8285,91.41
134.4,0.8283,91.43
133.9,0.8329,91.29
134.1,0.8305,91.29
134.1,0.8292,91.41
134.3,0.8297,91.29
134.5,0.8289,91.41
134.8,0.8296,91.39
133.7,0.8311,91.22
133.6,0.8306,91.26
134.3,0.83,91.42
134,0.8305,91.32
134.2,0.8325,91.31
134.2,0.8297,91.32
134.8,0.8289,91.43
133.9,0.8307,91.31
134.1,0.8302,91.27
134.6,0.8302,91.37
134.5,0.8285,91.39
134.2,0.8276,91.37
134.9,0.8278,91.4
134,0.8318,91.28
134.1,0.8315,91.3
134.2,0.8298,91.33
135.2,0.8267,91.47
134.8,0.8285,91.42
134.3,0.8283,91.36
134.6,0.8274,91.42
134.2,0.8284,91.36
133.8,0.8289,91.28
135.2,0.8288,91.41
134.6,0.8282,91.38
133.9,0.8321,91.21
133.9,0.8319,91.26
134.1,0.833,91.25
134.2,0.831,91.28
133.6,0.8304,91.25
134.6,0.8274,91.48
134.4,0.8291,91.37
134.1,0.829,91.41
134.4,0.8303,91.33
134.1,0.8306,91.33
134.4,0.8313,91.27
134.1,0.8319,91.25
133.6,0.8315,91.22
134.6,0.829,91.41
134.5,0.8317,91.36
134.3,0.8302,91.36
134.5,0.8326,91.36
133.7,0.8306,91.28
134.1,0.8292,91.36
134.7,0.8309,91.36
134.1,0.83,91.31
133.3,0.8316,91.17
134.4,0.8302,91.33
133.9,0.8296,91.31
133.7,0.8309,91.32
133.7,0.8318,91.24
134.2,0.8301,91.35
134.8,0.8297,91.39
133.6,0.8302,91.25
133.4,0.8298,91.24
132.8,0.8327,91.09
133.7,0.8318,91.25
134.1,0.8302,91.31
134.7,0.8299,91.39
134.8,0.829,91.4
134.4,0.8315,91.34
134,0.8305,91.32
134.5,0.8298,91.31
133.3,0.8306,91.19
133.9,0.8305,91.21
135.4,0.8268,91.48
134.2,0.8293,91.33
134.8,0.827,91.44
134.6,0.829,91.35
134.4,0.829,91.35
134.2,0.8294,91.38
134.1,0.8308,91.32
134.1,0.8294,91.31
134.7,0.8293,91.41
134.3,0.831,91.35
134.9,0.8275,91.48
134.6,0.8304,91.33
133.6,0.8314,91.27
133.5,0.8317,91.21
133.8,0.832,91.19
134,0.8318,91.22
134.1,0.8313,91.23
133.7,0.8308,91.25
134.2,0.8299,91.34
134.1,0.8303,91.34
134.4,0.8283,91.43
134.5,0.829,91.41
134,0.8305,91.31
133.6,0.8319,91.2
134.5,0.83,91.44
135.5,0.8272,91.54
134.8,0.8278,91.46
134.5,0.8281,91.47
133.8,0.8295,91.29
134.3,0.8296,91.34
134.2,0.8304,91.35
134.5,0.8281,91.33
134.3,0.8279,91.35
133.9,0.8291,91.36
133.8,0.8303,91.26
133.8,0.8306,91.26
133.9,0.8318,91.23
133.8,0.8308,91.3
134.1,0.8283,91.36
133.9,0.8327,91.26
134.4,0.8279,91.38
134.5,0.8257,91.44
134.5,0.8268,91.39
134.7,0.8277,91.39
133.8,0.8323,91.28
134.9,0.8302,91.41
134.8,0.8268,91.47
134.5,0.8274,91.37
134.3,0.8298,91.35
134.5,0.8295,91.32
134.1,0.8279,91.33
134.2,0.8296,91.37
133.8,0.8312,91.27
134.7,0.8293,91.39
134.2,0.8304,91.32
134.1,0.8297,91.28
133.6,0.8311,91.24
134.6,0.8285,91.44
134.5,0.8301,91.4
135.3,0.8272,91.48
135.5,0.8262,91.56
134.8,0.83,91.42
134.6,0.8292,91.4
134.7,0.827,91.45
134.3,0.8309,91.29
134.1,0.8303,91.32
133.9,0.832,91.27
133.9,0.8321,91.26
134.4,0.8287,91.36
133.9,0.8297,91.28
134.3,0.8297,91.35
134.4,0.8282,91.37
134.2,0.8276,91.35
134.5,0.8293,91.37
133.7,0.8323,91.23
133.4,0.8333,91.2
133.9,0.8298,91.33
134.1,0.8292,91.33
134.1,0.8296,91.34
134,0.8302,91.29
133.9,0.83,91.29
134.1,0.8312,91.31
134.4,0.8305,91.36
134.2,0.831,91.36
134.4,0.8296,91.36
133.7,0.8315,91.22
133.7,0.8314,91.25
133.9,0.8289,91.32
134.9,0.8254,91.45
134.8,0.8283,91.4
134.2,0.8288,91.33
134.1,0.8278,91.32
134.7,0.8282,91.4
134.3,0.8285,91.38
134.4,0.8281,91.38
134.1,0.8317,91.3
134.7,0.827,91.44
134.2,0.831,91.29
134.3,0.83,91.31
134.8,0.8287,91.36
134.1,0.8306,91.33
133.9,0.831,91.3
134.3,0.8305,91.35
134.4,0.8296,91.3
134.5,0.8273,91.38
134,0.8303,91.31
134.2,0.8298,91.31
134.5,0.83,91.37
134.3,0.8306,91.3
134,0.8303,91.32
134.2,0.8304,91.27
134.4,0.8283,91.39
135,0.8275,91.51
134.1,0.8293,91.32
134.3,0.8297,91.35
134.7,0.8276,91.43
134.2,0.8306,91.31
134.5,0.8285,91.4
134.7,0.8275,91.43
134.7,0.8284,91.36
133.8,0.8303,91.22
133.9,0.8318,91.2
133.9,0.8313,91.32
134.5,0.8299,91.4
134.2,0.8316,91.3
134.1,0.8304,91.35
134.6,0.8297,91.35
133.6,0.8303,91.2
134.3,0.8294,91.37
133.5,0.8308,91.28
133.7,0.8323,91.24
134.4,0.8306,91.34
134.4,0.8287,91.32
134.9,0.8271,91.47
134.7,0.8267,91.48
135,0.8256,91.53
133.9,0.8309,91.26
134.1,0.8325,91.31
135,0.828,91.43
134.1,0.8297,91.33
134.8,0.8271,91.42
134.4,0.8266,91.43
134,0.8278,91.3
133.9,0.8302,91.24
133.8,0.8319,91.27
134.9,0.8269,91.48
133.9,0.833,91.23
133.3,0.8325,91.15
133.5,0.8341,91.15
133.4,0.8325,91.17
134,0.8297,91.34
134.1,0.8303,91.33
134.5,0.8306,91.4
134.4,0.8292,91.3
134.4,0.8287,91.35
134.1,0.8297,91.28
134.3,0.8269,91.35
134.7,0.8254,91.49
135.1,0.825,91.5
134.9,0.8283,91.37
134.5,0.8299,91.37
134.2,0.8286,91.35
134.3,0.8272,91.38
134.5,0.8322,91.36
133.8,0.8311,91.29
134.4,0.8302,91.35
134.1,0.8317,91.3
133.8,0.829,91.31
133.2,0.8328,91.12
133.9,0.83,91.3
133.9,0.8293,91.3
134.5,0.8276,91.34
133.9,0.8298,91.31
134,0.8311,91.31
133.9,0.831,91.26
134.3,0.831,91.29
133.8,0.8306,91.24
134.3,0.8283,91.36
134.8,0.828,91.45
135,0.829,91.41
134.5,0.8301,91.36
133.3,0.8315,91.2
134,0.8288,91.37
134.1,0.8303,91.25
133.8,0.8295,91.33
134.6,0.8286,91.48
133.8,0.8304,91.37
133.1,0.8346,91.2
133.8,0.8327,91.23
133.6,0.8314,91.27
