Kmax,Ku,n,halfmax,Vhalf,slope
15470000,0.0001794,0.934,529800000,-14.69,0.0292
471600,0.000149,0.8437,7322000,-66.72,0.06441
3024000,0.0001706,1.016,93800000,-72.56,0.03224
1436000,0.0001371,0.9803,54990000,-40.62,0.02611
4052000,0.0001779,0.8698,71150000,-66.83,0.05695
979200,0.0001757,0.9373,26240000,-58.56,0.03732
1150000,0.000172,0.8582,23170000,-57.91,0.04963
668200,0.0001545,1.04,27070000,-59.49,0.02468
1934000,0.0001789,1.08,87310000,-69.14,0.02215
1218000,0.0001674,0.9749,39910000,-63.43,0.03052
1610000,0.0001533,0.9466,48860000,-60.36,0.03295
42.75,0.0001873,1.017,1548,-33.72,0.02762
2501000,0.0001803,0.9725,74790000,-66.82,0.03344
174600,0.0001758,0.9924,5641000,-61.72,0.03095
727700,0.0001625,0.8641,14060000,-54.65,0.05176
2939,0.0001763,0.9869,93880,-63.47,0.03131
1414000,0.0001685,0.9304,34190000,-21.87,0.04136
2389000,0.0001883,0.9097,48170000,-69,0.0496
4094000,0.0001751,0.9615,103500000,-67.98,0.03956
1643000,0.0001608,0.9614,38370000,-71.82,0.04282
2033000,0.0002115,0.878,44970000,-57.78,0.04521
780000,0.0001853,0.8226,11230000,-61.9,0.06946
1680000,0.0001697,0.9009,44220000,-13.71,0.03799
498100,0.0001797,0.9665,15580000,-54.21,0.03197
857900,0.0001816,0.9516,19770000,-77.39,0.04339
296300,0.0001539,0.8328,4552000,-65.53,0.06509
791800,0.0001498,0.9359,21530000,-58.53,0.03678
537600,0.0001775,0.8783,11540000,-41.67,0.04659
6773000,0.0001736,0.9595,219300000,-39.96,0.03088
570100,0.0001675,0.8746,10730000,-57.56,0.05313
2625000,0.0001684,0.8144,43260000,-18.01,0.06068
6977000,0.0001705,0.915,152700000,-71.87,0.04569
1171000,0.0001986,0.9684,36170000,-59.53,0.03237
2344000,0.0001719,0.9929,70840000,-65.97,0.03309
5655000,0.0001652,0.8684,104300000,-63.22,0.05422
2197000,0.0002286,1.044,99930000,-57.16,0.02199
646500,0.0001493,0.8956,15080000,-39.32,0.04287
790500,0.000173,1.001,26540000,-63.9,0.02979
