Kmax,Ku,n,halfmax,Vhalf,slope
287400,0.1203,0.8903,76630000,-25.22,0.00375
412500,0.04622,0.9224,147500000,-13.64,0.002797
145300,0.05805,0.8691,36770000,-19.32,0.003952
344800,0.04658,0.8985,104800000,-10.03,0.00329
498200,0.04585,0.8844,143700000,-9.776,0.003467
280000,0.04722,0.9924,1.51e+08,-42.26,0.001854
62020,0.4926,0.8453,11580000,-55.07,0.005356
283500,0.02033,0.8598,67500000,-8.569,0.0042
1735000,0.04781,0.9374,770100000,-6.869,0.002253
91680,0.0458,0.8647,27420000,-3.258,0.003344
365300,0.04239,0.9692,164800000,-41.53,0.002217
484000,0.05817,0.9656,199600000,-57.52,0.002425
373600,0.04635,0.9418,133200000,-17.51,0.002805
462500,0.05297,0.9819,214400000,-64.41,0.002157
345000,0.03744,0.9145,107700000,-58.12,0.003203
1359000,0.0466,0.8803,355700000,-8.312,0.003821
561800,0.1634,0.8422,114600000,-14.49,0.004902
412100,0.05229,0.8037,68990000,-5.072,0.005973
472700,0.05876,0.8617,112300000,-9.815,0.004209
306000,0.03375,0.9183,113500000,-7.157,0.002696
43300,0.06253,0.9288,14550000,-56.57,0.002976
191700,0.04162,0.8681,49580000,-8.514,0.003866
960800,0.04316,0.9436,365900000,-12.58,0.002626
179200,0.05396,0.9185,55180000,-68.02,0.003248
2814000,0.02505,0.9273,932700000,-56.46,0.003017
438800,0.04811,0.8979,122900000,-20.06,0.00357
2148000,0.05454,0.8098,406900000,-4.342,0.005279
706500,0.04174,0.8355,142300000,-6.813,0.004965
655100,0.04857,0.895,1.87e+08,-38.46,0.003503
849300,0.05454,0.8396,203600000,-2.107,0.004171
327900,0.04695,0.947,126900000,-45.37,0.002584
81890,0.05237,0.8473,19700000,-5.185,0.004157
827400,0.05787,0.8673,199500000,-9.421,0.004147
176500,0.04529,0.8827,44890000,-21.68,0.003932
268700,0.04138,0.8169,50390000,-7.422,0.005332
185900,0.04771,0.921,59430000,-19.08,0.003128
194400,0.04378,0.8478,43460000,-21.04,0.004473
3231000,0.1554,0.8551,715400000,-19.88,0.004516
368200,0.04644,0.9081,116700000,-19.69,0.003155
479000,0.04611,0.8772,128700000,-13.08,0.003722
160800,0.18,0.8398,42010000,-1.986,0.003828
88370,0.04099,0.8656,25060000,-3.131,0.003526
85390,0.5878,0.8567,20260000,-7.37,0.004215
935100,0.02933,0.8329,168800000,-61.79,0.00554
765500,0.05354,0.8978,211500000,-65.4,0.003619
434500,0.1211,0.8964,132800000,-8.594,0.003272
2195000,0.05806,0.8226,388600000,-47.3,0.005648
1222000,0.1556,0.8089,203600000,-9.067,0.006002
920700,0.04714,0.9145,287300000,-34.51,0.003205
115900,0.1603,0.8111,22170000,-6.415,0.005228
333800,0.04796,0.9061,97520000,-22.3,0.003423
392100,0.04651,0.908,131800000,-7.42,0.002975
238200,0.01921,0.9142,83580000,-9.35,0.00285
918500,0.04526,1.03,638100000,-22.68,0.001439
433100,0.05653,0.9371,158400000,-13.65,0.002734
690800,0.02379,0.8951,194800000,-21.29,0.003546
2511000,0.04657,0.8529,5.6e+08,-12.72,0.004484
735600,0.05281,0.8714,175300000,-64.14,0.004196
188300,0.04662,0.8565,41740000,-9.735,0.004511
234500,0.04616,0.9225,83850000,-13.78,0.002797
158300,0.01929,0.856,36590000,-9.97,0.004326
618200,0.157,0.8402,117500000,-20.16,0.005261
509200,0.01588,0.9458,229400000,-11.89,0.00222
1304000,0.05233,0.8351,2.78e+08,-4.914,0.004691
70290,0.05372,1.015,45430000,-60.19,0.001547
169200,0.05359,0.8569,33590000,-64.92,0.005037
687700,0.1333,0.8709,189300000,-7.091,0.003633
2293000,0.0538,0.8777,561700000,-54.65,0.004082
3089000,0.04793,0.8971,845400000,-21.86,0.003654
240400,0.04698,0.9253,87460000,-17.03,0.002749
514900,0.05336,0.819,81880000,-36.34,0.006288
79350,0.1006,0.9117,29740000,-4.774,0.002668
438000,0.04513,0.8843,112600000,-9.543,0.00389
945900,0.03379,0.8613,198600000,-58.88,0.004763
