Kmax,Ku,n,halfmax,Vhalf,slope
8.697,0.0004458,1.137,47.86,-173.3,0.1817
12.36,0.0005318,0.8072,45.43,-184.4,0.2721
16.37,0.0003914,0.8599,66.51,-172.2,0.2461
11.94,0.0004205,1.1,66.03,-164.9,0.1808
11.38,0.0004195,0.9182,50.09,-166.3,0.2272
10.35,0.0003843,0.9263,41.37,-164.9,0.2502
14.96,0.0003819,1.012,64.41,-160.8,0.2323
11.92,0.0004117,1.042,56.1,-186.7,0.2125
12.9,0.0004499,0.871,47.66,-173,0.2707
12.55,0.0003776,0.9885,49.72,-173.8,0.2524
12.19,0.0003837,0.7927,37.12,-175.1,0.3284
10.13,0.0004179,0.9586,45.14,-181.7,0.2244
9.993,0.0004272,0.7755,32.04,-165.7,0.3119
13.17,0.0003685,1.03,75.84,-169.6,0.1737
12.85,0.0003857,0.9329,50.72,-156.6,0.2534
7.897,0.0003808,1.202,44.03,-163,0.1794
13.86,0.0004191,1,58.05,-170.4,0.2388
13.66,0.000351,0.8752,45.63,-164.6,0.2994
10.44,0.000417,1.118,56.64,-175.3,0.1843
9.377,0.0004482,1.122,55.08,-188.6,0.1702
10.41,0.0003941,1.276,77.34,-167.4,0.1346
14.19,0.0004921,1.009,62.78,-186.9,0.226
12.51,0.0004103,0.9134,64.41,-174,0.1942
8.635,0.0004771,1.059,38.08,-167.5,0.2268
8.856,0.0004298,1.331,69.56,-183.8,0.1273
12.53,0.0004674,0.877,53.17,-186.1,0.2357
10.67,0.000389,1.053,52.19,-184.7,0.2044
12.44,0.0004164,0.9914,46.8,-181.5,0.2658
9.665,0.0003413,1.182,67.38,-170.9,0.1434
11.15,0.000456,0.9389,43.32,-181.9,0.2574
9.913,0.0004103,0.9048,35.79,-166.5,0.277
9.729,0.0005071,1.014,48.8,-175.4,0.1994
10.8,0.0003584,0.9944,51.78,-157.5,0.2086
8.87,0.0004014,1.108,44.15,-172.5,0.2009
11.51,0.0004152,1.173,56.97,-168.9,0.202
10.41,0.0004612,0.8108,34.07,-187.5,0.3055
9.453,0.0003344,1.12,41.57,-166.4,0.2274
9.237,0.000391,1.076,46.5,-178.3,0.1986
8.688,0.0004547,1.013,30.95,-182.3,0.2807
9.03,0.0004325,0.93,36.95,-155.3,0.2444
9.737,0.0004305,0.8988,34.42,-181.3,0.2829
8.871,0.0003973,0.9356,27.91,-177.4,0.3178
27.68,0.0005281,0.5746,60.64,-174.9,0.4565
15.95,0.0004692,1.046,95.65,-177.6,0.1668
53.94,0.0004065,0.6761,174.1,-161.4,0.3098
16.24,0.000578,0.8266,58.99,-174.8,0.2753
16.43,0.0003767,0.8988,62.59,-163.6,0.2625
12.57,0.0004553,0.8221,41.19,-160.2,0.3052
10.27,0.0003552,1.201,56.77,-169,0.1809
8.941,0.0003589,1.141,54.12,-165.7,0.1652
25.93,0.0006326,0.7105,93.42,-174.1,0.2776
11.71,0.0003907,1.147,58.61,-164.6,0.1998
8.848,0.0004708,1.154,49.4,-171.1,0.1791
8.586,0.0004333,0.9669,33.73,-171.5,0.2546
7.428,0.0004172,1.071,32.04,-170,0.2318
11.05,0.0003562,1.099,60.99,-184.2,0.1812
9.11,0.0004131,0.8847,30.33,-176.4,0.3004
6.792,0.0005021,1.057,28.46,-185.2,0.2387
13.81,0.0003952,1.111,96.76,-181.3,0.1427
13.33,0.0003639,0.9739,61.98,-185.4,0.2151
14.4,0.0004288,0.7282,44.7,-173.3,0.3221
9.88,0.0005342,0.7591,29.3,-167.9,0.3372
11.73,0.0004028,1.158,63.41,-188.3,0.185
7.548,0.0003396,1.318,51.92,-167.6,0.1454
9.347,0.0004973,1.065,45.31,-190.1,0.2063
15.68,0.000376,0.7357,62.36,-173.3,0.2514
8.719,0.0003387,1.056,36.13,-170,0.2413
8.398,0.000349,0.8477,25.67,-162,0.3272
13.04,0.0004078,1.034,76.11,-174.9,0.1713
10.66,0.0003852,1.116,54.44,-167,0.1958
29.9,0.0004551,0.6366,88.18,-176.6,0.3391
12.94,0.0003719,0.9849,64.93,-187.9,0.1993
24.49,0.0004811,0.5858,65.37,-164.1,0.3746
10.78,0.0004022,0.9456,45.8,-191.2,0.2354
15.41,0.0004395,0.8881,62.04,-180.9,0.2484
7.558,0.0003781,1.146,35.89,-151.8,0.2106
10.53,0.0003741,1.251,62.95,-172.8,0.1673
12.79,0.0004286,0.864,47.65,-173.3,0.2684
7.536,0.0004231,1.54,99.8,-177.9,0.07551
7.577,0.0004225,1.446,69.86,-166.1,0.1085
11.34,0.0003928,1.069,49.23,-167.5,0.2303
10.36,0.0004196,1.134,54.64,-174.1,0.1896
28.93,0.0004293,0.6684,93.27,-173.1,0.3102
11.98,0.0003619,0.9937,54.99,-159.2,0.2179
80.69,0.0003946,0.6117,256.8,-168.7,0.3142
12.21,0.0003337,0.8302,44.64,-174.3,0.2735
10.4,0.0004424,1.24,74.25,-166.5,0.1401
9.729,0.0005607,0.9074,32.76,-166.7,0.297
12.77,0.0003755,1.142,74.44,-169.9,0.1715
10.53,0.0005173,1.066,64.24,-183.6,0.1639
6.798,0.0003997,0.979,20.82,-188.2,0.3265
11.63,0.0004639,0.8317,34.15,-177.5,0.3406
7.963,0.0004141,1.128,34.8,-169.8,0.2288
11.23,0.0005363,0.787,34.51,-168.9,0.3254
12.89,0.0004625,1.266,94.9,-189,0.1358
8.752,0.0003825,0.9019,27.61,-174.2,0.317
8.537,0.0003512,1.242,46.91,-166.3,0.182
7.432,0.0004537,1.028,33.8,-164.7,0.2199
9.553,0.0004094,0.9475,40.14,-174.1,0.238
13.46,0.0005279,0.7539,41.92,-166.8,0.3211
9.369,0.0005585,1.285,77.17,-174.2,0.1214
9.245,0.0004274,1.108,46.74,-177.3,0.1978
27.55,0.000364,0.6473,71.52,-154.9,0.3852
7.969,0.0004392,0.9309,29.13,-163.3,0.2736
9.542,0.0004767,0.8987,36.89,-177.2,0.2587
12.67,0.0004957,0.9733,62.43,-160,0.2029
9.404,0.0004375,1.104,52.26,-162.7,0.1799
9.906,0.0003294,1.108,49.24,-161,0.2012
10.36,0.0004827,1.012,45.25,-165.2,0.229
12.05,0.0004693,0.6972,35.91,-170.3,0.3356
8.321,0.0004136,1.279,53.09,-172.5,0.1567
9.757,0.0003482,1.265,63.46,-182.3,0.1538
38.96,0.0003955,0.591,106.7,-172,0.3651
16.51,0.0004877,0.7575,56.73,-180.8,0.291
102200,0.0004791,0.5762,296700,-169.7,0.3445
10.45,0.0003897,0.725,28.6,-171.4,0.3654
7.842,0.0005525,1.158,41.92,-155.5,0.1871
32.64,0.0003681,0.6015,95.97,-170.9,0.3401
10.4,0.0003351,0.8758,36.37,-157.4,0.2859
16.47,0.0003881,0.7413,58.34,-187.9,0.2823
8.864,0.0003514,1.532,97.61,-158.2,0.09081
9.666,0.0003474,1.094,52,-161.4,0.1859
7.014,0.0004107,1.045,31.33,-169.2,0.2239
12.55,0.0004045,1.117,70.58,-177.1,0.1778
29.15,0.0004551,0.6235,77.56,-171.6,0.3758
12.2,0.0003696,1.211,93.6,-172.9,0.1303
10.43,0.0003592,1.061,44.28,-168.5,0.2355
8.04,0.0004786,0.9583,31.19,-169,0.2578
10.26,0.0004337,0.9012,49.16,-172,0.2087
10.67,0.0003642,0.8906,39.31,-162.2,0.2714
7.624,0.0003647,1.124,33.89,-163.3,0.225
8.586,0.0003679,1.282,62.23,-174.8,0.138
7.392,0.000566,1,27.69,-173.7,0.267
12.88,0.0003579,1.047,67,-180.1,0.1922
10.48,0.0004047,1.027,46.06,-180.4,0.2275
9.737,0.0004393,0.8877,35.75,-177.9,0.2724
397800,0.0005107,0.6127,1402000,-184.4,0.2837
11.21,0.0004253,1.258,82.29,-163.6,0.1362
8.438,0.0004303,0.782,26.01,-169.8,0.3244
10.71,0.0003486,1.043,52.87,-164.4,0.2026
10.18,0.0003976,0.928,36.27,-171.1,0.2807
16.99,0.0003367,0.7743,54.45,-160.7,0.312
12.54,0.0004459,1.103,75.75,-158.5,0.1655
19.48,0.0004641,0.6972,69.07,-176.4,0.282
15.42,0.0003819,0.887,52.09,-172.5,0.296
7.934,0.0004213,1.148,35.28,-183.1,0.2249
10.73,0.0003641,1.058,55.34,-165,0.1939
7.742,0.0003848,1.082,39.72,-167.6,0.1949
8.971,0.0003558,1.309,67.66,-166.1,0.1326
9.14,0.0004114,1.093,40.41,-184.4,0.2262
7.855,0.0003669,0.9968,29.11,-173.4,0.2698
9.393,0.0004039,1.097,50.82,-189.2,0.1848
14.54,0.0003748,0.8157,54.6,-165.7,0.2663
9.761,0.0004745,1.13,54.33,-189,0.1797
10.76,0.000532,0.8677,45.8,-179.3,0.2349
9.428,0.0003733,1.019,35.7,-170.9,0.2641
10.02,0.000518,0.931,42.34,-165.6,0.2367
8.617,0.0003811,1.071,46.74,-174.4,0.1844
8.345,0.0004754,1.076,40.97,-171,0.2037
9.27,0.0003574,1.335,85.87,-168,0.108
7.915,0.0003257,1.339,58.17,-174,0.1361
18.38,0.0004316,0.7126,65.47,-163.9,0.2807
10.07,0.000435,1.126,60.21,-169.1,0.1672
8.288,0.0003727,1.254,48.23,-167.6,0.1718
9.982,0.0005651,1.281,83.23,-170.4,0.1199
9.626,0.000497,1.12,47.2,-178.3,0.2039
9.522,0.0003579,1.387,104.4,-159.5,0.09121
11.03,0.000563,0.9299,47.16,-171.3,0.2339
9.433,0.0003762,1.103,46.64,-155.5,0.2023
7.873,0.0003905,1.107,33.84,-162,0.2327
12.34,0.0004616,0.7236,33.66,-167.7,0.3666
14.26,0.0003968,1.063,61.45,-198.4,0.2321
12.6,0.0004669,0.8214,38.77,-171.3,0.325
12.55,0.0004748,1.142,80.04,-179.9,0.1568
12.1,0.0003843,1.319,102.9,-163.9,0.1176
7.778,0.0004873,1.129,40.35,-175.4,0.1928
20.53,0.0004573,0.749,77.78,-186.1,0.2639
11.39,0.0004773,0.7109,29.89,-165.8,0.3811
17.92,0.0003729,0.9116,85.19,-166.4,0.2104
9.682,0.0004615,0.8378,27.97,-187.6,0.3462
12.37,0.0003549,1.311,93.76,-179.5,0.1319
9.96,0.0004254,0.7808,29.3,-164.1,0.3399
12.86,0.000349,0.9575,57.46,-168.9,0.2238
15.24,0.0005598,0.861,56.47,-170.8,0.2699
11.79,0.000419,0.958,55.28,-166.7,0.2133
10.85,0.0004136,0.8756,36.95,-162.5,0.2936
12.34,0.0004865,0.8948,51.76,-170.3,0.2384
10.73,0.0004501,0.7339,33.39,-183.1,0.3214
11.04,0.0003243,1.037,47.59,-185.7,0.232
12.19,0.0005115,1.415,119.3,-166.5,0.1022
16.01,0.0003855,0.6772,45.8,-179.5,0.3496
9.162,0.0004234,1.324,67.66,-188.3,0.1354
10.91,0.0003532,0.9644,40.29,-164.2,0.2708
8.246,0.0004624,1.127,43.02,-175.7,0.1917
16.21,0.0004116,0.6155,43.54,-178.4,0.3723
10.6,0.0003885,1.256,69.85,-171.2,0.1518
11.87,0.0004414,0.9803,40.86,-168.2,0.2905
11.89,0.0004106,1.192,70.36,-175.1,0.169
10.82,0.000546,0.98,43.89,-174.4,0.2465
7.439,0.0004326,1.09,39.67,-179,0.1875
12.91,0.0005829,0.7973,43.67,-199.4,0.2956
9.51,0.0004133,0.9679,41.79,-181.3,0.2276
11.04,0.0004587,0.8808,37.78,-172.9,0.2922
6.388,0.0004865,1.027,22.83,-185.5,0.2798
6.663,0.0003969,1.359,49.32,-168.3,0.1351
11.9,0.0004082,1.202,79.05,-169.6,0.1505
10.35,0.0003892,0.9072,44.61,-173.5,0.232
8.273,0.0004442,1.334,54.91,-172.2,0.1507
10.8,0.0004932,0.8848,36.66,-182.3,0.2946
10.31,0.0003341,1.275,89.29,-180.4,0.1155
9.788,0.0003717,1.016,45.3,-167.4,0.2161
7.855,0.000501,1.055,35.52,-180.3,0.2211
5.503,0.0004972,1.222,22.63,-180.6,0.2432
10.3,0.0004391,1.107,67.48,-170.3,0.1526
8.137,0.000476,1.082,42.91,-170.4,0.1896
13.95,0.0003996,1.222,93,-164.6,0.15
14.43,0.0004531,0.9839,60.34,-172.6,0.2391
