Kmax,Ku,n,halfmax,Vhalf,slope
28200,0.1372,0.949,113200000,-90.28,0.0002491
213500,0.1649,0.9178,646100000,-193.9,0.0003304
177900,0.3976,0.8982,4.35e+08,-88.08,0.000409
43250,0.3979,0.9221,139700000,-88.08,0.0003096
116700,0.9693,0.949,482300000,-83.98,0.000242
154700,0.1403,0.9476,611900000,-139.2,0.0002528
46960,0.1887,0.9632,217400000,-95.4,0.000216
72280,0.1488,0.9264,235200000,-149.7,0.0003073
212000,0.1711,0.9203,661800000,-174.9,0.0003203
149900,0.1845,0.9252,499100000,-100.8,0.0003003
99.84,0.9999,0.9793,530300,-82.76,0.0001883
342200,0.1561,0.8937,781600000,-158.6,0.0004378
128.4,0.1178,1.011,898000,-155.6,0.000143
67580,0.1538,0.9273,2.21e+08,-143.3,0.0003058
57.43,0.1392,1.083,791400,-150.3,7.257e-05
511400,0.5402,0.8694,959700000,-87.54,0.0005329
308000,0.1358,0.9107,833800000,-167.5,0.0003694
90560,0.1451,0.9733,476400000,-93.84,0.0001901
25.71,0.8814,1.174,781800,-84.4,3.289e-05
339900,0.5218,0.8612,562900000,-87.6,0.0006038
10980,0.1341,0.9417,39360000,-90.67,0.000279
98410,0.9993,0.9761,530200000,-82.28,0.0001856
107100,0.1475,0.9634,503800000,-93.13,0.0002126
347600,0.2643,0.9065,913400000,-87.89,0.0003806
175100,0.1459,0.9508,766800000,-189.6,0.0002284
229300,0.1626,0.9119,660500000,-151.4,0.0003472
129.9,0.1472,0.9735,624800,-107.2,0.0002079
132100,0.9662,0.9251,412500000,-83.01,0.0003202
134200,0.3894,0.9392,5.12e+08,-87.83,0.0002621
80600,0.3855,0.9476,331500000,-85.24,0.0002431
97.94,0.6838,1.003,680800,-85.25,0.0001439
94170,0.1651,0.9365,335400000,-146.3,0.0002808
245200,0.435,0.91,6.96e+08,-88.13,0.0003523
120300,0.788,0.8988,2.94e+08,-85.09,0.0004092
55430,0.3353,0.9491,226900000,-86.89,0.0002443
215000,0.1675,0.9494,923600000,-168.5,0.0002328
57030,0.1555,0.9311,200700000,-151.5,0.0002842
68.64,0.3789,1.017,492900,-86.31,0.0001393
172300,0.1576,0.9167,468400000,-148,0.0003678
144300,0.9596,0.9366,509400000,-83.71,0.0002833
48730,0.1468,0.9667,233900000,-147.2,0.0002083
50270,0.3496,0.9407,190300000,-88.5,0.0002642
76390,0.743,0.9769,427400000,-84.76,0.0001787
117100,0.2227,0.9224,361300000,-93.62,0.0003241
219100,0.17,0.8918,506800000,-162.4,0.0004323
64.69,0.3596,1.007,432900,-88.51,0.0001494
113000,1,0.9085,304400000,-81.5,0.0003712
127800,0.1136,0.9558,582300000,-152.2,0.0002195
51730,0.1489,0.9816,297500000,-96.56,0.0001739
60280,0.1939,1.022,522600000,-90.32,0.0001153
278400,0.1566,0.8901,606800000,-184.9,0.0004588
289200,0.2751,0.9181,872200000,-91.09,0.0003316
134800,0.1819,0.9155,420900000,-161.6,0.0003203
155700,0.4782,0.9357,583500000,-87.54,0.0002668
