Kmax,Ku,n,halfmax,Vhalf,slope
121.7,1.972e-05,1.071,780.8,-1.232,0.1559
48.46,1.756e-05,1.092,301.7,-3.715,0.1606
16.29,1.715e-05,1.191,119.6,-1.001,0.1362
317800,1.823e-05,1.145,2776000,-1.335,0.1145
175600,1.756e-05,0.9648,927800,-1.225,0.1893
39.4,1.663e-05,1.026,214.2,-1,0.1839
149200,1.653e-05,1.089,966000,-3.787,0.1545
8778000,1.063e-05,0.9895,37720000,-39.97,0.2327
142000,2.021e-05,1.088,944700,-1,0.1503
111.8,1.803e-05,1.024,645.5,-1.057,0.1732
1982,1.629e-05,1.084,13560,-1.001,0.1462
11300000,1.209e-05,0.9983,56200000,-6.151,0.2011
27.83,1.671e-05,1.087,151.5,-4.486,0.1837
6977000,1.639e-05,1.044,41380000,-2.624,0.1686
1177000,1.775e-05,0.9858,6344000,-4.459,0.1855
668500,1.073e-05,1.034,3285000,-20.67,0.2035
31.73,2.156e-05,1.08,195.9,-1,0.162
1531000,1.555e-05,1.067,10240000,-1.541,0.1495
926400,1.364e-05,1.08,5604000,-5.737,0.1653
50.16,1.997e-05,1.096,308.5,-1.023,0.1626
10.42,1.899e-05,1.317,79.76,-1,0.1306
7.963,1.459e-05,1.492,67.3,-3.203,0.1183
24.22,1.793e-05,1.028,119.3,-1.001,0.203
7.991,1.67e-05,1.602,76.7,-1,0.1042
22.97,1.562e-05,1.139,150.6,-1.717,0.1525
155.6,1.662e-05,1.006,896.9,-1.007,0.1735
1904000,1.227e-05,0.9949,7486000,-14.65,0.2543
17.25,2.074e-05,1.228,149.1,-1.178,0.1157
17.41,2.031e-05,1.226,146.5,-1.001,0.1188
24.66,1.304e-05,1.094,113.8,-10.28,0.2167
7.366,1.459e-05,1.487,60.16,-1.001,0.1224
19.08,1.832e-05,1.017,84.42,-1,0.226
141200,1.464e-05,1.02,688600,-6.221,0.2051
625.4,1.783e-05,0.9886,3122,-1.03,0.2003
16.1,1.53e-05,1.146,93.48,-1.002,0.1722
443000,1.843e-05,0.9277,2188000,-1.001,0.2025
101700,1.759e-05,1.029,666300,-1.002,0.1526
16.43,1.807e-05,1.171,105.3,-1.256,0.156
23.34,1.86e-05,1.196,174.1,-1.001,0.1341
1912000,1.948e-05,1.011,10800000,-1.016,0.177
203.8,1.946e-05,1.019,1260,-1,0.1617
58.8,1.852e-05,1.092,347.2,-1.002,0.1694
13.08,2.009e-05,1.233,96.86,-1,0.135
8949,1.831e-05,0.998,46990,-1,0.1904
15.16,1.984e-05,1.203,106,-1.001,0.143
372400,1.256e-05,1.018,2002000,-5.123,0.186
10.87,1.863e-05,1.284,73.13,-1.001,0.1486
9471000,1.017e-05,0.9785,37900000,-37.31,0.2499
31.91,1.945e-05,1.144,215.3,-1,0.1482
11.44,1.794e-05,1.315,99.45,-1.011,0.115
9.755,1.965e-05,1.277,66.12,-1,0.1475
296100,1.214e-05,0.9778,1176000,-10.86,0.2518
21.04,1.17e-05,1.079,102.3,-3.893,0.2057
10.04,1.938e-05,1.227,64.81,-1,0.1549
14.41,2.078e-05,1.388,155.3,-1.001,0.09279
8.375,1.235e-05,1.536,70.25,-3.796,0.1192
972900,1.807e-05,0.9821,4990000,-1.003,0.195
61.57,1.195e-05,1.085,349.6,-5.195,0.1761
29.23,1.862e-05,0.9833,135.8,-1,0.2152
16.97,1.742e-05,1.178,108.9,-1.037,0.1558
1387000,1.45e-05,1.122,10290000,-10.21,0.1348
129200,1.657e-05,1.017,740000,-1.018,0.1746
19.46,1.983e-05,1.119,123.6,-1.014,0.1574
19560,1.882e-05,1.02,118400,-1.004,0.1652
20.71,1.452e-05,1.273,167.9,-7.319,0.1233
25.95,2.003e-05,1.059,150,-1.001,0.173
1585000,1.882e-05,1.048,10140000,-1.021,0.1563
11.07,1.784e-05,1.295,85.44,-1,0.1296
2920000,1.767e-05,0.9641,17590000,-1.006,0.166
9.879,1.804e-05,1.388,88.12,-1,0.1121
12.81,1.799e-05,1.218,89.36,-1,0.1434
228.5,2.073e-05,1.074,1523,-1.002,0.15
174200,1.675e-05,0.9723,931700,-1,0.187
23.65,1.86e-05,1.082,142.2,-1,0.1663
12.85,2.04e-05,1.156,76.83,-1,0.1673
16.99,1.847e-05,1.144,105.7,-1,0.1607
11,1.438e-05,1.304,75.98,-4.156,0.1448
356.8,1.989e-05,0.9859,2021,-1,0.1765
554100,1.287e-05,1.01,2777000,-6.712,0.1995
13.43,1.423e-05,1.278,91.54,-5.021,0.1467
25.24,1.108e-05,1.155,145,-11.11,0.1741
11.78,1.537e-05,1.356,105,-1.001,0.1122
8819,1.858e-05,1.079,65020,-1.028,0.1356
14.9,1.708e-05,1.137,73.93,-1.012,0.2015
9.722,1.387e-05,1.282,67.39,-1.078,0.1443
29.28,1.489e-05,1.068,155.6,-1.001,0.1882
15.96,1.557e-05,1.184,103.3,-1,0.1545
11.44,1.549e-05,1.236,71.05,-1.021,0.161
11.92,1.76e-05,1.305,109,-1.004,0.1094
59.57,1.852e-05,1.102,429.1,-1.007,0.1388
1025000,1.856e-05,1.198,9759000,-1.945,0.105
602.8,1.357e-05,1.066,3365,-5.922,0.1791
2084000,1.393e-05,1.084,12960000,-6.821,0.1608
28.05,1.922e-05,1.116,179.2,-1,0.1565
38120,1.926e-05,0.9635,195100,-1.004,0.1954
376.7,1.734e-05,0.9577,1837,-1.001,0.2051
193000,1.492e-05,0.9613,884700,-3.884,0.2182
26.62,1.641e-05,1.1,163.6,-1,0.1627
385600,2.403e-05,0.9614,2188000,-1,0.1762
11.82,1.896e-05,1.19,82.69,-1,0.1429
14.79,1.483e-05,1.166,95.59,-1.925,0.1547
172.8,1.774e-05,1.058,981.2,-1,0.1761
2356000,1.605e-05,0.9957,12920000,-1.005,0.1824
159700,1.914e-05,1,937200,-1.004,0.1704
342000,1.701e-05,1.059,2111000,-2.866,0.162
10.55,1.876e-05,1.351,71.84,-1,0.1469
151500,1.58e-05,1.06,918300,-4.445,0.165
873100,1.625e-05,1.034,4797000,-3.911,0.182
49.65,1.584e-05,1.186,401.2,-2.057,0.1238
7.668,1.538e-05,1.36,53.61,-1.003,0.143
21.15,2.088e-05,1.132,132.2,-1.106,0.16
156.3,2.098e-05,1.027,990.9,-1.001,0.1577
24.17,1.836e-05,1.241,194.1,-1.022,0.1245
88660,2.32e-05,1,529700,-1.004,0.1674
429200,9.805e-06,1.033,1937000,-14.01,0.2216
22,1.883e-05,1.185,143.7,-1,0.1531
12.02,2.056e-05,1.161,72.96,-1.003,0.1647
25.78,2.29e-05,1.103,158.4,-1,0.1628
12.62,1.827e-05,1.237,93.41,-1.019,0.1351
1102000,1.862e-05,1.063,7130000,-1.001,0.1546
460000,1.487e-05,0.9892,2123000,-5.237,0.2167
13.75,1.794e-05,1.304,108.3,-1.002,0.127
13.59,2.022e-05,1.301,115.2,-1.065,0.118
8.929,1.555e-05,1.382,69.09,-1,0.1292
482000,2.101e-05,1.077,3437000,-1.002,0.1402
16.31,1.647e-05,1.137,83.84,-1.005,0.1945
13.85,1.613e-05,1.185,93.85,-1.001,0.1476
8.572,1.681e-05,1.386,75.96,-1.001,0.1128
6206000,1.65e-05,1.061,42620000,-1.004,0.1456
807400,1.516e-05,1.026,4457000,-6.718,0.1812
21500,1.938e-05,1.016,131600,-1.024,0.1634
59190,2.179e-05,1.038,393500,-1.001,0.1504
313.9,1.72e-05,0.9487,1555,-1.002,0.2019
531200,1.78e-05,0.9803,2779000,-3.241,0.1911
2588000,1.436e-05,1.075,14640000,-12.26,0.1768
10.11,1.648e-05,1.275,73.35,-1.003,0.1378
11.78,1.692e-05,1.379,113.5,-1,0.1038
121900,2.248e-05,1.093,824200,-1.001,0.1479
168000,1.842e-05,0.9878,877300,-1.011,0.1915
608000,1.446e-05,1.022,3715000,-1.005,0.1637
63650,1.222e-05,1.059,349100,-8.072,0.1823
775400,1.277e-05,0.9927,3366000,-7.691,0.2304
7.161,1.97e-05,1.51,81.97,-1,0.08736
191600,1.842e-05,1.035,1170000,-1.001,0.1638
272100,1.976e-05,1.042,1846000,-1.004,0.1474
44.49,2.109e-05,1.055,292.2,-1,0.1523
15.14,1.598e-05,1.171,88.35,-1,0.1714
46.1,1.665e-05,1.086,273.6,-3.396,0.1685
23.21,1.736e-05,1.153,159.3,-1.04,0.1457
22.13,1.678e-05,1.075,114.8,-1.091,0.1928
8.375,1.965e-05,1.344,62.73,-1.001,0.1335
22.8,1.138e-05,1.213,126.5,-34.95,0.1802
1935000,1.483e-05,1.027,11070000,-3.24,0.1748
17.77,1.611e-05,1.159,117.3,-1.431,0.1515
1889000,1.896e-05,1.052,12030000,-1.008,0.157
71.08,1.677e-05,1.038,381.5,-1.041,0.1863
7124,2.165e-05,1.062,45560,-1.001,0.1564
9.4,1.726e-05,1.441,74.97,-1.001,0.1254
11.9,1.74e-05,1.224,88.08,-1,0.1351
29.44,1.746e-05,1.085,166.9,-1.007,0.1764
10.75,1.983e-05,1.272,84.58,-1.84,0.1271
14.76,1.48e-05,1.2,94.26,-1.851,0.1566
1050000,1.579e-05,0.9911,5346000,-2.528,0.1964
1852000,1.573e-05,1.013,9658000,-4.942,0.1918
49.47,1.738e-05,0.9916,247.5,-1,0.1999
451300,2.221e-05,1.107,3659000,-1.009,0.1233
23.72,1.786e-05,1.175,174.6,-1.553,0.1359
11.17,1.994e-05,1.485,147.4,-1,0.07578
28.86,2.358e-05,1.133,203.2,-1,0.142
443500,1.734e-05,1.126,3230000,-3.128,0.1373
23.76,1.956e-05,1.143,153.9,-1,0.1544
41.67,1.753e-05,1.059,239,-1,0.1744
59.7,1.779e-05,1.094,392.2,-1.023,0.1522
42.63,2.032e-05,1.175,323,-1,0.132
126800,1.505e-05,1.005,627600,-4.845,0.202
6871000,1.22e-05,1.035,37060000,-21.63,0.1854
7.747,1.641e-05,1.524,79.91,-1.007,0.09695
12.32,2.068e-05,1.323,107.9,-1.001,0.1142
23.02,1.768e-05,1.125,145.8,-1.006,0.1579
4333000,1.491e-05,1.024,22860000,-9.178,0.1895
599700,1.735e-05,0.9937,3288000,-1.004,0.1824
40670,1.759e-05,1.119,313000,-1.001,0.1299
16.12,1.038e-05,1.227,93.7,-9.749,0.172
499700,1.977e-05,1.051,3313000,-1.007,0.1508
8.737,1.669e-05,1.325,65.49,-1,0.1334
1325000,1.233e-05,0.9606,5626000,-5.742,0.2355
11.43,2.208e-05,1.277,92.93,-1,0.123
23.61,2.055e-05,1.126,145.2,-1.006,0.1626
17.68,1.363e-05,1.194,113.3,-5.067,0.156
12.44,1.881e-05,1.269,88.2,-1,0.141
8.47,1.583e-05,1.359,56.2,-1,0.1507
100300,1.881e-05,0.972,477100,-1.022,0.2102
16.43,1.789e-05,1.152,103.6,-1.007,0.1586
8007000,1.879e-05,1.045,47820000,-4.37,0.1674
122200,2.204e-05,1.091,906700,-1.002,0.1348
518100,1.233e-05,1.125,3227000,-19.99,0.1606
50750,1.957e-05,1.052,334600,-1.015,0.1517
44.27,1.913e-05,0.9824,223,-1.002,0.1985
11410000,1.347e-05,1.018,55350000,-8.902,0.2061
62.9,1.181e-05,1.016,266.8,-10.53,0.2358
7.982,1.548e-05,1.598,83.74,-1.03,0.09532
127.4,1.131e-05,1.032,574.9,-8.957,0.2216
26.72,1.606e-05,1.126,173.5,-1,0.154
3949000,1.917e-05,0.9977,22710000,-1,0.1739
13.34,2.084e-05,1.417,177.5,-1.001,0.07515
16.32,1.615e-05,1.154,96.89,-1,0.1684
3213000,1.398e-05,1.058,16580000,-9.119,0.1938
7.87,1.663e-05,1.515,75.15,-1.001,0.1047
38.08,1.291e-05,1.129,213.7,-10.27,0.1782
78.47,1.787e-05,1.185,641.7,-1,0.1223
3928000,1.729e-05,1.097,30260000,-1.177,0.1298
9.414,1.596e-05,1.309,65.53,-1,0.1437
67.06,1.823e-05,1.101,460.6,-1,0.1456
8.933,2.012e-05,1.329,77.74,-1,0.1149
33.22,1.186e-05,1.233,253.1,-16.79,0.1313
43.84,1.674e-05,1.111,268,-1.574,0.1636
9647000,1.243e-05,1.004,44970000,-7.69,0.2145
46.57,2.12e-05,1.149,335.2,-1,0.1389
18.12,2.19e-05,1.181,137.8,-1,0.1315
12.9,1.697e-05,1.119,66.06,-1,0.1953
630800,1.934e-05,1.057,4057000,-1.073,0.1555
57390000,1.528e-05,1.083,344700000,-7.711,0.1665
294000,1.651e-05,1.038,1701000,-2.212,0.1728
428.3,1.621e-05,1.043,2421,-1.468,0.1769
104.6,1.452e-05,1.006,537.8,-1.002,0.1945
673300,2.098e-05,1.043,4608000,-1.005,0.1461
69800,1.832e-05,1.023,370700,-2.109,0.1883
13.96,1.959e-05,1.306,136.4,-1.015,0.1023
7121000,1.599e-05,0.9998,37090000,-3.741,0.192
2180000,1.136e-05,0.9304,8447000,-10.34,0.2581
11.57,1.354e-05,1.178,65.34,-1.107,0.1771
22230000,1.349e-05,1.05,131300000,-6.849,0.1693
2646000,1.634e-05,1.04,15800000,-1.343,0.1675
12220,1.587e-05,0.9354,57680,-1.002,0.2119
14520000,1.21e-05,0.9628,65700000,-8.376,0.221
10.02,1.758e-05,1.232,68.07,-1.002,0.1472
124600,1.579e-05,0.9744,651600,-1,0.1912
10.07,1.764e-05,1.227,67.22,-1.001,0.1498
3184000,1.477e-05,1.092,19530000,-7.955,0.163
8.605,1.545e-05,1.321,58.76,-1.002,0.1464
67.61,1.917e-05,1.063,444.7,-1.165,0.152
3198000,1.494e-05,1.014,16430000,-5.51,0.1946
12.57,1.7e-05,1.257,98.11,-2.108,0.1281
26.4,1.89e-05,1.14,181.2,-1.043,0.1457
134300,1.742e-05,1.071,888300,-1.915,0.1512
8.57,2.127e-05,1.311,63.47,-1,0.135
16340000,9.025e-06,0.905,54470000,-10.95,0.3
7.753,1.433e-05,1.506,69.49,-1,0.1116
148500,1.7e-05,1.061,1020000,-1.011,0.1456
10.96,1.726e-05,1.32,86.16,-1,0.1272
247500,1.727e-05,0.9838,1342000,-1.004,0.1844
118.3,1.683e-05,1.026,699.1,-1.002,0.1692
3972000,1.877e-05,1.013,23950000,-1.006,0.1658
6.029,1.702e-05,1.732,81.98,-1.001,0.07354
15.06,1.754e-05,1.152,86.51,-1.007,0.1741
2620000,1.904e-05,1.023,16780000,-1.027,0.1561
270100,1.483e-05,1.055,1582000,-3.86,0.1707
15.55,1.924e-05,1.226,125.7,-1.001,0.1237
99420,1.671e-05,1.007,578900,-1.004,0.1717
15.93,1.793e-05,1.159,99.58,-1.001,0.16
18.32,1.571e-05,1.205,121.9,-5.917,0.1503
117900,2.164e-05,1.023,694600,-1.001,0.1697
14.8,1.116e-05,1.217,74.75,-5.981,0.198
2951000,1.301e-05,0.9201,11170000,-12.73,0.2642
2034000,1.651e-05,0.952,10030000,-1.195,0.2028
41.76,2.086e-05,1.083,283.5,-1.005,0.1473
20.67,1.58e-05,1.074,113.3,-1.356,0.1824
117200,1.53e-05,1.046,746200,-1.001,0.1571
91.39,1.832e-05,1.015,538.8,-1.001,0.1696
9.119,1.407e-05,1.232,49.67,-1.003,0.1836
1885000,1.399e-05,1.013,9711000,-5.309,0.1941
14.32,1.642e-05,1.226,93.96,-1.39,0.1524
12.4,2.081e-05,1.155,76.83,-1,0.1614
12630000,1.514e-05,1.025,65790000,-5.266,0.192
19.47,1.517e-05,1.099,118.1,-1.378,0.1649
10.07,2.008e-05,1.391,94.47,-1,0.1066
193700,1.978e-05,1.059,1243000,-2.472,0.1558
13.1,2.244e-05,1.154,91.01,-1,0.1439
13.64,1.136e-05,1.423,113.1,-9.407,0.1206
639.1,1.721e-05,1.092,4508,-2.216,0.1418
42360,1.542e-05,0.9641,221500,-2.17,0.1912
1063000,1.864e-05,0.9607,5626000,-1.002,0.1889
2494000,1.102e-05,1.062,12950000,-13.61,0.1926
27.11,1.821e-05,1.135,175.6,-1.001,0.1544
65090,2.075e-05,1.052,428800,-1.004,0.1518
282.1,1.037e-05,1.07,1395,-27.08,0.2022
104400,2.261e-05,0.9613,514500,-1.006,0.2029
123.4,1.945e-05,1.001,685,-1,0.1801
13.89,1.66e-05,1.237,99.87,-1,0.1391
18.05,2.233e-05,1.128,117.3,-1,0.1539
13.65,1.761e-05,1.234,101.9,-1.001,0.134
37.1,1.785e-05,1.124,254.2,-1.004,0.1459
5258000,1.727e-05,1.007,29800000,-1.291,0.1764
14.17,1.993e-05,1.224,105.6,-1,0.1342
689600,2.374e-05,1.094,5365000,-1,0.1285
16.52,1.796e-05,1.271,134.7,-1.936,0.1226
13.41,1.774e-05,1.276,105.6,-1,0.127
14790,1.937e-05,1.09,107700,-1.001,0.1373
269.1,1.597e-05,0.9544,1275,-1,0.2111
46,1.876e-05,1.083,315.5,-1.326,0.1458
94.7,1.433e-05,1.137,596,-6.148,0.1589
14.46,1.723e-05,1.106,79.58,-1.001,0.1817
111900,1.985e-05,0.9934,593800,-1.001,0.1884
121200,1.398e-05,0.9822,635300,-2.382,0.1908
30.86,1.758e-05,1.038,156.8,-1.007,0.1968
156600,1.814e-05,1.046,1008000,-1.003,0.1554
571400,2.217e-05,0.9943,3128000,-1.001,0.1827
1263000,1.697e-05,1.026,7858000,-2.84,0.1607
67.86,1.226e-05,1.034,273.1,-15.09,0.2485
653400,1.73e-05,1.055,4362000,-1.009,0.1498
3569,1.434e-05,1.069,23020,-5.062,0.155
10.86,1.954e-05,1.114,58.09,-1,0.187
648100,1.686e-05,1.086,4743000,-1.065,0.1366
27.51,1.804e-05,1.037,157.6,-1,0.1746
260700,2.045e-05,1.017,1553000,-1.001,0.1679
9.72,1.852e-05,1.218,60.97,-1,0.1594
181.5,1.733e-05,1.004,993,-1.001,0.1828
26.55,1.629e-05,1.162,191.4,-1.242,0.1387
53750,2.15e-05,0.9333,275000,-1.008,0.1955
133.8,1.651e-05,1.007,742.7,-1.008,0.1802
16.75,1.854e-05,1.144,105.4,-1.005,0.1589
22.22,1.513e-05,1.172,129,-6.652,0.1722
55.16,1.336e-05,1.04,263.9,-6.249,0.209
773300,2.092e-05,1.111,5757000,-1.003,0.1343
63.7,1.255e-05,1.12,385.6,-8.98,0.1652
13.29,1.651e-05,1.252,97.63,-1.002,0.1361
10.94,1.616e-05,1.27,76.8,-1,0.1424
2948000,1.781e-05,0.9658,16630000,-1.009,0.1773
26.64,1.816e-05,1.197,213.2,-1,0.125
1094,1.842e-05,0.9053,4860,-1.001,0.2251
1651000,1.655e-05,0.9999,8989000,-3.447,0.1837
8.064,1.802e-05,1.399,67.64,-1.001,0.1192
767.4,1.459e-05,0.9653,3666,-1.004,0.2093
10420000,2.077e-05,1.05,70120000,-1.006,0.1486
14.36,1.702e-05,1.142,95.89,-1,0.1498
15.76,2.028e-05,1.082,87.24,-1,0.1807
3293,1.873e-05,1.019,18850,-1.002,0.1747
10.31,1.769e-05,1.415,108.7,-1,0.09485
657.5,1.439e-05,0.9302,2834,-1.006,0.232
20.89,2.265e-05,1.098,126.3,-1,0.1654
11880000,1.091e-05,1.055,58330000,-22.09,0.2037
22.43,2.174e-05,1.118,139.3,-1,0.161
30.66,1.749e-05,1.161,195.2,-1.002,0.1571
65580,1.383e-05,0.9759,322600,-2.851,0.2033
12.41,2.085e-05,1.154,84.69,-1,0.1465
9.09,1.832e-05,1.457,98.88,-1.01,0.09193
163.5,1.989e-05,0.9783,923.3,-1.004,0.1771
40.27,1.518e-05,0.9803,189.5,-1.001,0.2125
882600,2.018e-05,1.056,6269000,-1.003,0.1408
1057000,1.816e-05,1.107,8519000,-1.013,0.1241
39.43,1.606e-05,1.064,235.6,-1.353,0.1674
20.37,1.593e-05,1.116,121.5,-1.546,0.1677
68510,2.015e-05,1.065,482200,-1.023,0.1421
34.81,1.138e-05,1.119,186.1,-7.04,0.187
879400,1.104e-05,1.003,4074000,-14.61,0.2159
37550,1.786e-05,0.966,192000,-1.009,0.1956
1331000,1.778e-05,1.032,8785000,-1.008,0.1515
64530,1.954e-05,1.071,426700,-2.775,0.1512
12.6,1.625e-05,1.325,107.8,-1.002,0.1169
20,1.967e-05,1.008,96.16,-1,0.208
27.4,1.578e-05,1.125,180,-1.001,0.1522
18.81,1.589e-05,1.128,114.9,-1,0.1637
9.013,1.709e-05,1.382,66.35,-1.001,0.1358
181.9,1.7e-05,1.04,1107,-1,0.1643
617800,1.492e-05,0.986,3105000,-6.942,0.199
161.5,1.895e-05,0.9839,926.2,-1,0.1744
1877000,1.471e-05,1.04,9888000,-7.219,0.1898
11.46,1.783e-05,1.27,94.34,-1,0.1215
22.39,1.922e-05,1.134,153,-1,0.1463
12.53,2.009e-05,1.208,85.98,-1,0.1457
16.1,1.708e-05,1.079,83.72,-1.01,0.1923
14.8,1.316e-05,1.25,98.76,-6.654,0.1499
3058000,2.095e-05,1.018,17720000,-1.016,0.1726
18.61,1.611e-05,1.253,149,-3.652,0.1249
285800,1.788e-05,0.9312,1305000,-1.01,0.219
6286000,1.837e-05,0.9848,37020000,-1.019,0.1698
171800,1.857e-05,0.9838,938500,-1.012,0.1831
379700,1.729e-05,0.919,1693000,-1.042,0.2243
34.73,1.78e-05,1.084,216.3,-1.009,0.1606
1224000,1.646e-05,1.061,7639000,-6.321,0.1602
1337000,1.937e-05,1.005,8310000,-1.007,0.1609
13.07,1.812e-05,1.155,80.44,-1,0.1625
8448000,1.392e-05,1.044,46460000,-4.798,0.1818
19.41,1.471e-05,1.229,126.4,-6.953,0.1536
2208000,1.489e-05,1.033,11560000,-6.687,0.191
9.076,1.652e-05,1.557,109.2,-1.92,0.08311
20.58,1.352e-05,1.256,148.4,-4.281,0.1387
38.73,1.932e-05,1.062,239.1,-1,0.162
21.58,1.78e-05,1.177,161.2,-1.001,0.1339
33.13,1.55e-05,1.191,235,-3.777,0.141
402000,2.06e-05,1.032,2650000,-2.561,0.1517
16.51,1.844e-05,1.2,104.5,-1,0.158
16.13,1.808e-05,1.038,70.81,-1.009,0.2278
120.9,1.897e-05,1.062,756.3,-1,0.1599
1157000,1.302e-05,0.992,5362000,-6.754,0.2158
9602000,1.458e-05,1.042,55970000,-4.662,0.1716
691300,1.783e-05,1.009,3807000,-1.004,0.1816
16.49,1.93e-05,1.246,131.2,-1,0.1257
11.04,1.317e-05,1.443,87.76,-8.354,0.1258
1738000,9.87e-06,0.9967,6873000,-46.16,0.2529
56870,1.552e-05,0.9522,252800,-4.101,0.225
12.37,1.5e-05,1.293,90.49,-1.003,0.1367
29.17,1.387e-05,1.243,193.2,-9.207,0.151
1159000,1.07e-05,0.9666,4546000,-10.62,0.2549
15.9,1.76e-05,1.222,119.7,-1,0.1328
3265000,1.336e-05,1.021,15840000,-7.679,0.2061
11.78,1.476e-05,1.222,70.98,-1,0.166
3305000,1.169e-05,1.03,16130000,-15.46,0.2049
8.561,1.733e-05,1.516,95.44,-1.014,0.0897
11.54,1.893e-05,1.428,130,-1.164,0.08877
9.052,1.547e-05,1.341,61.59,-1.185,0.147
16.8,1.742e-05,1.049,88.47,-1,0.1899
21.68,1.822e-05,1.184,131.1,-1.001,0.1654
72.64,1.358e-05,1.039,414.7,-4.169,0.1752
16.4,1.48e-05,1.156,97.32,-2.022,0.1685
44.49,1.287e-05,1.148,271.9,-7.432,0.1636
722500,1.334e-05,1.061,3844000,-8.592,0.188
18370,1.171e-05,1.162,130000,-38.08,0.1413
27.55,1.935e-05,1.125,189.2,-1.001,0.1456
1627000,1.994e-05,0.9354,8017000,-1.012,0.2029
516200,1.692e-05,0.9945,2527000,-2.137,0.2043
42.69,1.025e-05,1.016,146.7,-34.86,0.291
285.5,1.842e-05,1.002,1579,-1,0.1808
13.56,1.98e-05,1.145,91.5,-1,0.1482
17.17,1.965e-05,1.087,102.9,-1,0.1669
7610,1.442e-05,0.9505,35450,-1.003,0.2147
18.99,1.838e-05,1.226,173.4,-1.001,0.1095
16.95,1.795e-05,1.141,102.9,-1.005,0.1647
13.3,1.499e-05,1.282,103.8,-1.013,0.1281
12.49,2.084e-05,1.177,76.27,-1.005,0.1638
28.09,1.854e-05,1.063,159.8,-1,0.1758
19.3,1.799e-05,1.078,111.9,-1.001,0.1725
554000,1.596e-05,0.9712,2592000,-2.807,0.2137
763.6,1.363e-05,0.989,3683,-2.292,0.2073
9.491,1.942e-05,1.427,101.9,-1.001,0.09314
1126000,1.273e-05,1.023,5375000,-10.57,0.2095
42.28,9.972e-06,1.08,178.6,-37.34,0.2367
9.648,1.122e-05,1.569,96.72,-11.89,0.09975
11.67,1.505e-05,1.173,70.6,-1.265,0.1653
13.83,1.832e-05,1.211,101.2,-1,0.1367
11.21,1.499e-05,1.401,100.1,-3.604,0.112
512900,1.507e-05,0.9831,2684000,-1.266,0.1911
2340000,1.41e-05,1.032,12960000,-3.803,0.1806
766900,2.045e-05,1.04,4852000,-1,0.1581
14.26,1.863e-05,1.402,143.8,-1.003,0.09917
17.84,1.98e-05,1.131,115.7,-1.001,0.1542
35.35,1.747e-05,1.079,214.8,-1,0.1646
374700,1.735e-05,1.013,2272000,-1.002,0.1649
33.07,1.824e-05,1.137,246.9,-1,0.1339
106.1,2.302e-05,1.07,650.3,-1.001,0.1632
17.71,1.652e-05,1.228,131.2,-1.029,0.135
5659000,1.283e-05,1.041,29240000,-11.93,0.1935
125700,1.299e-05,1.084,636300,-12.95,0.1975
9.777,1.619e-05,1.248,66.83,-1,0.1463
27.45,1.787e-05,1.18,236.3,-1.132,0.1162
18.62,1.603e-05,1.044,94.04,-1.242,0.198
7650000,1.461e-05,1.028,38880000,-7.921,0.1968
11.23,8.749e-06,1.358,61.18,-15.3,0.1836
11.79,1.623e-05,1.169,68.73,-1.001,0.1715
189.2,1.722e-05,1.062,1102,-2.698,0.1717
15.68,1.316e-05,1.194,95.63,-4.868,0.164
22.35,1.345e-05,1.136,116.7,-11.13,0.1915
11.43,1.623e-05,1.234,79.62,-1,0.1436
13.95,1.93e-05,1.212,102.1,-1.012,0.1366
