Kmax,Ku,n,halfmax,Vhalf,slope
14.48,0.1066,1.101,491000,-85.42,2.949e-05
10.33,0.05412,1.286,1709000,-97.93,6.044e-06
15.74,0.08565,1.163,1045000,-86.62,1.506e-05
18.4,0.08064,1.129,828700,-85.76,2.22e-05
27.15,0.3904,0.9818,325400,-78.9,8.344e-05
15.06,0.9614,1.153,992400,-81.52,1.518e-05
19.37,0.1055,1.041,397100,-83.49,4.878e-05
18.44,0.2011,1.131,992900,-79.5,1.857e-05
11.85,0.04753,1.226,1200000,-146.7,9.875e-06
11.34,0.04578,1.113,378800,-144.2,2.994e-05
11.93,0.03372,1.132,452600,-101.4,2.636e-05
13.43,0.05122,1.149,627100,-92.44,2.142e-05
18.09,0.08405,1.114,747900,-82.69,2.419e-05
14.61,0.2236,1.294,3335000,-80.45,4.381e-06
9.918,0.07482,1.285,1878000,-86.95,5.281e-06
15.94,0.08754,1.131,742600,-82.48,2.147e-05
17.66,0.9872,1.132,830900,-81.69,2.125e-05
13.61,0.06818,1.075,328300,-156.2,4.146e-05
24.83,0.1078,0.9568,235000,-82.81,0.0001057
13.54,0.1675,1.137,671300,-79.75,2.017e-05
12.86,0.2634,1.201,1155000,-77.85,1.113e-05
18.49,0.04336,1.136,791100,-106.4,2.337e-05
15.78,0.08877,1.161,904300,-129.1,1.745e-05
12.64,0.06413,1.122,458400,-160.2,2.757e-05
14.34,0.1125,1.237,1908000,-83.76,7.516e-06
16.54,0.05534,1.132,756300,-85.55,2.187e-05
14.16,0.08156,1.059,282800,-84.82,5.007e-05
13.41,0.2269,1.171,921500,-80.55,1.455e-05
15.7,0.06966,1.098,554500,-94.68,2.831e-05
15.31,0.09705,1.162,919100,-81.31,1.666e-05
15.16,0.07886,1.155,813800,-85.12,1.863e-05
14.38,0.1015,1.058,317700,-82.67,4.526e-05
14.35,0.06461,1.134,638400,-148.5,2.248e-05
11.61,0.04878,1.183,768000,-91.24,1.512e-05
12.79,0.04151,1.063,267200,-152.6,4.787e-05
23.67,0.05426,0.9939,291200,-99.53,8.128e-05
15.08,0.05822,1.113,536500,-86.82,2.811e-05
16.05,0.1259,1.119,686400,-85.64,2.338e-05
14.51,0.04767,1.041,254400,-89.88,5.704e-05
25.33,0.6024,1.022,503800,-78.53,5.028e-05
19,0.2778,1.139,1184000,-81.35,1.605e-05
11.5,0.05452,1.286,1919000,-158.8,5.993e-06
55.95,0.1649,0.9236,358400,-87.69,0.0001561
13.8,0.1091,1.082,425900,-81.35,3.24e-05
19.32,0.07045,1.058,516200,-79.37,3.743e-05
10.97,0.1584,1.219,1033000,-80.08,1.062e-05
32.67,0.07895,0.9946,458300,-89.58,7.129e-05
15.46,0.04943,1.243,2292000,-89.16,6.745e-06
19.02,0.1288,1.055,408800,-86.87,4.653e-05
13.68,0.05004,1.255,1993000,-88.65,6.864e-06
14.92,0.04819,1.109,475700,-86.6,3.136e-05
19.35,0.06891,1.006,267300,-90.34,7.239e-05
15.77,0.04875,1.156,823700,-150.5,1.915e-05
17.11,0.05113,1.006,215800,-101.3,7.929e-05
12.84,0.03474,1.309,3333000,-112.8,3.852e-06
16.07,0.1711,1.003,221000,-79.39,7.271e-05
12.66,0.08755,1.209,1186000,-83.25,1.067e-05
18.65,0.0475,1.1,632200,-86.89,2.95e-05
26.7,0.08669,1.008,380400,-92,7.019e-05
11.44,0.06434,1.132,452400,-87.04,2.529e-05
28.96,0.9786,1.084,1043000,-78.5,2.777e-05
12.64,0.05545,1.199,967400,-146.4,1.307e-05
14.93,0.04182,1.097,521300,-90.01,2.864e-05
14.93,0.8663,1.225,1894000,-78.15,7.883e-06
19.88,0.05422,1.092,596900,-149.5,3.331e-05
20.53,0.08912,1.022,311300,-87.35,6.595e-05
24.81,0.08848,1.044,594300,-83.79,4.175e-05
11.95,0.05178,1.267,1987000,-98.85,6.014e-06
15.42,0.04729,1.223,1564000,-157.2,9.859e-06
20.85,0.05728,1.105,683400,-87.53,3.051e-05
14.41,0.07639,1.052,335100,-85.43,4.3e-05
11.23,0.04357,1.277,1883000,-134.1,5.964e-06
17.61,0.108,1.16,1080000,-84.96,1.631e-05
11.29,0.04758,1.322,2887000,-89.81,3.911e-06
12.38,0.1262,1.092,410000,-81.4,3.02e-05
10.77,0.03563,1.356,3849000,-106.6,2.798e-06
13.27,0.08454,1.184,983900,-87.25,1.349e-05
16.59,0.05175,1.25,2566000,-85.18,6.465e-06
15.4,0.04384,1.16,844800,-89.02,1.823e-05
10.17,0.07737,1.375,4352000,-83.63,2.337e-06
18.41,0.131,1.151,1050000,-82.4,1.753e-05
24.79,0.04546,1.073,580500,-165.1,4.27e-05
11.83,0.2529,1.231,1324000,-80.25,8.935e-06
15.32,0.07787,1.276,3147000,-88.4,4.868e-06
14.64,0.3273,1.236,1901000,-81.08,7.701e-06
13.16,0.08633,1.084,397200,-84.15,3.313e-05
19.64,0.0642,1.046,393800,-87.38,4.987e-05
14.4,0.2153,1.208,1347000,-91.74,1.069e-05
19.46,0.1297,1.048,409400,-84.56,4.753e-05
13.91,0.07779,1.077,391200,-86.83,3.556e-05
13.56,0.2037,1.072,319800,-79.39,4.24e-05
26.08,0.03476,0.9776,270700,-88.91,9.634e-05
19.94,0.1645,1.056,474800,-82.7,4.2e-05
26.31,0.05005,1.003,372100,-97.56,7.071e-05
14.26,0.08206,1.039,269400,-85.22,5.293e-05
14.06,0.1079,1.256,2069000,-83.12,6.796e-06
14.97,0.06125,1.099,444400,-90.31,3.369e-05
28.23,0.0553,1.01,392000,-87.64,7.202e-05
14.55,0.05637,1.121,505600,-86.44,2.878e-05
14.53,0.07123,1.062,352500,-88.12,4.122e-05
