Kmax,Ku,n,halfmax,Vhalf,slope
17720,0.02581,0.8786,5e+06,-82.12,0.003544
1317000,0.02191,0.8856,394200000,-79.4,0.003341
228200,0.02121,0.8508,50400000,-79.22,0.004528
1248000,0.02308,0.8867,377900000,-81.9,0.003302
26920,0.02224,0.869,6725000,-85.34,0.004003
1048000,0.03403,0.7753,129300000,-83.77,0.008105
3172000,0.02533,0.8678,825200000,-83.87,0.003844
25.73,0.0209,1.036,19040,-80.18,0.001351
2543000,0.02087,0.9079,857400000,-82.57,0.002966
137.9,0.01926,0.9396,61610,-81.93,0.002238
935500,0.02517,0.8978,308600000,-83.01,0.003031
2046000,0.02585,0.8997,697400000,-79.13,0.002934
503500,0.02039,0.8318,95600000,-82.96,0.005267
8976,0.0226,0.9304,3815000,-83.96,0.002353
15010,0.02122,0.9207,5793000,-81.03,0.002591
24010,0.02747,0.8626,5829000,-80.24,0.004119
1217000,0.02092,0.8691,3.07e+08,-79.17,0.003964
76.41,0.0199,0.9763,40990,-78.62,0.001864
47.78,0.02073,0.9748,24560,-85.99,0.001945
9990,0.02097,0.9001,3233000,-81.99,0.00309
27000,0.02609,0.9108,9656000,-80.88,0.002796
32900,0.02391,0.8554,7646000,-80.43,0.004303
51090,0.04123,0.9192,19110000,-79.99,0.002673
73.99,0.02414,0.899,21840,-80.35,0.003388
16930,0.02163,0.9061,5597000,-82.18,0.003025
107600,0.03045,0.8824,30770000,-81.9,0.003497
1704000,0.02328,0.9097,646300000,-79.89,0.002637
48850,0.02041,0.8299,9314000,-76.69,0.005245
44.95,0.02327,0.9936,26590,-81.28,0.00169
99860,0.02068,0.9202,37030000,-79.85,0.002697
38.79,0.02151,0.975,19710,-81.13,0.001968
63960,0.0309,0.8708,16700000,-82.61,0.00383
39750,0.02127,0.879,10850000,-81.97,0.003664
102800,0.02742,0.8588,24300000,-86.48,0.00423
75160,0.02233,0.8987,25410000,-81.28,0.002958
46.98,0.02013,0.9525,20680,-78.03,0.002272
142400,0.02768,0.8533,33210000,-79.59,0.004288
68.3,0.01971,0.9372,27770,-80.51,0.002459
98.62,0.02602,0.9783,55080,-85.2,0.00179
32480,0.02124,0.8989,10570000,-80.58,0.003073
17300,0.0193,0.8648,4241000,-81.21,0.004079
67710,0.01975,0.9263,27260000,-80.97,0.002484
34850,0.02237,0.9265,14130000,-84.17,0.002466
38.83,0.01848,1.016,25250,-83.88,0.001538
2815000,0.0213,0.8643,693400000,-82.73,0.00406
35940,0.02416,0.8753,10040000,-83.12,0.00358
41.64,0.02003,1.025,29950,-89.87,0.00139
18460,0.02591,0.8549,4365000,-81.31,0.004229
49190,0.03763,0.8449,10660000,-81.99,0.004614
37170,0.02216,0.878,9966000,-82.34,0.00373
99.73,0.02081,0.9362,40970,-81.13,0.002434
57.77,0.02058,0.9374,23690,-81.28,0.002439
22880,0.5821,0.8641,5744000,-83.54,0.003983
50320,0.02671,0.8514,11340000,-80.55,0.004437
2868000,0.02007,0.8733,791400000,-78.82,0.003624
9460,0.02168,0.8967,3088000,-77.55,0.003063
1217000,0.02105,0.9033,400800000,-83.01,0.003036
16930,0.02754,0.8571,4092000,-80.22,0.004137
25870,0.0215,0.8904,7420000,-83.68,0.003487
53.41,0.02358,0.9541,27100,-77.81,0.001971
104,0.01962,0.9386,41600,-83.76,0.0025
59020,0.02759,0.9206,22960000,-79.76,0.002571
2529000,0.02923,0.901,838900000,-84.83,0.003015
107900,0.02138,0.9003,35960000,-80.99,0.003001
476000,0.01845,0.8996,153600000,-86.03,0.003099
2926000,0.02147,0.8925,880300000,-79.78,0.003324
2900000,0.0204,0.8588,715100000,-79.18,0.004055
95.82,0.01742,0.9673,49240,-78.09,0.001946
107000,0.02733,0.8434,23360000,-80.67,0.00458
92.29,0.02644,0.9088,30720,-84.24,0.003004
426900,0.02369,0.8738,118500000,-80.56,0.003603
731.1,0.03036,0.9913,492100,-89.72,0.001486
37390,0.02053,0.913,14080000,-79.07,0.002656
1211000,0.03103,0.8481,263700000,-81.71,0.004592
29710,0.02419,0.9111,10980000,-81.25,0.002706
1045000,0.02398,0.8585,249900000,-81.6,0.004182
499100,0.02906,0.9034,165400000,-84.05,0.003018
32.52,0.02002,1.039,26780,-81.27,0.001214
396900,0.02191,0.84,78050000,-81.05,0.005085
78130,0.03077,0.8899,24190000,-82.9,0.00323
18300,0.02564,0.8487,4220000,-79.2,0.004336
62.23,0.02481,0.9235,21840,-87.15,0.002849
88.49,0.01882,0.946,38790,-81.02,0.002281
47.78,0.0213,0.9762,25050,-81.54,0.001907
1300000,0.02143,0.867,327700000,-84.31,0.003967
58.94,0.01741,1.021,41940,-81.44,0.001405
29040,0.01879,0.9252,11920000,-81.95,0.002436
1123000,0.02271,0.8678,289900000,-82.49,0.003874
329200,0.0177,0.9109,118500000,-77.14,0.002778
4681,0.02042,0.9068,1559000,-85.59,0.003003
8319,0.02107,0.8682,2137000,-83.12,0.003893
403500,0.02635,0.8631,94170000,-80.2,0.004285
32370,0.02133,0.873,8561000,-81.41,0.003781
51620,0.02585,0.8732,13490000,-80.91,0.003827
30610,0.02326,0.8713,8091000,-81.92,0.003783
501200,0.02099,0.9082,176600000,-79.85,0.002838
73640,0.02451,0.9008,25040000,-78.09,0.002941
94460,0.01933,0.8893,29120000,-80.87,0.003244
43.16,0.02139,0.9565,19090,-81.3,0.002261
44440,0.02186,0.9044,15360000,-82.02,0.002893
115400,0.02901,0.8979,37690000,-91.28,0.003062
890600,0.02135,0.9675,505400000,-82.97,0.001762
48340,0.02119,0.8249,9019000,-77.15,0.00536
55480,0.02099,0.9057,19060000,-80.93,0.002911
26760,0.02477,0.8437,5608000,-78.37,0.004772
12370,0.02201,0.9156,4690000,-82.96,0.002638
237200,0.03921,0.8355,46870000,-83.67,0.005061
181.2,0.02067,0.8978,53070,-87.29,0.003414
53.95,0.01921,1.011,35840,-85.29,0.001505
106700,0.01896,0.9354,42520000,-82.45,0.002509
68630,0.021,0.9281,28030000,-79.32,0.002448
27730,0.02134,0.9329,11760000,-82.11,0.002358
84410,0.02232,0.9027,28390000,-79.29,0.002973
140.6,0.01964,0.9334,53870,-82.71,0.00261
1426000,0.02226,0.8531,319600000,-84.99,0.004462
234.9,0.02204,0.8995,77610,-79.5,0.003027
602100,0.02395,0.9224,239400000,-81.42,0.002515
24140,0.02124,0.9179,8994000,-83.71,0.002684
63.99,0.03048,0.9432,27460,-83.34,0.00233
22.36,0.02848,1.086,22200,-81.04,0.001007
708900,0.02344,0.9332,325300000,-80.74,0.002179
1113000,0.03109,0.8819,326800000,-80.97,0.003406
18860,0.02936,0.8745,5081000,-81.52,0.003712
1497000,0.02808,0.905,541100000,-80.22,0.002767
315800,0.02654,0.9139,110500000,-79.99,0.002858
45590,0.03071,0.8688,11820000,-82.44,0.003857
988900,0.01963,0.9412,429600000,-83.99,0.002302
341.2,0.03025,0.8969,107500,-82.97,0.003174
36.78,0.02298,0.9819,19930,-79.59,0.001845
383400,0.02697,0.8832,107600000,-79.7,0.003563
58.4,0.02134,0.9393,23230,-80.61,0.002514
1776000,0.03526,0.8585,402600000,-90.45,0.004411
49.33,0.026,0.9298,18280,-81.31,0.002699
783300,0.02124,0.8903,236300000,-81.54,0.003315
45.18,0.03015,0.9018,13310,-82,0.003394
168800,0.02082,0.8883,49430000,-83.38,0.003415
74760,0.0237,0.862,17690000,-84.25,0.004226
121300,0.02582,0.8945,39100000,-82.46,0.003102
3283000,0.02517,0.8506,737100000,-79.21,0.004454
2936,0.01779,0.8558,649000,-81.17,0.004524
378100,0.02352,0.8436,83060000,-83.93,0.004552
164.9,0.02132,0.9744,94190,-84.57,0.001751
115500,0.028,0.8932,34290000,-87.37,0.003368
51.12,0.0201,0.9639,25050,-84.5,0.002041
588100,0.02119,0.9093,206600000,-81.35,0.002847
1932000,0.03708,0.8718,521700000,-79.76,0.003703
74090,0.02558,0.8504,16980000,-78.73,0.004363
1733000,0.02206,0.8959,563700000,-81.67,0.003074
151000,0.02048,0.8986,49470000,-80.31,0.003052
38210,0.02151,0.8925,11450000,-82.05,0.003337
188100,0.02095,0.9713,106100000,-80.43,0.001773
14080,0.02043,0.8629,3270000,-82.49,0.004306
566900,0.04565,0.9623,306300000,-81.37,0.001851
41.85,0.01864,0.9744,19590,-83.3,0.002136
46110,0.02344,0.9266,18670000,-79.36,0.00247
140.8,0.02873,0.9464,63020,-81.71,0.002234
83420,0.02232,0.9275,34190000,-80.36,0.00244
64570,0.7984,0.8828,18140000,-83.96,0.00356
19230,0.02359,0.9381,8489000,-77.62,0.002265
10660,0.02189,0.8791,3070000,-80.23,0.003472
2232000,0.0284,0.9262,890900000,-86.23,0.002505
32680,0.02178,0.9482,15230000,-80.17,0.002146
39.8,0.02089,0.9549,18080,-79.15,0.002201
2496000,0.02417,0.8819,714700000,-82.12,0.003492
1186000,0.02096,0.9021,389300000,-81.74,0.003046
36480,0.02026,0.9397,15490000,-84.79,0.002355
70970,0.02375,0.8964,22840000,-79.07,0.003107
51890,0.02206,0.9077,17110000,-87.33,0.003033
38800,0.02129,0.8788,10720000,-80.88,0.003619
974600,0.02393,0.9051,335600000,-81.68,0.002904
1083000,0.02132,0.8941,337900000,-81.66,0.003205
17380,0.02767,0.8813,4724000,-82.23,0.003679
1432000,0.02757,0.8696,364600000,-83.45,0.003928
169500,0.02027,0.8991,5.5e+07,-81.5,0.003082
120.2,0.03177,0.959,58540,-94.81,0.002053
53850,0.02383,0.932,22460000,-84.33,0.002398
163600,0.02564,0.8509,36830000,-79.79,0.004442
1279000,0.02024,0.8557,304100000,-76.98,0.004206
624800,0.021,0.8962,193900000,-81.88,0.003222
116400,0.02088,0.9355,49390000,-81.59,0.002357
22440,0.01933,0.8755,6159000,-78.04,0.003643
20620,0.02065,0.9215,7736000,-86.73,0.002665
3207000,0.031,0.8562,746900000,-81.75,0.004294
59.1,0.02183,0.9705,29340,-83.15,0.002014
56030,0.02124,0.873,14430000,-87.75,0.003883
44520,0.02104,0.9099,15880000,-78.28,0.002804
51840,0.02082,0.9119,18320000,-82.13,0.00283
2669000,0.03005,0.8409,596300000,-79.06,0.004476
33140,0.03644,0.8707,8727000,-81.47,0.003797
90.56,0.03051,0.9108,30880,-84.27,0.002933
1297000,0.02112,0.9388,611500000,-76.81,0.002121
74.86,0.02214,0.9316,29040,-82.77,0.002578
29940,0.02034,0.8473,6571000,-80.18,0.004556
193800,0.02017,0.8209,32960000,-81.8,0.00588
23740,0.01934,0.8597,5577000,-83.4,0.004257
176900,0.02122,0.842,38850000,-79.48,0.004553
31730,0.01776,0.8778,8194000,-82.14,0.003872
12050,0.0241,0.8787,3169000,-84.99,0.003802
4638000,0.02333,0.8255,899800000,-79.41,0.005154
807500,0.02078,0.9336,331900000,-81.22,0.002433
158300,0.04396,0.8728,42120000,-83.04,0.003758
27.79,0.02581,0.9474,11330,-80.93,0.002453
540500,0.02063,0.9291,213600000,-82.55,0.00253
466000,0.02202,0.889,130900000,-81.62,0.00356
2180000,0.02098,0.866,533800000,-84.8,0.004084
40910,0.02037,0.8915,12280000,-83.2,0.003331
11500,0.02011,0.8651,2816000,-80.42,0.004084
1346000,0.02302,0.883,3.96e+08,-80.92,0.003399
103100,0.02223,0.902,34200000,-81.35,0.003015
758700,0.0203,0.8964,234900000,-84.49,0.00323
24030,0.02143,0.9458,11170000,-85.24,0.002151
83.07,0.02275,0.9375,36950,-79.13,0.002248
64430,0.02367,0.9,21230000,-84.19,0.003035
435700,0.02263,0.8377,90560000,-80.38,0.004811
31.83,0.03441,0.9766,15710,-80.76,0.002026
65.59,0.02627,0.971,33910,-85.48,0.001934
691000,0.02622,0.8901,209900000,-80.84,0.003292
73080,0.02124,0.8762,2e+07,-79.69,0.003654
1267000,0.03056,0.879,359300000,-82.06,0.003526
44510,0.03672,0.8556,9888000,-82.7,0.004501
20150,0.02052,0.8772,5896000,-78.49,0.003418
31150,0.02128,0.9009,9920000,-79.92,0.00314
46060,0.0196,0.8581,10890000,-78.97,0.00423
503000,0.02755,0.8951,161700000,-79.83,0.003111
22110,0.02565,0.8831,6208000,-81.33,0.003562
145.5,0.02251,0.927,58210,-81.72,0.0025
162.2,0.02155,0.8958,47900,-85.43,0.003386
252400,0.0224,0.874,67160000,-86.1,0.003758
149.5,0.02317,0.9477,66280,-80.55,0.002256
228.2,0.02178,0.8953,72040,-80.59,0.003168
110500,0.02084,0.932,48170000,-78.38,0.002294
2295000,0.02386,0.8887,693600000,-81.06,0.003309
783500,0.02135,0.9363,346300000,-83.02,0.002262
32620,0.01964,0.8931,9652000,-80.12,0.00338
22570,0.02069,0.9283,8907000,-80.53,0.002534
1299000,0.02515,0.9114,463400000,-86.91,0.002803
32990,0.01968,0.8644,8223000,-80.28,0.004012
1049000,0.02802,0.9021,362400000,-78.67,0.002895
281700,0.02194,0.9116,104900000,-80.38,0.002685
213.2,0.01934,0.9124,71350,-91.24,0.002988
1934000,0.02026,0.8366,381200000,-82.04,0.005073
33.1,0.0302,0.969,15710,-82.48,0.002107
42.61,0.0314,0.9734,22880,-83.1,0.001862
65720,0.02222,0.9131,24740000,-79.77,0.002656
2225000,0.02522,0.8777,615800000,-82.56,0.003613
10060,0.02648,0.8827,2831000,-82.64,0.003554
3764,0.0218,0.8984,1242000,-80.42,0.003031
64490,0.02756,0.8943,21320000,-79.4,0.003025
36600,0.02439,0.8347,7147000,-80.69,0.005121
2387000,0.02185,0.9155,906900000,-79.26,0.002632
7973,0.0262,0.8945,2496000,-79.54,0.003194
83380,0.02226,0.8862,25450000,-79.07,0.003276
143200,0.02114,0.9189,5.5e+07,-80.01,0.002604
723000,0.02156,0.8704,194100000,-78.55,0.003725
48.11,0.01961,0.986,27940,-82,0.001722
37790,0.02255,0.8932,11900000,-83.68,0.003176
59220,0.02936,0.9259,24670000,-82.15,0.0024
110.9,0.02204,0.9274,43290,-78.71,0.002562
43.73,0.03021,0.9883,24100,-85.33,0.001815
30490,0.02272,0.8767,7962000,-84,0.003829
471.6,0.0233,0.9122,164600,-84.4,0.002865
