Kmax,Ku,n,halfmax,Vhalf,slope
47090,0.008512,0.8873,10960000,-62.9,0.004297
14.4,0.01385,1.032,9638,-4.408,0.001494
514.6,0.003596,0.8546,95130,-55.58,0.005409
1339000,0.008489,0.8753,269900000,-71.22,0.004961
39.71,0.008034,0.8974,10280,-66.7,0.003863
3098000,0.008818,0.8577,6.9e+08,-60.27,0.00449
555900,0.006387,0.9298,176700000,-68.43,0.003146
50.05,0.007552,0.8963,12450,-65.16,0.00402
9365,0.005383,0.916,2873000,-60.61,0.00326
36.41,0.01444,0.8597,7414,-12,0.004911
27.37,0.007886,0.9994,13370,-9.111,0.002047
848500,0.006995,0.8274,139100000,-66.08,0.0061
29.1,0.006824,0.9317,9275,-62.12,0.003137
107800,0.01829,0.8285,20520000,-12.77,0.005253
142.2,0.004785,0.951,52220,-65.46,0.002723
649500,0.01142,0.8137,103900000,-66.54,0.006251
219400,0.007441,0.8264,38390000,-65.53,0.005715
66.31,0.004279,0.8756,15680,-60.26,0.004229
549200,0.00695,0.8543,100600000,-69.9,0.005459
400100,0.006916,0.8265,6e+07,-69.52,0.006668
84.54,0.01471,0.83,15160,-4.937,0.005577
24.14,0.008826,0.8749,4801,-62,0.005028
3456000,0.00741,0.8141,558700000,-65.25,0.006186
83.66,0.006148,0.8688,17600,-65.73,0.004753
24.8,0.01522,0.9768,12670,-8.437,0.001957
32850,0.007865,0.879,7763000,-66.48,0.004232
1225000,0.00766,0.9085,344700000,-67.9,0.003554
2463000,0.006088,0.8963,650700000,-67.81,0.003785
68.57,0.01562,0.8033,10550,-13.07,0.0065
370800,0.005499,0.8224,63020000,-56.06,0.005884
153.5,0.006384,0.85,26400,-55.28,0.005814
1689000,0.01139,0.9105,5.01e+08,-65.99,0.003371
137300,0.004076,0.8696,29480000,-57.93,0.004657
86.83,0.00708,0.9201,28820,-65.91,0.003013
53.69,0.006308,0.9001,13750,-65.42,0.003905
784700,0.007049,0.8378,144500000,-60.57,0.00543
2482000,0.008327,0.7908,331900000,-57.2,0.007478
303400,0.007226,0.8423,54780000,-68.09,0.005539
42.8,0.008429,0.8766,9957,-67.29,0.004298
125400,0.008586,0.8616,26870000,-67.03,0.004667
1570000,0.009951,0.8444,283300000,-69.04,0.005542
34.69,0.01536,0.9232,12640,-7.256,0.002744
46.01,0.007648,0.9058,12250,-67.22,0.003756
1539,0.003313,0.8523,281800,-63.14,0.005461
888500,0.007038,0.8585,189600000,-66.86,0.004686
180600,0.005548,0.7619,20660000,-55.3,0.008742
89530,0.006306,0.8318,15580000,-65.24,0.005746
101900,0.006339,0.8075,15050000,-62.79,0.006771
18.71,0.007127,1.031,10440,-61.07,0.001792
21.3,0.01275,0.9572,8323,-11.2,0.002559
37.14,0.007495,0.9352,11360,-68.8,0.003269
1328000,0.008831,0.7818,163500000,-60.46,0.008122
21.75,0.009072,0.9431,7548,-51.66,0.002882
46,0.01004,0.9007,11530,-11.06,0.00399
14.08,0.01002,1.027,7750,-54.46,0.001817
447700,0.006346,0.8574,93350000,-64.18,0.004796
1492000,0.007749,0.8275,214700000,-67.01,0.006949
34.96,0.009071,0.8368,5956,-62.24,0.00587
86500,0.008983,0.9132,25030000,-69.98,0.003456
29200,0.01414,0.799,4392000,-9.521,0.006648
31.25,0.006732,0.9042,7271,-9.464,0.004298
47,0.01099,0.8986,12030,-67.44,0.003907
63110,0.006885,0.8193,9764000,-58.89,0.006464
2303000,0.008663,0.8558,411300000,-71.56,0.005599
20.47,0.01714,0.9195,6667,-9.643,0.00307
98800,0.00535,0.8629,19750000,-67.53,0.005003
218.4,0.009462,0.8071,32950,-67.28,0.006628
163700,0.008998,0.7791,21440000,-60.39,0.007635
66.58,0.007985,0.8293,10610,-66.28,0.006275
3998000,0.008805,0.8523,843800000,-60.18,0.004738
326200,0.006193,0.9422,106600000,-68.97,0.00306
31980,0.007135,0.8661,6839000,-66.73,0.004676
298000,0.006129,0.8202,48440000,-62.99,0.006152
64.66,0.008874,0.8776,16430,-59.67,0.003935
26.38,0.01233,0.8378,3941,-74.77,0.006694
18.05,0.01521,0.9877,8345,-10.3,0.002163
2160,0.01102,0.8184,343600,-67.41,0.006286
38.16,0.005655,0.9201,11520,-63.28,0.003312
79.57,0.007249,0.8164,12650,-60.44,0.00629
49.42,0.008787,0.8925,12520,-66.85,0.003947
7516,0.006935,0.7796,939700,-62.1,0.007998
544300,0.008505,0.799,75580000,-67.37,0.007202
1559000,0.009144,0.8893,3.87e+08,-72.57,0.004028
158200,0.007393,0.8597,36120000,-58.61,0.00438
14.46,0.01047,0.9754,5956,-10.44,0.002428
2984000,0.008782,0.874,655200000,-62.15,0.004554
10.24,0.01821,1.048,6122,-12.63,0.001673
51.4,0.007768,0.9469,18230,-10.78,0.00282
872,0.0074,0.8483,167400,-68.87,0.005209
46.78,0.0074,0.9242,13400,-68.28,0.003491
20.79,0.007963,1.014,10490,-65.8,0.001982
19.5,0.016,0.9397,6864,-8.349,0.002841
124.6,0.01538,0.8205,23440,-8.881,0.005316
366800,0.006671,0.7855,46250000,-62.3,0.007931
28.12,0.01163,0.8838,6471,-63.84,0.004346
52.14,0.009806,0.8463,9215,-69.93,0.005658
66.31,0.006571,0.8626,14420,-63.58,0.004598
110,0.01018,0.7838,13290,-66.19,0.008277
35.59,0.01106,0.926,10310,-67.15,0.003452
26.78,0.01154,0.863,5168,-69.17,0.005182
168100,0.01052,0.849,32240000,-62.43,0.005214
962800,0.006327,0.9308,285300000,-69.21,0.003375
31.75,0.007823,0.9377,9398,-66.58,0.003378
5889000,0.007418,0.8157,902900000,-65.73,0.006522
15.58,0.01109,0.9693,6158,-8.491,0.00253
21.7,0.009323,0.942,7452,-62.26,0.002912
106.3,0.009961,0.8446,20320,-66.3,0.005231
248000,0.01516,0.8067,40910000,-7.712,0.006062
31.51,0.01149,0.9879,14560,-58.45,0.002164
16.25,0.009919,0.9981,8198,-58.55,0.001982
3710000,0.0112,0.8607,7.67e+08,-63.64,0.004837
58.55,0.01258,0.9299,17840,-64.28,0.003282
28,0.0071,0.9586,10370,-62.29,0.0027
2172000,0.007033,0.8668,497800000,-67.23,0.004363
330.3,0.009109,0.9223,103600,-69.69,0.003188
51.86,0.005827,0.8839,11100,-62.99,0.004672
54.47,0.008764,0.8198,8070,-56.38,0.00675
511700,0.01042,0.8839,124100000,-63.08,0.004123
2122,0.006547,0.8766,480900,-58.99,0.004413
261700,0.006462,0.9086,75540000,-67.76,0.003464
48.31,0.008388,0.8772,9928,-67.2,0.004866
62.78,0.007515,0.8892,15390,-65.22,0.004079
399.1,0.005922,0.9673,171100,-68.92,0.002333
113,0.0071,0.833,19480,-59.72,0.005801
67.3,0.005226,0.8547,13960,-58.42,0.004821
71330,0.004295,0.9225,20150000,-65.91,0.00354
311.6,0.008295,0.8415,52920,-64.73,0.005888
46.64,0.005403,0.8273,7528,-56.58,0.006196
320300,0.005813,0.8921,79430000,-64.83,0.004032
544000,0.00375,0.8006,69940000,-53.74,0.007778
1140000,0.006966,0.8502,221400000,-70.14,0.005149
55.05,0.006597,0.8615,11010,-62.24,0.005
2091000,0.006261,0.9036,611600000,-64.06,0.003419
26.82,0.00863,0.9585,9632,-60.81,0.002784
40.44,0.007618,0.928,12000,-67.97,0.00337
1762000,0.01287,0.8289,297800000,-67.71,0.005917
89.89,0.01284,0.8707,20690,-9.831,0.004345
141.3,0.00965,0.8649,31120,-67.51,0.00454
25.9,0.01697,0.8539,5580,-10.49,0.004642
71.62,0.0064,0.8693,15960,-62.85,0.004487
22.42,0.01266,0.8217,3591,-60.31,0.006243
110.3,0.008103,0.7993,15140,-56.59,0.007285
46.63,0.009189,0.9885,20040,-72.7,0.002327
16.81,0.01202,0.9461,5888,-66.24,0.002855
172.3,0.01224,0.907,50190,-14.25,0.003433
646800,0.00596,0.8736,1.47e+08,-64.56,0.0044
70.6,0.005731,0.9259,20260,-66.79,0.003485
79.07,0.005361,0.8065,11000,-58.23,0.007188
161.9,0.00796,0.8138,24150,-67.45,0.006704
1929000,0.009415,0.8858,469700000,-71.45,0.004107
849000,0.005716,0.8956,217700000,-68.63,0.0039
2115000,0.008534,0.8711,431800000,-71.68,0.004898
19000,0.009399,0.8782,4420000,-67.66,0.004299
27.97,0.007668,0.9753,10670,-67.81,0.002621
1388000,0.005925,0.8998,383900000,-68.03,0.003616
42.96,0.004065,0.9948,18400,-59.69,0.002335
29.65,0.00714,0.9833,12470,-68.85,0.002378
22380,0.005085,0.9094,6111000,-67.54,0.003662
25.1,0.008147,0.9523,8539,-66.89,0.002939
117,0.007106,0.9332,35680,-69.16,0.003279
525800,0.00689,0.9459,170100000,-75.03,0.003091
454100,0.01581,0.77,57850000,-7.296,0.00785
120.7,0.006098,0.8732,25910,-65.68,0.004658
48.93,0.008394,0.8798,10940,-60.47,0.004473
82090,0.007091,0.867,18100000,-67.26,0.004535
25.07,0.0156,0.935,8858,-5.001,0.00283
46.31,0.00849,0.8769,10850,-62.73,0.004268
280800,0.009215,0.7668,33560000,-59.95,0.008367
5086,0.01546,0.798,826400,-5.175,0.006154
37.9,0.007147,0.9234,10610,-68.85,0.003572
36.46,0.01207,0.8343,5957,-74.44,0.006121
21.05,0.01751,0.8361,3879,-13.54,0.005427
18.74,0.008958,0.945,6051,-65.13,0.003097
929400,0.00717,0.816,145600000,-66.19,0.006383
484,0.006261,0.8666,102800,-58.06,0.004708
1160000,0.008749,0.808,191600000,-51.94,0.006054
20.85,0.02081,0.8165,3363,-13.91,0.0062
1003,0.006563,0.876,233100,-70.72,0.004303
41.15,0.01051,0.8839,9762,-65.82,0.004215
425100,0.00775,0.8902,1.08e+08,-67.15,0.003936
71.49,0.005459,0.9555,26430,-67.27,0.002705
18.4,0.02139,0.864,3586,-70.66,0.005131
775.1,0.008072,0.9319,248400,-71.83,0.00312
18.52,0.01584,0.9179,4983,-65.42,0.003717
20.89,0.009248,0.9369,6788,-52.68,0.003077
215,0.00635,0.8561,43510,-59.47,0.004941
61.41,0.00625,0.871,12050,-65.29,0.005096
45.61,0.01446,0.8333,7837,-11.81,0.00582
48,0.01059,0.9298,15330,-67.45,0.003131
178,0.006862,0.7732,19690,-60.62,0.00904
70.78,0.008188,0.8208,10620,-67.49,0.006665
42.01,0.008446,0.8434,7275,-66.8,0.005775
39230,0.00437,0.8905,9547000,-58.49,0.004109
99230,0.008622,0.8179,16480000,-61.69,0.006021
155600,0.007479,0.8319,26900000,-65.28,0.005784
230,0.005483,0.873,47960,-67.01,0.004796
44.46,0.006389,0.9087,12630,-62.91,0.00352
1367,0.006169,0.8371,252200,-60.72,0.00542
22460,0.006594,0.8656,5108000,-63.75,0.004397
246700,0.006602,0.8657,57900000,-58.68,0.004261
57.89,0.01061,0.8644,13070,-9.072,0.004429
121.1,0.007015,0.9647,47730,-70.01,0.002537
1403000,0.01015,0.8227,218900000,-68.08,0.006409
61.01,0.007242,0.9425,20240,-67.33,0.003014
32.56,0.005975,0.8768,7453,-55.56,0.004369
16.72,0.01067,1.016,8920,-70.24,0.001874
12670,0.004105,0.8702,2718000,-63.64,0.004662
772500,0.005105,0.9378,270700000,-65.64,0.002854
21.7,0.01039,1.021,12640,-9.238,0.001717
75.05,0.01037,0.9105,20740,-70.47,0.003619
52.35,0.01033,0.9487,18590,-69.97,0.002816
64.74,0.01555,0.8356,12670,-7.424,0.00511
57.47,0.007208,0.9232,16730,-66.89,0.003435
57.84,0.01727,0.8085,9442,-9.223,0.006126
71.65,0.01054,0.8503,13870,-70.25,0.005166
44200,0.006074,0.8384,7400000,-64.34,0.005973
153.6,0.004877,0.845,28920,-52.77,0.005311
906400,0.01121,0.8992,240300000,-64.57,0.003772
16.36,0.01211,0.8899,3356,-65.82,0.004875
18.89,0.01613,0.9445,6816,-8.219,0.002771
91970,0.008677,0.8726,23060000,-66.24,0.003988
12660,0.006291,0.8809,3245000,-64.24,0.003901
38.15,0.007268,1.029,21000,-18.86,0.001817
26.67,0.006614,0.9534,9336,-62.96,0.002857
33.01,0.009938,0.9005,8914,-66.33,0.003703
6526,0.00578,0.8434,1240000,-63.4,0.005263
1017,0.004604,0.9067,278900,-68.48,0.003646
31.87,0.01036,0.8474,5550,-75.03,0.005742
12.97,0.01724,0.887,3243,-5.668,0.003999
312,0.007832,0.863,61000,-67.2,0.005115
39.81,0.00659,0.8534,6834,-63.61,0.005825
544.8,0.006162,0.8386,93350,-65.38,0.005836
666000,0.01038,0.8341,115500000,-70.59,0.005766
273.6,0.008014,0.828,46680,-57.95,0.005861
154100,0.01412,0.7882,21980000,-59.69,0.007011
38.58,0.01809,0.8637,9271,-10.87,0.004161
979400,0.01039,0.8381,182600000,-68.2,0.005364
19.77,0.008578,0.9898,8790,-62.32,0.002249
80.61,0.004244,0.8694,18020,-60.3,0.004473
100.5,0.00727,0.9079,26870,-67.87,0.00374
263800,0.005803,0.9203,79770000,-61.07,0.003307
2444000,0.006727,0.8786,6.41e+08,-62.47,0.003813
131.6,0.008438,0.8751,34160,-61.04,0.003852
254300,0.009141,0.9042,73630000,-66.96,0.003454
39.7,0.0159,0.8399,8097,-8.186,0.004903
100300,0.01718,0.7117,8098000,-13.63,0.01239
2064000,0.004236,0.8735,473900000,-60.41,0.004355
3029000,0.008833,0.8937,745900000,-68.84,0.004061
978600,0.01298,0.8455,189900000,-66.36,0.005153
124900,0.006113,0.8597,24060000,-68.63,0.005191
26.06,0.007008,0.9728,11390,-61.39,0.002288
83,0.00432,0.8786,20950,-59.11,0.003962
1444000,0.008972,0.8158,2.26e+08,-68.23,0.006389
106.5,0.005757,0.908,27950,-66.64,0.00381
23.28,0.01084,0.9916,11670,-9.169,0.001995
559000,0.005931,0.9526,2.12e+08,-67.66,0.002637
98.79,0.007716,0.9673,42180,-67.13,0.002342
267.9,0.007136,0.8886,67100,-69.43,0.003993
223.1,0.007307,0.9568,79110,-72.06,0.00282
141.3,0.01321,0.8701,34810,-8.106,0.004059
56.55,0.007846,0.9539,19700,-68.11,0.002871
874500,0.009369,0.884,185400000,-74.3,0.004717
244400,0.01357,0.8,35160000,-8.374,0.006951
22.57,0.008975,0.9649,8677,-13.28,0.002601
134900,0.005839,0.8938,35790000,-64.55,0.003769
291300,0.01004,0.8056,45800000,-65.95,0.00636
149,0.008101,0.9517,53490,-70.02,0.002786
2972000,0.008279,0.8635,530900000,-72.16,0.005598
25.53,0.01014,0.9476,8634,-71.09,0.002957
310200,0.008336,0.8766,71470000,-67.12,0.00434
85.85,0.008459,0.8425,16620,-62.73,0.005165
51.55,0.0148,0.8925,15410,-5.412,0.003345
27.39,0.008464,0.9682,11950,-56.93,0.002292
268000,0.01115,0.8253,47350000,-66.68,0.00566
436700,0.008634,0.8173,71020000,-68.77,0.006149
32.6,0.006121,0.8587,6629,-53.71,0.004918
4135000,0.007093,0.832,710100000,-67.13,0.005823
1058000,0.00922,0.9797,503300000,-65.49,0.002102
425.8,0.006128,0.8729,99710,-63.32,0.00427
135,0.008878,0.8103,21480,-60.5,0.006285
34.25,0.007001,0.8937,8244,-8.557,0.004155
15.67,0.01209,0.9172,3928,-65.74,0.003989
44320,0.005324,0.9223,14430000,-60.89,0.003071
84.53,0.006178,0.9077,24540,-65.47,0.003445
163.5,0.008588,0.7866,21380,-62.32,0.007647
50.26,0.008726,0.8451,9159,-66.72,0.005487
32.25,0.005379,0.9006,8290,-58.23,0.00389
35.51,0.00949,0.803,4890,-58.14,0.007262
135700,0.005413,0.8334,25220000,-55.29,0.005381
25.18,0.007783,0.987,10670,-67.01,0.00236
19500,0.005123,0.9062,5388000,-67.74,0.003619
4158,0.007204,0.8686,927800,-68.21,0.004482
244,0.01072,0.8452,47140,-67.29,0.005176
190.4,0.007791,0.8847,43670,-66.45,0.00436
234.9,0.007062,0.7951,32200,-61.23,0.007295
108700,0.00711,0.9013,27390000,-69.02,0.003969
581400,0.005468,0.8174,93830000,-57.77,0.006196
40.45,0.008507,0.902,10260,-69.58,0.003942
55.5,0.004254,0.923,17750,-60.31,0.003127
56.59,0.02056,0.7741,8126,-3.305,0.006964
33.35,0.01372,0.8995,8700,-70.6,0.003833
24.62,0.008813,0.8787,5125,-62.01,0.004804
24.58,0.01059,0.9496,8772,-66.12,0.002802
1403000,0.005082,0.9169,414700000,-69.19,0.003383
165.8,0.006096,0.8836,38450,-66.86,0.004312
34870,0.003179,0.9073,9381000,-58.02,0.003717
13.27,0.007293,1.141,14260,-61.8,0.0009306
29.75,0.01807,0.7998,4173,-67.54,0.007129
99830,0.006571,0.8893,26690000,-59.46,0.00374
14.43,0.01845,0.8843,3000,-78.47,0.00481
136.4,0.006322,0.8928,33130,-64.07,0.004117
35.98,0.009463,0.9117,10510,-66.07,0.003423
2425000,0.009956,0.8349,429400000,-60.43,0.005647
13090,0.01098,0.8204,2157000,-67.19,0.006069
2931000,0.01042,0.9066,816500000,-74.44,0.00359
31.93,0.008565,0.8634,7126,-55.87,0.004481
151.3,0.008563,0.8431,29690,-62.01,0.005096
616.5,0.01514,0.7869,87970,-8.644,0.007008
1760000,0.006522,0.9311,5.78e+08,-68.08,0.003045
1376000,0.006121,0.8442,244200000,-66.87,0.005635
44.73,0.01903,0.7271,3629,-71.7,0.01233
108.2,0.006126,0.9026,29340,-66.54,0.003688
57510,0.005107,0.8877,14720000,-64.12,0.003907
80.54,0.007221,0.8973,21430,-65.95,0.003758
56.82,0.005975,0.9378,18470,-66.75,0.003076
134.1,0.01355,0.8673,33380,-12.36,0.004017
59.01,0.01235,0.7591,6527,-66.01,0.009041
74740,0.004741,0.8561,15560000,-55.24,0.004803
362900,0.008442,0.816,55580000,-67.78,0.006529
194.9,0.005749,0.8622,41170,-63.37,0.004734
25.2,0.003525,0.96,8199,-59.82,0.003074
114.8,0.01088,0.8738,27350,-67.7,0.004197
18.65,0.00859,1.001,8709,-62.35,0.002141
36.99,0.006603,1.007,18470,-59.11,0.002003
376600,0.007078,0.8709,78140000,-66.9,0.00482
667300,0.007034,0.8424,122400000,-66.82,0.005452
132.3,0.007007,0.8024,17700,-58.36,0.007475
20.07,0.008685,0.9585,6356,-69.5,0.003158
50.83,0.01172,0.9124,15410,-60.71,0.003299
44.09,0.009301,0.8357,7303,-8.419,0.006037
429700,0.00898,0.829,82510000,-60.61,0.005208
348800,0.007203,0.8498,66420000,-67.43,0.005251
23.82,0.0154,0.9014,6355,-70.51,0.003748
18.06,0.009772,1.035,10380,-66.12,0.00174
1624000,0.009224,0.8843,408600000,-69.3,0.003975
134900,0.00725,0.8021,19520000,-57.68,0.006911
506600,0.007299,0.8317,81220000,-67.99,0.006237
148800,0.01358,0.8181,26250000,-62.3,0.005669
366100,0.01401,0.7775,46480000,-62.06,0.007877
26.59,0.005949,1.104,24790,-64.55,0.001073
255400,0.00707,0.8452,49640000,-65.14,0.005145
3012,0.006999,0.8142,521000,-60.57,0.005781
768300,0.01627,0.7701,100800000,-7.181,0.007622
48660,0.008104,0.7918,6476000,-58.85,0.007514
141400,0.006877,0.8545,28010000,-69.78,0.005048
30.99,0.01872,0.8406,6388,-3.285,0.004851
19.74,0.008799,0.9423,6199,-62.02,0.003184
36.21,0.006835,0.8617,6734,-63.46,0.005377
386.5,0.007949,0.8926,103600,-66.08,0.003731
263900,0.007053,0.8443,49320000,-67.19,0.005351
37.15,0.01747,0.8308,7209,-4.636,0.005153
751600,0.006106,0.8538,145400000,-68.62,0.005169
172500,0.008789,0.7586,17550000,-66.63,0.009829
61590,0.005872,0.8396,11410000,-63.47,0.005398
242.5,0.007328,0.8841,58660,-66.93,0.004134
137.7,0.003853,0.9234,43890,-63.05,0.003137
28.04,0.01498,0.9017,7925,-10.34,0.003538
711100,0.005125,0.9249,2.35e+08,-67.8,0.003026
455900,0.008442,0.8217,72090000,-65.82,0.006324
27.56,0.007565,0.8775,5534,-66.6,0.00498
29.61,0.008489,0.956,10620,-67.69,0.002788
366.2,0.007716,0.8834,94990,-10.48,0.003855
743.5,0.006687,0.8929,200600,-70.15,0.003706
110.1,0.01657,0.8342,24590,-5.078,0.004477
18.67,0.01635,0.9569,7324,-7.165,0.002549
45.82,0.005204,0.9605,17860,-53.87,0.002566
23890,0.0126,0.8256,4236000,-65.5,0.00564
371000,0.009091,0.884,89280000,-68.55,0.004155
399.7,0.0101,0.7688,45160,-66.27,0.008851
3255000,0.01034,0.8313,577900000,-70.48,0.005632
82600,0.01607,0.8784,21820000,-7.134,0.003786
102.7,0.004711,0.9633,40890,-58.2,0.002512
