Kmax,Ku,n,halfmax,Vhalf,slope
52.95,0.03942,0.9395,125600,-150.4,0.0004216
25.52,0.2826,1.018,114100,-158.8,0.0002237
48.83,0.0119,1.096,518200,-86.23,9.423e-05
30.35,0.1775,0.9615,84900,-149.8,0.0003575
51.62,0.02034,1.046,329900,-87.91,0.0001565
35,0.02913,1.075,276000,-171.8,0.0001268
45.6,0.01511,0.9813,155900,-85.69,0.0002925
25.13,0.9991,1.178,477500,-161.2,5.263e-05
152.1,0.07286,0.8597,193100,-85.11,0.0007877
31.47,0.03706,0.9279,68350,-92.68,0.0004604
83.39,0.8859,0.9276,184300,-83.47,0.0004525
26.4,0.01884,1.124,313200,-94.37,8.429e-05
217.6,0.0178,0.8686,278500,-89.43,0.0007813
49.68,0.02088,0.9878,186900,-87.99,0.0002658
23.1,0.02933,1.083,195500,-100.7,0.0001182
561.3,0.01336,0.9156,1128000,-87.23,0.0004976
206.1,0.03453,0.8926,350700,-155.8,0.0005877
28.47,0.02105,1.004,115200,-97.81,0.0002471
368.6,0.01447,0.9191,770700,-100.6,0.0004783
47.53,0.02699,1.007,219900,-83.81,0.0002161
82.77,0.04334,0.8767,123100,-87.54,0.0006724
631.2,0.01929,0.836,588100,-156.2,0.001073
46.8,0.9867,0.9662,150500,-91.92,0.000311
49.18,0.01994,0.9069,92320,-88.64,0.0005327
124300,0.01195,0.931,276100000,-169.4,0.0004502
70.45,0.2058,0.934,161500,-151.5,0.0004362
46.86,0.8499,0.8727,59880,-154.9,0.0007826
48.62,0.02158,0.9825,172100,-91.92,0.0002825
247.7,0.8636,0.9152,525300,-81.51,0.0004715
76.24,0.02529,0.939,198900,-80.62,0.0003833
32.52,0.02721,0.9739,100600,-125.1,0.0003233
53.1,0.02132,0.942,134200,-95.28,0.0003957
39.46,0.0192,0.9833,133000,-94.66,0.0002967
70.86,0.103,0.8921,105400,-157.7,0.0006723
34.77,0.02405,0.9911,127400,-88.55,0.0002729
50.5,0.02735,0.8535,51290,-146.6,0.0009846
65.86,0.02213,0.9635,208500,-92.25,0.0003159
445900,0.9972,0.8518,524800000,-94.66,0.0008497
55.52,0.01977,0.9271,113700,-95.35,0.0004883
53.2,0.9843,0.9069,90980,-96.67,0.0005847
35.6,0.02406,1.007,173500,-87.32,0.0002052
45.97,0.01483,1.051,332600,-86.61,0.0001382
30.8,0.9852,1.027,149600,-155.8,0.0002059
28.58,0.03517,1.081,236400,-166.1,0.0001209
52.51,0.107,0.9144,92880,-167.6,0.0005654
61.89,0.01293,0.951,174700,-83.07,0.0003543
49.88,0.02437,0.9332,113200,-82.98,0.0004406
46.42,0.03007,0.9484,116700,-92.8,0.0003978
27.21,0.01627,1.079,221600,-88.58,0.0001228
60.73,0.0206,0.8683,73600,-131.4,0.0008251
333.3,0.01814,0.8546,374700,-87.22,0.0008895
104.6,0.03241,0.9316,234200,-161,0.0004466
281100,0.01466,0.9166,561100000,-96.1,0.000501
33.68,0.01375,1.005,151700,-86.61,0.000222
41.37,0.0261,0.933,90950,-105.5,0.0004549
32.33,0.0149,1.038,187400,-82.35,0.0001725
33.47,0.9998,0.9814,109300,-167.4,0.0003062
57.3,0.1054,1.011,268800,-139.5,0.0002132
427.1,0.8792,0.8265,367200,-87.32,0.001163
50.61,0.01511,0.9245,103500,-84.8,0.000489
39.27,0.9566,0.9878,138300,-165.5,0.0002839
63.68,0.01454,1.029,328200,-155.1,0.000194
102.4,0.01551,0.8808,146300,-91.41,0.0006999
22.17,0.03097,1.107,212900,-166,0.0001041
37.92,0.01708,0.9421,92570,-91.18,0.0004096
25.9,0.02931,1.108,273700,-160.2,9.463e-05
21.08,0.969,1.059,135800,-89.77,0.0001552
48.57,0.02248,1.005,216300,-165.4,0.0002245
34.33,0.02496,1.048,223700,-92.73,0.0001535
150,0.9902,0.9278,334600,-158,0.0004483
2155,0.01531,0.8513,2548000,-83.65,0.0008458
40.81,0.03504,0.9166,75740,-160.2,0.0005388
33.27,0.01004,1.079,286700,-81.86,0.000116
47.78,0.02134,0.9858,171100,-159.1,0.0002793
52.96,0.03094,0.9887,186100,-167.7,0.0002846
51.33,0.02152,1.008,228300,-142.9,0.0002248
197200,0.01935,0.8469,222900000,-83.79,0.0008847
41.89,0.01119,1.068,328800,-89.12,0.0001274
23.47,0.9997,1.027,117200,-85.65,0.0002003
250300,0.01614,0.9042,452800000,-103.9,0.0005528
28.3,0.02062,1.077,226900,-95.7,0.0001247
37.9,0.984,0.8833,52010,-146.3,0.0007287
2470,0.9732,0.8087,1658000,-90.19,0.00149
67.99,0.01575,0.9143,133000,-138.2,0.0005112
713.4,0.0192,0.8382,713200,-93.36,0.001
36.62,0.03589,0.9509,97250,-84.41,0.0003766
33.42,0.03593,0.9606,92320,-86.76,0.000362
135.5,0.09998,0.9091,241600,-166.5,0.0005608
120.3,0.04811,0.9136,214600,-165.3,0.0005606
54.92,0.01359,1.041,328600,-148,0.0001671
114.9,0.02966,0.9765,408200,-164,0.0002815
17.97,0.8913,1.154,268400,-89.34,6.695e-05
119.8,0.02017,0.96,350600,-171.8,0.0003417
387,0.01596,0.8767,547300,-87.02,0.0007071
63.27,0.02864,0.9481,180100,-83.03,0.0003513
36.35,0.01509,1.101,401100,-79.95,9.063e-05
123300,0.01509,0.8476,135100000,-92.18,0.0009127
34.18,0.02041,1.1,352100,-86.58,9.707e-05
23.25,0.03015,1.101,235700,-176.8,9.864e-05
2811,0.02467,0.8214,2482000,-109.1,0.001133
56.46,0.2857,0.9676,178000,-159,0.0003172
41.67,0.01889,1.055,275500,-94.51,0.0001513
30.56,0.01971,1.066,219100,-104.7,0.0001395
54.33,0.02977,0.8815,77340,-153.4,0.0007025
46.56,0.01155,1.011,230800,-84.7,0.0002017
29.47,0.9953,0.9199,54270,-154.4,0.000543
40.35,0.01652,1.049,280400,-86.44,0.0001439
246400,0.9202,0.8754,331300000,-87.3,0.0007437
36.08,0.02522,0.9993,140500,-95.98,0.0002568
35.73,0.01605,1.05,222000,-91.14,0.0001609
32.87,0.01979,1.011,135700,-144,0.0002422
121.5,0.9344,0.9147,274400,-81.57,0.0004428
70.78,0.01582,0.967,215200,-84.11,0.0003289
419300,0.0111,0.8942,676100000,-106.2,0.0006202
23.41,0.03761,1.037,135200,-89.84,0.0001732
26.34,0.05903,1.042,151100,-152.8,0.0001743
44.6,0.02055,1.031,251000,-109,0.0001777
103,0.0116,0.8309,97830,-76.6,0.001053
5091,0.01752,0.8687,7166000,-82.28,0.0007104
87810,0.883,0.8492,96870000,-81.78,0.0009065
19.63,0.9813,1.051,114700,-154.4,0.0001711
22.57,0.0226,1.031,117200,-102.3,0.0001926
3239,0.01356,0.8981,5579000,-89.78,0.0005806
47.43,0.0216,0.9013,75250,-91.09,0.0006303
44.74,0.02156,0.9735,148100,-103.7,0.0003021
56.71,0.01643,0.9145,113300,-100.2,0.0005005
19.04,0.02546,1.167,325700,-152.8,5.846e-05
21.43,0.3042,1.132,280900,-144.3,7.629e-05
334.4,0.01402,0.9043,587700,-89.5,0.000569
46.39,0.0146,1.033,271300,-91.58,0.000171
38.65,0.9951,0.8675,44930,-94.75,0.0008602
73.92,0.02307,0.8913,109700,-164.3,0.0006738
23.15,0.02072,1.044,127100,-167,0.0001821
45.97,0.02605,0.9714,163400,-84.69,0.0002813
43.69,0.01425,0.9144,84400,-86.2,0.0005177
130.5,0.0168,0.9256,281300,-86.79,0.0004639
40.37,0.01578,0.9708,126100,-88.12,0.0003201
96.51,0.02316,0.8452,92510,-91.15,0.001043
50.62,0.01739,0.9289,107700,-84.58,0.00047
32.96,0.989,1.001,126700,-162.1,0.0002601
94.71,0.04059,0.9221,198500,-174.7,0.0004771
104.3,0.9616,0.9185,250500,-86.06,0.0004164
21.15,0.02613,1.109,221200,-168.1,9.561e-05
2254,0.01264,0.9066,3873000,-103.7,0.000582
31.28,0.02189,1.116,379000,-131,8.253e-05
1773,0.9496,0.8497,2042000,-85.18,0.0008683
24.99,0.1972,0.9786,80550,-170.6,0.0003102
32.29,0.02653,0.9726,102900,-83.02,0.0003138
29.9,0.02286,0.9661,92140,-97.56,0.0003245
158.2,0.0164,0.9554,463100,-92.26,0.0003416
24.94,0.02294,0.9916,93650,-152.9,0.0002663
57.77,0.9864,0.9083,102100,-174.4,0.0005658
23.73,0.03741,0.9707,69610,-89.64,0.0003409
57.96,0.02248,0.8945,96420,-81.56,0.0006011
32.63,0.02032,1.073,249800,-91.48,0.0001306
74.9,0.01229,0.883,111900,-83.12,0.0006693
30.21,0.03236,1.059,207600,-111.3,0.0001455
