Kmax,Ku,n,halfmax,Vhalf,slope
51710,0.02524,0.8155,434100000,-19.92,0.0001191
62400,0.03481,0.7674,254600000,-63.28,0.0002451
106700,0.01187,0.6208,102700000,-57.5,0.001039
59620,0.04125,0.8143,411100000,-63.4,0.000145
67770,0.02837,0.7847,377500000,-49.01,0.0001795
41770,0.01145,0.724,152500000,-7.881,0.0002739
30140,0.05237,0.7668,140500000,-64.02,0.0002145
63250,0.02597,0.8139,5.25e+08,-62.37,0.0001205
98620,0.01951,0.7392,358100000,-66.1,0.0002754
65800,0.01384,0.7024,161900000,-15.84,0.0004064
8.478,0.01096,0.7924,51390,-11.37,0.000165
50990,0.02052,0.7806,286800000,-71.56,0.0001778
58840,0.02989,0.8301,536600000,-13,0.0001097
279700,0.02811,0.7051,599100000,-71.15,0.0004669
105700,0.02223,0.8332,985300000,-19.13,0.0001073
51990,0.02625,0.8767,953200000,-24.27,5.454e-05
7.144,0.009602,0.831,67640,-11.47,0.0001056
80880,0.02774,0.8255,793400000,-13.95,0.0001019
92790,0.0151,0.6278,93530000,-15.81,0.0009921
186600,0.02083,0.6914,386600000,-68.26,0.0004827
34080,0.02145,0.7211,103600000,-7.963,0.000329
7.735,0.01926,0.8238,60550,-10.53,0.0001277
74820,0.04735,0.8184,636600000,-75.91,0.0001175
162100,0.01564,0.7736,939400000,-55.23,0.0001726
74710,0.02506,0.7435,272800000,-70.42,0.0002739
35980,0.01434,0.9006,913100000,-9.302,3.94e-05
55250,0.03519,0.8193,528400000,-10.42,0.0001046
21200,0.02443,0.8175,177500000,-75.74,0.0001194
80070,0.02609,0.7989,5.66e+08,-10.8,0.0001415
84710,0.02767,0.7928,443200000,-67.6,0.0001911
61580,0.02102,0.827,5.91e+08,-54.81,0.0001042
134800,0.02073,0.7067,334900000,-55.02,0.0004025
37960,0.02518,0.7826,2.31e+08,-70.68,0.0001643
48620,0.0628,0.7057,112800000,-61.1,0.000431
219200,0.01391,0.7021,498300000,-60.64,0.0004399
44370,0.02401,0.7373,138900000,-64.27,0.0003194
50.85,0.0221,1.025,4327000,-11.68,1.175e-05
42690,0.01709,0.8695,655400000,-61.72,6.514e-05
58610,0.02247,0.7478,214900000,-70.43,0.0002727
93030,0.06822,0.6855,155800000,-67.46,0.0005971
38520,0.02111,0.7974,2.42e+08,-68.45,0.0001592
581.8,0.01497,0.6899,1281000,-7.815,0.0004542
53640,0.009375,0.6858,113300000,-13.81,0.0004734
26810,0.02983,0.8245,219300000,-64.52,0.0001223
70850,0.02054,0.8431,780100000,-7.473,9.082e-05
374700,0.0178,0.6672,563700000,-59.15,0.0006647
141900,0.02175,0.7126,322900000,-51.04,0.0004395
45270,0.01496,0.6802,85010000,-13.48,0.0005325
20970,0.05216,0.8281,201500000,-12.64,0.0001041
24690,0.02985,0.8563,286200000,-14.12,8.627e-05
40650,0.02287,0.8223,403500000,-22.17,0.0001007
128700,0.03862,0.7646,542100000,-59.65,0.0002374
7.858,0.02115,0.7579,30020,-19.03,0.0002618
31.17,0.01357,0.7585,122200,-62.1,0.0002551
69740,0.02491,0.8423,819300000,-23.66,8.512e-05
57350,0.01551,0.8417,744100000,-7.499,7.707e-05
179100,0.02289,0.7582,806600000,-24.8,0.000222
65880,0.00749,0.668,120700000,-11.11,0.0005458
65450,0.02655,0.7448,209100000,-69.8,0.000313
74160,0.03139,0.7843,391700000,-63.86,0.0001893
44580,0.01882,0.858,618900000,-9.387,7.203e-05
12900,0.02504,0.6894,22270000,-69.56,0.0005793
239000,0.07837,0.6856,429100000,-59.21,0.000557
128000,0.02522,0.7739,693300000,-16.01,0.0001846
30940,0.01473,0.7177,86300000,-8.877,0.0003585
80900,0.05769,0.667,1.08e+08,-75.06,0.0007491
62000,0.02257,0.7885,371100000,-12.98,0.0001671
5.523,0.7332,0.9863,228800,-10.23,2.414e-05
20030,0.01812,0.8399,222700000,-63.52,8.994e-05
34990,0.04382,0.7261,88490000,-66.46,0.0003954
231200,0.02081,0.6917,457400000,-68.07,0.0005055
10.85,0.06476,0.8519,99260,-70.29,0.0001093
178800,0.01363,0.6755,327400000,-17.54,0.0005461
34300,0.02149,0.7743,1.74e+08,-7.037,0.0001971
5.604,0.0193,0.9409,150700,-11.1,3.719e-05
78900,0.04663,0.8382,912400000,-12.97,8.648e-05
95320,0.02176,0.7141,210900000,-64.81,0.000452
95050,0.02284,0.7589,429100000,-11.94,0.0002215
11.76,0.3813,0.919,291100,-17.63,4.04e-05
50090,0.05793,0.7433,168700000,-75.25,0.0002969
277900,0.04836,0.7358,951600000,-15.75,0.000292
293600,0.05415,0.6974,5.91e+08,-72.84,0.0004968
109600,0.04184,0.7654,469300000,-69.18,0.0002335
23.67,0.009599,0.7357,84820,-12.27,0.0002791
133300,0.01505,0.8147,985700000,-62.18,0.0001352
73160,0.01005,0.6825,156300000,-11.89,0.0004681
88430,0.01912,0.7801,4.83e+08,-38.79,0.0001831
120800,0.02205,0.709,286200000,-67.85,0.0004221
100100,0.05518,0.7397,347500000,-75.37,0.0002881
73600,0.02471,0.7727,374600000,-66.79,0.0001965
48440,0.01665,0.842,511600000,-14.72,9.468e-05
79250,0.02345,0.7127,205900000,-74.85,0.0003849
92640,0.02443,0.7322,298700000,-68.67,0.0003101
45480,0.04093,0.82,417500000,-48.18,0.0001089
11150,0.05186,0.7964,73600000,-14.44,0.0001515
89770,0.05752,0.7455,341400000,-65.18,0.0002629
142200,0.02416,0.7463,486900000,-72.09,0.0002921
12.79,0.03659,0.9851,625900,-49.75,2.043e-05
154300,0.01818,0.7498,5.97e+08,-54.11,0.0002585
134100,0.02514,0.6958,279300000,-71.43,0.0004801
220000,0.02202,0.6741,345100000,-65.34,0.0006375
144500,0.01378,0.6753,255200000,-9.972,0.0005662
89760,0.02393,0.7718,3.83e+08,-56.18,0.0002344
47090,0.0217,0.7762,265900000,-64.18,0.0001771
28190,0.01776,0.8304,270200000,-11.74,0.0001043
145100,0.04743,0.7839,894600000,-9.212,0.0001622
165300,0.02516,0.7432,610900000,-16.57,0.0002706
85720,0.02021,0.7989,650700000,-17.58,0.0001317
73600,0.02469,0.7773,398400000,-66.2,0.0001847
69400,0.07101,0.7121,159800000,-67.29,0.0004343
96530,0.03136,0.814,797800000,-17.53,0.000121
143100,0.01544,0.7618,6.8e+08,-61.5,0.0002104
43.83,0.03093,0.7559,185100,-9.859,0.0002368
71820,0.02269,0.7823,423800000,-9.397,0.0001695
250900,0.02337,0.68,419300000,-69.47,0.0005984
74560,0.02529,0.8033,520600000,-63.03,0.0001432
155800,0.03514,0.791,958500000,-58.26,0.0001625
60950,0.02025,0.8357,638100000,-18.46,9.552e-05
117600,0.01302,0.7214,358400000,-12.99,0.0003281
15420,0.02422,0.8421,153800000,-68.25,0.0001003
59970,0.02296,0.8155,510700000,-12.85,0.0001174
46710,0.05231,0.7885,291200000,-47.11,0.0001604
53340,0.05871,0.6957,109700000,-67.75,0.0004862
36330,0.02394,0.7571,1.57e+08,-14.21,0.0002314
55600,0.01067,0.7012,139600000,-7.63,0.0003983
16.01,0.04947,0.7296,45050,-12.74,0.0003554
43010,0.009297,0.6982,107100000,-15.18,0.0004016
19.77,0.01311,0.7726,96920,-12.05,0.000204
11.06,0.01788,0.8216,86360,-15.06,0.0001281
284100,0.0474,0.7348,920800000,-15.02,0.0003085
82440,0.05252,0.7809,469400000,-62.58,0.0001756
68540,0.01056,0.7272,243300000,-6.817,0.0002817
76810,0.02066,0.7511,308700000,-64.48,0.0002488
65260,0.01169,0.7837,453100000,-7.57,0.000144
65190,0.0595,0.7251,176100000,-80.88,0.0003702
146300,0.0191,0.7797,834500000,-38.02,0.0001753
73610,0.01292,0.8234,754300000,-10.84,9.759e-05
161900,0.02322,0.7254,4.78e+08,-62.21,0.0003387
40290,0.01688,0.8993,935100000,-12.65,4.309e-05
103000,0.01519,0.7827,558300000,-8.73,0.0001845
129800,0.01175,0.7565,680800000,-8.318,0.0001907
65740,0.02817,0.7355,219300000,-54.9,0.0002998
13.97,0.02229,0.9811,610000,-70.11,2.29e-05
29240,0.01667,0.8682,4.58e+08,-8.415,6.384e-05
20500,0.01199,0.6723,34790000,-11.43,0.0005892
152400,0.02536,0.6962,3.23e+08,-62.42,0.0004718
108600,0.02545,0.7896,671900000,-23.99,0.0001616
68250,0.01176,0.8263,756500000,-8.404,9.022e-05
87960,0.04595,0.7823,475500000,-71.86,0.000185
119100,0.009942,0.738,473700000,-13.74,0.0002514
41270,0.01257,0.7238,131200000,-18.62,0.0003146
123300,0.01008,0.632,144600000,-15.92,0.0008527
144300,0.03183,0.7214,361100000,-61.23,0.0003996
102400,0.0247,0.7759,481900000,-57.04,0.0002125
57370,0.03276,0.733,183500000,-68.8,0.0003126
6.025,0.01337,0.9002,88190,-64.29,6.832e-05
214600,0.01406,0.7348,712600000,-61.7,0.0003012
185300,0.0488,0.7266,537400000,-73.79,0.0003448
90180,0.01082,0.6822,192200000,-11.57,0.0004692
366400,0.02054,0.6761,562400000,-67.44,0.0006515
29970,0.02176,0.7846,160200000,-74.34,0.0001871
10810,0.03706,0.891,216100000,-68.42,5.002e-05
159500,0.0528,0.7724,808400000,-54.18,0.0001973
78300,0.02312,0.8276,795700000,-19.86,9.84e-05
44010,0.01213,0.7506,190900000,-12.03,0.0002305
141700,0.02772,0.781,803400000,-34.92,0.0001764
141100,0.01172,0.6605,227100000,-10.08,0.0006213
72120,0.03805,0.7104,158200000,-71.08,0.0004559
96230,0.01955,0.7369,334500000,-53.99,0.0002877
118200,0.009954,0.6989,301800000,-60.36,0.0003917
40440,0.03422,0.7478,148800000,-69.79,0.0002718
41690,0.01733,0.8748,738600000,-12.24,5.644e-05
22870,0.01483,0.946,957900000,-7.103,2.388e-05
118400,0.01482,0.6987,2.73e+08,-18.22,0.0004337
112700,0.0533,0.7256,315800000,-71.21,0.0003569
114000,0.02279,0.7489,455400000,-18.08,0.0002503
8.566,0.04596,0.9853,328100,-50.2,2.611e-05
