Kmax,Ku,n,halfmax,Vhalf,slope
3581000,9.017e-05,0.5892,13490000,-79.53,0.2655
1199000,8.236e-05,0.7252,5883000,-80.24,0.2038
648700,6.237e-05,0.8017,3488000,-83.65,0.186
454300,5.902e-05,0.6873,1734000,-98.55,0.262
1547000,7.458e-05,0.6425,5076000,-86.26,0.3048
368500,6.39e-05,0.6945,1441000,-94.36,0.2557
1091000,7.705e-05,0.597,4353000,-75.76,0.2506
1023000,9.327e-05,0.6036,3477000,-83.07,0.2942
569100,6.784e-05,0.6775,2102000,-83.49,0.2707
388900,6.673e-05,0.5475,1025000,-103.4,0.3794
504200,7.36e-05,0.6385,1780000,-79.16,0.2833
2742000,7.421e-05,0.6807,9196000,-108.7,0.2982
1873000,8.115e-05,0.622,7004000,-86.5,0.2674
1699000,7.831e-05,0.6775,7178000,-80.07,0.2367
287000,5.171e-05,0.7165,1250000,-142.4,0.2296
59.85,9.657e-05,0.5008,169.1,-75.64,0.3539
1962000,9e-05,0.5456,6450000,-80.07,0.3042
1229000,6.306e-05,0.6766,4827000,-98.27,0.2546
7006000,7.146e-05,0.5278,19840000,-78.41,0.3531
677800,7.583e-05,0.7302,3051000,-80.25,0.2222
1248000,6.946e-05,0.627,4173000,-86.14,0.2991
1541000,8.421e-05,0.677,6989000,-83.01,0.2205
2380000,6.836e-05,0.5631,7489000,-85.52,0.3178
558500,7.093e-05,0.5635,1483000,-110,0.3766
17780000,5.059e-05,0.631,61380000,-153.1,0.2897
1346000,6.842e-05,0.5852,4033000,-84.22,0.3337
580800,5.503e-05,0.717,2721000,-140.6,0.2135
265800,6.719e-05,0.7215,1281000,-84.6,0.2075
125300,8.27e-05,0.6103,561200,-79.31,0.2233
1300000,9.066e-05,0.679,6246000,-75.07,0.2081
113400,9.353e-05,0.5269,357900,-73.5,0.3168
610800,6.276e-05,0.7566,3160000,-85.22,0.1933
322000,6.949e-05,0.7024,1432000,-76.76,0.2249
992600,7.125e-05,0.6413,3816000,-83.98,0.2601
755700,7.139e-05,0.6836,2769000,-88.29,0.2729
1700000,9.318e-05,0.6751,6310000,-82.95,0.2694
884700,8.266e-05,0.6505,3538000,-81.08,0.2501
3461000,9.661e-05,0.5603,9804000,-78.18,0.353
1457000,6.892e-05,0.6568,6235000,-87.06,0.2337
1234000,6.845e-05,0.6039,3871000,-90.11,0.3188
890600,6.946e-05,0.6394,3252000,-79.83,0.2739
3553000,6.595e-05,0.7486,18900000,-80.07,0.188
784400,7.531e-05,0.6441,2729000,-84.29,0.2874
3456000,8.533e-05,0.5979,11580000,-82.87,0.2984
296100,7.651e-05,0.6937,1220000,-81.37,0.2427
1539000,7.03e-05,0.7406,7984000,-82.82,0.1928
951700,7.599e-05,0.6683,4256000,-79.84,0.2236
555900,0.0001041,0.5,1521000,-76.19,0.3655
2602000,7.367e-05,0.6849,10250000,-90.43,0.2539
3146000,5.613e-05,0.6669,12090000,-146.9,0.2602
2051000,8.629e-05,0.6319,7110000,-85.27,0.2885
1159000,6.631e-05,0.6892,4334000,-95.19,0.2674
1949000,8.138e-05,0.6234,6133000,-85.4,0.3178
2147000,7.765e-05,0.6495,8533000,-80.76,0.2516
748200,6.271e-05,0.5988,2690000,-79.4,0.2781
588800,6.891e-05,0.7194,2788000,-80.45,0.2112
516300,6.999e-05,0.7761,3125000,-80.69,0.1652
856800,0.0001003,0.5854,2527000,-81.53,0.3391
658100,8.518e-05,0.6415,2801000,-75.36,0.235
760900,7.961e-05,0.7151,3841000,-82.96,0.1981
1905000,6.297e-05,0.6142,6712000,-85.98,0.2838
385700,5.293e-05,0.7052,1503000,-118.7,0.2566
855100,7.497e-05,0.7215,4301000,-76.62,0.1988
2691000,6.874e-05,0.6615,10100000,-80.56,0.2664
869100,8.658e-05,0.6298,3319000,-82.31,0.2619
1132000,7.976e-05,0.6002,3759000,-84.18,0.3011
437400,7.349e-05,0.6956,1826000,-84,0.2395
1046000,7.453e-05,0.6631,4373000,-79.49,0.2392
1510000,6.657e-05,0.6005,5348000,-82.2,0.2823
301900,6.03e-05,0.7934,1538000,-90.75,0.1963
879200,9.032e-05,0.597,3494000,-73.77,0.2516
511900,7.368e-05,0.6392,2042000,-75.81,0.2507
463200,8.566e-05,0.6252,1924000,-76.13,0.2407
1119000,5.451e-05,0.7734,5917000,-131.7,0.1891
763800,8.176e-05,0.6533,2970000,-82.87,0.2572
920200,7.17e-05,0.6349,3518000,-91.5,0.2616
1756000,5.429e-05,0.6727,6709000,-88.07,0.2617
642200,9.025e-05,0.6517,2486000,-78.73,0.2583
540900,7.926e-05,0.6806,2491000,-78.58,0.2171
1720000,8.647e-05,0.7191,8417000,-79.74,0.2043
309600,6.729e-05,0.685,1335000,-87.66,0.2319
484200,5.082e-05,0.649,1593000,-146,0.304
646300,7.035e-05,0.7654,3451000,-82.55,0.1873
1907000,6.789e-05,0.6638,8616000,-88.35,0.2213
21190,8.854e-05,0.5272,60590,-81.63,0.3497
6270000,5.615e-05,0.6676,24970000,-126.7,0.2511
650300,0.0001101,0.6635,2915000,-77.37,0.2231
658800,6.358e-05,0.7298,3183000,-102.4,0.207
3250000,7.907e-05,0.556,9485000,-78.1,0.3426
1508000,6.5e-05,0.7611,8006000,-86.95,0.1884
593500,7.154e-05,0.668,2607000,-85.02,0.2277
1334000,6.413e-05,0.6502,4584000,-84.24,0.291
3171000,8.798e-05,0.5854,12390000,-72.15,0.2559
649500,8.907e-05,0.566,2011000,-81.47,0.323
693000,8.57e-05,0.6153,3079000,-75.65,0.2251
2289000,7.446e-05,0.5,6244000,-77.7,0.3666
1636000,7.884e-05,0.6607,6565000,-77.97,0.2492
4336000,8.501e-05,0.5439,13710000,-78.42,0.3163
100700,8.042e-05,0.5637,328000,-82.71,0.307
69610,8.08e-05,0.7471,386300,-79.98,0.1802
1709000,7.359e-05,0.6355,6024000,-81.86,0.2837
624000,6.724e-05,0.7202,2628000,-83.86,0.2374
714200,7.414e-05,0.7359,3188000,-84.73,0.224
230600,4.877e-05,0.7283,978600,-149.2,0.2356
1334000,7.456e-05,0.5242,3584000,-83.64,0.3722
1262000,5.753e-05,0.6152,4293000,-91.43,0.294
165600,6.65e-05,0.8369,1025000,-101.5,0.1616
539600,8.627e-05,0.5847,1874000,-78.18,0.2879
2573000,7.073e-05,0.5843,8681000,-81.26,0.2964
662400,7.403e-05,0.5929,2094000,-85.42,0.3163
1566000,6.811e-05,0.6108,5247000,-83.93,0.2985
257800,6.436e-05,0.7115,1094000,-85.97,0.2356
328400,7.724e-05,0.6976,1365000,-82.71,0.2406
447900,5.756e-05,0.7733,2290000,-87.01,0.1956
311800,8.775e-05,0.5729,976500,-84.44,0.3193
973000,5.502e-05,0.7358,4486000,-122.8,0.2169
726100,6.836e-05,0.6728,2912000,-78.71,0.2493
756300,8.958e-05,0.5,2405000,-75.36,0.3145
960000,8.966e-05,0.602,4006000,-79.95,0.2396
1300000,8.559e-05,0.6649,4975000,-85.56,0.2613
2699000,6.901e-05,0.5911,8941000,-83.08,0.3019
629900,7.918e-05,0.6604,2361000,-82.48,0.2668
502200,9.183e-05,0.6478,1890000,-80.74,0.2657
1295000,7.219e-05,0.5997,4596000,-79.04,0.2818
887800,8.506e-05,0.6726,4261000,-76.72,0.2084
770500,8.24e-05,0.611,3080000,-82.71,0.2502
125400,8.934e-05,0.78,739000,-78.87,0.1697
377700,8.024e-05,0.6831,1450000,-82.27,0.2605
826000,5.99e-05,0.7251,3509000,-119.2,0.2354
4597000,9.929e-05,0.5751,15220000,-78.16,0.302
1489000,8.253e-05,0.5685,6108000,-71.02,0.2438
1e+06,7.453e-05,0.7229,4850000,-83.46,0.2062
465000,6.806e-05,0.6456,1734000,-88.99,0.2682
624600,7.295e-05,0.7394,3622000,-84.5,0.1724
225900,8.332e-05,0.5692,806200,-75.35,0.2802
985800,6.451e-05,0.5443,3198000,-81.71,0.3083
3190000,7.324e-05,0.7045,12950000,-89.08,0.2463
230300,7.81e-05,0.741,1352000,-79.44,0.1703
1109000,7.511e-05,0.6727,5421000,-77.53,0.2046
930600,4.722e-05,0.6802,3423000,-148.8,0.2719
1941000,5.498e-05,0.5438,5093000,-142.2,0.3811
1044000,7.875e-05,0.621,3926000,-78.82,0.2659
385600,7.249e-05,0.785,2210000,-83.2,0.1745
627300,7.009e-05,0.634,2239000,-79.19,0.2802
2025000,8.269e-05,0.5065,5087000,-79.74,0.3981
22440000,9.609e-05,0.5,65220000,-76.57,0.3441
560000,7.977e-05,0.6832,2221000,-93.21,0.2521
212200,9.42e-05,0.587,756100,-77.95,0.2807
1848000,0.0001066,0.6257,7576000,-76.21,0.2439
845100,5.467e-05,0.6633,3618000,-148,0.2336
1438000,6.437e-05,0.8575,10180000,-91.9,0.1413
2855000,8.391e-05,0.6658,13330000,-76.44,0.2142
3581000,8.155e-05,0.7434,17190000,-78.01,0.2083
3772000,7.758e-05,0.599,11960000,-78.73,0.3154
1345000,7.086e-05,0.7858,7927000,-83.11,0.1697
1609000,7.843e-05,0.6056,6931000,-73.36,0.2321
1754000,7.692e-05,0.5904,4574000,-95.38,0.3835
996700,7.193e-05,0.6403,3984000,-84.83,0.2502
224600,8.166e-05,0.5492,648100,-84.41,0.3466
1335000,8.328e-05,0.541,4649000,-73.47,0.2872
1199000,5.38e-05,0.752,6070000,-134.9,0.1975
4839000,7.277e-05,0.5665,15320000,-80.53,0.3159
1168000,8.383e-05,0.6718,4924000,-88.75,0.2372
1586000,7.867e-05,0.5257,5127000,-78.45,0.3093
1152000,5.909e-05,0.7291,5420000,-139.4,0.2125
996800,7.423e-05,0.6769,4015000,-86.23,0.2483
3151000,6.459e-05,0.7301,14690000,-90.27,0.2145
3115000,7.645e-05,0.5926,10630000,-81.62,0.293
1381000,8.541e-05,0.6176,5125000,-80.82,0.2695
1019000,8.704e-05,0.6456,3806000,-74.85,0.2677
1606000,7.952e-05,0.6551,7024000,-79.9,0.2286
1901000,7.41e-05,0.7179,7790000,-120.6,0.244
1134000,4.904e-05,0.783,6161000,-140.4,0.1841
940200,6.169e-05,0.7675,4911000,-89.4,0.1914
510600,9.712e-05,0.5319,1490000,-79.03,0.3427
4672000,7.359e-05,0.5249,13260000,-81.44,0.3523
270100,9.113e-05,0.708,1401000,-73.91,0.1928
3035000,7.592e-05,0.7679,18050000,-82.85,0.1681
1274000,7.833e-05,0.6592,5232000,-81.33,0.2435
1293000,7.639e-05,0.671,5572000,-82.17,0.2321
1950000,8.105e-05,0.6181,7137000,-81.31,0.2732
675000,5.512e-05,0.7112,2854000,-137.4,0.2365
474800,7.57e-05,0.7064,2037000,-84.45,0.2331
1274000,8.3e-05,0.6608,4796000,-86.16,0.2656
906200,7.587e-05,0.6361,3454000,-90.47,0.2624
1598000,7.427e-05,0.7258,6406000,-98.43,0.2495
1039000,7.473e-05,0.6901,4680000,-95.73,0.222
1430000,7.317e-05,0.5913,5604000,-77.79,0.2552
480200,7.06e-05,0.6676,1848000,-85.9,0.2598
1918000,5.022e-05,0.6309,6395000,-130.2,0.2999
110100,8.194e-05,0.5915,424900,-80.14,0.2591
4700000,8.078e-05,0.5,12110000,-79.56,0.3881
869600,8.945e-05,0.5414,2831000,-74.41,0.3072
30480000,7.031e-05,0.5415,76090000,-94.52,0.4006
830300,6.807e-05,0.7559,5075000,-82.55,0.1636
915900,5.201e-05,0.7896,5296000,-131.4,0.1729
281100,8.3e-05,0.7265,1436000,-83.1,0.1958
182600,6.808e-05,0.515,486800,-82.3,0.3751
633400,7.883e-05,0.541,1695000,-90.99,0.3737
1791000,6.388e-05,0.7232,8591000,-86.32,0.2085
470800,5.649e-05,0.6928,1921000,-91.91,0.2451
967600,8.214e-05,0.6345,4049000,-80.59,0.239
104100,7.868e-05,0.5843,357900,-77.61,0.2909
877100,6.569e-05,0.648,3644000,-80.78,0.2407
1757000,8.392e-05,0.5855,5859000,-77.65,0.2999
875000,8.218e-05,0.6737,4016000,-79.12,0.2179
2156000,7.737e-05,0.544,6165000,-82.64,0.3497
3587000,8.667e-05,0.5935,12730000,-75.51,0.2818
1597000,5.438e-05,0.6199,5431000,-129.4,0.2941
