Kmax,Ku,n,halfmax,Vhalf,slope
3347000,0.000878,1.051,705800000,-97.59,0.004742
5662000,0.0008361,0.9082,567300000,-194.2,0.009981
2281000,0.001139,1.061,478700000,-98.9,0.004765
2259000,0.0007133,0.8887,1.96e+08,-100.3,0.01153
1763000,0.0008765,1.127,601700000,-95.62,0.00293
1207000,0.0006864,0.9817,165100000,-168.1,0.007311
3978000,0.000999,1.098,935300000,-169.6,0.004253
473800,0.001526,0.8829,31810000,-157.2,0.01489
3210000,0.000846,1.001,589500000,-175.4,0.005445
4414000,0.0009341,0.9187,439300000,-89.11,0.01005
1387000,0.0008595,1.073,316800000,-114.1,0.004378
690500,0.0007092,0.8701,52570000,-96.44,0.01313
2160000,0.001501,1.142,752400000,-180.5,0.002871
5709000,0.000748,0.9672,753400000,-163.2,0.007578
697700,0.0007996,1.04,156700000,-158.6,0.004452
472200,0.0007866,0.9123,43920000,-160.5,0.01075
356200,0.0007823,0.9006,30390000,-187.6,0.01172
448000,0.001891,1.201,223500000,-165.5,0.002004
2820000,0.0007781,1.036,566700000,-87.58,0.004976
2547000,0.0007679,0.85,163600000,-91.69,0.01557
2589000,0.0009071,0.9186,243900000,-92.65,0.01062
2211000,0.0009773,1.139,886100000,-174.8,0.002495
1190000,0.001475,1.269,907400000,-188.4,0.001311
1397000,0.0008353,1.119,474700000,-90.75,0.002943
1239000,0.0008688,1.129,416100000,-94.14,0.002978
2372000,0.0007354,1.001,393700000,-97.31,0.006025
433500,0.001005,1.178,223500000,-91.23,0.00194
826000,0.001113,1.213,451600000,-112.2,0.001829
850600,0.0007498,1.111,250700000,-90.71,0.003393
2989000,0.0009138,1.068,764400000,-91.03,0.00391
44610,0.0007824,0.9793,6003000,-192.9,0.007431
414400,0.0007535,0.9743,58870000,-171.7,0.007039
2698000,0.002216,1.143,791500000,-169.5,0.003409
1166000,0.0007932,0.9311,131200000,-149.3,0.008887
1254000,0.002392,1.267,851800000,-182.5,0.001472
